Symbol,KLLH,Free_Float,,,,
AAV,68990000,60,,,,
ADC,3980000,40,,,,
ALT,5740000,45,,,,
AMC,2850000,60,,,,
AME,65200000,15,,,,
AMV,131110000,95,,,,
API,84080000,55,,,,
APS,83000000,90,,,,
ARM,3110000,20,,,,
ATS,3500000,100,,,,
BAB,833430000,90,,,,
BAX,8200000,15,,,,
BBS,6000000,45,,,,
BCC,123210000,30,,,,
BCF,32280000,50,,,,
BDB,1130000,25,,,,
BED,3000000,15,,,,
BKC,11740000,45,,,,
BLF,11500000,40,,,,
BNA,25000000,65,,,,
BPC,3800000,45,,,,
BSC,3150000,15,,,,
BST,1100000,45,,,,
BTS,123560000,10,,,,
BTW,9360000,15,,,,
BVS,72200000,45,,,,
BXH,3010000,35,,,,
C69,61800000,80,,,,
CAG,13800000,35,,,,
CAN,5000000,35,,,,
CAP,10050000,65,,,,
CEO,514680000,75,,,,
CET,6050000,35,,,,
CIA,18660000,45,,,,
CJC,8000000,10,,,,
CKV,4010000,40,,,,
CLH,12000000,50,,,,
CLM,11000000,40,,,,
CMC,4560000,45,,,,
CMS,25450000,40,,,,
CPC,4080000,50,,,,
CSC,31170000,50,,,,
CTB,13680000,100,,,,
CTC,15800000,80,,,,
CTP,12100000,50,,,,
CTT,4700000,50,,,,
CTX,78910000,20,,,,
CVN,29700000,80,,,,
CX8,2670000,40,,,,
D11,7340000,60,,,,
DAD,4660000,35,,,,
DAE,1930000,40,,,,
DC2,7560000,50,,,,
DDG,59840000,100,,,,
DHP,9490000,45,,,,
DHT,73940000,70,,,,
DIH,5910000,60,,,,
DL1,106240000,60,,,,
DNC,6420000,25,,,,
DNP,118900000,80,,,,
DP3,21500000,45,,,,
DPC,2240000,50,,,,
DS3,10670000,60,,,,
DST,32220000,100,,,,
DTC,10000000,30,,,,
DTD,42910000,60,,,,
DTG,7260000,20,,,,
DVG,28000000,100,,,,
DVM,35650000,75,,,,
DXP,59910000,50,,,,
DZM,5400000,80,,,,
EBS,9970000,35,,,,
ECI,1760000,50,,,,
EID,15000000,50,,,,
EVS,164800000,75,,,,
FID,24720000,95,,,,
GDW,9500000,15,,,,
GIC,12120000,35,,,,
GKM,31430000,70,,,,
GLT,9350000,35,,,,
GMA,20000000,20,,,,
GMX,9030000,90,,,,
HAD,4000000,45,,,,
HAT,3120000,35,,,,
HBS,33000000,30,,,,
HCC,6520000,40,,,,
HCT,2020000,20,,,,
HDA,27600000,80,,,,
HEV,1000000,45,,,,
HGM,11920000,45,,,,
HHC,16430000,55,,,,
HJS,21000000,20,,,,
HKT,6140000,30,,,,
HLC,25420000,30,,,,
HLD,20000000,50,,,,
HMH,12850000,75,,,,
HMR,5610000,45,,,,
HOM,72000000,30,,,,
HTC,16500000,40,,,,
HTP,91800000,55,,,,
HUT,892510000,95,,,,
HVT,10990000,25,,,,
ICG,17570000,40,,,,
IDC,330000000,70,,,,
IDJ,173490000,80,,,,
IDV,31180000,60,,,,
INC,2000000,20,,,,
INN,17960000,80,,,,
IPA,213840000,40,,,,
ITQ,31840000,95,,,,
IVS,69350000,35,,,,
KDM,7100000,90,,,,
KHS,12090000,40,,,,
KKC,5200000,15,,,,
KLF,165350000,100,,,,
KMT,9850000,20,,,,
KSD,12000000,40,,,,
KSF,300000000,50,,,,
KSQ,30000000,60,,,,
KST,5990000,45,,,,
KTS,5070000,80,,,,
KTT,2960000,90,,,,
L14,30860000,75,,,,
L18,38120000,45,,,,
L40,3580000,25,,,,
L43,3500000,40,,,,
L61,7580000,40,,,,
L62,8300000,45,,,,
LAS,112860000,35,,,,
LBE,2000000,35,,,,
LCD,1500000,10,,,,
LDP,12700000,40,,,,
LHC,14400000,75,,,,
LIG,94220000,100,,,,
MAC,15140000,35,,,,
MAS,4270000,55,,,,
MBG,120220000,85,,,,
MBS,437640000,25,,,,
MCC,4990000,20,,,,
MCF,10780000,40,,,,
MCO,4100000,55,,,,
MDC,21420000,20,,,,
MED,12410000,30,,,,
MEL,15000000,40,,,,
MHL,5290000,55,,,,
MIM,3410000,35,,,,
MKV,5000000,15,,,,
MST,76000000,95,,,,
NAG,31650000,50,,,,
NAP,21520000,20,,,,
NBC,37000000,35,,,,
NBP,12870000,20,,,,
NBW,10900000,20,,,,
NDN,71660000,95,,,,
NDX,9590000,55,,,,
NET,22400000,15,,,,
NFC,15730000,30,,,,
NHC,3040000,50,,,,
NRC,92600000,65,,,,
NSH,20690000,50,,,,
NST,11200000,35,,,,
NTH,10800000,55,,,,
NTP,129580000,30,,,,
NVB,556800000,100,,,,
OCH,200000000,45,,,,
ONE,7890000,85,,,,
PBP,4800000,45,,,,
PCE,10000000,15,,,,
PCG,18870000,25,,,,
PCH,22000000,70,,,,
PCT,50040000,25,,,,
PDB,8910000,60,,,,
PEN,5000000,60,,,,
PGN,8450000,60,,,,
PGS,50000000,65,,,,
PGT,9240000,50,,,,
PHN,7250000,45,,,,
PIA,3900000,40,,,,
PIC,33340000,20,,,,
PJC,7330000,50,,,,
PLC,80800000,25,,,,
PMB,12000000,15,,,,
PMC,9330000,45,,,,
PMP,4200000,20,,,,
PMS,7200000,45,,,,
POT,19430000,30,,,,
PPE,2000000,25,,,,
PPP,8800000,45,,,,
PPS,15000000,25,,,,
PPT,15750000,55,,,,
PPY,9340000,20,,,,
PRC,1200000,45,,,,
PRE,104400000,15,,,,
PSC,7200000,25,,,,
PSD,41460000,20,,,,
PSE,12500000,25,,,,
PSI,59840000,30,,,,
PSW,17000000,25,,,,
PTD,3200000,40,,,,
PTI,80400000,30,,,,
PTS,5570000,50,,,,
PV2,36870000,45,,,,
PVB,21600000,50,,,,
PVC,81200000,65,,,,
PVG,36500000,50,,,,
PVI,234240000,15,,,,
PVS,477970000,50,,,,
QHD,5520000,85,,,,
QST,3240000,60,,,,
QTC,2700000,35,,,,
RCL,13860000,50,,,,
S55,10000000,35,,,,
S99,94000000,65,,,,
SAF,12050000,20,,,,
SCG,85000000,70,,,,
SCI,25410000,50,,,,
SD5,26000000,40,,,,
SD6,34770000,40,,,,
SD9,34230000,45,,,,
SDA,26210000,85,,,,
SDC,2610000,30,,,,
SDG,10140000,10,,,,
SDN,3040000,35,,,,
SDT,42730000,40,,,,
SDU,20000000,15,,,,
SEB,32000000,15,,,,
SED,9270000,50,,,,
SFN,2860000,45,,,,
SGC,7150000,20,,,,
SGD,4040000,30,,,,
SGH,12360000,55,,,,
SHE,9590000,30,,,,
SHN,129610000,90,,,,
SHS,813160000,95,,,,
SJ1,23480000,35,,,,
SJE,24170000,35,,,,
SLS,9790000,50,,,,
SMN,4400000,50,,,,
SMT,5470000,95,,,,
SPC,10530000,35,,,,
SPI,16820000,100,,,,
SRA,43200000,95,,,,
SSM,4950000,40,,,,
STC,5670000,45,,,,
STP,8020000,85,,,,
SVN,21000000,60,,,,
SZB,30000000,40,,,,
TA9,12420000,35,,,,
TAR,78320000,90,,,,
TBX,1510000,30,,,,
TC6,32500000,35,,,,
TDN,29440000,35,,,,
TDT,23900000,80,,,,
TET,5700000,10,,,,
TFC,16830000,30,,,,
THB,11420000,35,,,,
THD,385000000,100,,,,
THS,2700000,10,,,,
THT,24570000,35,,,,
TIG,176010000,60,,,,
TJC,8600000,20,,,,
TKC,15020000,90,,,,
TKG,6320000,100,,,,
TKU,46880000,20,,,,
TMB,15000000,35,,,,
TMC,12400000,30,,,,
TMX,6000000,20,,,,
TNG,113520000,60,,,,
TOT,6040000,25,,,,
TPH,2100000,35,,,,
TPP,45000000,45,,,,
TSB,6750000,50,,,,
TTC,5940000,40,,,,
TTH,37370000,100,,,,
TTL,41850000,10,,,,
TTT,4570000,20,,,,
TTZ,7570000,70,,,,
TV3,9520000,35,,,,
TV4,19780000,30,,,,
TVC,118610000,80,,,,
TVD,44960000,35,,,,
TXM,7000000,40,,,,
UNI,15620000,45,,,,
V12,11640000,15,,,,
V21,12000000,90,,,,
VBC,7500000,15,,,,
VC1,12000000,45,,,,
VC2,67200000,60,,,,
VC3,111740000,50,,,,
VC6,8800000,45,,,,
VC7,48050000,45,,,,
VC9,16700000,50,,,,
VCC,24000000,35,,,,
VCM,3000000,35,,,,
VCS,160000000,20,,,,
VDL,14660000,15,,,,
VE1,5930000,40,,,,
VE3,1320000,50,,,,
VE4,1030000,25,,,,
VE8,1800000,45,,,,
VFS,120000000,80,,,,
VGP,7830000,75,,,,
VGS,53270000,40,,,,
VHE,33140000,95,,,,
VHL,25000000,50,,,,
VIF,350000000,10,,,,
VIG,45130000,80,,,,
VIT,50000000,50,,,,
VLA,4000000,60,,,,
VMC,23760000,50,,,,
VMS,9000000,45,,,,
VNC,10500000,40,,,,
VNF,31700000,25,,,,
VNR,150740000,15,,,,
VNT,16640000,15,,,,
VSA,14100000,25,,,,
VSM,3350000,35,,,,
VTC,4530000,35,,,,
VTH,7900000,10,,,,
VTJ,11400000,100,,,,
VTV,31200000,40,,,,
VTZ,43000000,60,,,,
WCS,2500000,20,,,,
WSS,50300000,45,,,,
X20,17250000,30,,,,
