Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"326,434,496",55%,100%
2,AAM,CTCP Thủy sản Mekong,"10,451,182",35%,100%
3,AAT,CTCP Tập đoàn Tiên Sơn Thanh Hóa,"63,801,489",50%,100%
4,ABS,CTCP Dịch vụ Nông Nghiệp Bình Thuận,"80,000,000",50%,100%
5,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"11,777,257",11%,100%
6,ACB,Ngân hàng TMCP Á Châu,"3,377,435,094",85%,100%
7,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,"104,999,993",30%,100%
8,ACL,CTCP Xuất Nhập Khẩu Thủy sản Cửu Long An Giang,"50,159,019",20%,100%
9,ADG,CTCP Clever Group,"19,889,098",30%,100%
10,ADS,CTCP DAMSAN,"38,069,450",60%,100%
11,AGG,CTCP Đầu tư và Phát triển bất động sản An Gia,"111,713,195",55%,100%
12,AGM,CTCP Xuất Nhập Khẩu An Giang,"18,200,000",50%,100%
13,AGR,CTCP Chứng khoán Agribank,"211,999,953",30%,100%
14,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,"163,504,874",100%,100%
15,ANV,CTCP Nam Việt,"127,127,875",25%,100%
16,APC,CTCP Chiếu xạ An Phú,"19,905,025",35%,100%
17,APG,CTCP Chứng khoán APG,"146,306,612",70%,100%
18,APH,CTCP Tập đoàn An Phát Holdings,"243,884,268",60%,100%
19,ASG,CTCP Tập đoàn ASG,"75,653,891",65%,100%
20,ASM,CTCP Tập đoàn Sao Mai,"336,526,752",50%,100%
21,ASP,CTCP Tập đoàn Dầu khí An Pha,"37,339,542",45%,100%
22,BAF,CTCP Nông nghiệp BAF Việt Nam,"143,520,000",55%,100%
23,BCE,CTCP Xây dựng và Giao thông Bình Dương,"35,000,000",60%,100%
24,BCG,CTCP Bamboo Capital,"503,305,437",55%,100%
25,BFC,CTCP Phân bón Bình Điền,"57,167,993",35%,100%
26,BIC,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,"117,276,895",15%,100%
27,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"5,058,523,816",4%,100%
28,BKG,CTCP Đầu tư BKG Việt Nam,"62,000,000",35%,100%
29,BMC,CTCP Khoáng sản Bình Định,"12,392,630",55%,100%
30,BMI,Tổng CTCP Bảo Minh,"109,623,985",30%,100%
31,BMP,CTCP Nhựa Bình Minh,"81,860,938",45%,100%
32,BRC,CTCP Cao su Bến Thành,"12,374,997",13%,100%
33,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,"121,570,618",20%,100%
34,BTP,CTCP Nhiệt điện Bà Rịa,"60,485,600",20%,100%
35,BVH,Tập đoàn Bảo Việt,"742,322,764",10%,100%
36,BWE,CTCP Nước – Môi trường Bình Dương,"192,920,000",30%,100%
37,C32,CTCP CIC39,"15,030,145",90%,100%
38,C47,CTCP Xây dựng 47,"27,529,504",70%,100%
39,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,"17,541,105",40%,100%
40,CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,"53,199,871",65%,100%
41,CDC,CTCP Chương Dương,"21,988,716",55%,100%
42,CHP,CTCP Thủy điện miền Trung,"146,912,668",30%,100%
43,CII,CTCP Đầu tư Hạ tầng Kỹ thuật TP.HCM,"252,214,999",90%,100%
44,CKG,CTCP Tập đoàn tư vấn đầu tư xây dựng Kiên Giang,"86,599,781",85%,100%
45,CLC,CTCP Cát Lợi,"26,207,583",45%,100%
46,CLL,CTCP Cảng Cát Lái,"34,000,000",45%,100%
47,CMG,CTCP Tập đoàn Công nghệ CMC,"108,998,883",35%,100%
48,CMV,CTCP Thương nghiệp Cà Mau,"18,155,868",20%,100%
49,CMX,CTCP Camimex Group,"90,817,502",50%,100%
50,CNG,CTCP CNG Việt Nam,"26,999,673",45%,100%
51,COM,CTCP Vật tư - Xăng dầu,"14,120,628",14%,100%
52,CRC,CTCP Create Capital Việt Nam,"30,000,000",75%,100%
53,CRE,CTCP Bất động sản Thế kỷ,"201,599,449",35%,100%
54,CSM,CTCP Công nghiệp Cao su Miền Nam,"103,625,262",45%,100%
55,CSV,CTCP Hóa chất cơ bản miền Nam,"44,200,000",35%,100%
56,CTD,CTCP Xây dựng COTECCONS,"73,859,473",55%,100%
57,CTF,CTCP CITY AUTO,"76,017,664",60%,100%
58,CTG,Ngân hàng TMCP Công Thương Việt Nam,"4,805,750,609",15%,100%
59,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,"54,799,997",90%,100%
60,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"114,909,849",25%,100%
61,D2D,CTCP Phát triển Đô thị Công nghiệp số 2,"30,259,742",45%,100%
62,DAG,CTCP Tập đoàn Nhựa Đông Á,"59,562,128",65%,100%
63,DAH,CTCP Tập đoàn Khách sạn Đông Á,"84,200,000",45%,100%
64,DBC,CTCP Tập đoàn DABACO Việt Nam,"242,002,803",65%,100%
65,DBD,CTCP Dược – Trang thiết bị Y tế Bình Định,"74,844,066",80%,100%
66,DBT,CTCP Dược Phẩm Bến Tre,"14,205,116",75%,100%
67,DC4,CTCP Xây dựng DIC Holdings,"52,499,723",25%,100%
68,DCL,CTCP Dược phẩm Cửu Long,"73,041,030",20%,100%
69,DCM,CTCP Phân bón Dầu Khí Cà Mau,"529,400,000",25%,100%
70,DGC,CTCP Tập đoàn hóa chất Đức Giang,"371,241,200",60%,100%
71,DGW,CTCP Thế Giới Số,"163,075,600",55%,100%
72,DHA,CTCP Hóa An,"14,726,073",70%,100%
73,DHC,CTCP Đông Hải Bến Tre,"69,994,423",65%,100%
74,DHM,CTCP Thương mại & Khai thác Khoáng sản Dương Hiếu,"31,396,180",85%,100%
75,DIG,Tổng CTCP Đầu tư Phát triển Xây dựng,"499,890,962",60%,100%
76,DMC,CTCP Xuất nhập khẩu Y tế DOMESCO,"34,727,465",14%,100%
77,DPG,CTCP Đạt Phương,"62,999,554",55%,100%
78,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,"391,334,260",45%,100%
79,DPR,CTCP Cao su Đồng Phú,"43,000,000",45%,100%
80,DQC,CTCP Bóng đèn Điện Quang,"27,558,066",45%,100%
81,DRC,CTCP Cao su Đà Nẵng,"118,792,605",50%,100%
82,DRH,CTCP DRH Holdings,"123,707,866",95%,100%
83,DSN,CTCP Công viên nước Đầm Sen,"12,083,009",55%,100%
84,DTA,CTCP Đệ Tam,"18,059,832",60%,100%
85,DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ,"40,000,000",30%,100%
86,DXG,CTCP Tập đoàn Đất Xanh,"607,529,390",80%,100%
87,DXS,CTCP Dịch vụ bất động sản Đất Xanh,"411,930,113",40%,100%
88,DXV,CTCP Vicem Vật liệu Xây dựng Đà Nẵng,"9,900,000",35%,100%
89,EIB,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,"1,229,432,904",75%,100%
90,ELC,CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,"50,928,243",60%,100%
91,EVE,CTCP Everpia,"41,091,589",75%,100%
92,EVG,CTCP Đầu tư EVERLAND,"215,249,836",35%,100%
93,FCM,CTCP Khoáng sản FECON,"45,099,969",50%,100%
94,FCN,CTCP Fecon,"157,439,005",65%,100%
95,FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,"38,623,488",80%,100%
96,FIR,CTCP Địa ốc FIRST REAL,"44,615,015",65%,100%
97,FIT,CTCP Tập đoàn F.I.T,"339,933,034",70%,100%
98,FMC,CTCP Thực phẩm Sao Ta,"65,388,889",20%,100%
99,FPT,CTCP FPT,"1,097,026,572",85%,100%
100,FRT,CTCP Bán lẻ kỹ thuật số FPT,"118,472,535",55%,100%
101,FTS,CTCP Chứng khoán FPT,"147,566,909",55%,100%
102,GAB,CTCP Đầu tư Khai khoáng & Quản lý Tài sản FLC,"14,903,987",50%,100%
103,GAS,Tổng Công ty Khí Việt Nam - CTCP,"1,913,950,000",5%,100%
104,GDT,CTCP Chế biến Gỗ Đức Thành,"19,365,036",50%,100%
105,GEG,CTCP Điện Gia Lai,"321,936,902",30%,100%
106,GEX,CTCP Tập đoàn GELEX,"851,495,793",60%,100%
107,GIL,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,"60,000,000",55%,100%
108,GMD,CTCP Gemadept,"301,377,957",85%,100%
109,GSP,CTCP Vận tải Sản phẩm Khí Quốc tế,"55,799,445",35%,100%
110,GTA,CTCP Chế biến Gỗ Thuận An,"9,830,000",30%,100%
111,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,"4,000,000,000",4%,100%
112,HAH,CTCP Vận tải và Xếp dỡ Hải An,"68,295,817",75%,100%
113,HAP,CTCP Tập đoàn HAPACO,"110,942,302",80%,100%
114,HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,"95,684,090",65%,100%
115,HAS,CTCP HACISCO,"7,800,000",35%,100%
116,HAX,CTCP Dịch vụ Ô tô Hàng Xanh,"49,516,982",65%,100%
117,HBC,CTCP Tập đoàn xây dựng Hòa Bình,"245,654,354",70%,100%
118,HCD,CTCP Đầu tư sản xuất và Thương mại HCD,"31,589,802",80%,100%
119,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,"457,211,949",50%,100%
120,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"1,992,209,120",70%,100%
121,HDC,CTCP Phát triển nhà Bà Rịa – Vũng Tàu,"108,085,693",80%,100%
122,HDG,CTCP Tập đoàn Hà Đô,"244,606,578",45%,100%
123,HHP,CTCP Giấy Hoàng Hà Hải Phòng,"30,069,824",50%,100%
124,HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,"321,448,153",50%,100%
125,HID,CTCP HALCOM VIỆT NAM,"58,759,391",65%,100%
126,HII,CTCP An Tiến Industries,"73,663,016",50%,100%
127,HMC,CTCP Kim khí Thành phố Hồ Chí Minh - Vnsteel,"27,300,000",45%,100%
128,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,"1,108,553,895",60%,100%
129,HPG,CTCP Tập đoàn Hòa Phát,"5,814,799,517",55%,100%
130,HPX,CTCP Đầu tư Hải Phát,"304,168,581",55%,100%
131,HQC,CTCP Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân,"476,599,274",90%,100%
132,HSG,CTCP Tập đoàn Hoa Sen,"493,481,896",80%,100%
133,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,"32,167,144",55%,100%
134,HT1,CTCP Xi măng Vicem Hà Tiên,"381,589,911",20%,100%
135,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,"24,949,200",45%,100%
136,HTL,CTCP Kỹ thuật và Ô tô Trường Long,"12,000,000",13%,100%
137,HTN,CTCP Hưng Thịnh INCONS,"89,116,411",35%,100%
138,HTV,CTCP Logistics Vicem,"13,104,000",30%,100%
139,HUB,CTCP Xây lắp Thừa Thiên Huế,"19,057,316",55%,100%
140,HVH,CTCP Đầu tư và Công nghệ HVC,"36,949,995",55%,100%
141,HVX,CTCP Xi măng Vicem Hải Vân,"41,525,250",30%,100%
142,IBC,CTCP Đầu tư APAX HOLDINGS,"83,150,661",35%,100%
143,ICT,CTCP Viễn thông - Tin học bưu điện,"32,185,000",65%,100%
144,IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia I.D.I,"227,644,608",45%,100%
145,IJC,CTCP Phát triển Hạ tầng Kỹ thuật,"217,097,323",50%,100%
146,ILB,CTCP ICD Tân Cảng - Long Bình,"24,502,245",40%,100%
147,IMP,CTCP Dược phẩm Imexpharm,"66,671,570",11%,100%
148,ITA,CTCP Đầu tư và Công nghiệp Tân Tạo,"938,321,575",65%,100%
149,ITC,CTCP Đầu tư - Kinh doanh Nhà,"87,214,067",60%,100%
150,ITD,CTCP Công nghệ Tiên Phong,"21,271,466",80%,100%
151,KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc – CTCP,"767,614,889",60%,100%
152,KDC,CTCP Tập đoàn Kido,"251,624,010",55%,100%
153,KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,"707,230,775",65%,100%
154,KHG,CTCP Bất động sản Khải Hoàn Land,"443,156,205",30%,100%
155,KHP,CTCP Điện lực Khánh Hòa,"58,905,967",50%,100%
