STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,382274496,7343149,0.02,374931347,
2,AAM,0.49,6049741,120395,0.01,5929346,
3,AAT,0.50,31900744,108547,0.00,31792197,
4,ABR,1.00,20000000,9750200,0.49,10249800,
5,ABS,0.00,0,1789,0.00,-1789,
6,ABT,0.49,7049731,235325,0.02,6814406,
7,ACB,0.30,1013230528,1013230528,0.30,0,
8,ACC,0.49,51449996,8719574,0.08,42730422,
9,ACL,0.40,19832876,1259175,0.03,18573701,
10,ADG,0.65,12927913,8966234,0.45,3961679,
11,ADS,0.50,19034725,810292,0.02,18224433,
12,AGG,0.50,55856597,11015198,0.10,44841399,
13,AGM,0.00,0,34917,0.02,-34917,
14,AGR,0.49,103880000,924861,0.00,102955139,
15,AMD,0.49,80117388,1747995,0.01,78369393,
16,ANV,0.49,62494416,3169764,0.02,59324652,
17,APC,0.49,9859483,3068155,0.15,6791328,
18,APG,1.00,146306612,3133364,0.02,143173248,
19,APH,1.00,251199148,80168780,0.32,171030368,
20,ASG,0.30,22696167,650628,0.01,22045539,
21,ASM,0.49,164898108,6132407,0.02,158765701,
22,ASP,0.49,18296565,18293693,0.49,2872,
23,AST,0.49,22050000,19158007,0.43,2891993,
24,ATP,1.00,15000000,0,0.00,15000000,(*)
25,BAF,0.50,71760000,1088148,0.01,70671852,
26,BBC,0.50,9376343,148736,0.01,9227607,
27,BCE,0.49,17150000,484572,0.01,16665428,
28,BCG,0.50,251652718,12900937,0.03,238751781,
29,BCM,0.49,507150000,28042300,0.03,479107700,
30,BFC,0.49,28012316,2086226,0.04,25926090,
31,BHN,0.49,113582000,40425330,0.17,73156670,
32,BIC,0.49,57465678,54387877,0.46,3077801,
33,BID,0.30,1517557144,853613202,0.17,663943942,
34,BKG,0.49,30380000,442,0.00,30335800,
35,BMC,0.49,6072388,768583,0.06,5303805,
36,BMI,0.49,53715752,34729210,0.32,18986542,
37,BMP,1.00,81860938,69918288,0.85,11942650,
38,BRC,0.00,0,6212,0.01,-6212,
39,BSI,1.00,122070078,3194147,0.03,118875931,
40,BTP,0.49,29637944,5556810,0.09,24081134,
41,BTT,0.49,6615000,648343,0.05,5966657,
42,BVH,0.49,363738154,197514442,0.27,166223712,
43,BWE,0.49,94530800,34223570,0.18,60307230,
44,C32,0.49,7364771,647732,0.04,6717039,
45,C47,0.00,0,19044,0.00,-19044,
46,CACB2201,1.00,10000000,101,0.00,9989900,
47,CACB2203,1.00,5000000,0,0.00,5000000,
48,CACB2204,1.00,7000000,0,0.00,7000000,
49,CAV,0.49,28224000,124098,0.00,28099902,
50,CCI,0.00,0,42895,0.02,-42895,
51,CCL,0.50,23749942,437416,0.01,23312526,
52,CDC,0.49,10774470,94283,0.00,10680187,
53,CEE,0.49,20335000,365,0.00,20331350,
54,CFPT2201,1.00,7000000,81,0.00,6991900,
55,CFPT2203,1.00,7500000,0,0.00,7500000,
56,CFPT2204,1.00,5000000,0,0.00,5000000,
57,CFPT2205,1.00,4000000,0,0.00,4000000,(*)
58,CHDB2201,1.00,8000000,5190200,0.65,2809800,
59,CHDB2203,1.00,4000000,2370400,0.59,1629600,
60,CHDB2204,1.00,3000000,0,0.00,3000000,
61,CHDB2205,1.00,4000000,3296400,0.82,7036,
62,CHDB2206,1.00,6000000,4972400,0.83,1027600,
63,CHDB2207,1.00,3000000,400,0.00,2999600,
64,CHDB2208,1.00,4000000,3882000,0.97,118,
65,CHP,0.49,71987207,5667056,0.04,66320151,
66,CHPG2201,1.00,18000000,5209100,0.29,12790900,
67,CHPG2202,1.00,18000000,6818900,0.38,11181100,
68,CHPG2203,1.00,20000000,70,0.00,19930000,
69,CHPG2205,1.00,9000000,0,0.00,9000000,(*)
70,CHPG2206,1.00,5000000,3975,0.08,4602500,
71,CHPG2207,1.00,3000000,0,0.00,3000000,
72,CHPG2208,1.00,10000000,0,0.00,10000000,
73,CHPG2209,1.00,4000000,700,0.00,3999300,
74,CHPG2210,1.00,4000000,200,0.00,3999800,
75,CHPG2211,1.00,5000000,5,0.00,4995000,
76,CHPG2212,1.00,8000000,1985500,0.25,6014500,
77,CHPG2213,1.00,9000000,0,0.00,9000000,
78,CHPG2214,1.00,6000000,3282300,0.55,2717700,
79,CHPG2215,1.00,10000000,8870600,0.89,1129400,
80,CIG,0.49,15454574,10333,0.00,15444241,
81,CII,0.49,139166060,26818662,0.09,112347398,
82,CKDH2201,1.00,4000000,5857,0.15,3414300,
83,CKDH2204,1.00,3000000,1448100,0.48,1551900,
84,CKDH2205,1.00,3000000,0,0.00,3000000,
85,CKDH2206,1.00,3000000,1573800,0.52,1426200,
86,CKDH2207,1.00,7000000,0,0.00,7000000,
87,CKDH2208,1.00,3000000,0,0.00,3000000,
88,CKDH2209,1.00,4000000,3988900,1.00,111,
89,CKG,0.00,0,46174,0.00,-46174,
90,CLC,0.49,12841715,571076,0.02,12270639,
91,CLL,0.49,16660000,2324361,0.07,14335639,
92,CLW,0.49,6370000,63199,0.05,5738010,
93,CMBB2201,1.00,7000000,105,0.02,6895000,
94,CMBB2202,1.00,8500000,0,0.00,8500000,(*)
95,CMBB2203,1.00,3000000,0,0.00,3000000,
96,CMBB2204,1.00,10000000,0,0.00,10000000,
97,CMBB2205,1.00,8000000,0,0.00,8000000,
98,CMBB2206,1.00,1260000,0,0.00,1260000,
99,CMBB2207,1.00,1260000,10,0.01,1250000,
100,CMG,0.50,54499441,44369906,0.41,10129535,
101,CMSN2201,1.00,11000000,5051500,0.46,5948500,
102,CMSN2202,1.00,5000000,0,0.00,5000000,
103,CMSN2203,1.00,3000000,1131700,0.38,1868300,
104,CMSN2204,1.00,7000000,0,0.00,7000000,
105,CMSN2205,1.00,3000000,2892700,0.96,1073,
106,CMSN2206,1.00,3000000,2856400,0.95,1436,
107,CMSN2207,1.00,1500000,10,0.01,1490000,
108,CMSN2208,1.00,3000000,0,0.00,3000000,
109,CMSN2209,1.00,4000000,3998800,1.00,12,
110,CMSN2210,1.00,4000000,0,0.00,4000000,(*)
111,CMV,0.00,0,38488,0.00,-38488,
112,CMWG2201,1.00,5000000,235,0.00,4976500,
113,CMWG2202,1.00,4000000,0,0.00,4000000,
114,CMWG2203,1.00,3000000,1245,0.04,2875500,
115,CMWG2204,1.00,5000000,0,0.00,5000000,
116,CMWG2205,1.00,7000000,0,0.00,7000000,
117,CMWG2206,1.00,1800000,10,0.01,1790000,
118,CMWG2207,1.00,5000000,0,0.00,5000000,
119,CMX,0.50,45408751,5770908,0.06,39637843,
120,CNG,0.49,13230000,1047083,0.04,12182917,
121,CNVL2201,1.00,11000000,6653600,0.60,4346400,
122,CNVL2202,1.00,3000000,2360400,0.79,6396,
123,CNVL2203,1.00,3000000,1026,0.03,2897400,
124,CNVL2204,1.00,5000000,4532800,0.91,4672,
125,CNVL2205,1.00,5000000,4944700,0.99,553,
126,CNVL2206,1.00,5000000,4989400,1.00,106,
127,CNVL2207,1.00,1500000,0,0.00,1500000,
128,CNVL2208,1.00,5000000,4999900,1.00,100,
129,COM,0.49,6919107,4838,0.00,6870727,
130,CPDR2201,1.00,3000000,8467,0.28,2153300,
131,CPDR2202,1.00,3000000,6064,0.20,2393600,
132,CPDR2203,1.00,2000000,1821500,0.91,1785,
133,CPDR2204,1.00,5000000,4984700,1.00,153,
134,CPDR2205,1.00,4000000,3992900,1.00,71,
