Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
AAA,VN000000AAA4,BBG000BB42R4,Công ty Cổ phần Nhựa An Phát Xanh,"382.274.496,00","382.274.496,00",6/10/16,
AAM,VN000000AAM9,BBG000PDD0V4,Công ty Cổ phần Thủy sản Mekong,"12.346.411,00","10.451.182,00",13/07/2009,
AAT,VN000000AAT4,BBG00YQ95PD2,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,"70.819.103,00","70.819.103,00",29/12/2020,
ABR,VN000000ABR6,BBG00L3G3992,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,"20.000.000,00","20.000.000,00",24/12/2021,
ABS,VN000000ABS4,BBG00R8768Y5,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,"80.000.000,00","80.000.000,00",27/12/2019,
ABT,VN000000ABT2,BBG000QMW140,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,"14.387.207,00","11.777.257,00",6/12/06,
ACB,VN000000ACB8,BBG000GYWBW2,Ngân hàng Thương mại Cổ phần Á Châu,"3.884.050.358,00","3.884.050.358,00",20/11/2020,
ACC,VN000000ACC6,BBG000Q0SR00,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,"104.999.993,00","104.999.993,00",17/06/2011,
ACG,VN000000ACG7,BBG011Z1FN17,Công ty Cổ phần Gỗ An Cường,"150.787.946,00","150.778.346,00",25/08/2022,
ACL,VN000000ACL7,BBG000SW6J73,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang,"50.159.019,00","50.159.019,00",23/08/2007,
ADG,VN000000ADG5,BBG00R287D22,Công ty Cổ phần Clever Group,"21.380.521,00","21.380.521,00",28/12/2020,
ADP,VN000000ADP6,BBG000Q8Y3B7,Công ty Cổ phần Sơn Á Đông,"23.039.850,00","23.039.850,00",29/06/2023,
ADS,VN000000ADS0,BBG00D60X6Z6,Công ty Cổ phần Damsan,"50.779.034,00","58.394.727,00",22/06/2016,
AGG,VN000000AGG8,BBG00R4CKMT7,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,"125.118.368,00","125.118.368,00",17/12/2019,
AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,"18.200.000,00","18.200.000,00",14/09/2012,
AGR,VN000000AGR5,BBG000PZH6N7,Công ty Cổ phần Chứng khoán Agribank,"215.391.309,00","215.391.262,00",2/12/09,
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,"0,00","163.504.874,00",8/6/15,
ANV,VN000000ANV3,BBG000P3VMH4,Công ty Cổ phần Nam Việt,"133.539.625,00","133.127.875,00",28/11/2007,
APC,VN000000APC8,BBG000Q921W1,Công ty Cổ phần Chiếu xạ An Phú,"20.121.395,00","19.905.025,00",22/01/2010,
APG,VN000000APG9,BBG000D4JBN6,Công ty Cổ phần Chứng khoán APG,"146.306.612,00","146.306.612,00",23/09/2016,
APH,VN000000APH7,BBG00W4LTXR5,Công ty Cổ phần Tập đoàn An Phát Holdings,"243.884.268,00","243.884.268,00",14/07/2020,
ASG,VN000000ASG3,BBG00W7CVXM4,Công ty Cổ phần Tập đoàn ASG,"75.653.891,00","75.653.891,00",17/07/2020,
ASM,VN000000ASM1,BBG0014KNPM3,Công ty Cổ phần Tập đoàn Sao Mai,"336.526.752,00","336.526.752,00",24/12/2009,
ASP,VN000000ASP4,BBG000VBSQK0,Công ty Cổ phần Tập đoàn Dầu khí An Pha,"37.339.929,00","37.339.542,00",1/2/08,
AST,VN000000AST6,BBG00JM8H178,Công ty Cổ phần Dịch vụ Hàng không Taseco,"45.000.000,00","45.000.000,00",26/12/2017,
BAF,VN000000BAF1,BBG013T7PJ15,Công ty Cổ phần Nông nghiệp BAF Việt Nam,"143.520.000,00","143.520.000,00",24/11/2021,
BBC,VN000000BBC6,BBG000M98XM0,Công ty Cổ phần BIBICA,"18.752.687,00","18.752.687,00",17/12/2001,
BCE,VN000000BCE0,BBG000R2F295,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,"35.000.000,00","35.000.000,00",15/06/2010,
BCG,VN000000BCG5,BBG009L07188,Công ty Cổ phần Tập đoàn Bamboo Capital,"533.467.622,00","533.467.622,00",8/7/15,
BCM,VN000000BCM3,BBG00K26M6H3,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,"1.035.000.000,00","1.035.000.000,00",31/07/2020,
BFC,VN000000BFC7,BBG0017Z0D76,Công ty Cổ phần Phân bón Bình Điền,"57.167.993,00","57.167.993,00",27/08/2015,
BHN,VN000000BHN0,BBG00F335DJ2,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Hà Nội,"231.800.000,00","231.800.000,00",30/12/2016,
