,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ACB,HNX,02/01/2019,,9363,9363,9141,9236,1103106,32234863800
1,ACB,HNX,03/01/2019,,8319,9204,8319,8888,1956382,55582659800
2,ACB,HNX,04/01/2019,,8856,9015,8730,8951,2771983,77470415000
3,ACB,HNX,07/01/2019,,9141,9141,9015,9078,1305819,37547923500
4,ACB,HNX,08/01/2019,,9932,9932,9015,9015,846226,24179376800
5,ACB,HNX,09/01/2019,,9046,9204,9015,9173,2196358,63357636400
6,ACB,HNX,10/01/2019,,9173,9204,9141,9141,1378687,39946031300
7,ACB,HNX,11/01/2019,,9173,9204,9109,9141,1250077,36220733900
8,ACB,HNX,14/01/2019,,9109,9141,9078,9078,937155,26949938100
9,ACB,HNX,15/01/2019,,8920,9204,8382,9204,901146,26115003200
10,ACB,HNX,16/01/2019,,9204,9268,9109,9109,509354,14769021000
11,ACB,HNX,17/01/2019,,9141,9204,9109,9141,737519,21357185300
12,ACB,HNX,18/01/2019,,9173,9173,8983,9046,1412966,40532659900
13,ACB,HNX,21/01/2019,,9078,9489,9078,9331,2079830,61002111400
14,ACB,HNX,22/01/2019,,9394,9426,9204,9204,1845725,54274750000
15,ACB,HNX,23/01/2019,,9173,9236,9141,9204,1160094,33703467900
16,ACB,HNX,24/01/2019,,9236,9331,9173,9236,1743450,50990489900
17,ACB,HNX,25/01/2019,,9426,9426,9204,9236,836534,24525598500
18,ACB,HNX,28/01/2019,,9236,9268,8856,9141,997088,28903356400
19,ACB,HNX,29/01/2019,,9109,9173,9046,9173,1091518,31397309400
20,ACB,HNX,30/01/2019,,9805,9805,9173,9268,1565464,45868382500
21,ACB,HNX,31/01/2019,,9363,9426,9268,9299,1674668,49497782700
22,ACB,HNX,01/02/2019,,9299,9363,9268,9331,781100,22994021600
23,ACB,HNX,11/02/2019,,9426,9774,9363,9552,1713857,51291842200
24,ACB,HNX,12/02/2019,,9552,9679,9552,9647,2059630,62672337700
25,ACB,HNX,13/02/2019,,9679,9710,9584,9647,2093177,63804988800
26,ACB,HNX,14/02/2019,,9647,9647,9521,9521,1357835,41108662900
27,ACB,HNX,15/02/2019,,9521,9616,9489,9552,2176902,65578674100
28,ACB,HNX,18/02/2019,,9552,9647,9552,9616,1908779,58023932100
29,ACB,HNX,19/02/2019,,9647,9647,9552,9584,2754758,83789699600
30,ACB,HNX,20/02/2019,,9584,9647,9552,9616,1693486,51372088800
31,ACB,HNX,21/02/2019,,9616,9710,9521,9521,2970459,90172441700
32,ACB,HNX,22/02/2019,,9552,9742,9489,9647,3974330,121035976800
33,ACB,HNX,25/02/2019,,9710,9932,9647,9805,3874034,120311442500
34,ACB,HNX,26/02/2019,,9742,9869,9679,9742,2277127,70151410400
35,ACB,HNX,27/02/2019,,9742,9774,9647,9679,1544839,47397853800
36,ACB,HNX,28/02/2019,,9742,9742,9394,9394,3793504,114362318400
37,ACB,HNX,01/03/2019,,9426,9521,9331,9489,1478830,44191910800
38,ACB,HNX,04/03/2019,,9489,9647,9457,9616,3120806,94029805900
39,ACB,HNX,05/03/2019,,9616,9710,9521,9584,2465893,74951587400
40,ACB,HNX,06/03/2019,,9552,9616,9489,9584,1178516,35553852700
41,ACB,HNX,07/03/2019,,9616,9710,9584,9647,3301746,100864769500
42,ACB,HNX,08/03/2019,,9616,9679,9552,9584,1416810,42971976800
43,ACB,HNX,11/03/2019,,9584,9679,9552,9616,1032198,31274668400
44,ACB,HNX,12/03/2019,,9647,9774,9584,9774,2504257,76500916100
45,ACB,HNX,13/03/2019,,9837,10027,9774,9932,5473410,171637252200
46,ACB,HNX,14/03/2019,,9932,10122,9900,9963,2333220,73719434700
47,ACB,HNX,15/03/2019,,9995,10058,9900,10027,2649931,83715655400
48,ACB,HNX,18/03/2019,,10058,10185,10027,10090,3739699,119532830000
49,ACB,HNX,19/03/2019,,10122,10122,9869,9900,2828856,89212860300
50,ACB,HNX,20/03/2019,,9932,9932,9710,9805,3143264,97579125700
51,ACB,HNX,21/03/2019,,9805,9932,9616,9616,2939770,90603065600
52,ACB,HNX,22/03/2019,,9616,9710,9616,9647,1819172,55555323900
53,ACB,HNX,25/03/2019,,9616,9616,9457,9521,2275202,68254378200
54,ACB,HNX,26/03/2019,,9552,9616,9521,9584,1540206,46643792000
55,ACB,HNX,27/03/2019,,9616,9679,9552,9616,856984,26044492700
56,ACB,HNX,28/03/2019,,9616,9647,9552,9584,1366727,41462693700
57,ACB,HNX,29/03/2019,,9584,9647,9552,9584,1915257,58121308700
