,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ACC,HOSE,02/01/2019,,12203,12203,11475,11979,6100,125430000
1,ACC,HOSE,03/01/2019,,11867,12595,11475,12315,10490,215180000
2,ACC,HOSE,04/01/2019,,11475,11475,11475,11475,4470,91640000
3,ACC,HOSE,07/01/2019,,10803,11755,10803,11755,180,3680000
4,ACC,HOSE,08/01/2019,,11755,11755,11755,11755,10,210000
5,ACC,HOSE,09/01/2019,,11755,11755,11755,11755,110,2310000
6,ACC,HOSE,10/01/2019,,11755,12035,11755,11755,40,850000
7,ACC,HOSE,11/01/2019,,11755,12427,10971,11475,190,3810000
8,ACC,HOSE,14/01/2019,,10747,12203,10747,12203,20,0
9,ACC,HOSE,15/01/2019,,12203,12203,12203,12203,10,220000
10,ACC,HOSE,16/01/2019,,11755,12203,11419,12147,780,17000000
11,ACC,HOSE,17/01/2019,,12147,12147,12035,12035,1020,22000000
12,ACC,HOSE,18/01/2019,,11363,12315,11363,12147,980,21150000
13,ACC,HOSE,21/01/2019,,12035,12315,11979,12035,4030,86650000
14,ACC,HOSE,22/01/2019,,12035,12203,12035,12035,3420,73540000
15,ACC,HOSE,23/01/2019,,11979,11979,11979,11979,400,8560000
16,ACC,HOSE,24/01/2019,,11979,11979,11979,11979,0,0
17,ACC,HOSE,25/01/2019,,12315,12707,11419,11475,890,18230000
18,ACC,HOSE,28/01/2019,,12035,12035,11475,11475,1300,26660000
19,ACC,HOSE,29/01/2019,,11475,12203,11475,12203,2510,51680000
20,ACC,HOSE,30/01/2019,,12203,12203,11419,11531,4220,86610000
21,ACC,HOSE,31/01/2019,,12091,12091,11475,12035,3020,61930000
22,ACC,HOSE,01/02/2019,,11307,12007,11307,12007,20,420000
23,ACC,HOSE,11/02/2019,,12007,12595,12007,12595,20,440000
24,ACC,HOSE,12/02/2019,,12595,12595,11727,12203,2380,50620000
25,ACC,HOSE,13/02/2019,,12035,12539,11755,12203,2720,57330000
26,ACC,HOSE,14/02/2019,,11755,12483,11755,12315,2210,46620000
27,ACC,HOSE,15/02/2019,,12315,12315,11755,11755,590,12480000
28,ACC,HOSE,18/02/2019,,12315,12315,11727,12035,1740,36550000
29,ACC,HOSE,19/02/2019,,12147,12147,12147,12147,20,430000
30,ACC,HOSE,20/02/2019,,12259,12931,12147,12315,2990,65910000
31,ACC,HOSE,21/02/2019,,12427,12427,12035,12259,3140,67540000
32,ACC,HOSE,22/02/2019,,12035,12595,11475,11979,2290,47950000
33,ACC,HOSE,25/02/2019,,12595,12595,11727,11727,1930,40470000
34,ACC,HOSE,26/02/2019,,12007,12007,11727,11923,930,19500000
35,ACC,HOSE,27/02/2019,,12007,12007,11755,11979,1030,21640000
36,ACC,HOSE,28/02/2019,,12259,12259,11755,12147,1090,22950000
37,ACC,HOSE,01/03/2019,,12175,12175,12175,12175,40,870000
38,ACC,HOSE,04/03/2019,,12175,12315,12175,12231,60,1310000
39,ACC,HOSE,05/03/2019,,12259,12259,12203,12231,2000,43610000
40,ACC,HOSE,06/03/2019,,12259,12259,12203,12203,50,1090000
41,ACC,HOSE,07/03/2019,,12175,12175,12175,12175,70,1520000
42,ACC,HOSE,08/03/2019,,12175,12175,12175,12175,0,0
43,ACC,HOSE,11/03/2019,,12175,12175,12147,12147,1010,21920000
