,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ACG,UPCOM,04/08/2021,,68727,68727,56182,68672,197900,24370100000
1,ACG,UPCOM,05/08/2021,,68672,68672,61691,64363,227100,26570560000
2,ACG,UPCOM,06/08/2021,,64363,64363,62454,63818,155200,18172560000
3,ACG,UPCOM,09/08/2021,,62727,63272,58909,60763,135600,15092450000
4,ACG,UPCOM,10/08/2021,,60654,60763,58963,60163,133900,14804430000
5,ACG,UPCOM,11/08/2021,,59454,62672,59454,61800,180500,20303470000
6,ACG,UPCOM,12/08/2021,,61636,62182,60000,60000,115900,13072280000
7,ACG,UPCOM,13/08/2021,,60545,63763,58363,59291,166700,18402740000
8,ACG,UPCOM,16/08/2021,,61582,61582,58091,59891,45200,5004280000
9,ACG,UPCOM,17/08/2021,,59891,60272,58091,59782,98500,10734360000
10,ACG,UPCOM,18/08/2021,,58909,60218,58091,58363,32000,3446120000
11,ACG,UPCOM,19/08/2021,,58909,59345,57109,58091,24700,2634840000
12,ACG,UPCOM,20/08/2021,,58091,58309,55091,57163,20600,2150000000
13,ACG,UPCOM,23/08/2021,,54000,59400,54000,56945,28300,2957160000
14,ACG,UPCOM,24/08/2021,,58800,58800,54545,56672,17200,1798890000
15,ACG,UPCOM,25/08/2021,,57054,57218,54545,56182,49600,5135950000
16,ACG,UPCOM,26/08/2021,,56454,56454,54491,55800,20500,2103910000
17,ACG,UPCOM,27/08/2021,,54272,55636,54000,55636,18900,1909120000
18,ACG,UPCOM,30/08/2021,,55091,57272,55091,56727,47500,4932430000
19,ACG,UPCOM,31/08/2021,,57272,57818,56727,57818,54600,5715640000
20,ACG,UPCOM,01/09/2021,,57272,57491,57163,57491,77200,8107720000
21,ACG,UPCOM,06/09/2021,,57436,57545,56727,57436,43800,4615320000
22,ACG,UPCOM,07/09/2021,,57818,57818,57000,57709,34900,3687470000
23,ACG,UPCOM,08/09/2021,,57545,58254,57436,58091,37500,3991160000
24,ACG,UPCOM,09/09/2021,,58091,59672,57818,59618,101300,11008110000
25,ACG,UPCOM,10/09/2021,,60545,62672,59618,62182,145500,16585520000
26,ACG,UPCOM,13/09/2021,,62182,63272,61636,62563,96300,11074380000
27,ACG,UPCOM,14/09/2021,,62727,63545,62182,63218,83200,9638740000
28,ACG,UPCOM,15/09/2021,,63000,63763,61091,63600,127100,14710570000
29,ACG,UPCOM,16/09/2021,,63109,64254,62727,63436,94900,11118260000
30,ACG,UPCOM,17/09/2021,,63818,70909,63272,65182,113700,13552290000
31,ACG,UPCOM,20/09/2021,,65018,65727,63818,63818,73800,8835320000
32,ACG,UPCOM,21/09/2021,,64909,65727,64363,65291,55100,6576860000
33,ACG,UPCOM,22/09/2021,,55636,68400,55636,64418,45900,5472370000
34,ACG,UPCOM,23/09/2021,,63272,65454,63272,65018,79300,9495670000
35,ACG,UPCOM,24/09/2021,,60000,65727,55636,64854,51200,6122200000
36,ACG,UPCOM,27/09/2021,,64909,65400,64363,64472,67700,8040250000
37,ACG,UPCOM,28/09/2021,,63272,65400,63272,64309,56600,6692160000
38,ACG,UPCOM,29/09/2021,,63545,64309,63545,63982,66300,7772190000
39,ACG,UPCOM,30/09/2021,,63272,65127,62727,64309,64700,7651360000
40,ACG,UPCOM,01/10/2021,,64363,64963,63272,64200,55600,6578060000
41,ACG,UPCOM,04/10/2021,,64527,64854,63818,64418,66500,7867740000
