,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ACL,HOSE,02/01/2019,,12137,12137,11823,11862,21380,650700000
1,ACL,HOSE,03/01/2019,,12216,12216,11096,11234,39320,1148350000
2,ACL,HOSE,04/01/2019,,10998,11764,10605,11666,21850,616970000
3,ACL,HOSE,07/01/2019,,12177,12452,11784,12452,54250,1674860000
4,ACL,HOSE,08/01/2019,,12766,12962,12452,12962,37730,1218970000
5,ACL,HOSE,09/01/2019,,12962,13728,12962,13355,39970,1373370000
6,ACL,HOSE,10/01/2019,,13414,13414,12628,12727,19510,637920000
7,ACL,HOSE,11/01/2019,,12648,13316,12648,12668,35690,1169050000
8,ACL,HOSE,14/01/2019,,13316,13316,12255,12412,12290,392000000
9,ACL,HOSE,15/01/2019,,12412,12805,12412,12766,42650,1360190000
10,ACL,HOSE,16/01/2019,,12766,12864,12334,12353,63920,2045000000
11,ACL,HOSE,17/01/2019,,12530,12569,12393,12530,22970,732000000
12,ACL,HOSE,18/01/2019,,12530,13002,12511,13002,106340,3443300000
13,ACL,HOSE,21/01/2019,,12844,13139,12766,13060,44750,1475720000
14,ACL,HOSE,22/01/2019,,13060,13964,12962,13964,60180,2073610000
15,ACL,HOSE,23/01/2019,,14926,14926,14926,14926,17090,649420000
16,ACL,HOSE,24/01/2019,,15967,15967,15967,15967,6990,284140000
17,ACL,HOSE,25/01/2019,,17067,17067,16105,16183,224500,9655300000
18,ACL,HOSE,28/01/2019,,16262,16419,15123,15162,57140,2247630000
19,ACL,HOSE,29/01/2019,,15496,16222,15162,16222,51840,2092190000
20,ACL,HOSE,30/01/2019,,17244,17244,16183,16438,87200,3690340000
21,ACL,HOSE,31/01/2019,,16655,16655,16105,16164,52750,2192430000
22,ACL,HOSE,01/02/2019,,16164,16655,16164,16301,66100,2752850000
23,ACL,HOSE,11/02/2019,,16301,16576,16105,16497,45940,1915010000
24,ACL,HOSE,12/02/2019,,16497,16497,15947,15987,64820,2662440000
25,ACL,HOSE,13/02/2019,,15987,17008,15712,17008,112670,4637350000
26,ACL,HOSE,14/02/2019,,16772,16772,16301,16301,48260,2040340000
27,ACL,HOSE,15/02/2019,,16301,16458,16065,16262,32440,1338310000
28,ACL,HOSE,18/02/2019,,16399,16419,15908,16026,49520,2036130000
29,ACL,HOSE,19/02/2019,,16419,16419,15830,16144,26300,1071770000
30,ACL,HOSE,20/02/2019,,16144,16144,15830,15908,20550,832040000
31,ACL,HOSE,21/02/2019,,16065,16065,15123,15240,123850,4866870000
32,ACL,HOSE,22/02/2019,,14730,15240,14730,15221,20780,795680000
33,ACL,HOSE,25/02/2019,,15457,15889,15083,15790,11740,460240000
34,ACL,HOSE,26/02/2019,,15790,15967,15123,15123,41640,1663320000
35,ACL,HOSE,27/02/2019,,15123,15869,15123,15594,21920,857580000
36,ACL,HOSE,28/02/2019,,15594,15712,15162,15437,21520,840470000
37,ACL,HOSE,01/03/2019,,15437,16065,15240,15496,21580,854520000
38,ACL,HOSE,04/03/2019,,15496,15869,15319,15515,68170,2706400000
39,ACL,HOSE,05/03/2019,,15515,15673,15398,15398,75430,2980430000
40,ACL,HOSE,06/03/2019,,15398,15515,15339,15339,11660,457000000
41,ACL,HOSE,07/03/2019,,15398,15594,15240,15398,30520,1194000000
42,ACL,HOSE,08/03/2019,,15398,15398,14966,14966,23000,885300000
43,ACL,HOSE,11/03/2019,,14966,15280,14416,14416,44090,1644410000
44,ACL,HOSE,12/03/2019,,14416,15280,14416,14612,25960,970280000
45,ACL,HOSE,13/03/2019,,14887,14887,14651,14671,8090,303270000
46,ACL,HOSE,14/03/2019,,14848,14848,14376,14533,13830,518650000
47,ACL,HOSE,15/03/2019,,14651,14651,14141,14573,37570,1367870000
48,ACL,HOSE,18/03/2019,,14730,15496,14730,15437,113660,4407610000
49,ACL,HOSE,19/03/2019,,15555,15555,15044,15319,34760,1355360000
50,ACL,HOSE,20/03/2019,,15319,15319,14769,15221,19280,742570000
51,ACL,HOSE,21/03/2019,,15299,15299,14749,14749,17870,678940000
52,ACL,HOSE,22/03/2019,,15083,15083,14769,14848,7690,290400000
53,ACL,HOSE,25/03/2019,,14376,14808,14337,14612,20530,756520000
54,ACL,HOSE,26/03/2019,,14651,14828,14298,14514,4290,158000000
55,ACL,HOSE,27/03/2019,,14514,14514,14141,14455,21040,765000000
56,ACL,HOSE,28/03/2019,,14455,14455,14180,14337,5880,214000000
57,ACL,HOSE,29/03/2019,,14514,14514,14258,14258,11750,429000000
58,ACL,HOSE,01/04/2019,,14258,14416,13944,13944,16630,597130000
59,ACL,HOSE,02/04/2019,,13944,14533,13944,14258,16580,600670000
60,ACL,HOSE,03/04/2019,,14337,14337,13944,14258,6980,250560000
61,ACL,HOSE,04/04/2019,,14258,15201,14258,15201,54130,2036470000
62,ACL,HOSE,05/04/2019,,15240,15398,14730,15005,15190,577830000
63,ACL,HOSE,08/04/2019,,14926,15319,14671,14887,16060,604540000
64,ACL,HOSE,09/04/2019,,14769,15123,14533,14533,32590,1217460000
65,ACL,HOSE,10/04/2019,,15535,15535,15476,15535,109560,4332410000
66,ACL,HOSE,11/04/2019,,16576,16615,16301,16419,273190,11519860000
67,ACL,HOSE,12/04/2019,,16105,17519,15947,17479,149260,6453670000
68,ACL,HOSE,16/04/2019,,17283,18579,17008,18069,146350,6710220000
69,ACL,HOSE,17/04/2019,,18069,18226,16812,16812,148020,6495610000
70,ACL,HOSE,18/04/2019,,16537,17244,16301,16537,53280,2268160000
71,ACL,HOSE,19/04/2019,,15712,16890,15712,16537,77560,3242280000
72,ACL,HOSE,22/04/2019,,16537,16772,16105,16124,52170,2164210000
73,ACL,HOSE,23/04/2019,,16105,16105,15731,16105,29200,1180430000
74,ACL,HOSE,24/04/2019,,16105,16655,16105,16497,37900,1582860000
75,ACL,HOSE,25/04/2019,,16831,16831,16242,16340,27650,1153.67
76,ACL,HOSE,26/04/2019,,16144,16890,16144,16497,61710,2612200000
77,ACL,HOSE,02/05/2019,,16871,16871,15928,16105,57260,2364790000
78,ACL,HOSE,03/05/2019,,15908,16105,15712,15712,41520,1673470000
79,ACL,HOSE,06/05/2019,,15712,16301,15319,16301,69940,2770580000
80,ACL,HOSE,07/05/2019,,15849,16497,15712,16046,87900,3555450000
81,ACL,HOSE,08/05/2019,,15712,16026,15417,15692,41080,1628230000
82,ACL,HOSE,09/05/2019,,15692,15810,15319,15692,84720,3353800000
83,ACL,HOSE,10/05/2019,,15633,16262,15633,16006,81140,3266740000
84,ACL,HOSE,13/05/2019,,16006,16301,15908,16183,31860,1305230000
85,ACL,HOSE,14/05/2019,,15947,16085,15712,15731,42290,1697390000
86,ACL,HOSE,15/05/2019,,16085,16085,15594,15594,45190,1806380000
87,ACL,HOSE,16/05/2019,,15712,15830,15594,15594,28570,1142350000
88,ACL,HOSE,17/05/2019,,15830,15830,15319,15476,42070,1651000000
89,ACL,HOSE,20/05/2019,,15476,15555,15260,15319,50250,1963900000
90,ACL,HOSE,21/05/2019,,15280,15515,15201,15319,22610,882220000
91,ACL,HOSE,22/05/2019,,15319,15476,15280,15319,15210,593760000
92,ACL,HOSE,23/05/2019,,15280,16085,15240,16085,65600,2645000000
93,ACL,HOSE,24/05/2019,,16085,16105,15712,15712,59210,2397600000
94,ACL,HOSE,27/05/2019,,15908,16183,15712,15908,176510,7135030000
95,ACL,HOSE,28/05/2019,,16105,16105,15810,15928,101630,4131220000
96,ACL,HOSE,29/05/2019,,16006,16085,15790,15869,140340,5679080000
97,ACL,HOSE,30/05/2019,,15751,15790,15614,15633,48980,1955080000
98,ACL,HOSE,31/05/2019,,15633,15633,15005,15123,51060,1995090000
99,ACL,HOSE,03/06/2019,,15123,15123,14357,14357,84190,3162570000
100,ACL,HOSE,04/06/2019,,14887,14887,14180,14730,44630,1671110000
101,ACL,HOSE,05/06/2019,,15044,15044,14573,14612,19950,746640000
102,ACL,HOSE,06/06/2019,,14612,14730,14592,14612,9860,366760000
103,ACL,HOSE,07/06/2019,,14533,14985,14533,14966,20440,775130000
104,ACL,HOSE,10/06/2019,,14769,15024,14671,14671,45490,1722650000
105,ACL,HOSE,11/06/2019,,14926,14926,14533,14848,17970,671150000
106,ACL,HOSE,12/06/2019,,14848,14848,14533,14730,16720,623330000
107,ACL,HOSE,13/06/2019,,14730,14730,14533,14533,4640,172350000
108,ACL,HOSE,14/06/2019,,14612,14651,14533,14533,10290,382000000
109,ACL,HOSE,17/06/2019,,14533,14533,14258,14278,15740,575770000
110,ACL,HOSE,18/06/2019,,14278,14278,13905,13984,23090,825680000
111,ACL,HOSE,19/06/2019,,14533,14533,14003,14023,18000,644040000
112,ACL,HOSE,20/06/2019,,14533,14533,14003,14023,18000,644040000
113,ACL,HOSE,21/06/2019,,14376,14691,14141,14494,37060,1353210000
114,ACL,HOSE,24/06/2019,,14416,14494,14337,14337,16310,600630000
115,ACL,HOSE,25/06/2019,,14337,14691,14180,14298,6840,248270000
116,ACL,HOSE,26/06/2019,,14376,15280,14376,15123,58390,2203130000
117,ACL,HOSE,27/06/2019,,15614,15614,14730,14907,20800,797400000
118,ACL,HOSE,28/06/2019,,14730,15103,14651,14985,9710,367590000
119,ACL,HOSE,01/07/2019,,14985,15319,14533,14533,55050,2056870000
120,ACL,HOSE,02/07/2019,,14533,14533,14337,14376,20920,767850000
121,ACL,HOSE,03/07/2019,,14416,14416,14141,14298,37830,1371820000
122,ACL,HOSE,04/07/2019,,14298,14298,14200,14298,11120,404110000
123,ACL,HOSE,05/07/2019,,14416,14612,14258,14376,25940,948330000
124,ACL,HOSE,08/07/2019,,14573,14573,14376,14514,13690,506110000
125,ACL,HOSE,09/07/2019,,14533,14691,14298,14691,12840,475220000
126,ACL,HOSE,10/07/2019,,14337,14612,14298,14337,46370,1695000000
