,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ADG,UPCOM,26/12/2019,,29836,29836,29836,29836,10000,770000000
1,ADG,UPCOM,27/12/2019,,34292,34292,34292,34292,21600,1911600000
2,ADG,UPCOM,30/12/2019,,34796,36075,34796,36075,19400,1755550000
3,ADG,UPCOM,31/12/2019,,34680,35455,34292,35222,18900,1710860000
4,ADG,UPCOM,02/01/2020,,34912,34912,33866,34874,21500,1902080000
5,ADG,UPCOM,03/01/2020,,34874,36811,34796,34796,3500,315220000
6,ADG,UPCOM,06/01/2020,,34292,36152,34292,36114,6700,622420000
7,ADG,UPCOM,07/01/2020,,34874,34874,34719,34796,8300,745890000
8,ADG,UPCOM,08/01/2020,,34874,34951,34331,34951,9600,858420000
9,ADG,UPCOM,09/01/2020,,34525,35029,34525,35029,11700,1051010000
10,ADG,UPCOM,10/01/2020,,35029,35029,34757,34874,5300,477240000
11,ADG,UPCOM,13/01/2020,,34874,34874,34564,34564,8700,779530000
12,ADG,UPCOM,14/01/2020,,34564,34951,34564,34951,11700,1049300000
13,ADG,UPCOM,15/01/2020,,35029,35261,34874,35184,13100,1185300000
14,ADG,UPCOM,16/01/2020,,35261,35261,34874,34874,10600,958600000
15,ADG,UPCOM,17/01/2020,,34835,34912,34680,34680,8500,763380000
16,ADG,UPCOM,20/01/2020,,34680,35145,34680,35145,14200,1280750000
17,ADG,UPCOM,21/01/2020,,34835,34951,34835,34951,7800,702840000
18,ADG,UPCOM,22/01/2020,,34796,35339,34796,35339,10200,923260000
19,ADG,UPCOM,30/01/2020,,34874,35184,34874,35145,12800,1157570000
20,ADG,UPCOM,31/01/2020,,35145,35184,35067,35067,10700,970550000
21,ADG,UPCOM,03/02/2020,,35145,35145,34951,35106,9600,868040000
22,ADG,UPCOM,04/02/2020,,35106,35106,34951,35106,9100,822790000
23,ADG,UPCOM,05/02/2020,,35106,35339,35106,35339,8100,736550000
24,ADG,UPCOM,06/02/2020,,35455,35881,35455,35881,10200,936980000
25,ADG,UPCOM,07/02/2020,,35881,35881,35494,35571,11900,1094990000
26,ADG,UPCOM,10/02/2020,,35649,36036,35416,35765,9700,890320000
27,ADG,UPCOM,11/02/2020,,35649,35920,35610,35920,8400,774650000
28,ADG,UPCOM,12/02/2020,,35649,35649,35377,35377,10900,999180000
29,ADG,UPCOM,13/02/2020,,35610,36036,35610,36036,14600,1351620000
30,ADG,UPCOM,14/02/2020,,35997,36152,35920,35920,14000,1302410000
31,ADG,UPCOM,17/02/2020,,36036,36075,35959,35997,11500,1068790000
32,ADG,UPCOM,18/02/2020,,35997,36114,35881,36114,13700,1271530000
33,ADG,UPCOM,19/02/2020,,36114,36617,36114,36579,15300,1439100000
34,ADG,UPCOM,20/02/2020,,36579,36811,36540,36772,14500,1372520000
35,ADG,UPCOM,21/02/2020,,36811,36811,36617,36695,16400,1554550000
36,ADG,UPCOM,24/02/2020,,36695,36695,36424,36424,15500,1461140000
