,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ADS,HOSE,02/01/2019,,6637,6637,6337,6360,14300,198570000
1,ADS,HOSE,03/01/2019,,6268,6268,5945,6130,31640,415380000
2,ADS,HOSE,04/01/2019,,6314,6360,6245,6360,15650,214010000
3,ADS,HOSE,07/01/2019,,6452,6545,6222,6268,16970,231840000
4,ADS,HOSE,08/01/2019,,6222,6222,6107,6130,15620,208330000
5,ADS,HOSE,09/01/2019,,6130,6222,6130,6222,15950,213820000
6,ADS,HOSE,10/01/2019,,6245,6245,6222,6222,8090,109220000
7,ADS,HOSE,11/01/2019,,6245,6268,6038,6038,17200,229360000
8,ADS,HOSE,14/01/2019,,6222,6222,6038,6222,19210,258000000
9,ADS,HOSE,15/01/2019,,6222,6268,6176,6268,28490,384210000
10,ADS,HOSE,16/01/2019,,6268,6268,6245,6245,13430,182000000
11,ADS,HOSE,17/01/2019,,6176,6176,6130,6153,17350,231000000
12,ADS,HOSE,18/01/2019,,6199,6199,6084,6176,16490,219960000
13,ADS,HOSE,21/01/2019,,6222,6222,6153,6176,14160,189680000
14,ADS,HOSE,22/01/2019,,6199,6199,6061,6084,15090,199480000
15,ADS,HOSE,23/01/2019,,6084,6130,5991,6084,13640,272540000
16,ADS,HOSE,24/01/2019,,6130,6176,6084,6107,15450,205380000
17,ADS,HOSE,25/01/2019,,6153,6153,6107,6130,17400,230970000
18,ADS,HOSE,28/01/2019,,6130,6130,6015,6130,20600,272690000
19,ADS,HOSE,29/01/2019,,6153,6153,6107,6153,17190,228760000
20,ADS,HOSE,30/01/2019,,6153,6153,5991,6130,18610,245170000
21,ADS,HOSE,31/01/2019,,6107,6107,6107,6107,3500,46380000
22,ADS,HOSE,01/02/2019,,6153,6153,6038,6130,20970,277690000
23,ADS,HOSE,11/02/2019,,6153,6153,5991,6153,17190,227920000
24,ADS,HOSE,12/02/2019,,6084,6153,6084,6153,11800,157150000
25,ADS,HOSE,13/02/2019,,6153,6153,6107,6130,6180,82090000
26,ADS,HOSE,14/02/2019,,6130,6130,6084,6130,15160,201100000
27,ADS,HOSE,15/02/2019,,6130,6153,6084,6130,16550,219490000
28,ADS,HOSE,18/02/2019,,6107,6153,6107,6130,18930,251410000
29,ADS,HOSE,19/02/2019,,6084,6130,6084,6130,12710,168500000
30,ADS,HOSE,20/02/2019,,6015,6130,6015,6107,16780,222100000
31,ADS,HOSE,21/02/2019,,6107,6107,6061,6107,14530,192350000
32,ADS,HOSE,22/02/2019,,6084,6107,5945,6107,15290,202160000
33,ADS,HOSE,25/02/2019,,6084,6153,5991,6153,21910,290780000
