,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,APC,HOSE,02/01/2019,,31350,32000,30800,30800,24180,748530000
1,APC,HOSE,03/01/2019,,30800,30800,28750,29400,26040,776890000
2,APC,HOSE,04/01/2019,,29000,29400,28000,29400,42540,1219430000
3,APC,HOSE,07/01/2019,,30100,30900,30000,30300,16090,491320000
4,APC,HOSE,08/01/2019,,30700,31300,30200,30550,28880,883190000
5,APC,HOSE,09/01/2019,,31250,32650,31200,32650,33650,1079500000
6,APC,HOSE,10/01/2019,,34200,34900,34100,34900,65260,2263630000
7,APC,HOSE,11/01/2019,,36300,36750,33700,35000,135450,4893270000
8,APC,HOSE,14/01/2019,,34000,36500,34000,35700,78050,2791000000
9,APC,HOSE,15/01/2019,,35250,36200,35150,35850,20740,737160000
10,APC,HOSE,16/01/2019,,35900,35900,33850,35550,14060,496000000
11,APC,HOSE,17/01/2019,,35550,35700,35200,35200,16620,587000000
12,APC,HOSE,18/01/2019,,35200,36100,33500,35900,41260,1463350000
13,APC,HOSE,21/01/2019,,35300,35500,33400,33400,164280,5597800000
14,APC,HOSE,22/01/2019,,33400,34200,32050,32250,36650,1212180000
15,APC,HOSE,23/01/2019,,31900,32800,31900,32400,10960,375800000
16,APC,HOSE,24/01/2019,,33000,33000,32200,32350,18990,621700000
17,APC,HOSE,25/01/2019,,32400,33500,32300,33000,47140,1555710000
18,APC,HOSE,28/01/2019,,33450,33450,31000,31200,23240,741590000
19,APC,HOSE,29/01/2019,,31200,32000,30100,31200,29090,908080000
20,APC,HOSE,30/01/2019,,32600,32600,31000,31600,12500,392290000
21,APC,HOSE,31/01/2019,,31600,32900,31500,32000,11290,361470000
22,APC,HOSE,01/02/2019,,31800,31800,31200,31650,9880,312740000
23,APC,HOSE,11/02/2019,,31650,31800,31500,31700,14100,446590000
24,APC,HOSE,12/02/2019,,32100,32750,31700,32350,37860,1211270000
25,APC,HOSE,13/02/2019,,32400,32800,31600,32350,15180,485130000
26,APC,HOSE,14/02/2019,,32350,32700,32000,32600,18440,594600000
27,APC,HOSE,15/02/2019,,31550,32500,31550,32350,18770,603370000
28,APC,HOSE,18/02/2019,,32300,32350,31900,32250,20820,667870000
