,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,APG,HOSE,02/01/2019,,4688,4688,4527,4682,325870,2538230000
1,APG,HOSE,03/01/2019,,4736,4736,4587,4670,191070,1513520000
2,APG,HOSE,04/01/2019,,4438,4587,4378,4527,191110,1437810000
3,APG,HOSE,07/01/2019,,4468,4527,4349,4408,106640,796720000
4,APG,HOSE,08/01/2019,,4438,4497,4349,4497,60850,453450000
5,APG,HOSE,09/01/2019,,4587,4587,4408,4497,279690,2108990000
6,APG,HOSE,10/01/2019,,4438,4521,4438,4521,373510,2817350000
7,APG,HOSE,11/01/2019,,4527,4587,4468,4587,141120,1079550000
8,APG,HOSE,14/01/2019,,4587,4587,4319,4557,347130,2644000000
9,APG,HOSE,15/01/2019,,4557,4557,4289,4527,218920,1624620000
10,APG,HOSE,16/01/2019,,4497,4527,4432,4468,247690,1861000000
11,APG,HOSE,17/01/2019,,4468,4527,4468,4491,277540,2087000000
12,APG,HOSE,18/01/2019,,4491,4527,4491,4509,87810,663910000
13,APG,HOSE,21/01/2019,,4509,4521,4408,4521,155330,1174070000
14,APG,HOSE,22/01/2019,,4527,4527,4497,4527,638720,4826390000
15,APG,HOSE,23/01/2019,,4587,4587,4497,4587,590940,4637740000
16,APG,HOSE,24/01/2019,,4766,4885,4611,4885,390890,3110280000
17,APG,HOSE,25/01/2019,,4885,5212,4766,5212,736810,5999800000
18,APG,HOSE,28/01/2019,,5212,5212,4944,5212,557990,4768810000
19,APG,HOSE,29/01/2019,,4885,5093,4885,5004,428870,3573980000
20,APG,HOSE,30/01/2019,,4658,4885,4658,4855,452990,3614310000
21,APG,HOSE,31/01/2019,,4855,4944,4795,4944,78130,631000000
22,APG,HOSE,01/02/2019,,4766,5290,4766,5290,198430,1651580000
23,APG,HOSE,11/02/2019,,4920,5599,4920,5599,519270,4490500000
24,APG,HOSE,12/02/2019,,5212,5540,5212,5212,157350,1411070000
25,APG,HOSE,13/02/2019,,5272,5272,4944,5272,158080,1372260000
26,APG,HOSE,14/02/2019,,5272,5272,5063,5272,263640,2314250000
27,APG,HOSE,15/02/2019,,4944,5272,4914,4914,196180,1658910000
28,APG,HOSE,18/02/2019,,5063,5063,4766,4766,164000,1357730000
29,APG,HOSE,19/02/2019,,4885,5099,4766,5063,267840,2187200000
30,APG,HOSE,20/02/2019,,4944,4974,4766,4795,369760,2968780000
31,APG,HOSE,21/02/2019,,4766,4974,4766,4974,138220,1108410000
32,APG,HOSE,22/02/2019,,5004,5320,4795,5320,1310660,10924310000
33,APG,HOSE,25/02/2019,,5320,5361,5182,5290,1219420,10871940000
34,APG,HOSE,26/02/2019,,5302,5302,4974,5272,316000,2743260000
35,APG,HOSE,27/02/2019,,5272,5272,5004,5182,415510,3644780000
36,APG,HOSE,28/02/2019,,5182,5182,4885,5063,426800,3611850000
37,APG,HOSE,01/03/2019,,4766,5004,4766,4825,359060,2896350000
38,APG,HOSE,04/03/2019,,4885,5159,4825,5159,376800,3115150000
39,APG,HOSE,05/03/2019,,5159,5159,4885,5159,988220,8417750000
40,APG,HOSE,06/03/2019,,5034,5093,5004,5093,354530,3009230000
41,APG,HOSE,07/03/2019,,5093,5141,5034,5093,235800,2014260000
42,APG,HOSE,08/03/2019,,5093,5123,5004,5093,721610,6140910000
43,APG,HOSE,11/03/2019,,5117,5439,4950,5296,387240,3275860000
44,APG,HOSE,12/03/2019,,5266,5439,5123,5182,367200,3198490000
45,APG,HOSE,13/03/2019,,5182,5480,5057,5242,404560,3519160000
46,APG,HOSE,14/03/2019,,5361,5605,5302,5605,712700,6548420000
47,APG,HOSE,15/03/2019,,5778,5987,5659,5987,812000,8100660000
48,APG,HOSE,18/03/2019,,6016,6195,5987,6195,536330,5502940000
49,APG,HOSE,19/03/2019,,6195,6255,5957,5957,399700,4077990000
50,APG,HOSE,20/03/2019,,5957,5957,5599,5719,521970,5041790000
51,APG,HOSE,21/03/2019,,5778,5778,5540,5689,424440,4029350000
52,APG,HOSE,22/03/2019,,5689,5778,5296,5296,476240,4537800000
