,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,APH,HOSE,28/07/2020,,30167,30167,30167,30167,275200,13705000000
1,APH,HOSE,29/07/2020,,32226,32226,32226,32226,193780,10309000000
2,APH,HOSE,30/07/2020,,34468,34468,34468,34468,370550,21084000000
3,APH,HOSE,31/07/2020,,36770,36830,33620,36588,328950,19706000000
4,APH,HOSE,03/08/2020,,33983,36891,33983,34528,290720,17050000000
5,APH,HOSE,04/08/2020,,34225,36891,33923,36891,434910,25776000000
6,APH,HOSE,05/08/2020,,36891,39374,36770,39314,520410,32712000000
7,APH,HOSE,06/08/2020,,39374,41192,38466,41131,525700,34927000000
8,APH,HOSE,07/08/2020,,41071,41676,40768,41495,504240,34275000000
9,APH,HOSE,10/08/2020,,41495,41495,38769,39072,413640,27143000000
10,APH,HOSE,11/08/2020,,38769,39677,38042,39435,403850,26134000000
11,APH,HOSE,12/08/2020,,39435,40586,39435,40344,423970,28057000000
12,APH,HOSE,13/08/2020,,40465,41797,40465,41616,524120,35836000000
13,APH,HOSE,14/08/2020,,41737,43009,41737,42827,536830,37629000000
14,APH,HOSE,17/08/2020,,42827,43009,41192,41192,315400,21794000000
15,APH,HOSE,18/08/2020,,41192,42403,41010,42403,415720,28870000000
16,APH,HOSE,19/08/2020,,42403,44826,42343,43918,530760,38451000000
17,APH,HOSE,20/08/2020,,44099,44766,43918,43918,434060,31859000000
18,APH,HOSE,21/08/2020,,44099,45432,43918,45190,481230,35464000000
19,APH,HOSE,24/08/2020,,45311,45735,45190,45250,358550,26896000000
20,APH,HOSE,25/08/2020,,45250,45432,44160,45129,323070,23895000000
21,APH,HOSE,26/08/2020,,45129,45432,44342,44584,402650,29763000000
22,APH,HOSE,27/08/2020,,43918,45129,43736,44826,393330,28987000000
23,APH,HOSE,28/08/2020,,45008,45311,44463,44584,337940,25121000000
24,APH,HOSE,31/08/2020,,44463,45129,44281,44402,314520,23190000000
25,APH,HOSE,01/09/2020,,44402,45008,44402,44705,335240,24731000000
26,APH,HOSE,03/09/2020,,44826,45250,44705,44826,252350,18726000000
27,APH,HOSE,04/09/2020,,44826,44947,44099,44463,214910,15780000000
28,APH,HOSE,07/09/2020,,44463,44766,44402,44584,242810,17867000000
29,APH,HOSE,08/09/2020,,44584,44826,44402,44645,238060,17543000000
30,APH,HOSE,09/09/2020,,44645,44645,44099,44220,208670,15255000000
31,APH,HOSE,10/09/2020,,44220,44220,43615,44220,212090,15406000000
32,APH,HOSE,11/09/2020,,43918,45432,43918,44887,284190,20981000000
33,APH,HOSE,14/09/2020,,45008,45735,45008,45674,317130,23822000000
34,APH,HOSE,15/09/2020,,45674,45917,45250,45493,204520,15382000000
35,APH,HOSE,16/09/2020,,45493,45735,45250,45432,212890,15972000000
36,APH,HOSE,17/09/2020,,45311,45432,44705,45432,232380,17296000000
37,APH,HOSE,18/09/2020,,45432,45432,45129,45311,204480,15286000000
38,APH,HOSE,21/09/2020,,45432,45735,45371,45371,215940,16235000000
39,APH,HOSE,22/09/2020,,45371,45493,45190,45432,244710,18331000000
40,APH,HOSE,23/09/2020,,45432,46038,45432,45553,288610,21728000000
41,APH,HOSE,24/09/2020,,45553,45856,45371,45432,316050,23755000000
42,APH,HOSE,25/09/2020,,45432,45553,45129,45190,246560,18471000000
43,APH,HOSE,28/09/2020,,45190,45553,45129,45371,266240,19945000000
44,APH,HOSE,29/09/2020,,45371,45493,44826,44947,340880,25385000000
45,APH,HOSE,30/09/2020,,44826,45371,44826,45008,293790,21808000000
46,APH,HOSE,01/10/2020,,45069,45432,45008,45250,264660,19781000000
47,APH,HOSE,02/10/2020,,45250,45371,44826,44887,227290,16966000000
48,APH,HOSE,05/10/2020,,44887,45069,44766,44947,358150,26548000000
49,APH,HOSE,06/10/2020,,44947,45069,44766,44947,292970,21716000000
50,APH,HOSE,07/10/2020,,45008,45008,44645,44826,242560,17931000000
51,APH,HOSE,08/10/2020,,44826,45008,44584,44705,322770,23859000000
52,APH,HOSE,09/10/2020,,44705,45008,44160,44523,266880,19615000000
53,APH,HOSE,12/10/2020,,44523,44766,43978,44099,215630,15737000000
54,APH,HOSE,13/10/2020,,44099,44342,43675,43736,334730,24222000000
55,APH,HOSE,14/10/2020,,43736,44220,43736,44099,253810,18477000000
56,APH,HOSE,15/10/2020,,44099,44220,43372,43615,282950,20454000000
57,APH,HOSE,16/10/2020,,43615,43918,42403,43554,345160,24601000000
58,APH,HOSE,19/10/2020,,43554,44220,43554,44099,405950,29442000000
59,APH,HOSE,20/10/2020,,44099,44099,43675,43918,225660,16320000000
60,APH,HOSE,21/10/2020,,43918,44160,43615,43675,357560,25969000000
61,APH,HOSE,22/10/2020,,43675,44039,43372,44039,437230,31492000000
62,APH,HOSE,23/10/2020,,44039,44705,44039,44523,461180,33850000000
63,APH,HOSE,26/10/2020,,44523,45069,44523,44584,384310,28425000000
64,APH,HOSE,27/10/2020,,44463,44463,43796,43978,338750,24678000000
65,APH,HOSE,28/10/2020,,43857,44099,43251,43554,368740,26545000000
66,APH,HOSE,29/10/2020,,43433,43857,42767,42767,308900,22029000000
67,APH,HOSE,30/10/2020,,45735,45735,43130,45129,851700,63131000000
68,APH,HOSE,02/11/2020,,45129,45553,45069,45553,463500,34711000000
69,APH,HOSE,03/11/2020,,45432,45674,45008,45190,408710,30575000000
70,APH,HOSE,04/11/2020,,45069,45614,44887,44887,468240,34892000000
71,APH,HOSE,05/11/2020,,44887,45311,44645,44826,368900,27406000000
72,APH,HOSE,06/11/2020,,44826,45432,44584,44947,389310,28889000000
73,APH,HOSE,09/11/2020,,44947,45674,44887,45493,407990,30533000000
74,APH,HOSE,10/11/2020,,45493,45674,45250,45432,304120,22807000000
75,APH,HOSE,11/11/2020,,45735,48582,45735,48582,566220,44871000000
76,APH,HOSE,12/11/2020,,48764,49793,48703,49551,475780,38740000000
77,APH,HOSE,13/11/2020,,49612,50278,49188,49369,369970,30338000000
78,APH,HOSE,16/11/2020,,49248,49733,48521,49127,420030,33897000000
79,APH,HOSE,17/11/2020,,49127,49369,48521,48703,384540,31023000000
80,APH,HOSE,18/11/2020,,48703,49369,48521,49248,3001870,243422000000
81,APH,HOSE,19/11/2020,,49188,52459,49127,52459,3318800,283332000000
82,APH,HOSE,20/11/2020,,52459,52459,52095,52217,3587180,309353000000
83,APH,HOSE,23/11/2020,,52095,52217,51429,52217,3525450,301956000000
84,APH,HOSE,24/11/2020,,52217,52338,51611,51671,3713010,318218000000
85,APH,HOSE,25/11/2020,,51671,52641,51671,52580,4008790,346704000000
86,APH,HOSE,26/11/2020,,52580,52641,52156,52641,3912340,338310000000
87,APH,HOSE,27/11/2020,,52701,56275,52277,55972,4130530,368108000000
88,APH,HOSE,30/11/2020,,55972,55972,54700,54882,978710,89297000000
89,APH,HOSE,01/12/2020,,53489,54700,52883,53973,2013750,178623000000
90,APH,HOSE,02/12/2020,,53791,54700,52580,54640,1913650,168714000000
91,APH,HOSE,03/12/2020,,54640,54882,53913,54397,1809640,162554000000
92,APH,HOSE,04/12/2020,,54397,54761,54094,54458,1272320,114190321000
93,APH,HOSE,07/12/2020,,54640,55003,54518,54579,727390,65685045000.0002
94,APH,HOSE,08/12/2020,,54579,54882,54216,54458,603600,54347906000
95,APH,HOSE,09/12/2020,,54458,54700,54276,54397,566410,50932890000
96,APH,HOSE,10/12/2020,,54761,54821,53913,53913,643420,57852804999.9999
