,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,AST,HOSE,02/01/2019,,51335,51707,50964,51484,75820,5218130000
1,AST,HOSE,03/01/2019,,51484,51633,51038,51335,70010,4834900000
2,AST,HOSE,04/01/2019,,51335,51335,50592,51335,74020,5079060000
3,AST,HOSE,07/01/2019,,51335,51633,51335,51559,69760,4825300000
4,AST,HOSE,08/01/2019,,51559,52377,51559,52303,102510,7185260000
5,AST,HOSE,09/01/2019,,52303,53344,52303,53195,103950,7391240000
6,AST,HOSE,10/01/2019,,53195,53419,53047,53344,72150,5163910000
7,AST,HOSE,11/01/2019,,53344,53344,52600,53047,71750,5094500000
8,AST,HOSE,14/01/2019,,53121,53121,52303,52451,59650,4216000000
9,AST,HOSE,15/01/2019,,52451,52600,51335,51484,69580,4858610000
10,AST,HOSE,16/01/2019,,51335,51410,48136,48732,121340,8113000000
11,AST,HOSE,17/01/2019,,48806,48806,46276,46351,105300,6637000000
12,AST,HOSE,18/01/2019,,46872,47616,46276,46574,75880,4776310000
13,AST,HOSE,21/01/2019,,46574,47020,46574,46723,71890,4525950000
14,AST,HOSE,22/01/2019,,46723,46946,46574,46723,62850,3945310000
15,AST,HOSE,23/01/2019,,46723,47020,46574,46648,64090,4339890000
16,AST,HOSE,24/01/2019,,46723,46872,46500,46723,61220,3845140000
17,AST,HOSE,25/01/2019,,46723,47616,46723,46872,62660,3961480000
18,AST,HOSE,28/01/2019,,46872,46872,46574,46872,66260,4167920000
19,AST,HOSE,29/01/2019,,46872,46872,46648,46872,60350,3797600000
20,AST,HOSE,30/01/2019,,46723,47318,46723,47244,61020,3855550000
21,AST,HOSE,31/01/2019,,47244,47988,47244,47839,72230,4635510000
22,AST,HOSE,01/02/2019,,47988,48732,47988,48360,63300,4117580000
23,AST,HOSE,11/02/2019,,48732,48732,48285,48732,62740,4090060000
24,AST,HOSE,12/02/2019,,48732,49252,48583,49252,69770,4576720000
25,AST,HOSE,13/02/2019,,49401,49848,49401,49848,67320,4494770000
26,AST,HOSE,14/02/2019,,50071,50592,49848,50592,78080,5270440000
27,AST,HOSE,15/02/2019,,50740,50964,50294,50294,60550,4115120000
28,AST,HOSE,18/02/2019,,50294,50964,50294,50964,81500,5539340000
29,AST,HOSE,19/02/2019,,51261,51335,51038,51335,73590,5062530000
30,AST,HOSE,20/02/2019,,51559,51707,51410,51559,66000,4571700000
31,AST,HOSE,21/02/2019,,51707,51707,51261,51559,59010,4085120000
32,AST,HOSE,22/02/2019,,51707,51707,51335,51633,55070,3810710000
33,AST,HOSE,25/02/2019,,51484,52079,51484,52079,77160,5361940000
34,AST,HOSE,26/02/2019,,52079,52451,52079,52451,65230,4583450000
35,AST,HOSE,27/02/2019,,52451,52823,52451,52823,65040,4604420000
36,AST,HOSE,28/02/2019,,52823,52972,52079,52228,64940,4595830000
37,AST,HOSE,01/03/2019,,52303,52675,52079,52451,61050,4294200000
38,AST,HOSE,04/03/2019,,52451,52972,52451,52823,72170,5106320000
39,AST,HOSE,05/03/2019,,52972,53121,52823,53047,56580,4028190000
40,AST,HOSE,06/03/2019,,53047,53195,52823,52823,57230,4072350000
41,AST,HOSE,07/03/2019,,52823,53047,52600,52823,56610,4021330000
42,AST,HOSE,08/03/2019,,52675,52823,52154,52303,58960,4161810000
43,AST,HOSE,11/03/2019,,52303,52451,52079,52451,55580,3904520000
44,AST,HOSE,12/03/2019,,52451,52675,52451,52675,77190,5450100000
45,AST,HOSE,13/03/2019,,52675,52972,52675,52749,54290,3846360000
46,AST,HOSE,14/03/2019,,52749,52749,52451,52675,55610,4108210000
47,AST,HOSE,15/03/2019,,53892,53892,53360,53588,60260,4259500000
48,AST,HOSE,18/03/2019,,53588,53588,52143,52827,61390,4253010000
49,AST,HOSE,19/03/2019,,53131,53892,53131,53816,57290,4037880000
50,AST,HOSE,20/03/2019,,53816,53968,53360,53892,61770,4365430000
51,AST,HOSE,21/03/2019,,53892,54196,53892,54120,60540,4304050000
52,AST,HOSE,22/03/2019,,54120,54120,53816,54044,55320,3928080000
53,AST,HOSE,25/03/2019,,53436,53892,53436,53740,51910,3668680000
54,AST,HOSE,26/03/2019,,53740,53892,53740,53740,55780,3947000000
55,AST,HOSE,27/03/2019,,53740,53740,53360,53360,69940,4917000000
56,AST,HOSE,28/03/2019,,53360,53664,53207,53664,73100,5140000000
57,AST,HOSE,29/03/2019,,53664,53816,53664,53740,69240,4893000000
58,AST,HOSE,01/04/2019,,53740,53740,53284,53588,60910,4285240000
59,AST,HOSE,02/04/2019,,53740,53740,53588,53740,70360,4966470000
60,AST,HOSE,03/04/2019,,53588,53740,53436,53664,56780,4005900000
61,AST,HOSE,04/04/2019,,53664,53740,53512,53512,61900,4362960000
62,AST,HOSE,05/04/2019,,53512,53664,53512,53664,72110,5084670000
63,AST,HOSE,08/04/2019,,53664,53968,53512,53816,67330,4758370000
64,AST,HOSE,09/04/2019,,53968,53968,53055,53055,70790,4986680000
65,AST,HOSE,10/04/2019,,53055,53588,53055,53512,72660,5105070000
66,AST,HOSE,11/04/2019,,53512,54120,53512,53968,78760,5568850000
67,AST,HOSE,12/04/2019,,54120,54880,54044,54880,100640,7203490000
68,AST,HOSE,16/04/2019,,54956,55336,54348,54728,65050,4684430000
69,AST,HOSE,17/04/2019,,54956,57008,54956,57008,132770,9783200000
70,AST,HOSE,18/04/2019,,57160,57160,56248,56704,71220,5305110000
71,AST,HOSE,19/04/2019,,56704,57160,56704,56932,92170,6904990000
72,AST,HOSE,22/04/2019,,56780,57540,56628,57236,141740,10617030000
73,AST,HOSE,23/04/2019,,57236,57312,56932,57236,108310,8135050000
74,AST,HOSE,24/04/2019,,57236,57388,56932,57312,100950,7589760000
75,AST,HOSE,25/04/2019,,57312,57312,56856,57008,106620,7986.26
76,AST,HOSE,26/04/2019,,57008,57312,57008,57312,85950,6452410000
77,AST,HOSE,02/05/2019,,57312,57388,57008,57312,106840,8034210000
78,AST,HOSE,03/05/2019,,57464,57464,56932,57160,90470,6796360000
79,AST,HOSE,06/05/2019,,57160,57160,57008,57008,108120,8111730000
80,AST,HOSE,07/05/2019,,57160,57464,57008,57464,96700,7283940000
81,AST,HOSE,08/05/2019,,57464,57464,57008,57236,82610,6225560000
82,AST,HOSE,09/05/2019,,57312,57464,56856,57008,93830,7057520000
83,AST,HOSE,10/05/2019,,57160,57160,56856,57084,80310,6015590000
84,AST,HOSE,13/05/2019,,57312,57312,56780,57008,91590,6870290000
85,AST,HOSE,14/05/2019,,57160,57160,56248,56248,80370,6007680000
86,AST,HOSE,15/05/2019,,56400,56780,56400,56476,80790,6022570000
87,AST,HOSE,16/05/2019,,56552,56552,56248,56400,72720,5396410000
88,AST,HOSE,17/05/2019,,56400,56476,56248,56400,80290,5952000000
89,AST,HOSE,20/05/2019,,57008,57293,56533,57198,91700,5513950000
90,AST,HOSE,21/05/2019,,57293,60238,57293,60048,140480,8740940000
91,AST,HOSE,22/05/2019,,60333,60524,59858,60143,91810,5811400000
92,AST,HOSE,23/05/2019,,60143,60143,59763,59858,70050,4412000000
93,AST,HOSE,24/05/2019,,59763,59858,59193,59383,70800,4435600000
94,AST,HOSE,27/05/2019,,59383,59573,58148,58433,95230,5902240000
95,AST,HOSE,28/05/2019,,58433,58623,58148,58623,148090,9081510000
96,AST,HOSE,29/05/2019,,58623,58623,58053,58338,80430,4931480000
97,AST,HOSE,30/05/2019,,58338,58338,57863,57958,94940,5800390000
98,AST,HOSE,31/05/2019,,57768,57958,57673,57958,163950,9972850000
99,AST,HOSE,03/06/2019,,57958,58243,57673,58243,99340,6055580000
100,AST,HOSE,04/06/2019,,58433,59858,58148,59858,96920,5969010000
101,AST,HOSE,05/06/2019,,60048,60333,59668,59953,104370,6586680000
102,AST,HOSE,06/06/2019,,59953,59953,59573,59953,90190,5681170000
103,AST,HOSE,07/06/2019,,60048,60048,59668,59953,80070,5045260000
104,AST,HOSE,10/06/2019,,60143,60714,60048,60714,240910,15259170000
105,AST,HOSE,11/06/2019,,60809,61284,60809,60809,82150,5272380000
106,AST,HOSE,12/06/2019,,60999,61759,60999,61759,155660,10068460000
107,AST,HOSE,13/06/2019,,61949,63849,61949,63849,213970,14156970000
108,AST,HOSE,14/06/2019,,63849,63849,62709,63849,97410,6513060000
109,AST,HOSE,17/06/2019,,63849,63944,62044,62519,60540,3998410000
110,AST,HOSE,18/06/2019,,62519,62709,62139,62139,73660,4838740000
111,AST,HOSE,19/06/2019,,62139,62329,61759,61759,65840,4304980000
112,AST,HOSE,20/06/2019,,62139,62329,61759,61759,65840,4304980000
113,AST,HOSE,21/06/2019,,63279,63659,62614,63089,63700,4231950000
114,AST,HOSE,24/06/2019,,63184,63184,62709,62709,64260,4259900000
115,AST,HOSE,25/06/2019,,62709,62709,60809,60809,74990,4846040000
116,AST,HOSE,26/06/2019,,61189,61189,60619,60619,67920,4349240000
117,AST,HOSE,27/06/2019,,60619,60999,60619,60809,60840,3892710000
118,AST,HOSE,28/06/2019,,60999,61284,60714,60809,62300,3996000000
119,AST,HOSE,01/07/2019,,60999,60999,60714,60904,66490,4259130000
120,AST,HOSE,02/07/2019,,60904,60999,60619,60714,61520,3938040000
121,AST,HOSE,03/07/2019,,60714,60809,60524,60524,63340,4044560000
122,AST,HOSE,04/07/2019,,60524,60809,60524,60809,74580,4762620000
123,AST,HOSE,05/07/2019,,60809,61094,60714,60999,97330,6236130000
124,AST,HOSE,08/07/2019,,60999,61379,60429,60619,62700,4015060000
125,AST,HOSE,09/07/2019,,60999,60999,59858,60143,76720,4867550000
126,AST,HOSE,10/07/2019,,60429,60429,59763,60333,65710,4151000000
127,AST,HOSE,11/07/2019,,60619,60619,58908,59098,76080,4779000000
128,AST,HOSE,12/07/2019,,59098,59668,58433,59478,65550,4075000000
129,AST,HOSE,15/07/2019,,59668,59858,59288,59478,58150,3645000000
130,AST,HOSE,16/07/2019,,59478,59953,59383,59668,60530,3802000000
131,AST,HOSE,17/07/2019,,59858,59953,59573,59763,62800,3947000000
132,AST,HOSE,18/07/2019,,59763,59858,59573,59668,60090,3775000000
133,AST,HOSE,19/07/2019,,59668,59668,59098,59288,61590,3844000000
134,AST,HOSE,22/07/2019,,59288,59383,58148,58148,71400,4404000000
135,AST,HOSE,23/07/2019,,58148,58528,57958,58528,62000,3795000000
136,AST,HOSE,24/07/2019,,58528,58718,58148,58338,59860,3682000000
137,AST,HOSE,25/07/2019,,58338,58623,58243,58528,53540,3291000000
138,AST,HOSE,26/07/2019,,58528,58718,58528,58623,56710,3497000000
139,AST,HOSE,29/07/2019,,58623,58623,57768,57958,56150,3429000000
140,AST,HOSE,30/07/2019,,57958,58148,57768,57958,72530,4424000000
141,AST,HOSE,31/07/2019,,58148,59763,57768,59098,67200,4133000000
142,AST,HOSE,01/08/2019,,59098,61094,59098,60999,102440,6525000000
143,AST,HOSE,02/08/2019,,61094,61759,60619,61284,64580,4161000000
144,AST,HOSE,05/08/2019,,61284,61379,60619,61189,58040,3732000000
145,AST,HOSE,06/08/2019,,60999,60999,59858,60809,77220,4893000000
146,AST,HOSE,07/08/2019,,60809,63279,60619,62804,185220,12135000000
147,AST,HOSE,08/08/2019,,62709,64039,62234,63754,133810,8934000000
148,AST,HOSE,09/08/2019,,63944,63944,62709,63659,116390,7786000000
149,AST,HOSE,12/08/2019,,63659,65179,63469,64609,142120,9602000000
150,AST,HOSE,13/08/2019,,64609,64799,64134,64704,74440,5053000000
151,AST,HOSE,14/08/2019,,64704,64704,64039,64324,55130,3727000000
152,AST,HOSE,15/08/2019,,64134,64134,61949,62709,53090,3502000000
153,AST,HOSE,16/08/2019,,62709,63089,62234,62329,59470,3921000000
154,AST,HOSE,19/08/2019,,62519,62899,62234,62899,57840,3807000000
155,AST,HOSE,20/08/2019,,63184,63659,62994,63374,50270,3357000000
156,AST,HOSE,21/08/2019,,63374,64039,63374,64039,62200,4158000000
157,AST,HOSE,22/08/2019,,64989,64989,63944,64799,87120,5898000000
158,AST,HOSE,23/08/2019,,64799,64989,63944,64324,53770,3649000000
159,AST,HOSE,26/08/2019,,64324,64324,63659,64039,53510,3608000000
