,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BAF,HOSE,03/12/2021,,13044,13044,13044,13044,100,2400000
1,BAF,HOSE,06/12/2021,,13941,13941,13941,13941,200,5130000
2,BAF,HOSE,07/12/2021,,14892,14892,14892,14892,400,10960000
3,BAF,HOSE,08/12/2021,,15925,15925,15925,15925,5200,152360000
4,BAF,HOSE,09/12/2021,,17039,17039,17039,17039,2200,68970000
5,BAF,HOSE,10/12/2021,,18207,18207,18207,18207,33200,1112200000
6,BAF,HOSE,13/12/2021,,19457,19457,19457,19457,5200,186000000
7,BAF,HOSE,14/12/2021,,20816,20816,20816,20816,156800,6005440000
8,BAF,HOSE,15/12/2021,,22256,22256,21740,22256,914200,37390090000
9,BAF,HOSE,16/12/2021,,23805,23805,23697,23805,888600,38908810000
10,BAF,HOSE,17/12/2021,,25436,25463,23371,23371,2709700,124858795000
11,BAF,HOSE,20/12/2021,,23262,23588,22610,23262,1388900,59016255000
12,BAF,HOSE,21/12/2021,,23371,23697,22555,22800,1237100,52482670000
13,BAF,HOSE,22/12/2021,,22827,23153,22664,22936,1718000,72493935000
14,BAF,HOSE,23/12/2021,,22827,23642,22827,22990,970700,41163315000
15,BAF,HOSE,24/12/2021,,23642,23914,22990,23235,1133100,48522820000
16,BAF,HOSE,27/12/2021,,23371,24838,23371,24186,880900,38648720000
17,BAF,HOSE,28/12/2021,,25110,25110,23669,23914,1241200,54724575000
18,BAF,HOSE,29/12/2021,,24023,24186,23099,23099,690500,30225070000
19,BAF,HOSE,30/12/2021,,23207,23588,22990,23044,1026400,43922895000
20,BAF,HOSE,31/12/2021,,23316,23425,22338,22338,1539000,65194815000
21,BAF,HOSE,04/01/2022,,22392,23887,21740,23887,17419300,698871110000
22,BAF,HOSE,05/01/2022,,25545,25545,25545,25545,122800,5771600000
23,BAF,HOSE,06/01/2022,,27284,27284,26360,27284,3017500,151417780000
24,BAF,HOSE,07/01/2022,,27447,29186,27066,29186,1781200,92330619999.9999
25,BAF,HOSE,10/01/2022,,29512,30110,28806,29512,1540400,83559000000
26,BAF,HOSE,11/01/2022,,29566,29784,28806,28969,1317000,70853060000
27,BAF,HOSE,12/01/2022,,28969,30980,28806,30980,2089800,116682660000
28,BAF,HOSE,13/01/2022,,31523,33099,31523,33099,3293400,198698969999.9990
29,BAF,HOSE,14/01/2022,,33099,33262,32284,32664,2041400,123467650000
