,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BFC,HOSE,02/01/2019,,17302,17336,16761,17336,16930,432820000
1,BFC,HOSE,03/01/2019,,17302,17302,16896,17234,23670,603160000
2,BFC,HOSE,04/01/2019,,16896,17099,16896,16896,20480,512020000
3,BFC,HOSE,07/01/2019,,17437,17437,17031,17234,21000,538370000
4,BFC,HOSE,08/01/2019,,17234,17268,17031,17200,34700,884130000
5,BFC,HOSE,09/01/2019,,17234,17302,17234,17302,9800,250710000
6,BFC,HOSE,10/01/2019,,17031,17336,16896,17302,19060,479680000
7,BFC,HOSE,11/01/2019,,17302,17876,17302,17572,101530,2635300000
8,BFC,HOSE,14/01/2019,,18113,18113,17505,17707,12820,333000000
9,BFC,HOSE,15/01/2019,,17505,17775,17505,17741,27280,713790000
10,BFC,HOSE,16/01/2019,,17437,17640,17437,17640,14250,371000000
11,BFC,HOSE,17/01/2019,,17437,17640,17302,17640,10800,278000000
12,BFC,HOSE,18/01/2019,,17640,17640,17369,17403,101260,2621630000
13,BFC,HOSE,21/01/2019,,17099,17369,17099,17302,30600,784600000
14,BFC,HOSE,22/01/2019,,17302,17302,16998,16998,16430,414710000
15,BFC,HOSE,23/01/2019,,16998,16998,16558,16558,47890,1435870000
16,BFC,HOSE,24/01/2019,,16356,16491,15984,16220,49380,1182750000
17,BFC,HOSE,25/01/2019,,16220,16220,15105,15105,283190,6359750000
18,BFC,HOSE,28/01/2019,,15105,15477,15105,15409,37430,852140000
19,BFC,HOSE,29/01/2019,,15443,15443,15139,15139,35930,809990000
20,BFC,HOSE,30/01/2019,,15139,15139,14869,15004,37270,829430000
21,BFC,HOSE,31/01/2019,,15004,15139,14328,14936,71220,1566540000
22,BFC,HOSE,01/02/2019,,14970,14970,14835,14869,30740,676650000
23,BFC,HOSE,11/02/2019,,14869,14936,14767,14869,17060,375220000
24,BFC,HOSE,12/02/2019,,14869,15072,14801,14869,44830,986940000
25,BFC,HOSE,13/02/2019,,15207,15714,15072,15443,248370,5625350000
26,BFC,HOSE,14/02/2019,,15545,15545,15342,15342,74780,1707290000
27,BFC,HOSE,15/02/2019,,15308,15477,15207,15409,43900,997260000
28,BFC,HOSE,18/02/2019,,15409,15409,14801,15308,531210,11856650000
29,BFC,HOSE,19/02/2019,,15511,15511,14869,14869,389290,8566620000
30,BFC,HOSE,20/02/2019,,14869,15105,14734,15072,72500,1604130000
31,BFC,HOSE,21/02/2019,,15072,15072,14801,14869,610840,13399760000
32,BFC,HOSE,22/02/2019,,14869,14869,14396,14396,143060,3090390000
33,BFC,HOSE,25/02/2019,,14396,14666,14396,14497,84410,1809090000
34,BFC,HOSE,26/02/2019,,14497,14565,14463,14497,36310,779100000
35,BFC,HOSE,27/02/2019,,14497,14565,14429,14463,701520,15003960000
36,BFC,HOSE,28/02/2019,,14598,14598,14362,14396,83030,1771950000
37,BFC,HOSE,01/03/2019,,14497,14767,14429,14632,65160,1407190000
38,BFC,HOSE,04/03/2019,,14632,14869,14598,14666,94310,2053770000
39,BFC,HOSE,05/03/2019,,14666,15207,14598,15004,157120,3468750000
40,BFC,HOSE,06/03/2019,,15004,15240,15004,15072,114280,2554920000
41,BFC,HOSE,07/03/2019,,15139,15139,14767,14767,196480,4352010000
42,BFC,HOSE,08/03/2019,,14734,14869,14598,14734,46470,1011340000
43,BFC,HOSE,11/03/2019,,14767,14767,14362,14396,180190,3861820000
44,BFC,HOSE,12/03/2019,,14396,14565,14396,14531,248410,5315740000
45,BFC,HOSE,13/03/2019,,14598,15274,14497,15274,544710,11908510000
46,BFC,HOSE,14/03/2019,,15274,15274,15072,15139,125520,2861190000
47,BFC,HOSE,15/03/2019,,15139,15308,15072,15139,122280,2748420000
48,BFC,HOSE,18/03/2019,,15207,16187,15072,16187,780620,18244720000
49,BFC,HOSE,19/03/2019,,16626,17302,16558,16964,426770,10740300000
50,BFC,HOSE,20/03/2019,,16964,16964,16322,16964,100130,2478150000
51,BFC,HOSE,21/03/2019,,16896,16896,16220,16220,215490,5284970000
52,BFC,HOSE,22/03/2019,,16220,16626,15815,15815,88070,2092490000
53,BFC,HOSE,25/03/2019,,15612,16288,15612,16153,161950,3817280000
54,BFC,HOSE,26/03/2019,,16356,16626,16153,16592,145600,3549000000
55,BFC,HOSE,27/03/2019,,16288,16863,16288,16863,91930,2246000000
56,BFC,HOSE,28/03/2019,,16896,16896,16491,16558,97410,2402000000
57,BFC,HOSE,29/03/2019,,16423,16558,16220,16423,65600,1590000000
58,BFC,HOSE,01/04/2019,,16423,16423,16085,16085,47500,1140810000
59,BFC,HOSE,02/04/2019,,16085,16254,16085,16085,52460,1252500000
60,BFC,HOSE,03/04/2019,,15950,17200,15950,16896,352500,8852060000
61,BFC,HOSE,04/04/2019,,16558,16964,16558,16896,68080,1701610000
62,BFC,HOSE,05/04/2019,,16896,17302,16626,16896,144720,3610080000
63,BFC,HOSE,08/04/2019,,16896,17234,16829,17133,116390,2920260000
64,BFC,HOSE,09/04/2019,,16930,17099,16558,16558,176160,4383710000
65,BFC,HOSE,10/04/2019,,16558,16626,16220,16220,118980,2874430000
66,BFC,HOSE,11/04/2019,,16220,16558,16187,16457,80830,1942440000
67,BFC,HOSE,12/04/2019,,16220,16220,15781,15815,131540,3100920000
68,BFC,HOSE,16/04/2019,,15274,15680,15274,15443,246060,5662550000
69,BFC,HOSE,17/04/2019,,15443,15883,15139,15139,109530,2503190000
70,BFC,HOSE,18/04/2019,,14869,15545,14869,15004,171680,3817880000
71,BFC,HOSE,19/04/2019,,15004,15477,15004,15477,15610,352630000
72,BFC,HOSE,22/04/2019,,15680,15680,15376,15612,163030,3749510000
73,BFC,HOSE,23/04/2019,,15612,15646,15072,15139,209930,4737410000
74,BFC,HOSE,24/04/2019,,15139,15376,15072,15139,51630,1156520000
75,BFC,HOSE,25/04/2019,,15004,15207,15004,15038,30930,689.55
76,BFC,HOSE,26/04/2019,,15207,15578,15004,15477,249020,5674270000
77,BFC,HOSE,02/05/2019,,15477,15545,15004,15072,39850,892380000
78,BFC,HOSE,03/05/2019,,14970,15072,14801,15072,109400,2408580000
79,BFC,HOSE,06/05/2019,,14869,14869,14193,14193,124290,2645310000
80,BFC,HOSE,07/05/2019,,14531,14531,13855,14058,141030,2927910000
81,BFC,HOSE,08/05/2019,,13990,13990,13720,13754,52110,1064030000
82,BFC,HOSE,09/05/2019,,13855,14058,13754,13787,36510,747720000
83,BFC,HOSE,10/05/2019,,13787,14058,13754,13855,29640,606100000
84,BFC,HOSE,13/05/2019,,13787,14396,13754,13855,36910,755310000
85,BFC,HOSE,14/05/2019,,13787,13855,13517,13855,70240,1415270000
86,BFC,HOSE,15/05/2019,,14092,14396,13855,14261,56200,1173430000
87,BFC,HOSE,16/05/2019,,14261,14531,14159,14362,64380,1357540000
88,BFC,HOSE,17/05/2019,,14362,14666,14193,14396,75720,1618000000
89,BFC,HOSE,20/05/2019,,14531,14531,14362,14497,37640,803240000
90,BFC,HOSE,21/05/2019,,14598,14734,14463,14734,40350,869500000
91,BFC,HOSE,22/05/2019,,14734,14734,14328,14328,32890,700400000
92,BFC,HOSE,23/05/2019,,14328,14328,14125,14328,28070,591000000
93,BFC,HOSE,24/05/2019,,14328,14396,14159,14159,36000,756640000
94,BFC,HOSE,27/05/2019,,14193,14294,14058,14125,38210,798520000
95,BFC,HOSE,28/05/2019,,14261,14261,13855,13990,41680,860380000
96,BFC,HOSE,29/05/2019,,13990,14159,13923,13990,22350,462250000
97,BFC,HOSE,30/05/2019,,14159,14159,13855,13889,42370,873800000
98,BFC,HOSE,31/05/2019,,13855,14058,13652,13652,41610,847880000
99,BFC,HOSE,03/06/2019,,13517,13821,13483,13517,44900,900490000
100,BFC,HOSE,04/06/2019,,13517,13855,13517,13517,32130,646530000
101,BFC,HOSE,05/06/2019,,13517,13787,13517,13551,35300,708430000
102,BFC,HOSE,06/06/2019,,13652,13855,13517,13652,19080,385790000
103,BFC,HOSE,07/06/2019,,13652,13787,13618,13787,23250,469270000
104,BFC,HOSE,10/06/2019,,13855,13889,13787,13855,29460,603070000
105,BFC,HOSE,11/06/2019,,13855,13855,13686,13686,29600,602450000
106,BFC,HOSE,12/06/2019,,13686,13754,13652,13652,23660,478650000
107,BFC,HOSE,13/06/2019,,13652,13787,13585,13652,31410,634770000
108,BFC,HOSE,14/06/2019,,13861,13930,13722,13722,41260,821130000
109,BFC,HOSE,17/06/2019,,13792,14069,13722,13999,21010,422310000
110,BFC,HOSE,18/06/2019,,13861,14069,13861,13861,13820,278710000
111,BFC,HOSE,19/06/2019,,13999,13999,13792,13861,26470,533400000
112,BFC,HOSE,20/06/2019,,13999,13999,13792,13861,26470,533400000
113,BFC,HOSE,21/06/2019,,13618,13826,13584,13826,51640,1015960000
114,BFC,HOSE,24/06/2019,,13826,13826,13653,13757,16620,328480000
115,BFC,HOSE,25/06/2019,,13722,13757,13653,13653,22020,434820000
116,BFC,HOSE,26/06/2019,,13653,13653,13480,13514,30330,591430000
117,BFC,HOSE,27/06/2019,,13445,13514,13029,13445,92890,1768790000
118,BFC,HOSE,28/06/2019,,13168,13445,13168,13410,8460,161060000
119,BFC,HOSE,01/07/2019,,13722,13722,13306,13480,10990,212260000
120,BFC,HOSE,02/07/2019,,13376,13376,12995,12995,35760,677420000
121,BFC,HOSE,03/07/2019,,12995,13133,12995,13098,17500,328970000
