,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BHN,HOSE,02/01/2019,,69048,70326,69048,69048,270,21910000
1,BHN,HOSE,03/01/2019,,68281,68281,68281,68281,200,16020000
2,BHN,HOSE,04/01/2019,,68195,69048,68195,69048,1200,96050000
3,BHN,HOSE,07/01/2019,,71520,71520,69048,69048,20,1650000
4,BHN,HOSE,08/01/2019,,68962,71008,68962,71008,20,1640000
5,BHN,HOSE,09/01/2019,,68195,71179,68195,71008,530,42780000
6,BHN,HOSE,10/01/2019,,71008,71008,71008,71008,0,0
7,BHN,HOSE,11/01/2019,,71008,71008,71008,71008,0,0
8,BHN,HOSE,14/01/2019,,66490,70326,66490,70326,1270,104000000
9,BHN,HOSE,15/01/2019,,66917,70923,66917,70923,170,13900000
10,BHN,HOSE,16/01/2019,,70923,70923,70923,70923,30,2000000
11,BHN,HOSE,17/01/2019,,70923,70923,70923,70923,0,0
12,BHN,HOSE,18/01/2019,,68195,68195,68195,68195,10,800000
13,BHN,HOSE,21/01/2019,,70582,70582,67002,70156,1450,115050000
14,BHN,HOSE,22/01/2019,,70156,70156,70156,70156,50,4120000
15,BHN,HOSE,23/01/2019,,69900,70071,68195,68621,370,40410000
16,BHN,HOSE,24/01/2019,,68195,68707,68195,68536,720,57710000
17,BHN,HOSE,25/01/2019,,68195,68536,68195,68536,770,61620000
18,BHN,HOSE,28/01/2019,,67428,68451,67428,68195,130,10420000
19,BHN,HOSE,29/01/2019,,68195,68195,68195,68195,220,17600000
20,BHN,HOSE,30/01/2019,,68195,68877,66576,68877,700,55930000
21,BHN,HOSE,31/01/2019,,66917,66917,66917,66917,300,23550000
22,BHN,HOSE,01/02/2019,,71520,71520,71520,71520,10,840000
23,BHN,HOSE,11/02/2019,,70497,70497,67428,67428,450,36920000
24,BHN,HOSE,12/02/2019,,69474,69644,68195,69559,430,34890000
25,BHN,HOSE,13/02/2019,,69559,70071,68025,70071,310,24820000
26,BHN,HOSE,14/02/2019,,71435,71435,70071,70071,80,6590000
27,BHN,HOSE,15/02/2019,,71179,71179,68621,70412,1180,96450000
28,BHN,HOSE,18/02/2019,,70326,70412,68195,70071,1780,143930000
29,BHN,HOSE,19/02/2019,,69815,69815,69048,69048,690,55970000
30,BHN,HOSE,20/02/2019,,69900,69900,68877,68877,530,42850000
31,BHN,HOSE,21/02/2019,,68877,69303,68877,68877,670,54220000
32,BHN,HOSE,22/02/2019,,68877,68877,68877,68877,1190,96150000
33,BHN,HOSE,25/02/2019,,67428,68877,67428,68281,4260,340760000
34,BHN,HOSE,26/02/2019,,68281,68281,68195,68195,60,4810000
35,BHN,HOSE,27/02/2019,,68195,68195,67769,67769,470,37590000
36,BHN,HOSE,28/02/2019,,67940,68195,67854,68110,580,46290000
37,BHN,HOSE,01/03/2019,,67940,69474,67769,68195,730,58380000
38,BHN,HOSE,04/03/2019,,68195,68195,67769,68195,870,69340000
39,BHN,HOSE,05/03/2019,,68195,68962,68110,68962,1430,114740000
40,BHN,HOSE,06/03/2019,,68962,68962,67854,68707,1330,106270000
41,BHN,HOSE,07/03/2019,,68195,68621,68195,68621,790,63210000
42,BHN,HOSE,08/03/2019,,68195,68195,67769,67940,2130,170020000
43,BHN,HOSE,11/03/2019,,68110,70753,67854,70667,8710,702720000
44,BHN,HOSE,12/03/2019,,69900,70582,69559,70156,3230,264820000
45,BHN,HOSE,13/03/2019,,68195,69900,68195,69900,2650,217000000
46,BHN,HOSE,14/03/2019,,68025,69900,68025,69900,5130,415100000
47,BHN,HOSE,15/03/2019,,70071,70156,68451,68451,400,32500000
48,BHN,HOSE,18/03/2019,,69900,70071,69900,69900,4090,335450000
49,BHN,HOSE,19/03/2019,,69900,70667,69900,70326,2130,174850000
50,BHN,HOSE,20/03/2019,,70326,70667,69900,69900,460,37980000
51,BHN,HOSE,21/03/2019,,69900,69900,69900,69900,50,4100000
52,BHN,HOSE,22/03/2019,,68281,69985,68281,69985,1120,89890000
53,BHN,HOSE,25/03/2019,,69985,69985,68281,69900,1870,153410000
54,BHN,HOSE,26/03/2019,,69900,70667,69900,69900,2390,196000000
55,BHN,HOSE,27/03/2019,,69900,69900,69133,69133,870,71000000
56,BHN,HOSE,28/03/2019,,69303,71179,69303,71008,590,49000000
57,BHN,HOSE,29/03/2019,,69900,69900,69900,69900,70,6000000
58,BHN,HOSE,01/04/2019,,69985,70923,69900,70326,410,33730000
59,BHN,HOSE,02/04/2019,,69900,70667,69900,70667,600,49230000
60,BHN,HOSE,03/04/2019,,69900,70497,69900,69900,1340,109900000
61,BHN,HOSE,04/04/2019,,68621,70326,68621,69048,1510,122680000
62,BHN,HOSE,05/04/2019,,69900,69900,69900,69900,1470,120540000
63,BHN,HOSE,08/04/2019,,70241,70241,70241,70241,100,8240000
64,BHN,HOSE,09/04/2019,,69900,69900,69815,69900,1200,98390000
65,BHN,HOSE,10/04/2019,,69474,70071,69474,70071,830,68010000
66,BHN,HOSE,11/04/2019,,69900,69900,69474,69474,290,23760000
67,BHN,HOSE,12/04/2019,,70241,70241,70241,70241,10,820000
68,BHN,HOSE,16/04/2019,,70241,70241,70241,70241,0,0
69,BHN,HOSE,17/04/2019,,68621,70071,68621,69815,590,47690000
70,BHN,HOSE,18/04/2019,,69815,69900,69815,69815,2150,176290000
71,BHN,HOSE,19/04/2019,,69815,69815,69815,69815,0,0
72,BHN,HOSE,22/04/2019,,69644,69900,68281,68281,5310,435300000
73,BHN,HOSE,23/04/2019,,69474,69474,69474,69474,710,57870000
74,BHN,HOSE,24/04/2019,,69474,69900,69474,69900,410,33550000
75,BHN,HOSE,25/04/2019,,69900,69900,69900,69900,170,13.94
76,BHN,HOSE,26/04/2019,,68195,69900,68195,69900,920,75420000
77,BHN,HOSE,02/05/2019,,69985,71520,69900,69900,40,3300000
78,BHN,HOSE,03/05/2019,,70667,70667,69900,69900,30,2480000
79,BHN,HOSE,06/05/2019,,69900,70753,69559,70753,630,51950000
80,BHN,HOSE,07/05/2019,,69900,71605,69900,71605,900,74240000
81,BHN,HOSE,08/05/2019,,70753,71605,69815,71605,4330,359970000
82,BHN,HOSE,09/05/2019,,68195,71605,68195,71605,2500,204680000
83,BHN,HOSE,10/05/2019,,71605,73310,71605,72202,1870,157310000
84,BHN,HOSE,13/05/2019,,72202,73310,71605,72457,1740,146600000
85,BHN,HOSE,14/05/2019,,71605,72457,71605,72457,650,54650000
86,BHN,HOSE,15/05/2019,,73310,75867,73310,75867,3000,261600000
87,BHN,HOSE,16/05/2019,,78425,78936,75952,78936,3250,298250000
88,BHN,HOSE,17/05/2019,,79277,84306,79277,79447,7760,742000000
89,BHN,HOSE,20/05/2019,,79447,83539,79447,83539,6530,615060000
90,BHN,HOSE,21/05/2019,,86949,89336,86778,89336,9540,992580000
91,BHN,HOSE,22/05/2019,,95473,95559,91637,92149,4190,461840000
92,BHN,HOSE,23/05/2019,,93683,93683,91211,92916,620,67000000
93,BHN,HOSE,24/05/2019,,86438,92831,86438,89506,2810,291630000
94,BHN,HOSE,27/05/2019,,89506,89506,84392,88313,1840,186840000
95,BHN,HOSE,28/05/2019,,87801,93342,87801,90700,600,62270000
96,BHN,HOSE,29/05/2019,,90700,90700,84392,84392,5090,504430000
97,BHN,HOSE,30/05/2019,,84306,84392,83539,84392,2050,202700000
98,BHN,HOSE,31/05/2019,,84477,84477,83539,83539,9680,949390000
99,BHN,HOSE,03/06/2019,,83539,84392,83539,84392,8790,861670000
100,BHN,HOSE,04/06/2019,,78510,87801,78510,87631,28310,2884430000
101,BHN,HOSE,05/06/2019,,87631,87631,84477,84477,7500,764130000
102,BHN,HOSE,06/06/2019,,84477,87801,84477,87801,5110,525900000
103,BHN,HOSE,07/06/2019,,82687,82687,82687,82687,200,19400000
104,BHN,HOSE,10/06/2019,,83113,83539,83113,83539,600,58780000
105,BHN,HOSE,11/06/2019,,86949,86949,86778,86778,530,54060000
106,BHN,HOSE,12/06/2019,,86097,86097,86011,86097,9790,988780000
107,BHN,HOSE,13/06/2019,,86097,86097,86097,86097,0,0
108,BHN,HOSE,14/06/2019,,80129,86011,80129,85244,1050,100250000
109,BHN,HOSE,17/06/2019,,85074,85074,85074,85074,10,1000000
110,BHN,HOSE,18/06/2019,,83539,83539,82687,83539,2070,201810000
111,BHN,HOSE,19/06/2019,,79447,79447,79447,79447,90,8390000
112,BHN,HOSE,20/06/2019,,79447,79447,79447,79447,90,8390000
113,BHN,HOSE,21/06/2019,,80129,80129,80129,80129,30,2820000
114,BHN,HOSE,24/06/2019,,79107,80129,79021,79021,1090,101090000
115,BHN,HOSE,25/06/2019,,76720,76720,76720,76720,20,1800000
116,BHN,HOSE,26/06/2019,,76464,76464,75867,75867,1050,94150000
117,BHN,HOSE,27/06/2019,,75867,75867,71435,75697,160,13670000
118,BHN,HOSE,28/06/2019,,75612,80982,75612,80982,110,10010000
119,BHN,HOSE,01/07/2019,,75441,79277,75441,79277,250,22290000
120,BHN,HOSE,02/07/2019,,79277,79277,77572,79192,450,41470000
121,BHN,HOSE,03/07/2019,,79192,79192,79192,79192,0,0
122,BHN,HOSE,04/07/2019,,79192,79192,79192,79192,100,9290000
123,BHN,HOSE,05/07/2019,,79192,79192,78425,78425,110,10150000
124,BHN,HOSE,08/07/2019,,78425,78425,78425,78425,30,2760000
125,BHN,HOSE,09/07/2019,,75015,78425,73395,78425,140,12490000
126,BHN,HOSE,10/07/2019,,76720,77572,76720,77572,110,10000000
127,BHN,HOSE,11/07/2019,,78425,78425,78254,78425,480,44000000
128,BHN,HOSE,12/07/2019,,74930,78254,74930,77487,380,34000000
129,BHN,HOSE,15/07/2019,,78425,80982,76720,80129,69870,6594000000
130,BHN,HOSE,16/07/2019,,80385,82687,80385,82687,53110,5117000000
131,BHN,HOSE,17/07/2019,,81834,81834,78425,79533,30,3000000
132,BHN,HOSE,18/07/2019,,78425,81834,78425,79277,20150,1934000000
133,BHN,HOSE,19/07/2019,,78425,80129,78425,80129,670,63000000
134,BHN,HOSE,22/07/2019,,75867,79703,75867,79192,3620,335000000
135,BHN,HOSE,23/07/2019,,75867,79703,75867,79192,0,0
136,BHN,HOSE,24/07/2019,,80044,80129,80044,80129,39780,3739000000
137,BHN,HOSE,25/07/2019,,79277,80811,79277,80811,50,5000000
138,BHN,HOSE,26/07/2019,,79277,79277,79277,79277,20,2000000
139,BHN,HOSE,29/07/2019,,80897,80897,78425,79277,60,6000000
140,BHN,HOSE,30/07/2019,,79277,79277,78425,78425,240,22000000
141,BHN,HOSE,31/07/2019,,76720,79277,75867,79277,980,88000000
142,BHN,HOSE,01/08/2019,,81664,81664,80129,80129,20790,1954000000
143,BHN,HOSE,02/08/2019,,81664,81664,80129,80129,0,0
144,BHN,HOSE,05/08/2019,,76720,79959,76720,79959,160,15000000
145,BHN,HOSE,06/08/2019,,80129,81834,80129,80982,23640,2247000000
146,BHN,HOSE,07/08/2019,,83539,83539,80982,80982,1430,137000000
147,BHN,HOSE,08/08/2019,,80982,80982,80300,80300,1320,125000000
