,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BKG,HOSE,31/12/2020,,11999,11999,11999,11999,5000,66000000
1,BKG,HOSE,04/01/2021,,11999,12817,11999,12817,10600,143520000
2,BKG,HOSE,05/01/2021,,13680,13680,13680,13680,192500,2897125000
3,BKG,HOSE,06/01/2021,,14635,14635,14499,14635,647500,10406190000
4,BKG,HOSE,07/01/2021,,14635,15635,13635,15544,889400,14697765000
5,BKG,HOSE,08/01/2021,,15726,15908,14499,14999,357000,5766190000
6,BKG,HOSE,11/01/2021,,14271,14544,13953,13953,102500,1575035000
7,BKG,HOSE,12/01/2021,,12999,12999,12999,12999,107500,1537250000
8,BKG,HOSE,13/01/2021,,12090,12999,12090,12544,787000,10487210000
9,BKG,HOSE,14/01/2021,,12726,12999,11681,12181,400600,5214580000
10,BKG,HOSE,15/01/2021,,12362,12635,12181,12362,187600,2569355000
11,BKG,HOSE,18/01/2021,,12362,12362,11590,11635,350100,4538585000
12,BKG,HOSE,19/01/2021,,11544,11590,10863,11181,355900,4359575000
13,BKG,HOSE,20/01/2021,,10726,10908,10499,10863,107200,1267560000
14,BKG,HOSE,21/01/2021,,10863,11272,10726,11181,148700,1792575000
15,BKG,HOSE,22/01/2021,,11317,11363,10908,10999,167900,2042945000
16,BKG,HOSE,25/01/2021,,10817,10999,10635,10817,160000,1890575000
17,BKG,HOSE,26/01/2021,,10726,10908,10544,10726,128500,1515060000
18,BKG,HOSE,27/01/2021,,10590,10817,10363,10726,177600,2068360000
19,BKG,HOSE,28/01/2021,,10454,10544,10135,10544,308300,3520680000
20,BKG,HOSE,29/01/2021,,10454,11090,10454,10999,169200,2014195000
21,BKG,HOSE,01/02/2021,,11090,11408,10999,11181,348100,4301520000
22,BKG,HOSE,02/02/2021,,11272,11272,10908,10999,1019200,12282170000
23,BKG,HOSE,03/02/2021,,10817,11135,10817,11090,965700,11628035000
24,BKG,HOSE,04/02/2021,,11135,11135,10863,10863,163300,1961380000
25,BKG,HOSE,05/02/2021,,10772,10863,10681,10726,359200,4238950000
26,BKG,HOSE,08/02/2021,,10681,10726,10454,10454,146500,1701780000
27,BKG,HOSE,09/02/2021,,10454,10635,10363,10544,132600,1530230000
28,BKG,HOSE,17/02/2021,,10726,10726,10454,10635,114100,1335655000
29,BKG,HOSE,18/02/2021,,10726,10726,10544,10544,259200,3012295000
30,BKG,HOSE,19/02/2021,,10454,10499,10408,10454,135400,1557110000
31,BKG,HOSE,22/02/2021,,10454,10544,10408,10544,584600,6722985000
32,BKG,HOSE,23/02/2021,,10590,10772,10590,10635,203100,2382115000
33,BKG,HOSE,24/02/2021,,10635,10635,10544,10590,166700,1942660000
34,BKG,HOSE,25/02/2021,,10544,10635,10499,10499,852700,9892545000
35,BKG,HOSE,26/02/2021,,10363,10499,10363,10408,92600,1062175000
36,BKG,HOSE,01/03/2021,,10454,10544,10454,10499,74400,858585000
37,BKG,HOSE,02/03/2021,,10499,10499,10454,10499,328300,3776075000
38,BKG,HOSE,03/03/2021,,10544,10635,10454,10635,142000,1648130000
39,BKG,HOSE,04/03/2021,,10772,10999,10635,10953,787300,9452665000
