,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BMP,HOSE,02/01/2019,,35243,35243,33903,33970,65370,3346360000
1,BMP,HOSE,03/01/2019,,33970,34238,32965,32965,191330,9606190000
2,BMP,HOSE,04/01/2019,,32764,32965,32262,32731,117230,5724960000
3,BMP,HOSE,07/01/2019,,32831,33836,32831,32999,102500,5107430000
4,BMP,HOSE,08/01/2019,,32999,33166,32865,32898,37440,1842650000
5,BMP,HOSE,09/01/2019,,32898,33568,32898,33568,38970,1944270000
6,BMP,HOSE,10/01/2019,,33769,34372,33635,34037,58610,2979220000
7,BMP,HOSE,11/01/2019,,34104,34506,33568,33903,58120,2954890000
8,BMP,HOSE,14/01/2019,,33970,33970,33367,33635,50990,2565000000
9,BMP,HOSE,15/01/2019,,33568,33836,33367,33836,79860,4007360000
10,BMP,HOSE,16/01/2019,,33970,34037,33166,33501,115040,5772000000
11,BMP,HOSE,17/01/2019,,33434,33769,32965,32965,83180,4125000000
12,BMP,HOSE,18/01/2019,,32898,33166,32798,32831,67550,3313460000
13,BMP,HOSE,21/01/2019,,32831,33166,32161,32228,102740,4963830000
14,BMP,HOSE,22/01/2019,,32496,32630,32161,32295,125000,6023480000
15,BMP,HOSE,23/01/2019,,32195,33099,32027,32396,88280,5176090000
16,BMP,HOSE,24/01/2019,,32563,32965,32262,32563,45720,2215390000
17,BMP,HOSE,25/01/2019,,32396,32563,32161,32496,92600,4464520000
18,BMP,HOSE,28/01/2019,,32496,32764,31491,31491,53070,2535460000
19,BMP,HOSE,29/01/2019,,31759,31759,30620,30821,127450,5897880000
20,BMP,HOSE,30/01/2019,,30620,31357,30553,30687,88020,4029050000
21,BMP,HOSE,31/01/2019,,30821,31290,30687,30821,98230,4516450000
22,BMP,HOSE,01/02/2019,,31491,31491,30553,30553,134850,6190250000
23,BMP,HOSE,11/02/2019,,31156,31223,30787,30955,61720,2848070000
24,BMP,HOSE,12/02/2019,,31089,32295,30955,32295,128940,6124400000
25,BMP,HOSE,13/02/2019,,32429,34037,32429,34037,169070,8414420000
26,BMP,HOSE,14/02/2019,,34171,34171,33501,33769,127720,6432180000
27,BMP,HOSE,15/02/2019,,33769,34707,33501,33903,126920,6456300000
28,BMP,HOSE,18/02/2019,,33836,34171,33434,33501,90260,4548800000
29,BMP,HOSE,19/02/2019,,33769,33769,32630,32965,116780,5760860000
30,BMP,HOSE,20/02/2019,,32965,33501,32898,33367,36000,1781090000
31,BMP,HOSE,21/02/2019,,33501,33501,32932,33166,26450,1311340000
32,BMP,HOSE,22/02/2019,,33166,33166,32496,32831,94670,4633590000
33,BMP,HOSE,25/02/2019,,32831,33434,32429,32429,96140,4704680000
34,BMP,HOSE,26/02/2019,,32764,33501,32563,33501,101140,4969990000
35,BMP,HOSE,27/02/2019,,33501,35176,33501,35176,394050,20374240000
36,BMP,HOSE,28/02/2019,,35176,36516,35109,35511,518700,27707820000
37,BMP,HOSE,01/03/2019,,35645,36181,35243,36181,152310,8107600000
38,BMP,HOSE,04/03/2019,,36181,36315,35578,35578,174960,9407510000
39,BMP,HOSE,05/03/2019,,35712,37521,35712,36181,276680,15036250000
40,BMP,HOSE,06/03/2019,,36516,36516,35578,35712,133990,7176040000
41,BMP,HOSE,07/03/2019,,35712,36583,35645,36181,171470,9275650000
42,BMP,HOSE,08/03/2019,,35511,36114,35109,35310,188330,9961180000
43,BMP,HOSE,11/03/2019,,35444,35846,35243,35377,42190,2232740000
44,BMP,HOSE,12/03/2019,,35645,35645,35310,35511,78600,4154870000
45,BMP,HOSE,13/03/2019,,35511,36047,35377,35578,122700,6544530000
46,BMP,HOSE,14/03/2019,,35913,36851,35846,36315,216670,12179730000
47,BMP,HOSE,15/03/2019,,36382,36382,35511,36181,51160,2753730000
48,BMP,HOSE,18/03/2019,,36181,36181,35377,35377,198990,10610300000
49,BMP,HOSE,19/03/2019,,35377,35511,34171,34305,265280,13689730000
50,BMP,HOSE,20/03/2019,,34305,34841,33836,34707,140080,7186140000
51,BMP,HOSE,21/03/2019,,34506,34707,33501,33501,139070,7068150000
