,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BRC,HOSE,02/01/2019,,5888,5888,5888,5888,0,0
1,BRC,HOSE,03/01/2019,,5888,5888,5888,5888,0,0
2,BRC,HOSE,04/01/2019,,5888,5888,5888,5888,0,0
3,BRC,HOSE,07/01/2019,,6296,6296,6141,6141,60,570000
4,BRC,HOSE,08/01/2019,,6141,6141,6141,6141,0,0
5,BRC,HOSE,09/01/2019,,6141,6141,6141,6141,0,0
6,BRC,HOSE,10/01/2019,,6141,6141,6141,6141,0,0
7,BRC,HOSE,11/01/2019,,6141,6141,6141,6141,0,0
8,BRC,HOSE,14/01/2019,,6141,6141,6141,6141,0,0
9,BRC,HOSE,15/01/2019,,6141,6141,6141,6141,0,0
10,BRC,HOSE,16/01/2019,,6141,6141,6141,6141,0,0
11,BRC,HOSE,17/01/2019,,6141,6141,6141,6141,0,0
12,BRC,HOSE,18/01/2019,,6141,6141,6141,6141,0,0
13,BRC,HOSE,21/01/2019,,6141,6141,6141,6141,0,0
14,BRC,HOSE,22/01/2019,,6141,6141,6141,6141,0,0
15,BRC,HOSE,23/01/2019,,6141,6141,6141,6141,0,0
16,BRC,HOSE,24/01/2019,,6141,6141,6141,6141,0,0
17,BRC,HOSE,25/01/2019,,6141,6141,6141,6141,0,0
18,BRC,HOSE,28/01/2019,,6141,6141,6141,6141,0,0
19,BRC,HOSE,29/01/2019,,6141,6141,6141,6141,0,0
20,BRC,HOSE,30/01/2019,,6141,6141,6141,6141,0,0
21,BRC,HOSE,31/01/2019,,6141,6141,6141,6141,0,0
22,BRC,HOSE,01/02/2019,,6141,6141,6141,6141,0,0
23,BRC,HOSE,11/02/2019,,6561,6561,6561,6561,10,100000
24,BRC,HOSE,12/02/2019,,6102,6102,6102,6102,10,90000
25,BRC,HOSE,13/02/2019,,6102,6102,6102,6102,0,0
26,BRC,HOSE,14/02/2019,,6102,6102,6102,6102,0,0
27,BRC,HOSE,15/02/2019,,6102,6102,6102,6102,0,0
28,BRC,HOSE,18/02/2019,,6102,6102,6102,6102,0,0
29,BRC,HOSE,19/02/2019,,6102,6102,6102,6102,0,0
30,BRC,HOSE,20/02/2019,,6102,6102,6102,6102,0,0
31,BRC,HOSE,21/02/2019,,6102,6102,6102,6102,0,0
