,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BSI,HOSE,02/01/2019,,6905,6905,6704,6905,1220,12280000
1,BSI,HOSE,03/01/2019,,6737,6838,6637,6804,22670,226680000
2,BSI,HOSE,04/01/2019,,6603,6771,6603,6771,2140,21350000
3,BSI,HOSE,07/01/2019,,6704,6905,6704,6704,8060,80810000
4,BSI,HOSE,08/01/2019,,6704,6704,6670,6704,9630,96100000
5,BSI,HOSE,09/01/2019,,6838,6838,6677,6704,19930,198990000
6,BSI,HOSE,10/01/2019,,6704,6704,6603,6603,1360,13550000
7,BSI,HOSE,11/01/2019,,6603,6704,6603,6704,670,6660000
8,BSI,HOSE,14/01/2019,,6637,6637,6469,6469,3890,38000000
9,BSI,HOSE,15/01/2019,,6503,6637,6469,6503,29890,290030000
10,BSI,HOSE,16/01/2019,,6570,6637,6503,6637,21350,209000000
11,BSI,HOSE,17/01/2019,,6704,6704,6476,6503,11030,107000000
12,BSI,HOSE,18/01/2019,,6637,6637,6436,6503,26210,254670000
13,BSI,HOSE,21/01/2019,,6375,6563,6167,6167,21510,200040000
14,BSI,HOSE,22/01/2019,,6047,6369,6033,6167,37670,340160000
15,BSI,HOSE,23/01/2019,,6234,6234,5966,6033,22870,206960000
16,BSI,HOSE,24/01/2019,,6100,6100,6033,6100,34350,309300000
17,BSI,HOSE,25/01/2019,,6234,6234,6100,6234,10200,93400000
18,BSI,HOSE,28/01/2019,,6302,6302,6100,6100,1040,9470000
19,BSI,HOSE,29/01/2019,,6134,6302,6100,6100,5460,49710000
20,BSI,HOSE,30/01/2019,,6228,6228,6033,6100,6430,58450000
21,BSI,HOSE,31/01/2019,,6234,6234,6100,6161,2510,22850000
22,BSI,HOSE,01/02/2019,,6302,6302,6161,6161,5230,48070000
23,BSI,HOSE,11/02/2019,,6302,6302,6174,6174,3180,29800000
24,BSI,HOSE,12/02/2019,,6302,6302,6167,6234,21920,201920000
25,BSI,HOSE,13/02/2019,,6248,6302,6020,6234,20750,192150000
26,BSI,HOSE,14/02/2019,,6302,6436,6302,6302,8510,80420000
27,BSI,HOSE,15/02/2019,,6302,6503,6302,6456,14830,141180000
28,BSI,HOSE,18/02/2019,,6456,6704,6442,6570,20270,197230000
29,BSI,HOSE,19/02/2019,,6637,6637,6503,6503,8080,78580000
30,BSI,HOSE,20/02/2019,,6369,6838,6369,6771,67500,674390000
31,BSI,HOSE,21/02/2019,,6838,6838,6704,6838,17060,173830000
32,BSI,HOSE,22/02/2019,,6838,6905,6804,6838,10960,111710000
33,BSI,HOSE,25/02/2019,,6838,6905,6771,6771,38630,393490000
34,BSI,HOSE,26/02/2019,,6905,6905,6771,6838,40970,419410000
35,BSI,HOSE,27/02/2019,,6905,6905,6771,6838,24970,253370000
36,BSI,HOSE,28/02/2019,,6704,6838,6704,6838,28870,291020000
37,BSI,HOSE,01/03/2019,,6838,6838,6771,6838,5320,53750000
38,BSI,HOSE,04/03/2019,,6838,6905,6771,6905,1300,13150000
39,BSI,HOSE,05/03/2019,,6771,6838,6704,6771,10550,106180000
40,BSI,HOSE,06/03/2019,,6771,6838,6771,6838,3750,37960000
41,BSI,HOSE,07/03/2019,,6838,6905,6838,6905,16570,169950000
42,BSI,HOSE,08/03/2019,,6905,6905,6771,6905,7170,73210000
43,BSI,HOSE,11/03/2019,,6905,6905,6838,6838,70,720000
44,BSI,HOSE,12/03/2019,,6771,6771,6704,6771,13680,136870000
45,BSI,HOSE,13/03/2019,,6838,6972,6737,6972,54650,558400000
46,BSI,HOSE,14/03/2019,,6972,6972,6838,6972,1750,18160000
47,BSI,HOSE,15/03/2019,,6972,6972,6804,6905,6310,64780000
48,BSI,HOSE,18/03/2019,,6905,6905,6704,6704,73330,738980000
49,BSI,HOSE,19/03/2019,,6737,6737,6670,6704,21760,217110000
50,BSI,HOSE,20/03/2019,,6704,6704,6670,6704,10350,103060000
51,BSI,HOSE,21/03/2019,,6771,6771,6704,6771,13570,136060000
52,BSI,HOSE,22/03/2019,,6771,6771,6637,6637,2390,23790000
53,BSI,HOSE,25/03/2019,,6771,6771,6704,6704,1440,14510000
54,BSI,HOSE,26/03/2019,,6637,6704,6637,6704,70,1000000
55,BSI,HOSE,27/03/2019,,6704,6737,6637,6670,3110,31000000
56,BSI,HOSE,28/03/2019,,6670,6771,6570,6637,27300,274000000
57,BSI,HOSE,29/03/2019,,6771,6771,6570,6637,5190,51000000
58,BSI,HOSE,01/04/2019,,6637,6704,6637,6704,3650,36140000
59,BSI,HOSE,02/04/2019,,6704,6704,6704,6704,1900,19000000
60,BSI,HOSE,03/04/2019,,6704,6704,6503,6637,15250,149430000
61,BSI,HOSE,04/04/2019,,6503,6637,6503,6637,220,2140000
62,BSI,HOSE,05/04/2019,,6704,6704,6503,6503,14860,146470000
63,BSI,HOSE,08/04/2019,,6704,6704,6637,6637,9060,89700000
64,BSI,HOSE,09/04/2019,,6697,6697,6402,6503,38560,370990000
65,BSI,HOSE,10/04/2019,,6637,6637,6436,6637,9750,93610000
66,BSI,HOSE,11/04/2019,,6637,6637,6637,6637,10,100000
