,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BTP,HOSE,02/01/2019,,8011,8011,7730,7730,740,8170000
1,BTP,HOSE,03/01/2019,,7730,8011,7730,8011,650,7290000
2,BTP,HOSE,04/01/2019,,7976,8011,7940,8011,19330,220080000
3,BTP,HOSE,07/01/2019,,7800,8011,7800,8011,230,2570000
4,BTP,HOSE,08/01/2019,,8046,8046,8011,8011,2700,30810000
5,BTP,HOSE,09/01/2019,,8011,8432,7800,8362,2110,24030000
6,BTP,HOSE,10/01/2019,,8151,8362,8081,8362,2830,32620000
7,BTP,HOSE,11/01/2019,,8011,8362,8011,8362,300,3430000
8,BTP,HOSE,14/01/2019,,8151,8222,8081,8081,3630,42000000
9,BTP,HOSE,15/01/2019,,7976,8257,7730,8116,2140,24120000
10,BTP,HOSE,16/01/2019,,8116,8362,7870,8327,3120,35000000
11,BTP,HOSE,17/01/2019,,8081,8222,8081,8151,7080,81000000
12,BTP,HOSE,18/01/2019,,7940,8362,7940,8151,6520,75280000
13,BTP,HOSE,21/01/2019,,8011,8151,7976,8116,8500,97700000
14,BTP,HOSE,22/01/2019,,8503,8503,8081,8397,300,3460000
15,BTP,HOSE,23/01/2019,,8151,8432,8081,8186,71380,895840000
16,BTP,HOSE,24/01/2019,,8432,8432,8292,8432,67800,804940000
17,BTP,HOSE,25/01/2019,,8432,8432,8222,8222,78540,926840000
18,BTP,HOSE,28/01/2019,,8151,8292,8151,8222,13100,153280000
19,BTP,HOSE,29/01/2019,,8151,8362,8151,8292,16530,194510000
20,BTP,HOSE,30/01/2019,,8222,8362,8222,8292,63890,750790000
21,BTP,HOSE,31/01/2019,,8151,8362,8151,8362,13510,159620000
22,BTP,HOSE,01/02/2019,,8362,8362,8327,8362,30360,361260000
23,BTP,HOSE,11/02/2019,,8362,8432,7940,8432,64110,758920000
24,BTP,HOSE,12/02/2019,,8432,8854,8432,8854,114470,1417440000
25,BTP,HOSE,13/02/2019,,8854,9451,8854,9451,218940,2896350000
26,BTP,HOSE,14/02/2019,,9451,9943,9451,9732,131170,1816760000
27,BTP,HOSE,15/02/2019,,9627,9697,9381,9451,54210,737100000
28,BTP,HOSE,18/02/2019,,9451,9732,9416,9592,52490,710200000
29,BTP,HOSE,19/02/2019,,9697,9838,9592,9592,106260,1469690000
30,BTP,HOSE,20/02/2019,,9592,9592,9416,9522,27410,369380000
31,BTP,HOSE,21/02/2019,,9522,9592,9346,9416,34070,458450000
32,BTP,HOSE,22/02/2019,,9346,9346,9135,9205,113980,1495150000
33,BTP,HOSE,25/02/2019,,9346,9416,9065,9135,39520,512760000
34,BTP,HOSE,26/02/2019,,9135,9697,9135,9697,88610,1197060000
35,BTP,HOSE,27/02/2019,,9767,9767,9522,9627,51490,705000000
36,BTP,HOSE,28/02/2019,,9486,9627,9416,9557,37020,497690000
37,BTP,HOSE,01/03/2019,,9486,9627,9135,9557,19570,260880000
38,BTP,HOSE,04/03/2019,,9557,9873,9557,9838,59920,835080000
39,BTP,HOSE,05/03/2019,,9908,9908,9627,9767,36740,510350000
40,BTP,HOSE,06/03/2019,,9767,10259,9767,10259,158520,2277780000
41,BTP,HOSE,07/03/2019,,10294,10365,9908,10259,99860,1442490000
42,BTP,HOSE,08/03/2019,,10189,10189,9838,9838,48710,687660000
43,BTP,HOSE,11/03/2019,,9978,10013,9697,9978,53970,754610000
