,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,C47,HOSE,02/01/2019,,12097,12097,11539,12097,21140,399800000
1,C47,HOSE,03/01/2019,,11663,12097,11477,12097,16830,318430000
2,C47,HOSE,04/01/2019,,11787,12035,11787,11973,13790,264950000
3,C47,HOSE,07/01/2019,,11787,11911,11601,11849,12350,233660000
4,C47,HOSE,08/01/2019,,11787,11787,11477,11787,6460,120740000
5,C47,HOSE,09/01/2019,,11818,11818,11167,11725,5500,102020000
6,C47,HOSE,10/01/2019,,11663,11663,10918,10918,6600,117930000
7,C47,HOSE,11/01/2019,,11384,11384,10174,10484,100330,1654310000
8,C47,HOSE,14/01/2019,,10546,10546,10546,10546,5440,92000000
9,C47,HOSE,15/01/2019,,10856,10856,10608,10639,3150,53940000
10,C47,HOSE,16/01/2019,,10546,10639,10298,10639,9350,158000000
11,C47,HOSE,17/01/2019,,10870,10870,10474,10639,10220,164000000
12,C47,HOSE,18/01/2019,,10540,10540,9947,10211,17140,266020000
13,C47,HOSE,21/01/2019,,10507,10540,10409,10409,2420,38270000
14,C47,HOSE,22/01/2019,,10409,10409,10409,10409,1510,23860000
15,C47,HOSE,23/01/2019,,10079,10343,10079,10277,5770,89830000
16,C47,HOSE,24/01/2019,,10409,10409,10211,10343,4000,62010000
17,C47,HOSE,25/01/2019,,10079,10343,9882,10211,6230,95510000
18,C47,HOSE,28/01/2019,,10211,10277,10211,10277,9330,145550000
19,C47,HOSE,29/01/2019,,10277,10277,9882,10013,2240,34140000
20,C47,HOSE,30/01/2019,,10211,10211,9882,10145,5850,90040000
21,C47,HOSE,31/01/2019,,9552,10079,9486,9486,4910,70800000
22,C47,HOSE,01/02/2019,,10013,10145,9387,10145,20230,311300000
23,C47,HOSE,11/02/2019,,10145,10145,9882,10145,18610,286180000
24,C47,HOSE,12/02/2019,,10145,10145,10079,10079,650,9950000
25,C47,HOSE,13/02/2019,,9387,10079,9387,10013,3540,53440000
26,C47,HOSE,14/02/2019,,10079,10079,10013,10013,4030,61360000
27,C47,HOSE,15/02/2019,,10013,10145,9882,10013,4920,74490000
28,C47,HOSE,18/02/2019,,10606,10606,9585,10013,8440,125760000
29,C47,HOSE,19/02/2019,,10474,10474,9486,9486,6710,97070000
30,C47,HOSE,20/02/2019,,8860,9980,8860,9816,14210,199050000
31,C47,HOSE,21/02/2019,,9750,9816,9223,9816,18440,268440000
32,C47,HOSE,22/02/2019,,9816,9816,9157,9750,34500,488710000
33,C47,HOSE,25/02/2019,,9157,9618,9157,9618,29160,412940000
34,C47,HOSE,26/02/2019,,9618,9618,9256,9486,5370,77380000
35,C47,HOSE,27/02/2019,,9486,9552,9091,9519,8340,120420000
36,C47,HOSE,28/02/2019,,9519,9519,9223,9387,4750,67500000
37,C47,HOSE,01/03/2019,,9091,9453,8959,8959,90810,1291800000
38,C47,HOSE,04/03/2019,,8828,9453,8828,9223,41700,577760000
39,C47,HOSE,05/03/2019,,9223,9223,8959,9223,7680,107500000
40,C47,HOSE,06/03/2019,,9355,9355,8762,9190,19130,262780000
41,C47,HOSE,07/03/2019,,9223,9223,8893,9190,27100,370490000
42,C47,HOSE,08/03/2019,,9124,9223,8926,9223,4230,58410000
43,C47,HOSE,11/03/2019,,9025,9058,8630,9025,43820,580300000
44,C47,HOSE,12/03/2019,,8630,8992,8432,8432,66560,866490000
45,C47,HOSE,13/03/2019,,8169,8432,7872,7872,146610,1783250000
46,C47,HOSE,14/03/2019,,7675,7905,7345,7905,125820,1429110000
47,C47,HOSE,15/03/2019,,7905,7971,7576,7642,34800,407350000
48,C47,HOSE,18/03/2019,,7148,7675,7148,7642,60020,664020000
49,C47,HOSE,19/03/2019,,7839,7839,7576,7806,31260,365000000
50,C47,HOSE,20/03/2019,,7642,7806,7576,7774,26110,305220000
51,C47,HOSE,21/03/2019,,7642,7774,7609,7609,17560,203780000
52,C47,HOSE,22/03/2019,,7774,7774,7576,7642,36630,424510000
53,C47,HOSE,25/03/2019,,7642,7708,7312,7312,23590,270810000
