,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CAV,HOSE,02/01/2019,,33808,33808,33808,33808,0,0
1,CAV,HOSE,03/01/2019,,32919,33808,32919,33808,5090,289930000
2,CAV,HOSE,04/01/2019,,33808,33808,33808,33808,0,0
3,CAV,HOSE,07/01/2019,,32919,33808,32326,33808,620,35260000
4,CAV,HOSE,08/01/2019,,33808,33808,33808,33808,4410,251370000
5,CAV,HOSE,09/01/2019,,33808,33808,33808,33808,1000,57000000
6,CAV,HOSE,10/01/2019,,33808,33808,33808,33808,1000,57000000
7,CAV,HOSE,11/01/2019,,33808,33808,33808,33808,10200,581400000
8,CAV,HOSE,14/01/2019,,33808,33808,33808,33808,9600,547000000
9,CAV,HOSE,15/01/2019,,33808,33808,33512,33512,3550,202330000
10,CAV,HOSE,16/01/2019,,33512,33512,33215,33215,1500,84000000
11,CAV,HOSE,17/01/2019,,33215,33215,33215,33215,0,0
12,CAV,HOSE,18/01/2019,,33215,33215,33215,33215,0,0
13,CAV,HOSE,21/01/2019,,33215,33215,33215,33215,0,0
14,CAV,HOSE,22/01/2019,,33215,33215,33215,33215,300,16800000
15,CAV,HOSE,23/01/2019,,33215,33215,33215,33215,100,5600000
16,CAV,HOSE,24/01/2019,,33808,35469,33808,34402,1220,69700000
17,CAV,HOSE,25/01/2019,,34164,35588,34164,35588,540,32010000
18,CAV,HOSE,28/01/2019,,33808,35291,33215,35291,770,43540000
19,CAV,HOSE,29/01/2019,,35291,35291,35291,35291,0,0
20,CAV,HOSE,30/01/2019,,35291,35291,35291,35291,0,0
21,CAV,HOSE,31/01/2019,,35291,35291,35291,35291,0,0
22,CAV,HOSE,01/02/2019,,36774,36774,34698,35647,2040,126360000
23,CAV,HOSE,11/02/2019,,35588,35588,35291,35291,350,20950000
24,CAV,HOSE,12/02/2019,,35291,35291,32919,34995,360,20670000
25,CAV,HOSE,13/02/2019,,34995,34995,34995,34995,0,0
26,CAV,HOSE,14/02/2019,,34995,37367,34995,37367,110,6530000
27,CAV,HOSE,15/02/2019,,35291,35588,34758,35469,2840,166690000
28,CAV,HOSE,18/02/2019,,35469,35469,35469,35469,0,0
29,CAV,HOSE,19/02/2019,,35469,35469,35469,35469,500,29900000
30,CAV,HOSE,20/02/2019,,35469,35469,35469,35469,0,0
31,CAV,HOSE,21/02/2019,,34698,34995,34105,34995,120,6960000
32,CAV,HOSE,22/02/2019,,34105,34698,34105,34698,1170,68280000
33,CAV,HOSE,25/02/2019,,34758,34995,34758,34995,520,30670000
34,CAV,HOSE,26/02/2019,,34105,34995,34105,34995,2110,124020000
35,CAV,HOSE,27/02/2019,,34995,34995,34995,34995,0,0
36,CAV,HOSE,28/02/2019,,34105,34758,33808,34758,530,30320000
37,CAV,HOSE,01/03/2019,,33927,34995,33808,34995,1200,68750000
38,CAV,HOSE,04/03/2019,,34105,34402,34105,34402,910,52330000
39,CAV,HOSE,05/03/2019,,33808,34758,33808,34758,550,31720000
40,CAV,HOSE,06/03/2019,,34758,34758,34758,34758,0,0
41,CAV,HOSE,07/03/2019,,34758,34758,34758,34758,0,0
42,CAV,HOSE,08/03/2019,,34758,34758,34758,34758,600,35160000
43,CAV,HOSE,11/03/2019,,35054,35054,35054,35054,10,590000
44,CAV,HOSE,12/03/2019,,34402,34402,34402,34402,2020,117160000
45,CAV,HOSE,13/03/2019,,34402,34402,34402,34402,1310,75980000
46,CAV,HOSE,14/03/2019,,34402,34402,34105,34105,2000,115250000
47,CAV,HOSE,15/03/2019,,34105,34105,34105,34105,0,0
48,CAV,HOSE,18/03/2019,,34105,34105,33808,33808,7160,411150000
49,CAV,HOSE,19/03/2019,,34402,34402,34105,34105,130,7490000
50,CAV,HOSE,20/03/2019,,33868,33868,33808,33808,1470,83800000
51,CAV,HOSE,21/03/2019,,33808,33808,33808,33808,200,11400000
52,CAV,HOSE,22/03/2019,,33808,33808,33808,33808,110,6270000
53,CAV,HOSE,25/03/2019,,34402,34402,33808,33808,19900,1134310000
54,CAV,HOSE,26/03/2019,,34402,34402,34105,34105,160,9000000
55,CAV,HOSE,27/03/2019,,34105,34105,33037,33037,20,1000000
56,CAV,HOSE,28/03/2019,,33808,34402,33808,34402,3600,209000000
57,CAV,HOSE,29/03/2019,,32682,33808,32682,33808,1170,67000000
58,CAV,HOSE,01/04/2019,,34105,34105,33808,33808,16700,959730000
59,CAV,HOSE,02/04/2019,,33808,33808,33808,33808,500,28500000
60,CAV,HOSE,03/04/2019,,33512,34402,33512,34402,110,6370000
61,CAV,HOSE,04/04/2019,,34402,34402,33215,34402,290,16770000
62,CAV,HOSE,05/04/2019,,34402,34402,34402,34402,0,0
63,CAV,HOSE,08/04/2019,,33156,34402,33156,34402,1050,58910000
64,CAV,HOSE,09/04/2019,,34402,34402,34402,34402,0,0
65,CAV,HOSE,10/04/2019,,34402,34402,34402,34402,10,580000
66,CAV,HOSE,11/04/2019,,34342,34995,34342,34995,150,8730000
67,CAV,HOSE,12/04/2019,,34402,34402,34402,34402,2100,121800000
68,CAV,HOSE,16/04/2019,,34876,34876,33037,34402,4050,232630000
69,CAV,HOSE,17/04/2019,,34105,34402,34105,34402,200,11550000
70,CAV,HOSE,18/04/2019,,34402,34402,33690,34402,3420,196680000
71,CAV,HOSE,19/04/2019,,34342,34342,33631,33631,90,5200000
72,CAV,HOSE,22/04/2019,,35410,35410,34817,34876,1320,77850000
73,CAV,HOSE,23/04/2019,,34402,34639,34402,34402,630,36560000
74,CAV,HOSE,24/04/2019,,34402,34402,33808,34402,3350,192750000
75,CAV,HOSE,25/04/2019,,34402,34402,34402,34402,1000,58
76,CAV,HOSE,26/04/2019,,32919,34402,32919,34402,1690,96560000
77,CAV,HOSE,02/05/2019,,36483,36483,34400,35852,880,48520000
78,CAV,HOSE,03/05/2019,,35347,35852,35347,35852,1320,74250000
79,CAV,HOSE,06/05/2019,,35662,35662,34716,35347,930,52100000
80,CAV,HOSE,07/05/2019,,34716,35347,34400,35347,220,12230000
81,CAV,HOSE,08/05/2019,,34463,35347,34463,35347,520,28530000
82,CAV,HOSE,09/05/2019,,35347,35347,35347,35347,0,0
83,CAV,HOSE,10/05/2019,,35347,35347,35347,35347,0,0
84,CAV,HOSE,13/05/2019,,35221,35221,35221,35221,210,11720000
85,CAV,HOSE,14/05/2019,,35284,35284,34463,35284,260,14280000
86,CAV,HOSE,15/05/2019,,34716,34716,33958,34716,3090,167600000
87,CAV,HOSE,16/05/2019,,34716,34716,34716,34716,2300,126500000
88,CAV,HOSE,17/05/2019,,34652,34716,34652,34716,30,2000000
89,CAV,HOSE,20/05/2019,,34716,34716,34084,34716,910,50040000
90,CAV,HOSE,21/05/2019,,34652,34716,34652,34716,20,1100000
91,CAV,HOSE,22/05/2019,,34274,34652,33453,34652,6000,320880000
92,CAV,HOSE,23/05/2019,,34084,34084,34084,34084,210,11000000
93,CAV,HOSE,24/05/2019,,34084,34652,33643,34652,2810,151090000
94,CAV,HOSE,27/05/2019,,34084,34084,34084,34084,20,1080000
95,CAV,HOSE,28/05/2019,,34084,34084,34084,34084,100,5400000
96,CAV,HOSE,29/05/2019,,33706,34211,33706,34084,170,9100000
97,CAV,HOSE,30/05/2019,,34084,34084,34084,34084,5590,301860000
