,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CCI,HOSE,02/01/2019,,8683,8683,8683,8683,610,7320000
1,CCI,HOSE,03/01/2019,,8683,8683,8683,8683,0,0
2,CCI,HOSE,04/01/2019,,8683,8683,8683,8683,0,0
3,CCI,HOSE,07/01/2019,,8683,8683,8683,8683,0,0
4,CCI,HOSE,08/01/2019,,8683,8683,8683,8683,0,0
5,CCI,HOSE,09/01/2019,,8683,9045,8104,9045,2540,30490000
6,CCI,HOSE,10/01/2019,,8502,8502,8502,8502,10,120000
7,CCI,HOSE,11/01/2019,,8502,8502,8502,8502,0,0
8,CCI,HOSE,14/01/2019,,8104,8104,8104,8104,500,6000000
9,CCI,HOSE,15/01/2019,,8104,8502,8104,8502,1010,11320000
10,CCI,HOSE,16/01/2019,,8502,8502,8502,8502,0,0
11,CCI,HOSE,17/01/2019,,8610,8683,7923,7923,1400,17000000
12,CCI,HOSE,18/01/2019,,8466,8466,8466,8466,10,120000
13,CCI,HOSE,21/01/2019,,8828,8828,8683,8828,16270,198460000
14,CCI,HOSE,22/01/2019,,8828,8828,8828,8828,0,0
15,CCI,HOSE,23/01/2019,,8972,8972,8972,8972,10,120000
16,CCI,HOSE,24/01/2019,,8972,8972,8972,8972,0,0
17,CCI,HOSE,25/01/2019,,8972,8972,8972,8972,0,0
18,CCI,HOSE,28/01/2019,,8972,8972,8972,8972,0,0
19,CCI,HOSE,29/01/2019,,8357,8357,8357,8357,1000,11550000
20,CCI,HOSE,30/01/2019,,8357,8828,8357,8828,4190,48520000
21,CCI,HOSE,31/01/2019,,8755,8828,8755,8828,6000,73140000
22,CCI,HOSE,01/02/2019,,8828,8828,8828,8828,0,0
23,CCI,HOSE,11/02/2019,,8900,8900,8900,8900,360,4430000
24,CCI,HOSE,12/02/2019,,8900,8900,8900,8900,0,0
25,CCI,HOSE,13/02/2019,,8466,8900,8321,8900,190,2200000
26,CCI,HOSE,14/02/2019,,8900,8900,8900,8900,0,0
