,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CEE,HOSE,02/01/2019,,16700,16900,16350,16900,3200,53630000
1,CEE,HOSE,03/01/2019,,16450,17850,16450,17850,6050,107920000
2,CEE,HOSE,04/01/2019,,16850,17200,16650,17200,9660,164740000
3,CEE,HOSE,07/01/2019,,17700,17700,16500,17500,3510,60970000
4,CEE,HOSE,08/01/2019,,16800,17500,16700,17500,5690,99090000
5,CEE,HOSE,09/01/2019,,17500,17500,17500,17500,3000,52500000
6,CEE,HOSE,10/01/2019,,17350,17500,17350,17500,1210,21170000
7,CEE,HOSE,11/01/2019,,16900,17200,16900,17200,3050,52260000
8,CEE,HOSE,14/01/2019,,17000,17000,17000,17000,1010,17000000
9,CEE,HOSE,15/01/2019,,17000,17000,17000,17000,0,0
10,CEE,HOSE,16/01/2019,,17000,17000,16000,16800,13000,215000000
11,CEE,HOSE,17/01/2019,,16800,16800,16000,16600,16710,269000000
12,CEE,HOSE,18/01/2019,,16600,16900,16600,16900,5200,87820000
13,CEE,HOSE,21/01/2019,,16050,16700,16050,16700,2200,36610000
14,CEE,HOSE,22/01/2019,,16650,16650,16650,16650,1200,19980000
15,CEE,HOSE,23/01/2019,,16150,16400,15550,16400,20050,322380000
16,CEE,HOSE,24/01/2019,,16400,16400,16400,16400,10000,164000000
17,CEE,HOSE,25/01/2019,,15400,16400,15400,16400,16500,261510000
18,CEE,HOSE,28/01/2019,,16000,16400,15350,15350,24210,371990000
19,CEE,HOSE,29/01/2019,,15950,16000,15950,16000,1300,20740000
20,CEE,HOSE,30/01/2019,,15050,15950,14900,15950,11400,171270000
21,CEE,HOSE,31/01/2019,,15950,15950,15950,15950,0,0
22,CEE,HOSE,01/02/2019,,16950,16950,16950,16950,10,170000
23,CEE,HOSE,11/02/2019,,15800,16900,15800,16900,54620,869040000
24,CEE,HOSE,12/02/2019,,16400,16400,16400,16400,2010,32960000
25,CEE,HOSE,13/02/2019,,15450,16300,15350,16300,15380,245630000
26,CEE,HOSE,14/02/2019,,16400,16500,15450,16500,22750,367120000
27,CEE,HOSE,15/02/2019,,16500,16500,16500,16500,0,0
28,CEE,HOSE,18/02/2019,,16300,16500,16150,16500,20260,334210000
29,CEE,HOSE,19/02/2019,,15600,16500,15600,16400,28550,451430000
30,CEE,HOSE,20/02/2019,,16500,16500,16500,16500,12000,198000000
31,CEE,HOSE,21/02/2019,,15750,16500,15700,16500,34000,549600000
32,CEE,HOSE,22/02/2019,,16200,16400,15850,16150,11220,181960000
33,CEE,HOSE,25/02/2019,,16150,16350,15600,16300,24020,391240000
34,CEE,HOSE,26/02/2019,,16900,17000,16900,17000,3000,50950000
35,CEE,HOSE,27/02/2019,,16500,18100,16250,18100,57850,985230000
36,CEE,HOSE,28/02/2019,,17800,17800,17800,17800,5010,89180000
37,CEE,HOSE,01/03/2019,,16950,17600,16950,17600,6000,104750000
38,CEE,HOSE,04/03/2019,,17600,17900,17600,17900,65010,1162930000
39,CEE,HOSE,05/03/2019,,17500,17900,17500,17700,57020,1014290000
40,CEE,HOSE,06/03/2019,,17500,17700,17000,17500,98810,1732230000
41,CEE,HOSE,07/03/2019,,17700,17700,17000,17350,100510,1744760000
42,CEE,HOSE,08/03/2019,,17350,17750,17050,17700,325010,5740620000
43,CEE,HOSE,11/03/2019,,17050,17800,17050,17500,166010,2946220000
44,CEE,HOSE,12/03/2019,,17150,17500,17150,17500,10020,175340000
45,CEE,HOSE,13/03/2019,,17500,17650,17500,17600,200010,3527240000
46,CEE,HOSE,14/03/2019,,17600,17600,17600,17600,0,0
47,CEE,HOSE,15/03/2019,,17700,18000,17650,17650,145010,2585930000
48,CEE,HOSE,18/03/2019,,17500,17700,17150,17700,125110,2212280000
49,CEE,HOSE,19/03/2019,,17700,17700,17700,17700,20000,354000000
50,CEE,HOSE,20/03/2019,,17600,17600,17600,17600,5000,88000000
51,CEE,HOSE,21/03/2019,,17600,17600,17600,17600,5000,88000000
52,CEE,HOSE,22/03/2019,,17650,18800,17650,18400,806490,14899210000
53,CEE,HOSE,25/03/2019,,18600,18600,18100,18200,7320,133890000
54,CEE,HOSE,26/03/2019,,18000,18100,18000,18100,10150,184000000
55,CEE,HOSE,27/03/2019,,17800,17900,17100,17900,13110,233000000
56,CEE,HOSE,28/03/2019,,18150,18150,17350,17800,5410,96000000
57,CEE,HOSE,29/03/2019,,18150,18150,17350,17800,320,6000000
58,CEE,HOSE,01/04/2019,,17150,17150,17000,17000,5650,96150000
59,CEE,HOSE,02/04/2019,,16950,17400,16250,17400,9150,152590000
60,CEE,HOSE,03/04/2019,,16550,17200,16550,17200,1030,17150000
61,CEE,HOSE,04/04/2019,,17550,17550,16550,16850,6960,115420000
62,CEE,HOSE,05/04/2019,,15800,16750,15700,16600,17660,280630000
63,CEE,HOSE,08/04/2019,,16600,16600,16600,16600,60,1000000
64,CEE,HOSE,09/04/2019,,15500,16700,15500,16000,1680,26700000
65,CEE,HOSE,10/04/2019,,16600,16600,16350,16500,310,5110000
66,CEE,HOSE,11/04/2019,,16500,16500,16500,16500,0,0
67,CEE,HOSE,12/04/2019,,15450,16150,15350,16050,1520,23620000
68,CEE,HOSE,16/04/2019,,16000,16000,16000,16000,300,4800000
69,CEE,HOSE,17/04/2019,,16900,16900,15100,15900,270,4120000
70,CEE,HOSE,18/04/2019,,15850,16000,15850,16000,70,1120000
71,CEE,HOSE,19/04/2019,,15950,16000,15950,16000,50,800000
72,CEE,HOSE,22/04/2019,,15950,16000,15950,16000,90,1440000
73,CEE,HOSE,23/04/2019,,15950,16000,15950,16000,400,6390000
74,CEE,HOSE,24/04/2019,,16000,16000,16000,16000,0,0
75,CEE,HOSE,25/04/2019,,15900,15900,15900,15900,150,2.39
76,CEE,HOSE,26/04/2019,,15350,16000,15000,16000,2160,33810000
77,CEE,HOSE,02/05/2019,,15050,16000,14900,15850,12230,189130000
78,CEE,HOSE,03/05/2019,,15150,15950,15150,15950,3510,55580000
79,CEE,HOSE,06/05/2019,,15150,16200,15100,16200,4280,68020000
80,CEE,HOSE,07/05/2019,,15750,15750,15100,15700,4280,65530000
81,CEE,HOSE,08/05/2019,,15600,15600,15550,15550,770,11990000
82,CEE,HOSE,09/05/2019,,15650,15650,15500,15600,970,15130000
83,CEE,HOSE,10/05/2019,,15600,15600,15600,15600,2000,31200000
84,CEE,HOSE,13/05/2019,,15800,15800,14600,15650,6570,101560000
85,CEE,HOSE,14/05/2019,,15150,15450,15150,15450,900,13770000
86,CEE,HOSE,15/05/2019,,16000,16000,15450,15450,110,1710000
87,CEE,HOSE,16/05/2019,,14600,15400,14500,15350,6370,95350000
88,CEE,HOSE,17/05/2019,,14600,15300,14350,15050,11120,162000000
89,CEE,HOSE,20/05/2019,,14350,15000,14350,15000,11000,164350000
90,CEE,HOSE,21/05/2019,,15000,15000,14000,14850,32250,456410000
91,CEE,HOSE,22/05/2019,,14050,14800,14000,14750,8920,128830000
92,CEE,HOSE,23/05/2019,,14350,14600,14050,14500,4060,59000000
93,CEE,HOSE,24/05/2019,,14450,14500,14400,14400,2230,32120000
94,CEE,HOSE,27/05/2019,,14000,14000,13450,13950,32280,443380000
95,CEE,HOSE,28/05/2019,,13350,13900,13350,13900,6010,83530000
96,CEE,HOSE,29/05/2019,,13500,13900,13150,13900,19610,263120000
97,CEE,HOSE,30/05/2019,,13350,14650,13350,14650,7350,104640000
98,CEE,HOSE,31/05/2019,,14650,15650,13800,15600,51000,779640000
99,CEE,HOSE,03/06/2019,,14800,15000,14800,15000,15180,227030000
100,CEE,HOSE,04/06/2019,,16000,16000,16000,16000,15000,240000000
101,CEE,HOSE,05/06/2019,,16100,16500,15050,16500,20030,328610000
102,CEE,HOSE,06/06/2019,,16500,16900,16500,16700,29200,486610000
103,CEE,HOSE,07/06/2019,,16700,17000,16700,17000,20000,339920000
104,CEE,HOSE,10/06/2019,,16000,17000,16000,17000,12030,202510000
105,CEE,HOSE,11/06/2019,,16900,17500,16350,17200,102660,1770920000
106,CEE,HOSE,12/06/2019,,16900,17000,16400,16400,10010,170110000
107,CEE,HOSE,13/06/2019,,16400,17000,16400,17000,7000,118390000
108,CEE,HOSE,14/06/2019,,16500,17000,16500,17000,8800,148460000
109,CEE,HOSE,17/06/2019,,17000,17500,17000,17500,6000,104660000
110,CEE,HOSE,18/06/2019,,17450,17850,16500,16500,111420,1961550000
111,CEE,HOSE,19/06/2019,,17000,17000,17000,17000,5100,86700000
112,CEE,HOSE,20/06/2019,,17000,17000,17000,17000,5100,86700000
113,CEE,HOSE,21/06/2019,,16100,17500,16100,17300,9430,159710000
114,CEE,HOSE,24/06/2019,,17300,17900,16550,17500,106090,1896920000
115,CEE,HOSE,25/06/2019,,16550,17000,16550,17000,60,1020000
116,CEE,HOSE,26/06/2019,,16500,16950,16500,16950,2010,33620000
117,CEE,HOSE,27/06/2019,,16550,16550,16550,16550,600,9930000
118,CEE,HOSE,28/06/2019,,16900,17500,16200,17000,103120,1802760000
119,CEE,HOSE,01/07/2019,,16050,16700,16000,16700,6600,106950000
