,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CLC,HOSE,02/01/2019,,21890,21890,21890,21890,10,340000
1,CLC,HOSE,03/01/2019,,21247,21826,20925,21794,4030,131220000
2,CLC,HOSE,04/01/2019,,21247,21890,21247,21890,3130,106170000
3,CLC,HOSE,07/01/2019,,21890,21890,21247,21890,2340,79550000
4,CLC,HOSE,08/01/2019,,21890,21890,20957,21826,640,21160000
5,CLC,HOSE,09/01/2019,,21762,21762,21150,21150,1290,42650000
6,CLC,HOSE,10/01/2019,,21247,21536,19701,21536,6670,217400000
7,CLC,HOSE,11/01/2019,,21504,21890,21504,21890,1020,34120000
8,CLC,HOSE,14/01/2019,,22534,23146,21890,21890,570,19000000
9,CLC,HOSE,15/01/2019,,21890,22856,21890,22792,42060,1451540000
10,CLC,HOSE,16/01/2019,,22856,22856,22341,22792,2940,102000000
11,CLC,HOSE,17/01/2019,,22792,22792,22792,22792,0,0
12,CLC,HOSE,18/01/2019,,22373,22406,22148,22341,7730,267630000
13,CLC,HOSE,21/01/2019,,22406,23822,21665,22534,3420,118770000
14,CLC,HOSE,22/01/2019,,23371,23371,22341,22341,760,26470000
15,CLC,HOSE,23/01/2019,,22856,22856,21633,22277,3940,133900000
16,CLC,HOSE,24/01/2019,,22921,23146,22148,22212,1390,47960000
17,CLC,HOSE,25/01/2019,,22212,22212,22212,22212,230,7940000
18,CLC,HOSE,28/01/2019,,23114,23114,23114,23114,10,360000
19,CLC,HOSE,29/01/2019,,21858,22406,21858,22406,6020,204400000
20,CLC,HOSE,30/01/2019,,21279,22341,21247,21697,3240,107140000
21,CLC,HOSE,31/01/2019,,21697,22599,20989,22341,8990,293260000
22,CLC,HOSE,01/02/2019,,21697,22341,21697,22341,200,6930000
23,CLC,HOSE,11/02/2019,,22277,22406,21408,22373,320,11110000
24,CLC,HOSE,12/02/2019,,21955,22792,21697,21987,15650,531280000
25,CLC,HOSE,13/02/2019,,22727,22727,21633,22212,1750,59790000
26,CLC,HOSE,14/02/2019,,22502,22502,21633,22212,1160,39520000
27,CLC,HOSE,15/02/2019,,22277,22534,22277,22534,560,19380000
28,CLC,HOSE,18/02/2019,,22277,23500,21890,22727,6690,232720000
29,CLC,HOSE,19/02/2019,,21890,22534,21601,22534,170,5850000
30,CLC,HOSE,20/02/2019,,23790,23790,21890,22792,1210,42520000
31,CLC,HOSE,21/02/2019,,21633,22534,21633,22502,4150,139900000
32,CLC,HOSE,22/02/2019,,21762,22406,21762,22406,2170,73510000
33,CLC,HOSE,25/02/2019,,21890,22406,21890,22406,3430,117460000
34,CLC,HOSE,26/02/2019,,21794,22406,21794,22212,4270,145680000
35,CLC,HOSE,27/02/2019,,22406,22406,22309,22309,130,4510000
36,CLC,HOSE,28/02/2019,,22116,22470,22116,22438,4440,152640000
37,CLC,HOSE,01/03/2019,,22856,22856,22212,22663,550,19360000
38,CLC,HOSE,04/03/2019,,22534,22534,22148,22148,3290,114010000
39,CLC,HOSE,05/03/2019,,22406,22406,22148,22406,1130,38920000
40,CLC,HOSE,06/03/2019,,22406,22406,22406,22406,50,1740000
41,CLC,HOSE,07/03/2019,,22406,22406,22406,22406,360,12530000
42,CLC,HOSE,08/03/2019,,23114,23114,22116,22212,6920,238180000
43,CLC,HOSE,11/03/2019,,22406,22406,22212,22212,13700,472770000
44,CLC,HOSE,12/03/2019,,22212,22341,22212,22341,4010,138350000
45,CLC,HOSE,13/03/2019,,22534,22534,22116,22341,6030,207160000
46,CLC,HOSE,14/03/2019,,22534,23822,22534,22534,480,17170000
47,CLC,HOSE,15/03/2019,,22534,22856,22116,22534,6270,217660000
48,CLC,HOSE,18/03/2019,,23693,23693,22084,22406,280,9640000
49,CLC,HOSE,19/03/2019,,22180,22406,22180,22277,9030,312110000
50,CLC,HOSE,20/03/2019,,22180,22212,22180,22212,1550,53450000
51,CLC,HOSE,21/03/2019,,22534,23758,22212,22212,5200,180360000
52,CLC,HOSE,22/03/2019,,22534,22534,21923,22438,30,1040000
53,CLC,HOSE,25/03/2019,,22212,22438,21633,22148,2890,98620000
54,CLC,HOSE,26/03/2019,,22438,22438,22341,22341,740,26000000
55,CLC,HOSE,27/03/2019,,22534,22985,22534,22534,3270,115000000
56,CLC,HOSE,28/03/2019,,22212,23468,22212,23049,5370,187000000
57,CLC,HOSE,29/03/2019,,23049,23049,23049,23049,0,0
58,CLC,HOSE,01/04/2019,,23500,23500,22534,22824,8070,282550000
59,CLC,HOSE,02/04/2019,,22631,22663,22373,22631,2610,91800000
60,CLC,HOSE,03/04/2019,,23049,23049,22148,22631,6230,215090000
61,CLC,HOSE,04/04/2019,,23049,23049,22277,22663,13270,459320000
62,CLC,HOSE,05/04/2019,,22534,23082,22534,22663,4530,158740000
63,CLC,HOSE,08/04/2019,,22663,22663,22373,22663,4590,161120000
64,CLC,HOSE,09/04/2019,,22663,22856,22438,22727,5240,182910000
65,CLC,HOSE,10/04/2019,,22727,22727,22084,22084,13330,458550000
66,CLC,HOSE,11/04/2019,,22695,22695,22438,22438,390,13600000
67,CLC,HOSE,12/04/2019,,22663,22663,22470,22502,8010,279700000
68,CLC,HOSE,16/04/2019,,22502,22663,22084,22084,2350,80850000
69,CLC,HOSE,17/04/2019,,22341,22341,22019,22309,1240,42450000
70,CLC,HOSE,18/04/2019,,22534,22631,22212,22341,2390,82700000
71,CLC,HOSE,19/04/2019,,22341,22502,22277,22502,1080,37390000
72,CLC,HOSE,22/04/2019,,22470,22502,22438,22438,240,8380000
73,CLC,HOSE,23/04/2019,,22277,22534,22212,22502,4010,138940000
74,CLC,HOSE,24/04/2019,,22534,22534,22212,22534,3600,124830000
75,CLC,HOSE,25/04/2019,,22084,22534,22084,22534,430,14.99
76,CLC,HOSE,26/04/2019,,22084,22534,22084,22534,28360,977510000
77,CLC,HOSE,02/05/2019,,22534,22792,22212,22245,5480,190050000
78,CLC,HOSE,03/05/2019,,22534,22631,22245,22534,4760,165510000
79,CLC,HOSE,06/05/2019,,22277,22277,22277,22277,3630,125600000
80,CLC,HOSE,07/05/2019,,22470,22502,22084,22502,2060,71370000
81,CLC,HOSE,08/05/2019,,22438,22502,22277,22502,1190,41560000
82,CLC,HOSE,09/05/2019,,22856,22856,22373,22534,9680,338050000
83,CLC,HOSE,10/05/2019,,23114,23114,22534,22856,2650,93080000
84,CLC,HOSE,13/05/2019,,22856,22985,22599,22985,4470,158390000
85,CLC,HOSE,14/05/2019,,22921,22921,22921,22921,3000,106800000
86,CLC,HOSE,15/05/2019,,23194,23876,22000,23194,5660,192360000
87,CLC,HOSE,16/05/2019,,22989,23126,22989,23126,810,27430000
88,CLC,HOSE,17/05/2019,,23262,23262,22989,22989,12570,425000000
89,CLC,HOSE,20/05/2019,,23330,23399,23023,23058,4810,162410000
90,CLC,HOSE,21/05/2019,,23740,23740,23058,23160,1740,58930000
91,CLC,HOSE,22/05/2019,,23603,23603,23058,23399,10870,367890000
92,CLC,HOSE,23/05/2019,,23194,23194,22853,23160,2020,68000000
93,CLC,HOSE,24/05/2019,,23092,23092,23092,23092,6200,209870000
94,CLC,HOSE,27/05/2019,,23160,23160,23058,23126,5540,187550000
95,CLC,HOSE,28/05/2019,,23092,23194,23092,23194,1090,36900000
96,CLC,HOSE,29/05/2019,,23126,23126,23092,23092,13100,443490000
97,CLC,HOSE,30/05/2019,,23058,23160,23058,23160,3110,105320000
98,CLC,HOSE,31/05/2019,,23637,23637,23092,23092,5090,172310000
99,CLC,HOSE,03/06/2019,,23092,24695,23092,23399,850,28940000
100,CLC,HOSE,04/06/2019,,23399,24217,22819,23330,2640,89920000
101,CLC,HOSE,05/06/2019,,23330,24081,23023,23160,21070,711880000
102,CLC,HOSE,06/06/2019,,23058,23126,23058,23126,10010,338340000
103,CLC,HOSE,07/06/2019,,23808,23808,23808,23808,110,3840000
104,CLC,HOSE,10/06/2019,,23330,23330,23330,23330,80,2740000
105,CLC,HOSE,11/06/2019,,23399,23706,22785,23160,4570,152930000
106,CLC,HOSE,12/06/2019,,23671,23671,22785,23058,450,15250000
107,CLC,HOSE,13/06/2019,,23842,23842,23842,23842,50,1750000
108,CLC,HOSE,14/06/2019,,23058,23092,22955,23092,7460,251380000
109,CLC,HOSE,17/06/2019,,22751,23160,22751,23058,5490,183630000
110,CLC,HOSE,18/06/2019,,22716,22989,22716,22989,3530,117860000
111,CLC,HOSE,19/06/2019,,22921,22989,22716,22989,12130,406440000
112,CLC,HOSE,20/06/2019,,22921,22989,22716,22989,12130,406440000
113,CLC,HOSE,21/06/2019,,22853,23058,22853,23058,1710,57430000
114,CLC,HOSE,24/06/2019,,23058,23058,22853,23023,1160,38910000
115,CLC,HOSE,25/06/2019,,23023,23023,22239,22239,4300,142200000
116,CLC,HOSE,26/06/2019,,23399,23399,23399,23399,20,690000
117,CLC,HOSE,27/06/2019,,23399,24422,23399,23467,540,18640000
118,CLC,HOSE,28/06/2019,,24013,24013,23126,23535,3630,123570000
119,CLC,HOSE,01/07/2019,,23535,23706,23262,23706,6790,233640000
120,CLC,HOSE,02/07/2019,,23535,23535,23467,23467,110,3790000
121,CLC,HOSE,03/07/2019,,23671,23671,23671,23671,10,350000
122,CLC,HOSE,04/07/2019,,23671,23671,23671,23671,0,0
123,CLC,HOSE,05/07/2019,,23330,23330,23194,23194,130,4420000
124,CLC,HOSE,08/07/2019,,23092,23399,23092,23330,130,4410000
125,CLC,HOSE,09/07/2019,,23194,23467,23058,23126,34750,1177120000
126,CLC,HOSE,10/07/2019,,24422,24422,24354,24422,1010,36000000
127,CLC,HOSE,11/07/2019,,24422,24422,24354,24422,0,0
128,CLC,HOSE,12/07/2019,,24081,24081,23194,23194,2610,90000000
129,CLC,HOSE,15/07/2019,,23876,23876,23058,23467,5050,171000000
130,CLC,HOSE,16/07/2019,,23740,23740,23535,23535,90,3000000
131,CLC,HOSE,17/07/2019,,23092,23467,23058,23433,13920,472000000
132,CLC,HOSE,18/07/2019,,23433,23433,22989,23228,39060,1323000000
133,CLC,HOSE,19/07/2019,,22921,23228,22921,23228,6510,219000000
134,CLC,HOSE,22/07/2019,,23228,23228,22716,22853,25120,841000000
135,CLC,HOSE,23/07/2019,,23092,23194,22853,22853,29210,980000000
136,CLC,HOSE,24/07/2019,,23194,23194,22375,22853,1620,54000000
137,CLC,HOSE,25/07/2019,,21830,23194,21830,22853,80,3000000
138,CLC,HOSE,26/07/2019,,23194,23194,22853,22853,610,20000000
139,CLC,HOSE,29/07/2019,,21898,22853,21898,22853,80,3000000
140,CLC,HOSE,30/07/2019,,21898,22853,21898,22853,0,0
141,CLC,HOSE,31/07/2019,,21898,22853,21898,22853,0,0
142,CLC,HOSE,01/08/2019,,22853,23126,22239,23126,80,3000000
143,CLC,HOSE,02/08/2019,,23126,23126,23126,23126,330,11000000
144,CLC,HOSE,05/08/2019,,23126,23126,23126,23126,0,0
145,CLC,HOSE,06/08/2019,,22955,22989,22444,22921,4000,132000000
146,CLC,HOSE,07/08/2019,,21693,22853,21693,22853,50,2000000
147,CLC,HOSE,08/08/2019,,22751,22751,21557,21557,1230,40000000
148,CLC,HOSE,09/08/2019,,23058,23058,21796,22955,8170,266000000
149,CLC,HOSE,12/08/2019,,22307,22307,22307,22307,10,0
150,CLC,HOSE,13/08/2019,,22955,22955,22819,22819,1010,34000000
151,CLC,HOSE,14/08/2019,,23058,23058,23058,23058,40,1000000
152,CLC,HOSE,15/08/2019,,22239,22853,22239,22853,2540,83000000
153,CLC,HOSE,16/08/2019,,22239,22853,21318,22853,420,13000000
154,CLC,HOSE,19/08/2019,,22239,22921,21591,22921,170,5000000
155,CLC,HOSE,20/08/2019,,22853,22853,22853,23058,1580,53000000
156,CLC,HOSE,21/08/2019,,22444,22921,21489,22921,1310,44000000
157,CLC,HOSE,22/08/2019,,22785,23058,22512,23058,9420,312000000
158,CLC,HOSE,23/08/2019,,22512,22921,22512,22921,10020,331000000
159,CLC,HOSE,26/08/2019,,22478,22921,21898,22716,6130,202000000
160,CLC,HOSE,27/08/2019,,22171,22171,22171,22716,3510,114000000
161,CLC,HOSE,28/08/2019,,21898,22512,21898,22512,3650,117000000
162,CLC,HOSE,29/08/2019,,22989,22989,22000,22989,2230,72000000
163,CLC,HOSE,30/08/2019,,22375,22819,22375,22819,1620,53000000
164,CLC,HOSE,03/09/2019,,22819,22819,22239,22819,3630,119000000
165,CLC,HOSE,04/09/2019,,21898,22716,21898,22512,1840,59000000
166,CLC,HOSE,05/09/2019,,22239,22648,22239,22648,3110,102000000
167,CLC,HOSE,06/09/2019,,22512,22512,22512,22512,100,3000000
168,CLC,HOSE,09/09/2019,,23603,23876,23603,23876,50,2000000
169,CLC,HOSE,10/09/2019,,23603,23876,23603,23876,0,0
170,CLC,HOSE,11/09/2019,,22205,23126,22205,23126,1820,60000000
171,CLC,HOSE,12/09/2019,,22375,22512,22171,22512,18360,599000000
172,CLC,HOSE,13/09/2019,,22171,22171,22171,22512,890,29000000
173,CLC,HOSE,16/09/2019,,22512,22512,22512,22512,40,1000000
174,CLC,HOSE,17/09/2019,,22478,23194,21830,22512,840,27000000
175,CLC,HOSE,18/09/2019,,23126,23126,21830,22512,1970,63000000
176,CLC,HOSE,19/09/2019,,24013,24013,24013,24013,10,0
177,CLC,HOSE,20/09/2019,,22341,23978,22341,23978,3750,123000000
178,CLC,HOSE,23/09/2019,,22341,23978,22341,23978,0,0
179,CLC,HOSE,24/09/2019,,23978,23978,23978,23978,320,11000000
180,CLC,HOSE,25/09/2019,,23978,23978,23978,23978,40,1000000
181,CLC,HOSE,26/09/2019,,23978,23978,23978,23978,40,1000000
182,CLC,HOSE,27/09/2019,,22853,22853,22853,22853,20,1000000
183,CLC,HOSE,30/09/2019,,22512,22512,22102,22171,2180,71000000
184,CLC,HOSE,01/10/2019,,23706,23706,22512,22512,40,1000000
185,CLC,HOSE,02/10/2019,,23126,23126,22512,21625,1470,49000000
186,CLC,HOSE,03/10/2019,,21830,23126,21830,21182,80,3000000
187,CLC,HOSE,04/10/2019,,22648,22648,22648,22614,40,1000000
188,CLC,HOSE,07/10/2019,,23876,23876,22648,23194,400,14000000
189,CLC,HOSE,08/10/2019,,23160,23194,23160,22512,60,2000000
190,CLC,HOSE,09/10/2019,,21147,23194,21147,22478,2920,91000000
191,CLC,HOSE,10/10/2019,,23194,23194,23194,23194,40,1000000
192,CLC,HOSE,11/10/2019,,23808,23808,21830,22478,7490,240000000
193,CLC,HOSE,14/10/2019,,22955,23058,21693,23058,9980,320000000
194,CLC,HOSE,15/10/2019,,23058,23330,21898,22341,4250,137000000
195,CLC,HOSE,16/10/2019,,23092,23092,22034,22239,7670,249000000
196,CLC,HOSE,17/10/2019,,22512,22512,22512,22512,40,1000000
197,CLC,HOSE,18/10/2019,,22819,23535,21761,24013,1660,54000000
198,CLC,HOSE,21/10/2019,,24013,24013,24013,24013,30,1000000
199,CLC,HOSE,22/10/2019,,22341,23194,22341,23194,3710,122000000
200,CLC,HOSE,23/10/2019,,21830,24558,21830,23194,4670,151000000
201,CLC,HOSE,24/10/2019,,23194,23194,23194,23194,320,11000000
202,CLC,HOSE,25/10/2019,,23194,23194,21830,23126,2220,71000000
203,CLC,HOSE,28/10/2019,,22409,22409,22239,22716,3460,113000000
204,CLC,HOSE,29/10/2019,,23808,23808,23808,23808,40,1000000
205,CLC,HOSE,30/10/2019,,22512,23023,22512,22512,2340,78000000
206,CLC,HOSE,31/10/2019,,23535,23535,23535,23535,40,1000000
207,CLC,HOSE,01/11/2019,,23535,23535,23535,23535,0,0
208,CLC,HOSE,04/11/2019,,22512,23058,22307,22512,13630,448000000
209,CLC,HOSE,05/11/2019,,23467,23467,22512,22512,40,1000000
210,CLC,HOSE,06/11/2019,,23535,23535,21386,22478,5550,176000000
211,CLC,HOSE,07/11/2019,,22444,22444,22444,22239,400,13000000
212,CLC,HOSE,08/11/2019,,22444,23501,22239,23330,12860,420000000
213,CLC,HOSE,11/11/2019,,22682,22682,21830,22478,1330,43000000
214,CLC,HOSE,12/11/2019,,22409,22409,22409,22409,20,1000000
215,CLC,HOSE,13/11/2019,,22375,23876,22307,23876,2410,79000000
216,CLC,HOSE,14/11/2019,,22580,22580,22205,22512,1420,46000000
217,CLC,HOSE,15/11/2019,,23092,23092,23092,23092,10,0
218,CLC,HOSE,18/11/2019,,23399,23399,23399,23399,10,0
219,CLC,HOSE,19/11/2019,,22068,23092,22068,23092,340,11000000
220,CLC,HOSE,20/11/2019,,23194,24695,22034,22512,4460,146000000
221,CLC,HOSE,21/11/2019,,22512,23876,22512,22512,4480,148000000
222,CLC,HOSE,22/11/2019,,23535,23535,22512,22512,2170,72000000
223,CLC,HOSE,25/11/2019,,23228,23228,22512,22512,240,8000000
224,CLC,HOSE,26/11/2019,,22512,23092,22512,22512,810,27000000
225,CLC,HOSE,27/11/2019,,22512,22512,22512,22512,3700,122000000
226,CLC,HOSE,28/11/2019,,23194,23296,22512,22512,60,2000000
227,CLC,HOSE,29/11/2019,,22512,22921,22512,22921,1400,46000000
228,CLC,HOSE,02/12/2019,,22512,22512,22307,22375,3970,131000000
229,CLC,HOSE,03/12/2019,,22375,23296,22375,22444,2670,88000000
230,CLC,HOSE,04/12/2019,,22580,22580,22444,22444,1570,52000000
231,CLC,HOSE,05/12/2019,,23218,23218,23218,23218,10,0
232,CLC,HOSE,06/12/2019,,21846,23182,21846,23182,11420,360000000
233,CLC,HOSE,09/12/2019,,22268,22866,22233,22866,1210,38000000
234,CLC,HOSE,10/12/2019,,22268,22866,22233,22866,0,0
235,CLC,HOSE,11/12/2019,,22162,22795,22162,22795,650,21000000
236,CLC,HOSE,12/12/2019,,22233,22409,22162,22409,230,7000000
