,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CMX,HOSE,02/01/2019,,8754,9170,8754,8813,3570,52800000
1,CMX,HOSE,03/01/2019,,8456,8456,8218,8218,50990,706230000
2,CMX,HOSE,04/01/2019,,8099,8099,7652,7860,70330,915670000
3,CMX,HOSE,07/01/2019,,8039,8337,8039,8277,14770,202610000
4,CMX,HOSE,08/01/2019,,8277,8456,8099,8396,2610,36460000
5,CMX,HOSE,09/01/2019,,8396,8396,8158,8277,25190,348870000
6,CMX,HOSE,10/01/2019,,8337,8337,8039,8039,29270,404260000
7,CMX,HOSE,11/01/2019,,8039,8277,7771,7771,41770,563240000
8,CMX,HOSE,14/01/2019,,7801,8039,7801,7801,21170,283000000
9,CMX,HOSE,15/01/2019,,8009,8337,8009,8337,29830,414870000
10,CMX,HOSE,16/01/2019,,8754,8754,8337,8575,32210,465000000
11,CMX,HOSE,17/01/2019,,8724,8873,8456,8456,9210,134000000
12,CMX,HOSE,18/01/2019,,9022,9022,9022,9022,79710,1207610000
13,CMX,HOSE,21/01/2019,,9617,9647,9170,9587,272150,4391370000
14,CMX,HOSE,22/01/2019,,9587,9647,9349,9528,69950,1110710000
15,CMX,HOSE,23/01/2019,,9528,9528,9289,9528,40090,634750000
16,CMX,HOSE,24/01/2019,,9409,10183,9379,9885,670060,11326750000
17,CMX,HOSE,25/01/2019,,10332,10570,9885,10391,272080,4697430000
18,CMX,HOSE,28/01/2019,,10391,11016,9825,10064,100110,1678110000
19,CMX,HOSE,29/01/2019,,10004,10004,9379,9379,156590,2499920000
20,CMX,HOSE,30/01/2019,,9379,9825,9379,9587,66070,1062800000
21,CMX,HOSE,31/01/2019,,9587,10004,9528,9885,71100,1176970000
22,CMX,HOSE,01/02/2019,,9885,10093,9528,9825,76070,1253560000
23,CMX,HOSE,11/02/2019,,9825,10123,9409,9766,171470,2757700000
24,CMX,HOSE,12/02/2019,,10034,10034,9528,9766,66860,1087260000
25,CMX,HOSE,13/02/2019,,9766,10421,9528,10421,212190,3607590000
26,CMX,HOSE,14/02/2019,,10659,10719,10123,10123,37210,649550000
27,CMX,HOSE,15/02/2019,,10123,10361,9766,9766,47050,781460000
28,CMX,HOSE,18/02/2019,,10004,10064,9409,9885,142560,2299870000
29,CMX,HOSE,19/02/2019,,9885,9885,9528,9766,45670,736420000
30,CMX,HOSE,20/02/2019,,9766,9766,9528,9528,30640,492280000
31,CMX,HOSE,21/02/2019,,9528,9706,9260,9528,89560,1417910000
32,CMX,HOSE,22/02/2019,,9528,9528,9289,9409,30920,484660000
33,CMX,HOSE,25/02/2019,,9468,9706,9468,9647,57590,921530000
34,CMX,HOSE,26/02/2019,,9706,9706,9468,9647,38550,620310000
35,CMX,HOSE,27/02/2019,,9647,9825,9409,9528,25480,406280000
36,CMX,HOSE,28/02/2019,,9706,9706,9289,9289,38500,606700000
37,CMX,HOSE,01/03/2019,,9230,9528,9230,9528,23520,371950000
38,CMX,HOSE,04/03/2019,,9528,9706,9379,9528,72600,1165210000
39,CMX,HOSE,05/03/2019,,9528,9647,9260,9587,58140,928950000
40,CMX,HOSE,06/03/2019,,9528,9617,9468,9468,47070,757050000
41,CMX,HOSE,07/03/2019,,9647,10004,9528,9885,63640,1048690000
42,CMX,HOSE,08/03/2019,,9945,10510,9945,10480,177910,3071510000
43,CMX,HOSE,11/03/2019,,10897,11195,10719,11195,99490,1858350000
44,CMX,HOSE,12/03/2019,,11969,11969,11552,11880,138710,2745560000
45,CMX,HOSE,13/03/2019,,11314,11612,11314,11463,74150,1422150000
46,CMX,HOSE,14/03/2019,,11106,11910,11076,11284,67480,1310690000
47,CMX,HOSE,15/03/2019,,11612,12267,11195,11642,31450,603330000
48,CMX,HOSE,18/03/2019,,11642,12446,11642,12446,159170,3254140000
49,CMX,HOSE,19/03/2019,,13309,13309,12922,13309,264270,5893520000
50,CMX,HOSE,20/03/2019,,13309,14172,13309,13994,86130,2003980000
51,CMX,HOSE,21/03/2019,,13517,13934,13041,13041,165000,3647590000
52,CMX,HOSE,22/03/2019,,13339,13875,12207,13875,63690,1405200000
53,CMX,HOSE,25/03/2019,,13696,13696,12922,12922,190110,4208630000
54,CMX,HOSE,26/03/2019,,12922,13398,12803,13011,39150,859000000
55,CMX,HOSE,27/03/2019,,13220,13458,12446,13398,24770,539000000
56,CMX,HOSE,28/03/2019,,12981,13398,12505,13101,38850,825000000
57,CMX,HOSE,29/03/2019,,13041,13220,12505,12624,24370,522000000
58,CMX,HOSE,01/04/2019,,12981,13190,12862,13190,70480,1540910000
59,CMX,HOSE,02/04/2019,,13220,13220,12833,12833,19030,416320000
60,CMX,HOSE,03/04/2019,,12624,13071,12505,12565,19200,407630000
61,CMX,HOSE,04/04/2019,,12565,13398,12565,13339,64860,1427240000
62,CMX,HOSE,05/04/2019,,13398,13398,12981,13398,27800,618580000
63,CMX,HOSE,08/04/2019,,13398,13398,12981,13220,18830,416750000
64,CMX,HOSE,09/04/2019,,13339,13398,12803,13011,58190,1265380000
65,CMX,HOSE,10/04/2019,,13101,13904,13071,13904,158600,3655270000
66,CMX,HOSE,11/04/2019,,14738,14738,14411,14589,133430,3267850000
67,CMX,HOSE,12/04/2019,,14589,15602,14589,15602,219910,5553250000
68,CMX,HOSE,16/04/2019,,14917,16673,14917,16405,180430,4986430000
69,CMX,HOSE,17/04/2019,,16376,16614,15482,15482,113340,3028340000
70,CMX,HOSE,18/04/2019,,15482,16227,15363,16048,134890,3602340000
71,CMX,HOSE,19/04/2019,,16078,16316,15363,15482,71480,1901960000
72,CMX,HOSE,22/04/2019,,15482,15602,14649,14887,101270,2574710000
73,CMX,HOSE,23/04/2019,,14649,14768,13934,14083,115960,2762920000
74,CMX,HOSE,24/04/2019,,14083,14559,13756,14291,119230,2840600000
75,CMX,HOSE,25/04/2019,,14649,14649,14024,14291,21000,505
76,CMX,HOSE,26/04/2019,,14053,14291,13875,14262,13210,312240000
77,CMX,HOSE,02/05/2019,,14470,14470,14053,14172,48570,1162380000
78,CMX,HOSE,03/05/2019,,14172,14291,13696,13815,24110,568240000
79,CMX,HOSE,06/05/2019,,13815,14143,13101,13577,35600,805660000
80,CMX,HOSE,07/05/2019,,13458,13964,13458,13696,12880,294980000
81,CMX,HOSE,08/05/2019,,13696,14083,13398,13875,23640,546000000
82,CMX,HOSE,09/05/2019,,13994,14589,13636,14589,84340,2022230000
83,CMX,HOSE,10/05/2019,,14768,14768,14291,14530,44460,1084730000
84,CMX,HOSE,13/05/2019,,14887,14887,14351,14649,69680,1725110000
85,CMX,HOSE,14/05/2019,,14649,14649,14291,14470,21820,530210000
86,CMX,HOSE,15/05/2019,,14381,14768,14351,14411,26680,648520000
87,CMX,HOSE,16/05/2019,,14411,14500,13488,13488,69810,1645410000
88,CMX,HOSE,17/05/2019,,13517,14053,13517,13666,66640,1542000000
89,CMX,HOSE,20/05/2019,,13666,14053,13666,13696,64640,1497910000
90,CMX,HOSE,21/05/2019,,13458,13904,13458,13696,24470,559090000
91,CMX,HOSE,22/05/2019,,13696,13875,13636,13845,16680,384780000
