,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CNG,HOSE,02/01/2019,,13661,13714,13635,13714,12110,313470000
1,CNG,HOSE,03/01/2019,,13582,13714,13582,13714,15610,402010000
2,CNG,HOSE,04/01/2019,,13714,13740,13450,13740,80640,2057740000
3,CNG,HOSE,07/01/2019,,13740,13740,13529,13714,420,10900000
4,CNG,HOSE,08/01/2019,,13714,13740,13608,13740,2800,72540000
5,CNG,HOSE,09/01/2019,,13714,13714,13503,13714,3630,94010000
6,CNG,HOSE,10/01/2019,,13714,13714,13687,13714,5680,147480000
7,CNG,HOSE,11/01/2019,,13687,13714,13608,13714,6600,171070000
8,CNG,HOSE,14/01/2019,,13714,13714,13661,13714,4190,109000000
9,CNG,HOSE,15/01/2019,,13714,13714,13687,13714,8660,225150000
10,CNG,HOSE,16/01/2019,,13767,14320,13635,13714,5280,137000000
11,CNG,HOSE,17/01/2019,,13608,13714,13608,13714,16860,438000000
12,CNG,HOSE,18/01/2019,,13714,13714,13661,13661,5360,139140000
13,CNG,HOSE,21/01/2019,,13714,13714,13661,13714,5050,130880000
14,CNG,HOSE,22/01/2019,,13714,13714,13661,13714,7610,197740000
15,CNG,HOSE,23/01/2019,,13714,13714,13687,13687,3390,88140000
16,CNG,HOSE,24/01/2019,,13687,13687,13661,13687,10680,277060000
17,CNG,HOSE,25/01/2019,,13661,13687,13608,13687,7870,203740000
18,CNG,HOSE,28/01/2019,,13687,13687,13661,13661,19990,517920000
19,CNG,HOSE,29/01/2019,,13714,13714,13608,13687,7310,188810000
20,CNG,HOSE,30/01/2019,,13714,13714,13608,13635,7160,185090000
21,CNG,HOSE,31/01/2019,,13714,13714,13608,13714,57910,1505610000
22,CNG,HOSE,01/02/2019,,13687,13714,13661,13714,29720,772170000
23,CNG,HOSE,11/02/2019,,13714,13714,13687,13714,31100,808500000
24,CNG,HOSE,12/02/2019,,13714,13714,13661,13714,68360,1775540000
25,CNG,HOSE,13/02/2019,,13714,13714,13687,13714,64440,1674440000
26,CNG,HOSE,14/02/2019,,13714,13714,13687,13687,27070,702590000
27,CNG,HOSE,15/02/2019,,13714,13714,13661,13687,9050,235000000
28,CNG,HOSE,18/02/2019,,14215,14215,13714,13767,191750,4996810000
29,CNG,HOSE,19/02/2019,,14057,14083,13767,13819,21590,565030000
30,CNG,HOSE,20/02/2019,,13951,13951,13767,13767,18090,472230000
31,CNG,HOSE,21/02/2019,,13978,14083,13793,13925,60800,1600780000
32,CNG,HOSE,22/02/2019,,13872,13872,13767,13846,26320,688950000
33,CNG,HOSE,25/02/2019,,13846,14189,13846,13978,26700,703250000
34,CNG,HOSE,26/02/2019,,13898,14030,13819,13978,21050,555310000
35,CNG,HOSE,27/02/2019,,14162,14162,13898,14057,3530,93970000
36,CNG,HOSE,28/02/2019,,13898,14241,13872,14057,13060,344360000
37,CNG,HOSE,01/03/2019,,13978,13978,13819,13819,41480,1091300000
38,CNG,HOSE,04/03/2019,,13819,13898,13819,13846,36360,956010000
39,CNG,HOSE,05/03/2019,,13846,13951,13846,13846,32160,845530000
40,CNG,HOSE,06/03/2019,,13872,13978,13872,13925,21680,570780000
41,CNG,HOSE,07/03/2019,,13872,13951,13872,13925,30930,815210000
42,CNG,HOSE,08/03/2019,,13898,14294,13898,14136,32860,872570000
43,CNG,HOSE,11/03/2019,,14215,14215,13978,13978,19400,517280000
44,CNG,HOSE,12/03/2019,,13978,14083,13951,14057,22400,595930000
45,CNG,HOSE,13/03/2019,,13978,14452,13978,14241,54480,1475290000
46,CNG,HOSE,14/03/2019,,14373,14400,14241,14241,24740,698550000
47,CNG,HOSE,15/03/2019,,14241,14400,14083,14083,16170,433120000
48,CNG,HOSE,18/03/2019,,14320,14347,14083,14241,25270,678770000
49,CNG,HOSE,19/03/2019,,14241,14241,14083,14189,46180,1237280000
50,CNG,HOSE,20/03/2019,,14162,14189,14083,14136,39100,1047330000
51,CNG,HOSE,21/03/2019,,14109,14162,14030,14057,18790,501640000
52,CNG,HOSE,22/03/2019,,14083,14215,14083,14189,16630,446870000
53,CNG,HOSE,25/03/2019,,14109,14136,14030,14083,15100,402240000
54,CNG,HOSE,26/03/2019,,14241,14241,14004,14057,13350,355000000
55,CNG,HOSE,27/03/2019,,14136,14136,13978,13978,6700,178000000
56,CNG,HOSE,28/03/2019,,14030,14162,14030,14162,1040,28000000
57,CNG,HOSE,29/03/2019,,14109,14109,13978,14109,3110,83000000
58,CNG,HOSE,01/04/2019,,13978,14162,13925,14083,71470,1898720000
59,CNG,HOSE,02/04/2019,,13978,14083,13925,14083,16030,423890000
60,CNG,HOSE,03/04/2019,,14030,14083,13978,14083,1370,36440000
61,CNG,HOSE,04/04/2019,,14083,14083,13846,13898,55480,1461070000
62,CNG,HOSE,05/04/2019,,13898,13898,13846,13898,8360,219790000
63,CNG,HOSE,08/04/2019,,13898,13898,13846,13872,33650,885720000
64,CNG,HOSE,09/04/2019,,13872,13925,13819,13819,20800,546310000
65,CNG,HOSE,10/04/2019,,13846,13846,13740,13846,28110,735400000
66,CNG,HOSE,11/04/2019,,13793,13819,13767,13819,25460,665830000
67,CNG,HOSE,12/04/2019,,13819,13846,13819,13846,7420,194770000
68,CNG,HOSE,16/04/2019,,13819,13846,13819,13846,4700,123200000
69,CNG,HOSE,17/04/2019,,13846,13846,13819,13846,35540,932130000
