,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CRC,HOSE,02/01/2019,,14628,14628,14362,14362,20190,329390000
1,CRC,HOSE,03/01/2019,,14539,14539,14184,14317,19500,315260000
2,CRC,HOSE,04/01/2019,,14450,14450,14007,14007,20200,320950000
3,CRC,HOSE,07/01/2019,,14362,14362,13919,13919,24950,396740000
4,CRC,HOSE,08/01/2019,,14273,14273,13608,13653,21210,327410000
5,CRC,HOSE,09/01/2019,,14007,14007,13608,13653,32110,494730000
6,CRC,HOSE,10/01/2019,,12766,13697,12766,13475,22910,350220000
7,CRC,HOSE,11/01/2019,,13475,13520,13254,13254,27300,413640000
8,CRC,HOSE,14/01/2019,,13564,13564,13121,13209,22500,336000000
9,CRC,HOSE,15/01/2019,,13209,13254,12855,12855,35170,522380000
10,CRC,HOSE,16/01/2019,,13254,13254,12589,12899,21540,315000000
11,CRC,HOSE,17/01/2019,,12855,12855,12190,12234,20290,285000000
12,CRC,HOSE,18/01/2019,,12855,12855,11481,12367,20020,277330000
13,CRC,HOSE,21/01/2019,,12367,12411,12323,12367,7770,108370000
14,CRC,HOSE,22/01/2019,,12367,12411,12323,12411,8280,115730000
15,CRC,HOSE,23/01/2019,,12411,12500,12367,12500,8850,124370000
16,CRC,HOSE,24/01/2019,,12544,12589,12456,12544,13340,188300000
17,CRC,HOSE,25/01/2019,,12633,12766,12589,12766,6020,86180000
18,CRC,HOSE,28/01/2019,,12766,13032,12766,13032,6520,94940000
19,CRC,HOSE,29/01/2019,,13121,13298,13121,13298,5030,75120000
20,CRC,HOSE,30/01/2019,,13298,13342,13254,13342,7590,113990000
21,CRC,HOSE,31/01/2019,,13298,13564,13209,13564,8450,127440000
22,CRC,HOSE,01/02/2019,,13520,13653,13520,13608,6570,100680000
23,CRC,HOSE,11/02/2019,,13608,13741,13608,13697,5150,79400000
24,CRC,HOSE,12/02/2019,,13697,13786,13653,13697,27380,422830000
25,CRC,HOSE,13/02/2019,,13697,13786,13608,13786,13160,203350000
26,CRC,HOSE,14/02/2019,,13830,14362,13786,14273,45410,721450000
27,CRC,HOSE,15/02/2019,,14317,15248,14229,14982,119250,1986960000
28,CRC,HOSE,18/02/2019,,14982,15780,14982,15514,104990,1828470000
29,CRC,HOSE,19/02/2019,,15470,15869,15337,15337,92580,1631060000
30,CRC,HOSE,20/02/2019,,15337,16401,15293,15958,151250,2673280000
31,CRC,HOSE,21/02/2019,,15869,16002,15248,15426,74650,1304510000
32,CRC,HOSE,22/02/2019,,15692,16489,15692,16489,195040,3581530000
33,CRC,HOSE,25/02/2019,,16578,17243,16578,17110,118190,2265900000
34,CRC,HOSE,26/02/2019,,17021,18307,16933,18307,203080,4076630000
35,CRC,HOSE,27/02/2019,,18307,18484,18085,18085,150240,3105910000
36,CRC,HOSE,28/02/2019,,17997,18218,17110,17287,147490,2931510000
37,CRC,HOSE,01/03/2019,,17287,17287,16622,16755,145060,2759190000
38,CRC,HOSE,04/03/2019,,16800,17642,16622,17287,173240,3371110000
39,CRC,HOSE,05/03/2019,,17287,17553,16844,16844,169640,3304110000
40,CRC,HOSE,06/03/2019,,16667,17997,16401,17997,223330,4370010000
41,CRC,HOSE,07/03/2019,,18085,18395,17997,18130,152020,3123940000
42,CRC,HOSE,08/03/2019,,18130,18440,18130,18307,120620,2485130000
43,CRC,HOSE,11/03/2019,,18263,18484,18130,18484,151150,3126320000
44,CRC,HOSE,12/03/2019,,18484,18972,18395,18883,138090,2897460000
45,CRC,HOSE,13/03/2019,,18927,18972,18794,18972,120080,2560790000
46,CRC,HOSE,14/03/2019,,18972,18972,18130,18440,125670,2829960000
47,CRC,HOSE,15/03/2019,,18307,18617,18085,18528,164780,3409810000
48,CRC,HOSE,18/03/2019,,18528,19193,18528,19060,191660,4078480000
49,CRC,HOSE,19/03/2019,,19105,19770,19105,19681,246160,5409020000
50,CRC,HOSE,20/03/2019,,19770,20390,19725,20124,251700,5685730000
51,CRC,HOSE,21/03/2019,,20169,21099,19991,20567,242670,5623760000
52,CRC,HOSE,22/03/2019,,20656,21188,19858,19858,288320,6744040000
53,CRC,HOSE,25/03/2019,,19415,19415,18484,18528,228700,4837890000
54,CRC,HOSE,26/03/2019,,18573,18972,17731,17997,205330,4214000000
55,CRC,HOSE,27/03/2019,,17775,17775,16844,17110,218450,4269000000
56,CRC,HOSE,28/03/2019,,17199,17642,17021,17287,196980,3843000000
57,CRC,HOSE,29/03/2019,,17332,17465,16844,17332,199740,3878000000
58,CRC,HOSE,01/04/2019,,17376,17509,16888,17110,199810,3878120000
59,CRC,HOSE,02/04/2019,,17154,17199,16534,16622,211350,4013410000
60,CRC,HOSE,03/04/2019,,16578,17287,16578,16800,200880,3845520000
61,CRC,HOSE,04/04/2019,,16844,17021,15869,16135,240350,4453130000
62,CRC,HOSE,05/04/2019,,16046,16401,15780,15780,229940,4183080000
63,CRC,HOSE,08/04/2019,,15514,16135,15071,15958,314640,5517630000
64,CRC,HOSE,09/04/2019,,16046,16135,15071,15337,313260,5553670000
65,CRC,HOSE,10/04/2019,,15248,15470,15071,15071,246460,4232910000
66,CRC,HOSE,11/04/2019,,15337,15958,15337,15470,257300,4528530000
67,CRC,HOSE,12/04/2019,,15514,15514,14805,14982,94950,1621560000
68,CRC,HOSE,16/04/2019,,15071,15337,15071,15160,166220,2844050000
69,CRC,HOSE,17/04/2019,,15160,15426,14805,15071,247550,4235340000
70,CRC,HOSE,18/04/2019,,15115,15115,14140,14273,137270,2270440000
71,CRC,HOSE,19/04/2019,,14273,14628,14007,14096,167590,2719410000
72,CRC,HOSE,22/04/2019,,14007,14007,13298,13431,155560,2396650000
73,CRC,HOSE,23/04/2019,,13387,14362,12988,14362,446960,7174470000
74,CRC,HOSE,24/04/2019,,14539,15071,14362,14894,359460,6011240000
75,CRC,HOSE,25/04/2019,,14982,15647,14982,15337,305400,5287.12
76,CRC,HOSE,26/04/2019,,15470,15603,14450,14628,264740,4455290000
77,CRC,HOSE,02/05/2019,,14628,14716,13608,13741,271840,4243010000
