,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CRE,HOSE,02/01/2019,,7021,7021,6937,6954,103200,4303700000
1,CRE,HOSE,03/01/2019,,6937,6954,6854,6937,91660,3790260000
2,CRE,HOSE,04/01/2019,,6937,6954,6887,6904,87620,3627600000
3,CRE,HOSE,07/01/2019,,6920,6954,6887,6954,111590,4621960000
4,CRE,HOSE,08/01/2019,,6937,6971,6854,6954,112120,4640220000
5,CRE,HOSE,09/01/2019,,6937,7004,6904,6987,112800,4699380000
6,CRE,HOSE,10/01/2019,,6971,6987,6887,6937,98700,4097970000
7,CRE,HOSE,11/01/2019,,6937,6954,6887,6954,124640,5161260000
8,CRE,HOSE,14/01/2019,,6954,6954,6904,6920,101230,4192000000
9,CRE,HOSE,15/01/2019,,6920,6937,6854,6887,110250,4554960000
10,CRE,HOSE,16/01/2019,,6854,6854,6770,6837,306080,12462000000
11,CRE,HOSE,17/01/2019,,6820,6837,6803,6803,130100,5307000000
12,CRE,HOSE,18/01/2019,,6803,6828,6787,6820,144620,5883370000
13,CRE,HOSE,21/01/2019,,6837,6887,6803,6887,131110,5363410000
14,CRE,HOSE,22/01/2019,,6904,6920,6837,6854,118550,4874660000
15,CRE,HOSE,23/01/2019,,6854,6870,6820,6854,115580,4734230000
16,CRE,HOSE,24/01/2019,,6854,6904,6820,6904,147050,6034890000
17,CRE,HOSE,25/01/2019,,6887,6937,6870,6937,150980,6239570000
18,CRE,HOSE,28/01/2019,,6954,6987,6937,6954,138820,5776140000
19,CRE,HOSE,29/01/2019,,6954,7004,6937,6987,157450,6569980000
20,CRE,HOSE,30/01/2019,,6971,7004,6954,6987,106040,4425850000
21,CRE,HOSE,31/01/2019,,6971,7088,6971,7054,207430,8711500000
22,CRE,HOSE,01/02/2019,,7021,7154,7021,7154,297380,12628160000
23,CRE,HOSE,11/02/2019,,7154,7213,7154,7188,262900,11301470000
24,CRE,HOSE,12/02/2019,,7188,7196,7138,7154,169550,7275920000
25,CRE,HOSE,13/02/2019,,7138,7180,7138,7154,257560,11022030000
26,CRE,HOSE,14/02/2019,,7221,7489,7195,7489,565240,15325990000
27,CRE,HOSE,15/02/2019,,7489,7623,7475,7623,289640,8161780000
28,CRE,HOSE,18/02/2019,,7623,7649,7409,7569,273290,7683910000
29,CRE,HOSE,19/02/2019,,7489,7489,7315,7395,266230,7353640000
30,CRE,HOSE,20/02/2019,,7382,7395,7328,7355,237670,6528650000
31,CRE,HOSE,21/02/2019,,7355,7422,7355,7355,256230,7068200000
32,CRE,HOSE,22/02/2019,,7382,7409,7355,7368,231670,6381050000
33,CRE,HOSE,25/02/2019,,7368,7449,7368,7368,239650,6621090000
34,CRE,HOSE,26/02/2019,,7368,7409,7355,7382,209830,5783060000
35,CRE,HOSE,27/02/2019,,7382,7409,7302,7355,183510,5049620000
36,CRE,HOSE,28/02/2019,,7355,7355,7195,7221,153470,4193060000
37,CRE,HOSE,01/03/2019,,7248,7275,7195,7275,128950,3479590000
38,CRE,HOSE,04/03/2019,,7275,7328,7221,7221,129200,3516140000
39,CRE,HOSE,05/03/2019,,7221,7248,7221,7221,97760,2639990000
40,CRE,HOSE,06/03/2019,,7248,7248,7168,7195,103430,2782290000
41,CRE,HOSE,07/03/2019,,7221,7221,7061,7154,86180,2298080000
42,CRE,HOSE,08/03/2019,,7141,7168,7088,7168,92730,2474580000
43,CRE,HOSE,11/03/2019,,7168,7168,7061,7088,87580,2326640000
44,CRE,HOSE,12/03/2019,,7088,7141,7034,7088,88520,2341870000
45,CRE,HOSE,13/03/2019,,7061,7114,7034,7088,78760,2084900000
46,CRE,HOSE,14/03/2019,,7061,7088,7061,7061,78970,2213800000
47,CRE,HOSE,15/03/2019,,7088,7101,7061,7088,83370,2204940000
48,CRE,HOSE,18/03/2019,,7114,7114,7061,7114,204140,5411950000
49,CRE,HOSE,19/03/2019,,7114,7141,7101,7141,181210,4825680000
50,CRE,HOSE,20/03/2019,,7114,7114,7061,7114,130340,3457730000
51,CRE,HOSE,21/03/2019,,7114,7141,7034,7034,117270,3104890000
52,CRE,HOSE,22/03/2019,,7034,7088,6994,7034,132690,3483240000
53,CRE,HOSE,25/03/2019,,7007,7007,6954,7007,105860,2765010000
54,CRE,HOSE,26/03/2019,,7034,7047,6994,7007,122020,3201000000
55,CRE,HOSE,27/03/2019,,7034,7061,7007,7021,160300,4216000000
56,CRE,HOSE,28/03/2019,,7034,7128,7034,7101,244530,6473000000
57,CRE,HOSE,29/03/2019,,7114,7235,7088,7208,204400,5477000000
58,CRE,HOSE,01/04/2019,,7221,7235,7141,7195,156150,4201610000
59,CRE,HOSE,02/04/2019,,7195,7195,7007,7034,274270,7246090000
60,CRE,HOSE,03/04/2019,,7034,7034,6927,6954,226180,5900550000
61,CRE,HOSE,04/04/2019,,6954,6954,6820,6900,138700,3570270000
62,CRE,HOSE,05/04/2019,,6874,6981,6874,6981,97400,2521740000
63,CRE,HOSE,08/04/2019,,6954,6981,6887,6954,151830,3936620000
64,CRE,HOSE,09/04/2019,,6954,6981,6900,6927,194960,5060870000
65,CRE,HOSE,10/04/2019,,6927,6954,6900,6954,179320,4644780000
