,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CTI,HOSE,02/01/2019,,19773,20058,19732,19936,772530,18847480000
1,CTI,HOSE,03/01/2019,,19895,19977,19569,19651,1340530,32512740000
2,CTI,HOSE,04/01/2019,,19651,19732,19487,19732,1890230,45520310000
3,CTI,HOSE,07/01/2019,,19773,20221,19773,19936,712650,17477290000
4,CTI,HOSE,08/01/2019,,19977,20140,19854,20058,883600,21620000000
5,CTI,HOSE,09/01/2019,,20058,20711,20058,20670,1517340,38125480000
6,CTI,HOSE,10/01/2019,,20670,21404,20670,21200,1664360,43006130000
7,CTI,HOSE,11/01/2019,,21200,22015,21200,21893,1575560,41629760000
8,CTI,HOSE,14/01/2019,,21444,21567,20588,20996,844150,21804000000
9,CTI,HOSE,15/01/2019,,20955,21322,20711,21241,928900,24067830000
10,CTI,HOSE,16/01/2019,,21200,21526,21200,21281,807030,21174000000
11,CTI,HOSE,17/01/2019,,21241,21281,20711,20874,710460,18219000000
12,CTI,HOSE,18/01/2019,,20874,21077,20874,20874,616770,15847580000
13,CTI,HOSE,21/01/2019,,20874,21118,20303,20384,887730,22590960000
14,CTI,HOSE,22/01/2019,,20384,20670,20384,20629,885390,22402040000
15,CTI,HOSE,23/01/2019,,20629,20792,20629,20792,734300,18655100000
16,CTI,HOSE,24/01/2019,,20792,21037,20711,20833,643010,16421850000
17,CTI,HOSE,25/01/2019,,20833,20874,20711,20792,737720,18810580000
18,CTI,HOSE,28/01/2019,,20792,20955,20547,20711,829760,21150920000
19,CTI,HOSE,29/01/2019,,20670,20751,20181,20466,714500,17873400000
20,CTI,HOSE,30/01/2019,,20466,20711,20466,20629,719410,18216110000
21,CTI,HOSE,31/01/2019,,20629,20874,20507,20629,516530,13090760000
22,CTI,HOSE,01/02/2019,,20629,20751,20547,20629,614920,15565400000
23,CTI,HOSE,11/02/2019,,20711,20792,20629,20629,577510,14663280000
24,CTI,HOSE,12/02/2019,,20629,20792,20629,20792,584840,14847140000
25,CTI,HOSE,13/02/2019,,20792,21852,20792,21444,1445640,37871760000
26,CTI,HOSE,14/02/2019,,21485,21607,21281,21607,1172670,30862200000
27,CTI,HOSE,15/02/2019,,21607,21811,21037,21363,1514390,39835460000
28,CTI,HOSE,18/02/2019,,21037,21200,20670,21118,1353070,34700170000
29,CTI,HOSE,19/02/2019,,21118,21241,20303,20425,849130,21494210000
30,CTI,HOSE,20/02/2019,,20425,20466,19814,19895,742300,18271760000
31,CTI,HOSE,21/02/2019,,19895,20221,19895,20058,717100,17618730000
32,CTI,HOSE,22/02/2019,,20058,20303,20058,20221,647220,16004780000
33,CTI,HOSE,25/02/2019,,20221,20384,20017,20384,663510,16450150000
34,CTI,HOSE,26/02/2019,,20384,20588,20140,20140,344970,8619800000
35,CTI,HOSE,27/02/2019,,20140,20466,20058,20344,786390,19559290000
36,CTI,HOSE,28/02/2019,,20344,20955,20344,20547,990580,25121230000
37,CTI,HOSE,01/03/2019,,20588,21077,20507,20874,708480,18039170000
38,CTI,HOSE,04/03/2019,,20384,21281,20384,21118,1283420,32852370000
39,CTI,HOSE,05/03/2019,,21077,21077,20425,20792,754890,19122130000
40,CTI,HOSE,06/03/2019,,20751,20792,20344,20711,721770,18247980000
41,CTI,HOSE,07/03/2019,,20711,20833,20629,20711,639130,16266320000
42,CTI,HOSE,08/03/2019,,20384,20466,20140,20221,497160,12402420000
43,CTI,HOSE,11/03/2019,,20221,20547,20181,20547,653130,16312110000
44,CTI,HOSE,12/03/2019,,20588,20792,20344,20711,831120,21010270000
45,CTI,HOSE,13/03/2019,,20221,20792,20221,20547,949500,23969160000
46,CTI,HOSE,14/03/2019,,20547,20792,20384,20588,955370,24532900000
47,CTI,HOSE,15/03/2019,,20588,20711,20303,20384,633110,15853950000
48,CTI,HOSE,18/03/2019,,20384,20547,20344,20425,909730,22779050000
49,CTI,HOSE,19/03/2019,,20425,20547,20303,20547,899050,22509940000
50,CTI,HOSE,20/03/2019,,20547,20629,20344,20547,584200,14667070000
51,CTI,HOSE,21/03/2019,,20547,20670,20384,20384,567170,14276080000
52,CTI,HOSE,22/03/2019,,20425,20466,20058,20058,554630,13782190000
53,CTI,HOSE,25/03/2019,,20017,20058,19773,19895,616740,15029260000
54,CTI,HOSE,26/03/2019,,19936,20181,19895,20099,1339100,32832000000
55,CTI,HOSE,27/03/2019,,20099,20955,20099,20955,1037350,25779000000
56,CTI,HOSE,28/03/2019,,20425,20629,20384,20547,1153300,29056000000
57,CTI,HOSE,29/03/2019,,20547,20588,20425,20466,848850,21361000000
58,CTI,HOSE,01/04/2019,,20466,20711,20384,20466,673340,16899190000
59,CTI,HOSE,02/04/2019,,20466,20588,20425,20425,1366880,34309390000
60,CTI,HOSE,03/04/2019,,20425,20466,20384,20466,1178660,29526100000
61,CTI,HOSE,04/04/2019,,20466,20629,20466,20629,994400,25088400000
62,CTI,HOSE,05/04/2019,,20670,20751,20384,20629,936180,23623990000
63,CTI,HOSE,08/04/2019,,20629,20874,20588,20792,1010520,25730880000
64,CTI,HOSE,09/04/2019,,20833,21363,20833,21037,1752120,45322070000
65,CTI,HOSE,10/04/2019,,20629,20955,20547,20629,1387810,35301540000
66,CTI,HOSE,11/04/2019,,20629,21037,20384,20384,1198480,30303420000
67,CTI,HOSE,12/04/2019,,20262,20547,20181,20547,1232330,30692420000
68,CTI,HOSE,16/04/2019,,20507,20629,20058,20629,1008850,25211060000
69,CTI,HOSE,17/04/2019,,20547,20629,20221,20221,807700,20197080000
70,CTI,HOSE,18/04/2019,,20221,20344,20140,20221,876290,21704170000
71,CTI,HOSE,19/04/2019,,20221,20466,20181,20221,735850,18333460000
72,CTI,HOSE,22/04/2019,,20221,20303,19977,20058,432450,10649650000
73,CTI,HOSE,23/04/2019,,20058,20221,19977,20221,391300,9637800000
74,CTI,HOSE,24/04/2019,,20221,20547,20099,20221,549130,13687990000
75,CTI,HOSE,25/04/2019,,20221,20303,19936,19936,422970,10392.22
76,CTI,HOSE,26/04/2019,,19977,20058,19732,19936,572130,13944490000
77,CTI,HOSE,02/05/2019,,19895,19936,19773,19936,426390,10373860000
78,CTI,HOSE,03/05/2019,,19895,19895,19569,19569,368110,8885720000
79,CTI,HOSE,06/05/2019,,19528,19528,18998,19243,226720,5337600000
80,CTI,HOSE,07/05/2019,,19243,19324,19080,19161,244940,5768650000
81,CTI,HOSE,08/05/2019,,19121,19324,19039,19324,258860,6074500000
82,CTI,HOSE,09/05/2019,,19243,19406,19243,19406,276070,6530810000
83,CTI,HOSE,10/05/2019,,19365,19528,19324,19487,462200,10974070000
84,CTI,HOSE,13/05/2019,,19447,19528,19365,19528,322440,7694100000
85,CTI,HOSE,14/05/2019,,19161,19447,19161,19406,432310,10230090000
86,CTI,HOSE,15/05/2019,,19406,19447,18631,18754,506130,11754540000
87,CTI,HOSE,16/05/2019,,18794,19039,18713,18957,304170,7037770000
88,CTI,HOSE,17/05/2019,,18957,19161,18835,19121,292760,6814000000
89,CTI,HOSE,20/05/2019,,19080,19161,18876,19121,278210,6499070000
90,CTI,HOSE,21/05/2019,,19121,19121,18917,19080,172520,4015020000
91,CTI,HOSE,22/05/2019,,19080,19121,18917,19039,220840,5147660000
92,CTI,HOSE,23/05/2019,,18998,19080,18835,18957,251350,5831000000
93,CTI,HOSE,24/05/2019,,18754,18835,18591,18754,262040,6017490000
94,CTI,HOSE,27/05/2019,,18672,19080,18591,19080,365390,8428860000
95,CTI,HOSE,28/05/2019,,18917,19121,18917,19039,194440,4534600000
96,CTI,HOSE,29/05/2019,,18998,19080,18713,18835,255920,5919260000
97,CTI,HOSE,30/05/2019,,18754,19080,18713,18957,359060,8299060000
98,CTI,HOSE,31/05/2019,,18957,18998,18794,18876,177750,4110900000
99,CTI,HOSE,03/06/2019,,18794,18835,18264,18835,352120,8016420000
100,CTI,HOSE,04/06/2019,,18754,18917,18672,18754,245970,5658340000
101,CTI,HOSE,05/06/2019,,18672,18917,18591,18835,264230,6087110000
102,CTI,HOSE,06/06/2019,,18754,18835,18754,18835,238920,5507740000
