,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CTR,UPCOM,02/01/2019,,8824,8952,8568,8782,61408,1265943200
1,CTR,UPCOM,03/01/2019,,8952,8952,8526,8739,74301,1509180300
2,CTR,UPCOM,04/01/2019,,8696,8696,8483,8611,11200,223300000
3,CTR,UPCOM,07/01/2019,,8696,8739,8654,8739,6181,125921300
4,CTR,UPCOM,08/01/2019,,8654,8696,8568,8696,32600,660590000
5,CTR,UPCOM,09/01/2019,,8696,8696,8526,8654,6720,135388000
6,CTR,UPCOM,10/01/2019,,8611,8824,8441,8526,98120,1997177100
7,CTR,UPCOM,11/01/2019,,8696,8782,8526,8696,24500,499690000
8,CTR,UPCOM,14/01/2019,,8696,8782,8696,8782,11100,226830000
9,CTR,UPCOM,15/01/2019,,8526,8867,8526,8739,11007,225162800
10,CTR,UPCOM,16/01/2019,,8910,8910,8739,8824,28500,587700000
11,CTR,UPCOM,17/01/2019,,8782,8824,8739,8824,12547,259638100
12,CTR,UPCOM,18/01/2019,,8824,8824,8611,8782,6000,123370000
13,CTR,UPCOM,21/01/2019,,8611,8611,8185,8483,21940,434611000
14,CTR,UPCOM,22/01/2019,,8782,9592,8227,8611,4584,92039000
15,CTR,UPCOM,23/01/2019,,8526,8611,8355,8611,13180,264740000
16,CTR,UPCOM,24/01/2019,,8526,8568,8441,8441,8400,167960000
17,CTR,UPCOM,25/01/2019,,8526,8696,8398,8526,31655,641190300
18,CTR,UPCOM,28/01/2019,,8611,8654,8355,8568,54934,1101857200
19,CTR,UPCOM,29/01/2019,,8739,8739,8313,8654,112600,2269010000
20,CTR,UPCOM,30/01/2019,,8654,8696,8441,8696,24380,491082000
21,CTR,UPCOM,31/01/2019,,8568,8611,8441,8526,4600,91480000
22,CTR,UPCOM,01/02/2019,,8654,8654,8355,8526,39360,775626000
23,CTR,UPCOM,11/02/2019,,8568,8568,8313,8441,123420,2438856000
24,CTR,UPCOM,12/02/2019,,8398,8483,8185,8355,74919,1457248300
25,CTR,UPCOM,13/02/2019,,8313,8398,8185,8270,74455,1458702500
26,CTR,UPCOM,14/02/2019,,8483,8526,8185,8313,21561,417558700
27,CTR,UPCOM,15/02/2019,,8355,8355,8185,8270,13550,262579000
28,CTR,UPCOM,18/02/2019,,8398,8483,8100,8227,22840,441052000
29,CTR,UPCOM,19/02/2019,,8313,8313,8227,8313,25930,505163000
30,CTR,UPCOM,20/02/2019,,8398,8441,8227,8270,36320,712786000
31,CTR,UPCOM,21/02/2019,,8270,8398,8014,8185,64408,1225206300
32,CTR,UPCOM,22/02/2019,,8270,8313,8014,8100,150120,2876132000
