,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CTS,HOSE,02/01/2019,,6265,6316,6074,6316,63990,622450000
1,CTS,HOSE,03/01/2019,,6074,6291,5914,6201,78880,753030000
2,CTS,HOSE,04/01/2019,,5952,6061,5818,6061,167050,1543020000
3,CTS,HOSE,07/01/2019,,6074,6074,5946,6042,18820,176580000
4,CTS,HOSE,08/01/2019,,5946,6010,5754,5958,43360,394710000
5,CTS,HOSE,09/01/2019,,5754,5997,5754,5997,62800,578180000
6,CTS,HOSE,10/01/2019,,5869,6010,5850,5997,50810,471870000
7,CTS,HOSE,11/01/2019,,6010,6010,5869,5946,44550,411670000
8,CTS,HOSE,14/01/2019,,5990,5990,5818,5824,15230,139000000
9,CTS,HOSE,15/01/2019,,5882,5882,5754,5760,79600,720680000
10,CTS,HOSE,16/01/2019,,5760,5882,5741,5850,61430,553000000
11,CTS,HOSE,17/01/2019,,5850,5850,5767,5850,21960,199000000
12,CTS,HOSE,18/01/2019,,5818,5837,5747,5837,60350,545370000
13,CTS,HOSE,21/01/2019,,5837,5850,5709,5735,80500,723110000
14,CTS,HOSE,22/01/2019,,5754,5818,5741,5754,44650,405090000
15,CTS,HOSE,23/01/2019,,5684,5818,5684,5818,14620,131830000
16,CTS,HOSE,24/01/2019,,5741,5754,5626,5754,97660,869120000
17,CTS,HOSE,25/01/2019,,5690,5690,5594,5658,108910,959210000
18,CTS,HOSE,28/01/2019,,5658,5658,5498,5620,60830,529490000
19,CTS,HOSE,29/01/2019,,5517,5562,5383,5517,107520,916730000
20,CTS,HOSE,30/01/2019,,5498,5524,5434,5460,39530,338200000
21,CTS,HOSE,31/01/2019,,5441,5530,5441,5530,24860,213120000
22,CTS,HOSE,01/02/2019,,5562,5562,5466,5556,12230,105460000
23,CTS,HOSE,11/02/2019,,5620,5620,5441,5613,46850,406440000
24,CTS,HOSE,12/02/2019,,5818,5875,5639,5818,148980,1355540000
25,CTS,HOSE,13/02/2019,,5875,5875,5818,5837,66220,605040000
26,CTS,HOSE,14/02/2019,,5837,5856,5786,5818,70620,643350000
27,CTS,HOSE,15/02/2019,,5818,5818,5754,5767,109320,986150000
28,CTS,HOSE,18/02/2019,,5818,5869,5818,5837,68320,622950000
29,CTS,HOSE,19/02/2019,,5818,5863,5818,5837,109380,1000020000
30,CTS,HOSE,20/02/2019,,5875,5875,5773,5837,66020,603340000
31,CTS,HOSE,21/02/2019,,5837,5837,5786,5818,60680,551720000
32,CTS,HOSE,22/02/2019,,5805,5869,5792,5850,162750,1483620000
33,CTS,HOSE,25/02/2019,,5946,6010,5856,5907,216750,2015530000
34,CTS,HOSE,26/02/2019,,5997,6074,5914,6003,157760,1471220000
35,CTS,HOSE,27/02/2019,,6010,6010,5952,5984,137280,1285970000
36,CTS,HOSE,28/02/2019,,6010,6010,5882,5907,137720,1276440000
37,CTS,HOSE,01/03/2019,,5978,5978,5869,5901,36340,335010000
38,CTS,HOSE,04/03/2019,,5914,6048,5914,6048,112380,1052010000
39,CTS,HOSE,05/03/2019,,6010,6099,5978,6061,96290,912450000
40,CTS,HOSE,06/03/2019,,6061,6074,6010,6061,70010,663050000
41,CTS,HOSE,07/03/2019,,6061,6457,6061,6393,269810,2663380000
42,CTS,HOSE,08/03/2019,,6387,6393,6214,6323,151820,1501820000
43,CTS,HOSE,11/03/2019,,6323,6323,6169,6265,97280,952060000
44,CTS,HOSE,12/03/2019,,6329,6329,6189,6259,57710,561650000
45,CTS,HOSE,13/03/2019,,6259,6457,6259,6374,190540,1894970000
46,CTS,HOSE,14/03/2019,,6374,6380,6272,6361,172250,1700880000
47,CTS,HOSE,15/03/2019,,6329,6361,6272,6329,87050,857550000
48,CTS,HOSE,18/03/2019,,6304,6329,6278,6291,88040,867850000
49,CTS,HOSE,19/03/2019,,6329,6380,6291,6323,138480,1371140000
50,CTS,HOSE,20/03/2019,,6323,6323,6240,6265,38990,381560000
51,CTS,HOSE,21/03/2019,,6297,6297,6137,6137,64400,628360000
52,CTS,HOSE,22/03/2019,,6137,6137,6048,6067,74220,704960000
53,CTS,HOSE,25/03/2019,,6067,6067,5850,5946,74940,701460000
54,CTS,HOSE,26/03/2019,,6010,6137,5978,5978,71180,671000000
55,CTS,HOSE,27/03/2019,,5978,6233,5978,6137,20900,201000000
56,CTS,HOSE,28/03/2019,,6074,6106,6074,6106,18850,179000000
57,CTS,HOSE,29/03/2019,,6106,6106,6042,6106,23740,226000000
58,CTS,HOSE,01/04/2019,,6106,6125,6010,6106,27360,260890000
59,CTS,HOSE,02/04/2019,,6074,6106,6042,6074,18650,177580000
60,CTS,HOSE,03/04/2019,,5946,6074,5946,6010,18310,171110000
61,CTS,HOSE,04/04/2019,,6061,6074,6010,6010,27970,264630000
62,CTS,HOSE,05/04/2019,,6042,6361,6010,6329,279060,2711700000
63,CTS,HOSE,08/04/2019,,6329,6393,6201,6393,182690,1811190000
64,CTS,HOSE,09/04/2019,,6393,6393,6265,6355,99390,982900000
65,CTS,HOSE,10/04/2019,,6368,6521,6297,6393,309150,3095620000
66,CTS,HOSE,11/04/2019,,6425,6425,6265,6297,172910,1716510000
67,CTS,HOSE,12/04/2019,,6393,6393,6074,6329,93770,914340000
68,CTS,HOSE,16/04/2019,,6106,6265,6106,6233,40600,393460000
69,CTS,HOSE,17/04/2019,,6233,6265,6137,6208,65600,634900000
70,CTS,HOSE,18/04/2019,,6144,6189,6048,6189,136920,1306460000
71,CTS,HOSE,19/04/2019,,6201,6201,6080,6189,17430,168040000
72,CTS,HOSE,22/04/2019,,6137,6189,6086,6163,26990,259290000
73,CTS,HOSE,23/04/2019,,6080,6195,6042,6137,37800,363160000
74,CTS,HOSE,24/04/2019,,6169,6189,6074,6189,102060,972980000
75,CTS,HOSE,25/04/2019,,6189,6201,6106,6106,13880,133.80
76,CTS,HOSE,26/04/2019,,6182,6182,6042,6163,34040,325490000
77,CTS,HOSE,02/05/2019,,6118,6163,6080,6150,27810,266400000
78,CTS,HOSE,03/05/2019,,6086,6169,6086,6137,25960,249920000
79,CTS,HOSE,06/05/2019,,6074,6106,5978,6042,82350,778240000
80,CTS,HOSE,07/05/2019,,5984,6074,5978,6067,36790,345930000
81,CTS,HOSE,08/05/2019,,6010,6067,6010,6067,9160,86890000
82,CTS,HOSE,09/05/2019,,6067,6137,6010,6067,32020,304450000
83,CTS,HOSE,10/05/2019,,6042,6118,6010,6061,10250,97050000
84,CTS,HOSE,13/05/2019,,6067,6074,6054,6074,65840,624830000
85,CTS,HOSE,14/05/2019,,6074,6074,6010,6061,34770,328410000
86,CTS,HOSE,15/05/2019,,6074,6137,6054,6074,29580,281990000
87,CTS,HOSE,16/05/2019,,6080,6106,6074,6074,17680,168140000
88,CTS,HOSE,17/05/2019,,6074,6080,6022,6067,7010,66000000
89,CTS,HOSE,20/05/2019,,6074,6125,6061,6074,27600,262190000
90,CTS,HOSE,21/05/2019,,6061,6106,6010,6106,84050,794260000
91,CTS,HOSE,22/05/2019,,6074,6112,6074,6112,26940,256540000
92,CTS,HOSE,23/05/2019,,6106,6106,6022,6106,25110,238000000
93,CTS,HOSE,24/05/2019,,6074,6074,6010,6074,34900,329690000
94,CTS,HOSE,27/05/2019,,6074,6074,6010,6074,20920,197530000
95,CTS,HOSE,28/05/2019,,6074,6074,6029,6054,16450,155480000
96,CTS,HOSE,29/05/2019,,6061,6061,6010,6054,15800,149230000
97,CTS,HOSE,30/05/2019,,5952,6054,5952,6042,39020,368470000
98,CTS,HOSE,31/05/2019,,6042,6042,5958,5958,22410,209070000
99,CTS,HOSE,03/06/2019,,5958,6010,5856,5978,25010,230440000
100,CTS,HOSE,04/06/2019,,5882,5946,5882,5946,61150,565260000
101,CTS,HOSE,05/06/2019,,5946,5946,5882,5882,32470,299560000
102,CTS,HOSE,06/06/2019,,5882,5914,5786,5914,30130,275570000
103,CTS,HOSE,07/06/2019,,5914,5946,5914,5946,28960,268290000
104,CTS,HOSE,10/06/2019,,5952,5997,5914,5997,19170,178290000
105,CTS,HOSE,11/06/2019,,5901,5978,5895,5978,11500,106810000
106,CTS,HOSE,12/06/2019,,5895,5978,5895,5978,50680,472210000
107,CTS,HOSE,13/06/2019,,5997,5997,5901,5978,7600,70950000
108,CTS,HOSE,14/06/2019,,5946,5946,5888,5895,15870,146530000
109,CTS,HOSE,17/06/2019,,5946,5946,5863,5914,15700,144530000
110,CTS,HOSE,18/06/2019,,5850,5882,5831,5831,23220,211950000
111,CTS,HOSE,19/06/2019,,5831,5895,5831,5875,8940,81900000
112,CTS,HOSE,20/06/2019,,5831,5895,5831,5875,8940,81900000
113,CTS,HOSE,21/06/2019,,5965,5965,5888,5939,5370,49790000
114,CTS,HOSE,24/06/2019,,5895,5914,5786,5914,48860,448340000
115,CTS,HOSE,25/06/2019,,5882,5907,5824,5907,17560,161450000
116,CTS,HOSE,26/06/2019,,5831,5914,5831,5907,7010,64690000
117,CTS,HOSE,27/06/2019,,5882,5882,5843,5882,8600,78980000
118,CTS,HOSE,28/06/2019,,5882,5882,5831,5831,21090,192830000
119,CTS,HOSE,01/07/2019,,5831,5907,5818,5907,21310,195940000
120,CTS,HOSE,02/07/2019,,5850,5882,5850,5882,10080,92730000
121,CTS,HOSE,03/07/2019,,5882,5882,5850,5882,17300,159130000
122,CTS,HOSE,04/07/2019,,5882,5926,5882,5901,10970,101500000
