,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CVT,HOSE,02/01/2019,,15206,15443,14340,14852,88370,1675330000
1,CVT,HOSE,03/01/2019,,14852,14931,13827,13985,886160,15872870000
2,CVT,HOSE,04/01/2019,,13827,14497,13827,14340,187850,3383070000
3,CVT,HOSE,07/01/2019,,14418,14812,14418,14655,128280,2360730000
4,CVT,HOSE,08/01/2019,,14576,14576,14418,14458,92940,1707080000
5,CVT,HOSE,09/01/2019,,14537,14773,14458,14655,199920,3711440000
6,CVT,HOSE,10/01/2019,,14773,14970,14576,14734,277970,5207440000
7,CVT,HOSE,11/01/2019,,14891,14931,14694,14812,219660,4124310000
8,CVT,HOSE,14/01/2019,,14931,14931,14497,14537,128250,2386000000
9,CVT,HOSE,15/01/2019,,14576,14694,14497,14694,145440,2699650000
10,CVT,HOSE,16/01/2019,,14812,15364,14694,15206,225190,4300000000
11,CVT,HOSE,17/01/2019,,15206,15206,14891,14970,116400,2221000000
12,CVT,HOSE,18/01/2019,,14970,14970,14812,14812,138310,2614650000
13,CVT,HOSE,21/01/2019,,15285,15679,15206,15679,405310,7964670000
14,CVT,HOSE,22/01/2019,,15758,16467,15600,16270,575550,11805510000
15,CVT,HOSE,23/01/2019,,16152,16467,16112,16270,328730,6781660000
16,CVT,HOSE,24/01/2019,,16231,16231,15994,16112,416250,8477440000
17,CVT,HOSE,25/01/2019,,15994,16231,15915,15915,223310,4556540000
18,CVT,HOSE,28/01/2019,,15837,16112,15837,15994,249590,5052530000
19,CVT,HOSE,29/01/2019,,16112,16112,15718,15758,355350,7141200000
20,CVT,HOSE,30/01/2019,,15758,15915,15679,15758,360560,7224070000
21,CVT,HOSE,31/01/2019,,15758,16231,15758,16112,268760,5499210000
22,CVT,HOSE,01/02/2019,,16231,16782,16191,16703,291620,6131290000
23,CVT,HOSE,11/02/2019,,17058,17491,17018,17412,289930,6337680000
24,CVT,HOSE,12/02/2019,,17294,17806,17294,17491,291910,6511880000
25,CVT,HOSE,13/02/2019,,17491,17767,17452,17688,350340,7845710000
26,CVT,HOSE,14/02/2019,,17767,17924,17649,17806,377350,8501860000
27,CVT,HOSE,15/02/2019,,17885,18358,17649,17767,508050,11581440000
28,CVT,HOSE,18/02/2019,,17924,18279,17924,18200,230300,5282690000
29,CVT,HOSE,19/02/2019,,18200,18358,17885,17964,429030,9869240000
30,CVT,HOSE,20/02/2019,,17885,17964,17767,17767,363630,8238420000
31,CVT,HOSE,21/02/2019,,17767,18161,17767,17964,158700,3616780000
32,CVT,HOSE,22/02/2019,,17964,18043,17806,17885,230960,5255690000
33,CVT,HOSE,25/02/2019,,17924,18121,17846,18003,202810,4618520000
34,CVT,HOSE,26/02/2019,,18003,18043,17846,17846,294320,6687590000
35,CVT,HOSE,27/02/2019,,17964,18515,17806,18515,447330,10366250000
36,CVT,HOSE,28/02/2019,,18515,18555,18121,18161,377830,8787320000
37,CVT,HOSE,01/03/2019,,18161,18437,18121,18279,160390,3721180000
38,CVT,HOSE,04/03/2019,,18515,18673,18358,18594,195630,4595690000
39,CVT,HOSE,05/03/2019,,18594,19500,18594,19225,546740,13288750000
40,CVT,HOSE,06/03/2019,,19303,19697,19225,19658,373610,9225710000
41,CVT,HOSE,07/03/2019,,19697,20012,19697,19776,361540,9122340000
42,CVT,HOSE,08/03/2019,,19421,19697,19106,19106,544950,13381660000
43,CVT,HOSE,11/03/2019,,19146,19461,19028,19461,214270,5220320000
44,CVT,HOSE,12/03/2019,,19540,19697,19461,19500,176530,4383470000
45,CVT,HOSE,13/03/2019,,19697,19697,19500,19618,202750,5035380000
46,CVT,HOSE,14/03/2019,,19461,19618,19382,19540,177820,4532870000
47,CVT,HOSE,15/03/2019,,19461,19934,19461,19855,243200,6060620000
48,CVT,HOSE,18/03/2019,,19934,20367,19934,20249,360870,9256920000
49,CVT,HOSE,19/03/2019,,20446,20446,20209,20367,345620,8905510000
