,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DAH,HOSE,02/01/2019,,6130,6180,6060,6080,150090,915460000
1,DAH,HOSE,03/01/2019,,6080,6080,6030,6080,64410,389700000
2,DAH,HOSE,04/01/2019,,6100,6100,6050,6080,60390,366200000
3,DAH,HOSE,07/01/2019,,6100,6200,6080,6200,2253770,13748200000
4,DAH,HOSE,08/01/2019,,6230,6250,6100,6170,1713140,10480430000
5,DAH,HOSE,09/01/2019,,6180,6180,6100,6150,1043520,6386790000
6,DAH,HOSE,10/01/2019,,6130,6180,6100,6160,123460,755590000
7,DAH,HOSE,11/01/2019,,6140,6190,6080,6170,850480,5207080000
8,DAH,HOSE,14/01/2019,,6160,6160,6060,6100,822860,5019000000
9,DAH,HOSE,15/01/2019,,6120,6200,6090,6200,269230,1643450000
10,DAH,HOSE,16/01/2019,,6180,6230,6150,6180,710870,4397000000
11,DAH,HOSE,17/01/2019,,6150,6180,6120,6150,200410,1234000000
12,DAH,HOSE,18/01/2019,,6160,6190,6130,6160,148970,916190000
13,DAH,HOSE,21/01/2019,,6160,6180,6140,6160,116130,714420000
14,DAH,HOSE,22/01/2019,,6140,6260,6120,6260,411480,2547350000
15,DAH,HOSE,23/01/2019,,6260,6260,6190,6230,660450,4094850000
16,DAH,HOSE,24/01/2019,,6210,6230,6180,6210,485060,3012200000
17,DAH,HOSE,25/01/2019,,6200,6220,6180,6200,103010,638770000
18,DAH,HOSE,28/01/2019,,6220,6220,6160,6200,1335850,8282170000
19,DAH,HOSE,29/01/2019,,6180,6200,6160,6180,189380,1170370000
20,DAH,HOSE,30/01/2019,,6190,6230,6160,6200,104860,649960000
21,DAH,HOSE,31/01/2019,,6200,6230,6180,6200,85890,532520000
22,DAH,HOSE,01/02/2019,,6190,6220,6180,6200,50300,311390000
23,DAH,HOSE,11/02/2019,,6190,6250,6180,6230,68050,423100000
24,DAH,HOSE,12/02/2019,,6210,6230,6180,6200,99050,614120000
