,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DBC,HNX,02/01/2019,,7680,8117,7680,8117,600,15340000
1,DBC,HNX,03/01/2019,,7836,7898,7805,7805,8000,200110000
2,DBC,HNX,04/01/2019,,7711,7805,7492,7492,42010,1029981000
3,DBC,HNX,07/01/2019,,7711,7711,7336,7555,7178,171274100
4,DBC,HNX,08/01/2019,,7555,7555,6868,6868,7216,159828200
5,DBC,HNX,09/01/2019,,7180,7180,6868,6962,20900,462040000
6,DBC,HNX,10/01/2019,,7024,7149,6993,7024,4392,98876600
7,DBC,HNX,11/01/2019,,7336,7711,6962,7586,15264,359390000
8,DBC,HNX,14/01/2019,,7555,7680,7555,7617,18000,438120000
9,DBC,HNX,15/01/2019,,7805,7805,7492,7711,29342,713389200
10,DBC,HNX,16/01/2019,,7524,7711,7336,7336,12320,298466000
11,DBC,HNX,17/01/2019,,7399,7711,7118,7118,50910,1200235000
12,DBC,HNX,18/01/2019,,7180,7805,7180,7805,42890,1059304000
13,DBC,HNX,21/01/2019,,7898,8585,7805,8398,70600,1827870000
14,DBC,HNX,22/01/2019,,8398,8429,7867,8398,25300,677140000
15,DBC,HNX,23/01/2019,,8054,8398,8023,8398,18200,484320000
16,DBC,HNX,24/01/2019,,8429,8429,8273,8366,17640,471970000
17,DBC,HNX,25/01/2019,,8741,8741,8273,8523,28894,776001800
18,DBC,HNX,28/01/2019,,8523,8710,8117,8491,17682,478436600
19,DBC,HNX,29/01/2019,,8491,8491,8366,8491,14510,393312000
20,DBC,HNX,30/01/2019,,8585,8585,8117,8491,47920,1273420000
21,DBC,HNX,31/01/2019,,8491,8491,8210,8429,20800,561800000
22,DBC,HNX,01/02/2019,,8148,8429,8148,8429,5800,155270000
23,DBC,HNX,11/02/2019,,8429,8429,8148,8429,7110,190650000
24,DBC,HNX,12/02/2019,,8210,8429,8210,8398,2410,64186000
25,DBC,HNX,13/02/2019,,8242,8398,8242,8398,11100,293612000
26,DBC,HNX,14/02/2019,,8335,8366,8335,8366,700,18720000
27,DBC,HNX,15/02/2019,,8366,8366,8179,8335,7300,192080000
28,DBC,HNX,18/02/2019,,8335,8335,8242,8335,3200,84810000
29,DBC,HNX,19/02/2019,,8148,8304,8117,8273,16338,428333200
30,DBC,HNX,20/02/2019,,8242,8242,7961,8117,19466,500889200
31,DBC,HNX,21/02/2019,,7961,7961,7836,7867,11562,291723400
32,DBC,HNX,22/02/2019,,7836,7867,7773,7867,12000,300590000
33,DBC,HNX,25/02/2019,,8335,8335,7805,7867,15100,379130000
34,DBC,HNX,26/02/2019,,8086,8086,7836,7836,12416,312243200
35,DBC,HNX,27/02/2019,,7805,7805,7742,7742,29200,727840000
36,DBC,HNX,28/02/2019,,7929,7929,7648,7805,7790,192448000
37,DBC,HNX,01/03/2019,,7680,7929,7680,7929,15710,393020000
38,DBC,HNX,04/03/2019,,7836,7898,7805,7867,20823,523264300
39,DBC,HNX,05/03/2019,,7805,7805,7492,7492,76966,1882841800
40,DBC,HNX,06/03/2019,,7680,7680,7305,7492,31060,733050000
41,DBC,HNX,07/03/2019,,7368,7368,7118,7118,87379,2015923900
42,DBC,HNX,08/03/2019,,7118,7742,6993,7336,71020,1637774000
43,DBC,HNX,11/03/2019,,7492,7492,7180,7305,27790,646057000
44,DBC,HNX,12/03/2019,,7492,7492,7180,7180,67058,1551652600
45,DBC,HNX,13/03/2019,,7180,7336,7149,7305,63692,1465131000
46,DBC,HNX,14/03/2019,,7305,7305,7180,7180,29900,688250000
47,DBC,HNX,15/03/2019,,7305,7305,7149,7211,17858,412655600
48,DBC,HNX,18/03/2019,,7149,7305,7149,7180,33120,766948000
49,DBC,HNX,19/03/2019,,7305,7898,7305,7555,108757,2663563800
50,DBC,HNX,20/03/2019,,7555,7867,7555,7805,76280,1895947000
51,DBC,HNX,21/03/2019,,7805,8117,7680,7680,125413,3179566700
52,DBC,HNX,22/03/2019,,7648,7805,7524,7711,52982,1290194400
53,DBC,HNX,25/03/2019,,7680,7680,7430,7492,28890,692775000
54,DBC,HNX,26/03/2019,,7524,7773,7430,7492,16940,404646000
55,DBC,HNX,27/03/2019,,7648,7648,7461,7492,8817,211428000
56,DBC,HNX,28/03/2019,,7648,7648,7492,7555,9416,226535600
57,DBC,HNX,29/03/2019,,7555,7586,7492,7586,9560,231383000
58,DBC,HNX,01/04/2019,,7586,7586,7274,7586,17100,405090000
59,DBC,HNX,02/04/2019,,7617,7617,7524,7524,2300,55910000
60,DBC,HNX,03/04/2019,,7492,7524,7461,7492,11660,279874000
61,DBC,HNX,04/04/2019,,7617,7617,7274,7492,26520,635742000
62,DBC,HNX,05/04/2019,,7492,7492,7461,7461,9000,215110000
63,DBC,HNX,08/04/2019,,7617,7711,7492,7711,58547,1434658500
64,DBC,HNX,09/04/2019,,7711,7805,7586,7680,13236,325330000
65,DBC,HNX,10/04/2019,,7680,7680,7524,7617,4000,96690000
66,DBC,HNX,11/04/2019,,7805,7805,7555,7555,21522,525918800
67,DBC,HNX,12/04/2019,,7898,7898,7623,7692,48906,1106073600
68,DBC,HNX,16/04/2019,,7898,7898,7623,7692,8400,187190000
69,DBC,HNX,17/04/2019,,7623,7692,7452,7452,19140,420938000
70,DBC,HNX,18/04/2019,,7486,7726,7417,7692,23600,521910000
71,DBC,HNX,19/04/2019,,7658,7795,7486,7623,22100,494130000
72,DBC,HNX,22/04/2019,,7898,7898,7520,7555,4150,92375000
73,DBC,HNX,23/04/2019,,7623,7692,7555,7555,1300,28720000
