,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DC4,HNX,02/01/2019,,7723,7723,7723,7723,0,0
1,DC4,HNX,03/01/2019,,7723,7723,7723,7723,0,0
2,DC4,HNX,04/01/2019,,7723,7723,7723,7723,0,0
3,DC4,HNX,07/01/2019,,7723,7723,7723,7723,0,0
4,DC4,HNX,08/01/2019,,7723,7723,7723,7723,0,0
5,DC4,HNX,09/01/2019,,7723,7723,7723,7723,0,0
6,DC4,HNX,10/01/2019,,6950,7336,6950,7336,300,2790000
7,DC4,HNX,11/01/2019,,7877,7877,7877,7877,150,1450000
8,DC4,HNX,14/01/2019,,7105,8495,7105,8495,500,4960000
9,DC4,HNX,15/01/2019,,8495,8495,8495,8495,0,0
10,DC4,HNX,16/01/2019,,8495,8495,8495,8495,0,0
11,DC4,HNX,17/01/2019,,8495,8495,8495,8495,0,0
12,DC4,HNX,18/01/2019,,8495,8495,8495,8495,0,0
13,DC4,HNX,21/01/2019,,8495,8495,8495,8495,0,0
14,DC4,HNX,22/01/2019,,8495,8495,8495,8495,0,0
15,DC4,HNX,23/01/2019,,8495,8495,8495,8495,0,0
16,DC4,HNX,24/01/2019,,8495,8495,8495,8495,0,0
17,DC4,HNX,25/01/2019,,8495,8495,8495,8495,0,0
18,DC4,HNX,28/01/2019,,8495,8495,8495,8495,0,0
19,DC4,HNX,29/01/2019,,8495,8495,8495,8495,0,0
20,DC4,HNX,30/01/2019,,8495,8495,8495,8495,0,0
21,DC4,HNX,31/01/2019,,8495,8495,8495,8495,0,0
22,DC4,HNX,01/02/2019,,8495,8495,8495,8495,0,0
23,DC4,HNX,11/02/2019,,8495,8495,8495,8495,0,0
24,DC4,HNX,12/02/2019,,8495,8495,8495,8495,0,0
25,DC4,HNX,13/02/2019,,8495,8495,8495,8495,0,0
26,DC4,HNX,14/02/2019,,8495,8495,8495,8495,0,0
27,DC4,HNX,15/02/2019,,7645,9190,7645,9190,502,5170800
28,DC4,HNX,18/02/2019,,9190,9190,9190,9190,0,0
29,DC4,HNX,19/02/2019,,9190,9190,9190,9190,0,0
30,DC4,HNX,20/02/2019,,9190,9190,9190,9190,0,0
31,DC4,HNX,21/02/2019,,9190,9190,9190,9190,0,0
32,DC4,HNX,22/02/2019,,9190,9190,9190,9190,0,0
33,DC4,HNX,25/02/2019,,9190,9190,9190,9190,0,0
34,DC4,HNX,26/02/2019,,9190,9190,9190,9190,0,0
35,DC4,HNX,27/02/2019,,9190,9190,9190,9190,0,0
36,DC4,HNX,28/02/2019,,8340,8340,8340,8340,2246,24256800
37,DC4,HNX,01/03/2019,,7568,7568,7568,7568,100,980000
38,DC4,HNX,04/03/2019,,8186,8186,7568,7568,1500,15100000
39,DC4,HNX,05/03/2019,,7336,8031,6873,7645,6205,58045000
40,DC4,HNX,06/03/2019,,7954,7954,7954,7954,100,1030000
41,DC4,HNX,07/03/2019,,7182,8418,7182,8418,9300,87200000
42,DC4,HNX,08/03/2019,,7645,7645,7645,7645,100,990000
43,DC4,HNX,11/03/2019,,6950,7645,6950,6950,4100,37070000
44,DC4,HNX,12/03/2019,,6950,7336,6641,6641,5200,46570000
45,DC4,HNX,13/03/2019,,7182,7182,7182,7182,400,3720000
46,DC4,HNX,14/03/2019,,7259,7568,7259,7568,500,4800000
47,DC4,HNX,15/03/2019,,7568,7568,7568,7568,0,0
48,DC4,HNX,18/03/2019,,7414,7568,7414,7568,700,6740000
49,DC4,HNX,19/03/2019,,8109,8109,8109,8109,200,2100000
50,DC4,HNX,20/03/2019,,7336,8031,7336,8031,21400,203660000
51,DC4,HNX,21/03/2019,,7414,7414,7414,7414,100,960000
52,DC4,HNX,22/03/2019,,8109,8109,6719,6719,700,6450000
53,DC4,HNX,25/03/2019,,7336,7336,7259,7259,401,3788000
54,DC4,HNX,26/03/2019,,7336,7336,6719,7182,2706,24581000
55,DC4,HNX,27/03/2019,,7105,7105,7105,7105,100,920000
56,DC4,HNX,28/03/2019,,7105,7105,7105,7105,0,0
57,DC4,HNX,29/03/2019,,7336,7414,7336,7414,1400,13370000
58,DC4,HNX,01/04/2019,,6796,7336,6719,7336,4600,40560000
59,DC4,HNX,02/04/2019,,6950,6950,6641,6641,9000,77620000
60,DC4,HNX,03/04/2019,,7259,7259,7259,7259,100,940000
61,DC4,HNX,04/04/2019,,6719,7182,6641,7182,2879,25342200
62,DC4,HNX,05/04/2019,,6719,7027,6719,7027,4200,36720000
63,DC4,HNX,08/04/2019,,7027,7105,6719,7027,3400,29830000
64,DC4,HNX,09/04/2019,,7027,7182,6719,7105,14417,127086200
65,DC4,HNX,10/04/2019,,6719,7027,6719,7027,900,8070000
66,DC4,HNX,11/04/2019,,6796,6950,6719,6950,2050,18180000
67,DC4,HNX,12/04/2019,,6719,6796,6719,6796,1300,11320000
68,DC4,HNX,16/04/2019,,6719,7105,6719,7105,8700,77910000
69,DC4,HNX,17/04/2019,,6796,6950,6719,6719,12497,109244500
