,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DCL,HOSE,02/01/2019,,9600,9600,9300,9300,53560,500970000
1,DCL,HOSE,03/01/2019,,9260,9360,9260,9300,92680,862850000
2,DCL,HOSE,04/01/2019,,9300,9390,9270,9300,132820,1232240000
3,DCL,HOSE,07/01/2019,,9300,9400,9240,9390,30410,283510000
4,DCL,HOSE,08/01/2019,,9360,9400,9360,9400,8290,77630000
5,DCL,HOSE,09/01/2019,,9400,9400,9300,9400,42700,400430000
6,DCL,HOSE,10/01/2019,,9450,9590,9400,9590,37620,358300000
7,DCL,HOSE,11/01/2019,,9410,9590,9410,9570,156690,1499030000
8,DCL,HOSE,14/01/2019,,9600,9600,9450,9550,18140,173000000
9,DCL,HOSE,15/01/2019,,9450,9450,9400,9410,800,7530000
10,DCL,HOSE,16/01/2019,,9400,9550,9400,9550,29360,278000000
11,DCL,HOSE,17/01/2019,,9410,9410,9400,9400,13150,124000000
12,DCL,HOSE,18/01/2019,,9450,9550,9400,9550,10490,98930000
13,DCL,HOSE,21/01/2019,,9550,9550,9200,9300,15720,149230000
14,DCL,HOSE,22/01/2019,,9450,9450,9300,9300,26410,245690000
15,DCL,HOSE,23/01/2019,,9160,9700,9160,9590,12820,122490000
16,DCL,HOSE,24/01/2019,,9500,9550,9300,9300,4810,45210000
17,DCL,HOSE,25/01/2019,,9300,9500,9300,9310,4270,39770000
18,DCL,HOSE,28/01/2019,,9350,9700,9310,9460,41250,398020000
19,DCL,HOSE,29/01/2019,,9630,10100,9610,10100,25310,250430000
20,DCL,HOSE,30/01/2019,,10600,10600,10000,10400,43990,457620000
21,DCL,HOSE,31/01/2019,,10250,10400,10250,10250,14730,151230000
22,DCL,HOSE,01/02/2019,,10350,10350,10350,10350,2700,27950000
23,DCL,HOSE,11/02/2019,,10400,10450,10200,10400,12480,129360000
24,DCL,HOSE,12/02/2019,,10600,10600,10500,10600,33830,355590000
25,DCL,HOSE,13/02/2019,,10500,11000,10500,10900,17750,191820000
26,DCL,HOSE,14/02/2019,,10750,10900,10700,10900,15670,168780000
27,DCL,HOSE,15/02/2019,,10800,11000,10800,11000,3990,43560000
28,DCL,HOSE,18/02/2019,,10900,11100,10900,11100,33580,369470000
29,DCL,HOSE,19/02/2019,,11100,11500,11000,11500,14650,165440000
30,DCL,HOSE,20/02/2019,,11400,12300,11100,12300,72560,867740000
31,DCL,HOSE,21/02/2019,,12300,12750,12000,12100,37810,472820000
32,DCL,HOSE,22/02/2019,,12100,12500,11900,12500,19050,233680000
33,DCL,HOSE,25/02/2019,,12650,12700,12500,12500,40700,513720000
34,DCL,HOSE,26/02/2019,,12700,12700,11900,11900,28450,354780000
35,DCL,HOSE,27/02/2019,,12400,12700,12400,12700,87250,1100430000
36,DCL,HOSE,28/02/2019,,12700,13550,12700,13550,64580,870080000
37,DCL,HOSE,01/03/2019,,14450,14450,13450,14450,653680,9094300000
38,DCL,HOSE,04/03/2019,,15450,15450,15450,15450,82130,1268910000
39,DCL,HOSE,05/03/2019,,16500,16500,16500,16500,82370,1359110000
40,DCL,HOSE,06/03/2019,,17650,17650,17100,17650,947410,16714330000
41,DCL,HOSE,07/03/2019,,18850,18850,18850,18850,105600,1990560000
42,DCL,HOSE,08/03/2019,,18850,19300,18850,18900,1063550,20252440000
43,DCL,HOSE,11/03/2019,,17600,18000,17600,17600,473740,8344050000
44,DCL,HOSE,12/03/2019,,16400,17000,16400,16500,276860,4571110000
45,DCL,HOSE,13/03/2019,,15900,17650,15900,17650,176190,3017800000
46,DCL,HOSE,14/03/2019,,18800,18850,18000,18450,271170,5262150000
47,DCL,HOSE,15/03/2019,,18500,18700,18050,18450,366910,6764460000
48,DCL,HOSE,18/03/2019,,17600,18450,17500,18400,321560,5801220000
49,DCL,HOSE,19/03/2019,,18000,19000,17800,18650,253510,4712150000
50,DCL,HOSE,20/03/2019,,18650,18650,18050,18600,102810,1882170000
51,DCL,HOSE,21/03/2019,,18400,18800,18000,18050,192460,3535890000
52,DCL,HOSE,22/03/2019,,18000,18050,17100,17100,106740,1881710000
53,DCL,HOSE,25/03/2019,,17100,17100,16100,16100,301030,5058650000
54,DCL,HOSE,26/03/2019,,16100,17000,16100,16900,33110,552000000
