,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DGC,HNX,02/01/2019,,11343,11343,11042,11042,247400,10947710000
1,DGC,HNX,03/01/2019,,11042,11167,10565,10665,151300,6493880000
2,DGC,HNX,04/01/2019,,10665,10891,10414,10891,63200,2665470000
3,DGC,HNX,07/01/2019,,10891,11167,10816,10891,35800,1554180000
4,DGC,HNX,08/01/2019,,10891,10916,10715,10866,18620,804352000
5,DGC,HNX,09/01/2019,,10866,11042,10791,10916,83790,3650960000
6,DGC,HNX,10/01/2019,,10916,11142,10916,11042,178300,7807210000
7,DGC,HNX,11/01/2019,,11192,11468,11167,11293,208900,9422580000
8,DGC,HNX,14/01/2019,,11368,11368,11268,11318,305870,13776122000
9,DGC,HNX,15/01/2019,,11293,11293,11042,11042,218500,9763820000
10,DGC,HNX,16/01/2019,,11170,11221,11016,11093,34200,1477050000
11,DGC,HNX,17/01/2019,,11144,11195,10785,10785,38800,1672500000
12,DGC,HNX,18/01/2019,,10785,10887,10785,10810,66200,2784990000
13,DGC,HNX,21/01/2019,,10810,11324,10810,11298,148500,6394620000
14,DGC,HNX,22/01/2019,,11170,11170,11041,11041,70600,3041800000
15,DGC,HNX,23/01/2019,,11041,11041,10913,11016,34000,1449840000
16,DGC,HNX,24/01/2019,,10785,10810,10682,10682,163104,6830490000
17,DGC,HNX,25/01/2019,,11016,11041,10656,10939,54000,2290700000
18,DGC,HNX,28/01/2019,,10836,10836,10477,10528,127120,5243250000
19,DGC,HNX,29/01/2019,,10451,10451,10220,10322,128910,5162285000
20,DGC,HNX,30/01/2019,,10399,10579,10297,10579,56900,2303280000
21,DGC,HNX,31/01/2019,,10528,10579,10528,10528,16520,678967000
22,DGC,HNX,01/02/2019,,10528,10733,10528,10733,13110,543985000
23,DGC,HNX,11/02/2019,,10785,10810,10733,10733,43314,1814348000
24,DGC,HNX,12/02/2019,,10733,10836,10682,10836,87770,3678740000
25,DGC,HNX,13/02/2019,,10836,11350,10836,11298,143650,6242505000
26,DGC,HNX,14/02/2019,,11350,11401,11118,11144,47910,2099461000
27,DGC,HNX,15/02/2019,,11324,11324,10990,10990,98630,4257580000
28,DGC,HNX,18/02/2019,,11273,11427,10913,10964,72030,3086644000
29,DGC,HNX,19/02/2019,,10990,11016,10887,10964,43300,1847210000
30,DGC,HNX,20/02/2019,,10913,10964,10785,10964,66720,2818810000
31,DGC,HNX,21/02/2019,,10990,11041,10810,10913,44410,1880762000
32,DGC,HNX,22/02/2019,,10810,11041,10785,11041,57900,2455840000
33,DGC,HNX,25/02/2019,,10913,11041,10913,11041,23110,989116000
34,DGC,HNX,26/02/2019,,11041,11375,10990,11273,112720,4907885000
35,DGC,HNX,27/02/2019,,11324,11324,11067,11067,58638,2549032800
36,DGC,HNX,28/02/2019,,11093,11170,10785,11041,43710,1878082000
37,DGC,HNX,01/03/2019,,10836,11041,10836,11041,53510,2289536000
38,DGC,HNX,04/03/2019,,11041,11529,11041,11401,177944,7857341200
39,DGC,HNX,05/03/2019,,11401,11658,11298,11606,267470,12028926000
40,DGC,HNX,06/03/2019,,11555,11658,11452,11452,111275,5001149500
41,DGC,HNX,07/03/2019,,11452,11555,11298,11350,133006,5911545200
42,DGC,HNX,08/03/2019,,11350,11555,11195,11350,96591,4274507200
43,DGC,HNX,11/03/2019,,11350,11375,11298,11350,59699,2633937400
44,DGC,HNX,12/03/2019,,11555,11555,11324,11375,97910,4350696000
45,DGC,HNX,13/03/2019,,11427,11427,10733,11041,291843,12732739700
