,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DGW,HOSE,02/01/2019,,5902,5928,5761,5799,418180,9474190000
1,DGW,HOSE,03/01/2019,,5748,5799,5658,5671,366800,8108440000
2,DGW,HOSE,04/01/2019,,5619,5671,5477,5671,520930,11171030000
3,DGW,HOSE,07/01/2019,,5722,5799,5619,5787,532100,11809460000
4,DGW,HOSE,08/01/2019,,5748,5787,5735,5748,96180,2149250000
5,DGW,HOSE,09/01/2019,,5735,5799,5671,5735,324780,7213960000
6,DGW,HOSE,10/01/2019,,5748,5825,5722,5825,287750,6449760000
7,DGW,HOSE,11/01/2019,,5774,5851,5761,5851,226560,5107710000
8,DGW,HOSE,14/01/2019,,5825,5851,5748,5799,118850,2668000000
9,DGW,HOSE,15/01/2019,,5774,5825,5696,5812,481010,10726470000
10,DGW,HOSE,16/01/2019,,5838,5928,5799,5877,420300,9529000000
11,DGW,HOSE,17/01/2019,,5877,5902,5787,5851,397290,8987000000
12,DGW,HOSE,18/01/2019,,5825,5877,5787,5825,197670,4459260000
13,DGW,HOSE,21/01/2019,,5825,6006,5774,6006,539810,12358250000
14,DGW,HOSE,22/01/2019,,6006,6057,5928,5928,465320,10815540000
15,DGW,HOSE,23/01/2019,,5928,5980,5799,5954,298310,6777820000
16,DGW,HOSE,24/01/2019,,5928,5980,5864,5928,135560,3106040000
17,DGW,HOSE,25/01/2019,,5980,5980,5864,5877,140380,3218690000
18,DGW,HOSE,28/01/2019,,5928,5928,5825,5877,159290,3617490000
19,DGW,HOSE,29/01/2019,,5851,5902,5774,5877,139680,3158330000
20,DGW,HOSE,30/01/2019,,5825,5877,5774,5851,309580,6972100000
21,DGW,HOSE,31/01/2019,,5864,6031,5864,6006,655360,15157530000
22,DGW,HOSE,01/02/2019,,6031,6186,6018,6186,824070,19454300000
23,DGW,HOSE,11/02/2019,,6199,6238,6109,6186,333150,7969430000
24,DGW,HOSE,12/02/2019,,6186,6238,6096,6238,1151470,27421920000
25,DGW,HOSE,13/02/2019,,6263,6289,6173,6186,572380,13819590000
26,DGW,HOSE,14/02/2019,,6160,6238,6122,6160,556190,13264780000
27,DGW,HOSE,15/02/2019,,6160,6238,6083,6160,700010,16658610000
28,DGW,HOSE,18/02/2019,,6134,6238,6122,6212,487780,11675920000
29,DGW,HOSE,19/02/2019,,6212,6263,6134,6160,367070,8801660000
30,DGW,HOSE,20/02/2019,,6134,6186,6070,6109,414940,9819280000
31,DGW,HOSE,21/02/2019,,6134,6160,6057,6109,556260,13204760000
32,DGW,HOSE,22/02/2019,,6109,6315,6109,6263,962200,23175400000
33,DGW,HOSE,25/02/2019,,6263,6315,6160,6250,457960,11052270000
34,DGW,HOSE,26/02/2019,,6238,6289,6147,6186,372180,8946080000
35,DGW,HOSE,27/02/2019,,6186,6289,6134,6160,638900,15350530000
36,DGW,HOSE,28/02/2019,,6134,6173,6031,6031,271000,6387610000
37,DGW,HOSE,01/03/2019,,6122,6173,5980,5980,425660,9985310000
38,DGW,HOSE,04/03/2019,,5980,6031,5877,5980,434850,10042840000
39,DGW,HOSE,05/03/2019,,5980,5980,5941,5980,227140,5245560000
40,DGW,HOSE,06/03/2019,,5980,6057,5954,5993,335400,7799210000
41,DGW,HOSE,07/03/2019,,6031,6044,5954,5967,147170,3412270000
42,DGW,HOSE,08/03/2019,,5954,5967,5864,5915,213710,4894390000
43,DGW,HOSE,11/03/2019,,5928,5928,5799,5851,241210,5482160000
44,DGW,HOSE,12/03/2019,,5838,5902,5799,5851,276550,6267010000
45,DGW,HOSE,13/03/2019,,5851,6057,5838,5877,264660,6056580000
46,DGW,HOSE,14/03/2019,,5877,5980,5864,5980,171860,4303520000
47,DGW,HOSE,15/03/2019,,5980,6031,5954,6006,216690,5038800000
48,DGW,HOSE,18/03/2019,,6031,6160,6031,6160,571830,13500190000
49,DGW,HOSE,19/03/2019,,6160,6186,6083,6134,400230,9543350000
50,DGW,HOSE,20/03/2019,,6134,6134,6031,6070,210920,4964650000
51,DGW,HOSE,21/03/2019,,6057,6083,5967,6006,269180,6284520000
52,DGW,HOSE,22/03/2019,,5980,6006,5941,6006,248560,5755370000
53,DGW,HOSE,25/03/2019,,5954,5954,5799,5851,147490,3347540000
54,DGW,HOSE,26/03/2019,,5851,5928,5799,5928,300340,6828000000
55,DGW,HOSE,27/03/2019,,5902,6006,5902,5967,160360,3702000000
56,DGW,HOSE,28/03/2019,,5928,5967,5877,5954,145160,3329000000
57,DGW,HOSE,29/03/2019,,5954,5954,5851,5864,228640,5214000000
58,DGW,HOSE,01/04/2019,,5877,5928,5825,5864,334770,7620460000
59,DGW,HOSE,02/04/2019,,5928,5928,5799,5812,82370,1861770000
