,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DHG,HOSE,02/01/2019,,65992,66669,64469,64469,46610,3582970000
1,DHG,HOSE,03/01/2019,,64300,64469,62185,62185,183400,13690580000
2,DHG,HOSE,04/01/2019,,62185,62438,61508,62185,53830,3931000000
3,DHG,HOSE,07/01/2019,,62185,63707,62185,63454,70990,5304310000
4,DHG,HOSE,08/01/2019,,64300,64300,63031,63284,75610,5666260000
5,DHG,HOSE,09/01/2019,,63792,64384,63454,63877,103150,7789560000
6,DHG,HOSE,10/01/2019,,63454,66246,63454,65569,82280,6310920000
7,DHG,HOSE,11/01/2019,,66415,67853,64300,67599,139310,10984390000
8,DHG,HOSE,14/01/2019,,67684,69376,65992,68530,211030,17114000000
9,DHG,HOSE,15/01/2019,,68192,69376,67684,68530,101570,8201140000
10,DHG,HOSE,16/01/2019,,68699,69545,68530,69461,102050,8331000000
11,DHG,HOSE,17/01/2019,,68107,70645,68107,69884,117620,9734000000
12,DHG,HOSE,18/01/2019,,69884,70899,69799,70730,76910,6412370000
13,DHG,HOSE,21/01/2019,,70730,71322,70222,71322,96600,8074190000
14,DHG,HOSE,22/01/2019,,71322,71914,70222,71576,105950,8962780000
15,DHG,HOSE,23/01/2019,,70730,72422,70730,70899,135070,11448450000
16,DHG,HOSE,24/01/2019,,70730,71237,70730,71068,29390,2464610000
17,DHG,HOSE,25/01/2019,,70645,71914,70645,71830,64480,5461140000
18,DHG,HOSE,28/01/2019,,71830,71830,70645,70899,49110,4118140000
19,DHG,HOSE,29/01/2019,,71491,71491,70476,70899,58520,4901660000
20,DHG,HOSE,30/01/2019,,71068,71407,70730,71068,15690,1317120000
21,DHG,HOSE,31/01/2019,,71068,71914,71068,71914,26930,2277940000
22,DHG,HOSE,01/02/2019,,71914,71999,70899,71999,44490,3773950000
23,DHG,HOSE,11/02/2019,,71999,72253,71407,71914,20660,1753750000
24,DHG,HOSE,12/02/2019,,72337,72337,71914,72168,51990,4432160000
25,DHG,HOSE,13/02/2019,,72253,72845,72083,72845,96080,8237290000
26,DHG,HOSE,14/02/2019,,73606,75129,73606,75129,167680,14727920000
27,DHG,HOSE,15/02/2019,,74452,78683,74452,78683,446610,40705750000
28,DHG,HOSE,18/02/2019,,79952,82067,76821,82067,982670,92326080000
29,DHG,HOSE,19/02/2019,,82067,82913,79529,82913,883330,85311340000
30,DHG,HOSE,20/02/2019,,82067,82067,80205,81390,341930,32746820000
31,DHG,HOSE,21/02/2019,,80798,82490,79529,82490,557900,53908120000
32,DHG,HOSE,22/02/2019,,81305,86297,81305,86297,601580,60162970000
33,DHG,HOSE,25/02/2019,,87143,92304,86551,92304,1430570,155352480000
34,DHG,HOSE,26/02/2019,,92389,96873,92389,94673,596640,66865390000
35,DHG,HOSE,27/02/2019,,94757,98226,94757,98142,849530,97578330000
36,DHG,HOSE,28/02/2019,,98480,100426,96534,100257,1169730,136466580000
37,DHG,HOSE,01/03/2019,,98142,100680,98142,100680,503080,59616400000
38,DHG,HOSE,04/03/2019,,99834,100934,99834,100680,295810,35138590000
39,DHG,HOSE,05/03/2019,,100680,100934,99918,100341,245400,29170830000
40,DHG,HOSE,06/03/2019,,100257,101187,100257,100680,278020,33128650000
41,DHG,HOSE,07/03/2019,,100680,101187,100680,100680,405240,48286930000
42,DHG,HOSE,08/03/2019,,100849,101018,100680,100680,208810,24871240000
43,DHG,HOSE,11/03/2019,,100764,100934,100595,100764,454340,54119160000
