,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DIG,HOSE,02/01/2019,,8743,8799,8434,8434,580840,8876930000
1,DIG,HOSE,03/01/2019,,8658,8658,8321,8349,1106600,16637720000
2,DIG,HOSE,04/01/2019,,8237,8602,8237,8546,646620,9677880000
3,DIG,HOSE,07/01/2019,,8715,8715,8490,8546,402340,6119780000
4,DIG,HOSE,08/01/2019,,8658,8771,8546,8658,1239630,19110300000
5,DIG,HOSE,09/01/2019,,8574,8715,8574,8630,285720,4401760000
6,DIG,HOSE,10/01/2019,,8602,8715,8602,8602,464960,7148330000
7,DIG,HOSE,11/01/2019,,8630,8743,8602,8743,1212870,18754780000
8,DIG,HOSE,14/01/2019,,8799,9052,8743,8996,1996580,31790000000
9,DIG,HOSE,15/01/2019,,8996,9221,8968,9193,1913730,31047570000
10,DIG,HOSE,16/01/2019,,9193,9277,9024,9024,1910950,30998000000
11,DIG,HOSE,17/01/2019,,9024,9052,8827,8827,851710,13597000000
12,DIG,HOSE,18/01/2019,,8799,9052,8799,8968,698010,11046970000
13,DIG,HOSE,21/01/2019,,8968,9108,8883,9108,706590,11348540000
14,DIG,HOSE,22/01/2019,,9108,9108,8996,9052,631460,10152880000
15,DIG,HOSE,23/01/2019,,8996,9108,8940,8996,1003670,16081410000
16,DIG,HOSE,24/01/2019,,9080,9080,8911,8911,332870,5313510000
17,DIG,HOSE,25/01/2019,,8911,8940,8771,8799,761260,11968400000
18,DIG,HOSE,28/01/2019,,8799,8996,8799,8883,305960,4836430000
19,DIG,HOSE,29/01/2019,,8883,9052,8827,9024,467750,7454030000
20,DIG,HOSE,30/01/2019,,9024,9024,8940,9024,395990,6316270000
21,DIG,HOSE,31/01/2019,,9080,9108,8799,8799,741520,11810260000
22,DIG,HOSE,01/02/2019,,8911,8911,8771,8855,312360,4906630000
23,DIG,HOSE,11/02/2019,,8940,9052,8883,9024,342800,5476310000
24,DIG,HOSE,12/02/2019,,9080,9474,9080,9417,2117750,35112230000
