,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DMC,HOSE,02/01/2019,,61307,61307,61307,61307,10,750000
1,DMC,HOSE,03/01/2019,,61307,61307,61307,61307,0,0
2,DMC,HOSE,04/01/2019,,61307,61307,61307,61307,0,0
3,DMC,HOSE,07/01/2019,,62041,62041,61225,61225,10300,782780000
4,DMC,HOSE,08/01/2019,,61225,61633,61225,61633,30,2260000
5,DMC,HOSE,09/01/2019,,61633,61633,61633,61633,0,0
6,DMC,HOSE,10/01/2019,,61633,61633,61633,61633,0,0
7,DMC,HOSE,11/01/2019,,61633,61633,61225,61225,50,3770000
8,DMC,HOSE,14/01/2019,,61225,61633,61225,61225,100540,7541000000
9,DMC,HOSE,15/01/2019,,60409,60409,57143,60409,690,49060000
10,DMC,HOSE,16/01/2019,,60490,60490,60490,60490,60,4000000
11,DMC,HOSE,17/01/2019,,60490,60490,60490,60490,0,0
12,DMC,HOSE,18/01/2019,,60490,60490,60409,60409,210,15540000
13,DMC,HOSE,21/01/2019,,57796,58776,57143,58776,640,45930000
14,DMC,HOSE,22/01/2019,,57960,62858,57960,62858,100,7160000
15,DMC,HOSE,23/01/2019,,62858,62858,60082,62776,94740,7286160000
16,DMC,HOSE,24/01/2019,,61225,61878,60164,60164,50,3720000
17,DMC,HOSE,25/01/2019,,60164,60164,60164,60164,0,0
18,DMC,HOSE,28/01/2019,,60082,60082,60082,60082,350,25760000
19,DMC,HOSE,29/01/2019,,57960,59592,57960,59592,20,1440000
20,DMC,HOSE,30/01/2019,,57960,61143,57960,61143,750,53290000
21,DMC,HOSE,31/01/2019,,61225,61225,61225,61225,370,27750000
22,DMC,HOSE,01/02/2019,,61225,61225,61225,61225,0,0
23,DMC,HOSE,11/02/2019,,58531,58531,58531,58531,90,6450000
24,DMC,HOSE,12/02/2019,,62368,62368,62368,62368,10,760000
25,DMC,HOSE,13/02/2019,,60001,60001,60001,60001,1960,144060000
26,DMC,HOSE,14/02/2019,,59592,59592,58776,58776,900,65100000
27,DMC,HOSE,15/02/2019,,61143,61143,61143,61143,10,750000
28,DMC,HOSE,18/02/2019,,60735,60817,60735,60817,1010,75240000
29,DMC,HOSE,19/02/2019,,58858,60327,58368,60327,670,48280000
30,DMC,HOSE,20/02/2019,,60327,60327,60327,60327,0,0
31,DMC,HOSE,21/02/2019,,57225,59184,57225,59184,170,12090000
32,DMC,HOSE,22/02/2019,,60082,60164,59592,60164,1810,133050000
33,DMC,HOSE,25/02/2019,,60409,61225,60409,61225,2340,174380000
34,DMC,HOSE,26/02/2019,,60980,61143,60980,61143,100,7480000
35,DMC,HOSE,27/02/2019,,61143,61143,61143,61143,0,0
36,DMC,HOSE,28/02/2019,,60409,61225,60409,61225,720,53490000
37,DMC,HOSE,01/03/2019,,61225,61225,60409,60409,2080,155850000
38,DMC,HOSE,04/03/2019,,63674,63674,63674,63674,120,9360000
39,DMC,HOSE,05/03/2019,,63674,63674,60817,61225,910,68220000
40,DMC,HOSE,06/03/2019,,62041,65307,61225,61225,670,50580000
41,DMC,HOSE,07/03/2019,,63266,63266,63266,63266,10,780000
42,DMC,HOSE,08/03/2019,,63266,63266,63266,63266,0,0
43,DMC,HOSE,11/03/2019,,61225,61225,61225,61225,200,15000000
44,DMC,HOSE,12/03/2019,,57143,64817,57143,61225,440,31910000
45,DMC,HOSE,13/03/2019,,60409,61225,59592,61225,1270,93050000
46,DMC,HOSE,14/03/2019,,61225,61225,61225,61225,0,0
47,DMC,HOSE,15/03/2019,,60409,61225,60409,61225,310,23000000
48,DMC,HOSE,18/03/2019,,62041,62450,60490,60490,850,64760000
49,DMC,HOSE,19/03/2019,,62450,62450,62368,62450,180,13770000
50,DMC,HOSE,20/03/2019,,62041,62450,61225,62450,430,32420000
51,DMC,HOSE,21/03/2019,,62450,62450,61225,61225,840,64100000
52,DMC,HOSE,22/03/2019,,63184,63184,61225,62368,100,7550000
53,DMC,HOSE,25/03/2019,,61225,61470,61062,61470,1130,84650000
54,DMC,HOSE,26/03/2019,,61633,61633,60490,61470,3200,238000000
55,DMC,HOSE,27/03/2019,,59592,59592,59184,59592,5580,407000000
56,DMC,HOSE,28/03/2019,,59592,61960,59592,61960,160,12000000
57,DMC,HOSE,29/03/2019,,59592,59592,59592,59592,2800,204000000
58,DMC,HOSE,01/04/2019,,61062,61062,60735,60735,40,2990000
59,DMC,HOSE,02/04/2019,,60654,60654,59592,60490,30,2210000
60,DMC,HOSE,03/04/2019,,58123,58776,58123,58694,11890,854820000
61,DMC,HOSE,04/04/2019,,58368,60327,58205,58368,22010,1571260000
62,DMC,HOSE,05/04/2019,,58123,58368,58123,58123,51640,3681650000
