,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DVP,HOSE,02/01/2019,,27586,27586,26930,27422,3890,162580000
1,DVP,HOSE,03/01/2019,,27422,27455,27094,27094,10890,450280000
2,DVP,HOSE,04/01/2019,,26601,27324,26601,26930,12000,492280000
3,DVP,HOSE,07/01/2019,,27160,27586,26930,27586,1310,54180000
4,DVP,HOSE,08/01/2019,,27586,27586,27291,27291,2980,124830000
5,DVP,HOSE,09/01/2019,,27586,27586,27291,27521,2480,103330000
6,DVP,HOSE,10/01/2019,,26733,27586,26733,26930,20150,830460000
7,DVP,HOSE,11/01/2019,,27521,27521,26897,26930,33820,1386520000
8,DVP,HOSE,14/01/2019,,26930,27455,26930,26930,13120,538000000
9,DVP,HOSE,15/01/2019,,26930,27324,26733,26798,18250,747040000
10,DVP,HOSE,16/01/2019,,26897,26897,26733,26733,12260,500000000
11,DVP,HOSE,17/01/2019,,26667,26930,26601,26864,6280,255000000
12,DVP,HOSE,18/01/2019,,26765,26864,26601,26601,1570,63920000
13,DVP,HOSE,21/01/2019,,26601,26667,25944,25944,27210,1089830000
14,DVP,HOSE,22/01/2019,,26273,26798,26273,26470,3620,145760000
15,DVP,HOSE,23/01/2019,,26897,26897,26273,26601,7710,311260000
16,DVP,HOSE,24/01/2019,,26404,26601,25682,26010,17010,675200000
17,DVP,HOSE,25/01/2019,,26273,26273,25944,26010,8880,352190000
18,DVP,HOSE,28/01/2019,,25944,26010,25813,25944,14970,591190000
19,DVP,HOSE,29/01/2019,,25879,26010,25715,25944,2290,90230000
20,DVP,HOSE,30/01/2019,,26930,26930,26930,26930,20,820000
21,DVP,HOSE,31/01/2019,,25780,27061,25780,26930,2170,88960000
22,DVP,HOSE,01/02/2019,,26076,26864,26010,26864,3560,141370000
23,DVP,HOSE,11/02/2019,,26601,26864,26437,26733,3390,137360000
24,DVP,HOSE,12/02/2019,,26733,26864,26076,26634,9630,389940000
25,DVP,HOSE,13/02/2019,,26634,26667,26109,26536,9090,364200000
26,DVP,HOSE,14/02/2019,,26536,26536,25944,26470,10150,405050000
27,DVP,HOSE,15/02/2019,,26831,26831,26240,26536,1730,69310000
28,DVP,HOSE,18/02/2019,,26601,26667,25616,26273,14900,590730000
29,DVP,HOSE,19/02/2019,,26601,26601,24959,24959,72780,2814990000
30,DVP,HOSE,20/02/2019,,24959,25649,24893,24893,38910,1484810000
31,DVP,HOSE,21/02/2019,,25419,25419,24893,24893,24550,932840000
32,DVP,HOSE,22/02/2019,,24893,25255,24828,24926,68730,2610330000
33,DVP,HOSE,25/02/2019,,24926,25091,24762,24959,27710,1052140000
34,DVP,HOSE,26/02/2019,,25222,25288,24926,25222,7550,288090000
35,DVP,HOSE,27/02/2019,,25222,25222,24828,24828,27650,1051000000
36,DVP,HOSE,28/02/2019,,25156,25189,24631,24729,16120,608270000
37,DVP,HOSE,01/03/2019,,24729,25058,24664,24959,7970,300870000
38,DVP,HOSE,04/03/2019,,25091,25189,24631,24959,32760,1239530000
39,DVP,HOSE,05/03/2019,,25058,25189,24893,25189,9900,377050000
40,DVP,HOSE,06/03/2019,,25091,25288,25091,25288,7890,302240000
41,DVP,HOSE,07/03/2019,,25583,25879,25058,25879,27450,1067000000
42,DVP,HOSE,08/03/2019,,25813,26076,25091,25550,20410,796530000
43,DVP,HOSE,11/03/2019,,26207,26470,25517,25813,22810,896680000
44,DVP,HOSE,12/03/2019,,26273,26273,25616,25813,6200,243520000
45,DVP,HOSE,13/03/2019,,26076,26076,25747,25912,22110,870600000
46,DVP,HOSE,14/03/2019,,26141,26141,25747,25747,18900,803670000
47,DVP,HOSE,15/03/2019,,25616,25879,25419,25813,3330,130350000
48,DVP,HOSE,18/03/2019,,25813,26141,25616,25944,6440,252530000
49,DVP,HOSE,19/03/2019,,25747,25944,25288,25879,11240,438940000
50,DVP,HOSE,20/03/2019,,25879,25879,25682,25747,10820,425030000
51,DVP,HOSE,21/03/2019,,25747,25944,25682,25715,10280,403040000
52,DVP,HOSE,22/03/2019,,25715,25813,25616,25747,2310,90130000
53,DVP,HOSE,25/03/2019,,25682,25715,25025,25353,6890,267440000
54,DVP,HOSE,26/03/2019,,25813,25813,25320,25452,3850,149000000
55,DVP,HOSE,27/03/2019,,25616,25616,25189,25452,9500,367000000
56,DVP,HOSE,28/03/2019,,25485,25485,25025,25485,17230,666000000
57,DVP,HOSE,29/03/2019,,25583,25583,25288,25353,14700,568000000
58,DVP,HOSE,01/04/2019,,25353,25616,25025,25353,5930,227830000
59,DVP,HOSE,02/04/2019,,25485,25616,25222,25288,4940,190460000
60,DVP,HOSE,03/04/2019,,25156,25255,25058,25255,5930,227000000
61,DVP,HOSE,04/04/2019,,25156,25550,25123,25156,29790,1144270000
62,DVP,HOSE,05/04/2019,,25583,25583,25156,25550,2360,90700000
63,DVP,HOSE,08/04/2019,,25288,25583,25255,25517,3310,127740000
64,DVP,HOSE,09/04/2019,,25517,25517,25156,25156,5690,218850000
65,DVP,HOSE,10/04/2019,,25156,25419,25058,25156,5740,219740000
66,DVP,HOSE,11/04/2019,,25156,25288,25091,25156,3980,152370000
67,DVP,HOSE,12/04/2019,,25452,26897,25025,25517,18990,731790000
68,DVP,HOSE,16/04/2019,,25517,25517,24959,24959,34400,1311910000
69,DVP,HOSE,17/04/2019,,25320,25320,24959,25156,16340,622570000
70,DVP,HOSE,18/04/2019,,24828,25255,24631,24893,7810,295070000
71,DVP,HOSE,19/04/2019,,24893,24893,24565,24631,39200,1470220000
72,DVP,HOSE,22/04/2019,,24499,24631,24368,24368,10560,394000000
73,DVP,HOSE,23/04/2019,,24368,24631,24302,24434,18430,685280000
74,DVP,HOSE,24/04/2019,,24335,24631,24335,24434,22310,830180000
75,DVP,HOSE,25/04/2019,,24434,24434,24302,24302,13480,500.30
76,DVP,HOSE,26/04/2019,,24335,24499,24302,24401,2920,108260000
77,DVP,HOSE,02/05/2019,,24828,24828,24237,24302,3200,118360000
78,DVP,HOSE,03/05/2019,,24237,24302,24040,24072,26370,968520000
79,DVP,HOSE,06/05/2019,,24072,24072,23908,23974,19930,728290000
80,DVP,HOSE,07/05/2019,,23908,23908,23580,23744,18690,676910000
81,DVP,HOSE,08/05/2019,,23711,23711,23383,23646,36000,1293090000
82,DVP,HOSE,09/05/2019,,23514,24007,23514,23843,3150,114420000
83,DVP,HOSE,10/05/2019,,23843,23843,23646,23843,11660,422770000
84,DVP,HOSE,13/05/2019,,23843,23843,23317,23646,7770,279420000
85,DVP,HOSE,14/05/2019,,23514,23646,22989,23153,59570,2100200000
86,DVP,HOSE,15/05/2019,,23153,23646,23153,23580,7130,254600000
87,DVP,HOSE,16/05/2019,,23514,23547,23054,23547,22730,809510000
88,DVP,HOSE,17/05/2019,,23547,23547,22332,23383,39760,1392000000
89,DVP,HOSE,20/05/2019,,23383,23514,23153,23514,19000,672510000
90,DVP,HOSE,21/05/2019,,23481,24565,23481,24467,36560,1346020000
91,DVP,HOSE,22/05/2019,,24467,25485,24467,25452,46490,1765880000
92,DVP,HOSE,23/05/2019,,25485,25485,24959,25222,14670,563000000
93,DVP,HOSE,24/05/2019,,24959,25222,24565,24828,20830,785140000
94,DVP,HOSE,27/05/2019,,25058,25091,24631,24959,9220,350120000
95,DVP,HOSE,28/05/2019,,24959,25452,24959,25419,20040,771010000
96,DVP,HOSE,29/05/2019,,25419,25452,25091,25419,19410,747900000
97,DVP,HOSE,30/05/2019,,25288,25288,25123,25222,6180,237740000
98,DVP,HOSE,31/05/2019,,25550,25550,25222,25353,5870,225480000
99,DVP,HOSE,03/06/2019,,25353,25353,24828,24828,15870,606510000
100,DVP,HOSE,04/06/2019,,24828,25353,24828,25091,7070,268880000
101,DVP,HOSE,05/06/2019,,25288,25288,25091,25222,11550,441640000
102,DVP,HOSE,06/06/2019,,25419,25419,25123,25222,12420,476830000
103,DVP,HOSE,07/06/2019,,25222,25353,25222,25288,13990,538300000
104,DVP,HOSE,10/06/2019,,25419,25419,25353,25353,6320,244100000
105,DVP,HOSE,11/06/2019,,25485,26141,25485,26076,59070,2328870000
106,DVP,HOSE,12/06/2019,,26076,26076,25879,25944,1690,66780000
107,DVP,HOSE,13/06/2019,,25944,25977,25846,25944,17020,672230000
108,DVP,HOSE,14/06/2019,,25944,26010,25616,26010,14770,582860000
109,DVP,HOSE,17/06/2019,,26010,26010,25616,25879,1340,52530000
110,DVP,HOSE,18/06/2019,,25879,25879,24204,24204,20190,764780000
111,DVP,HOSE,19/06/2019,,25231,25642,24649,25333,15020,552310000
112,DVP,HOSE,20/06/2019,,25231,25642,24649,25333,15020,552310000
113,DVP,HOSE,21/06/2019,,25881,26326,25881,26292,3740,141900000
114,DVP,HOSE,24/06/2019,,26018,26155,25950,26018,6690,254500000
115,DVP,HOSE,25/06/2019,,26360,26360,25299,25881,6920,261740000
116,DVP,HOSE,26/06/2019,,26121,26155,25470,25984,5470,205430000
117,DVP,HOSE,27/06/2019,,26018,26360,25470,25950,5100,190660000
118,DVP,HOSE,28/06/2019,,26018,26155,25470,25881,3550,133710000
119,DVP,HOSE,01/07/2019,,26258,26258,25676,25813,4520,170750000
120,DVP,HOSE,02/07/2019,,25813,26018,25505,25505,11390,430220000
121,DVP,HOSE,03/07/2019,,25950,25950,25505,25539,5900,219900000
122,DVP,HOSE,04/07/2019,,26018,26292,25607,25607,7270,273990000
123,DVP,HOSE,05/07/2019,,25607,26018,25607,25607,7910,296350000
124,DVP,HOSE,08/07/2019,,26018,26018,25607,25607,3940,147360000
125,DVP,HOSE,09/07/2019,,25607,25881,25607,25881,13220,497140000
126,DVP,HOSE,10/07/2019,,25881,25950,25607,25676,10540,396000000
127,DVP,HOSE,11/07/2019,,25676,26018,25676,25676,2260,85000000
128,DVP,HOSE,12/07/2019,,25744,26292,25744,26292,6040,229000000
129,DVP,HOSE,15/07/2019,,26292,26292,26018,26018,10520,400000000
130,DVP,HOSE,16/07/2019,,26292,26292,26155,26292,24110,923000000
131,DVP,HOSE,17/07/2019,,26360,26840,26360,26703,61160,2387000000
132,DVP,HOSE,18/07/2019,,26840,26840,26703,26771,34030,1329000000
133,DVP,HOSE,19/07/2019,,26703,27011,26429,27011,12630,492000000
134,DVP,HOSE,22/07/2019,,27114,28894,27114,28072,106030,4380000000
135,DVP,HOSE,23/07/2019,,28072,28072,27730,27798,14130,575000000
136,DVP,HOSE,24/07/2019,,28141,28141,27387,27559,8330,336000000
137,DVP,HOSE,25/07/2019,,27387,27387,26977,27319,12110,480000000
138,DVP,HOSE,26/07/2019,,27045,27730,27045,27182,10360,412000000
139,DVP,HOSE,29/07/2019,,27182,27730,27182,27387,31180,1249000000
140,DVP,HOSE,30/07/2019,,27524,27935,27422,27696,15990,649000000
141,DVP,HOSE,31/07/2019,,27696,27833,27490,27798,12410,502000000
142,DVP,HOSE,01/08/2019,,27764,27798,27524,27730,5850,237000000
143,DVP,HOSE,02/08/2019,,27798,27798,27045,27045,26570,1061000000
144,DVP,HOSE,05/08/2019,,27045,28072,27045,27593,14360,578000000
145,DVP,HOSE,06/08/2019,,26840,27593,26771,27045,16090,638000000
146,DVP,HOSE,07/08/2019,,27490,27730,27387,27730,23300,939000000
147,DVP,HOSE,08/08/2019,,27730,29647,27730,29647,275350,11725000000
148,DVP,HOSE,09/08/2019,,31701,31701,31359,31496,180490,8349000000
149,DVP,HOSE,12/08/2019,,31496,31496,30195,31324,37190,1678000000
150,DVP,HOSE,13/08/2019,,30469,30811,29818,29921,139770,6160000000
151,DVP,HOSE,14/08/2019,,29921,30606,29852,29921,87860,3880000000
152,DVP,HOSE,15/08/2019,,29168,31153,29168,31085,111830,4959000000
153,DVP,HOSE,16/08/2019,,31085,31496,30537,30811,69960,3177000000
154,DVP,HOSE,19/08/2019,,30811,30811,29784,30606,48270,2136000000
155,DVP,HOSE,20/08/2019,,30195,31153,30126,30126,88960,3960000000
156,DVP,HOSE,21/08/2019,,30400,30400,29647,29989,57230,2500000000
157,DVP,HOSE,22/08/2019,,29989,30469,29647,29989,44040,1914000000
158,DVP,HOSE,23/08/2019,,29784,30263,29647,30195,32510,1430000000
159,DVP,HOSE,26/08/2019,,30332,31359,29989,30708,82170,3676000000
160,DVP,HOSE,27/08/2019,,30708,30742,30058,30400,50810,2249000000
161,DVP,HOSE,28/08/2019,,30195,30400,29784,30332,58510,2583000000
162,DVP,HOSE,29/08/2019,,30332,31975,30160,31496,245700,11279000000
163,DVP,HOSE,30/08/2019,,31701,33207,31633,33070,176900,8432000000
164,DVP,HOSE,03/09/2019,,33002,33070,31872,31906,93830,4455000000
165,DVP,HOSE,04/09/2019,,31906,32043,30811,32112,145290,6727000000
166,DVP,HOSE,05/09/2019,,32488,32488,31290,31496,37700,1748000000
167,DVP,HOSE,06/09/2019,,31564,31906,31359,31564,30910,1425000000
168,DVP,HOSE,09/09/2019,,31633,31633,29373,29373,126440,5551000000
169,DVP,HOSE,10/09/2019,,29373,30126,28415,28415,142990,6112000000
170,DVP,HOSE,11/09/2019,,28415,29099,28415,28757,47240,1983000000
171,DVP,HOSE,12/09/2019,,28757,29647,28757,29442,33060,1415000000
172,DVP,HOSE,13/09/2019,,29442,29578,28757,29373,37190,1582000000
173,DVP,HOSE,16/09/2019,,29442,30811,28688,30400,66860,2883000000
174,DVP,HOSE,17/09/2019,,30400,30400,29442,30126,30850,1343000000
175,DVP,HOSE,18/09/2019,,30126,30126,28757,29305,37820,1621000000
176,DVP,HOSE,19/09/2019,,29784,29784,29099,29442,18070,774000000
177,DVP,HOSE,20/09/2019,,29442,29784,29099,29578,29560,1264000000
178,DVP,HOSE,23/09/2019,,29578,29578,28688,28757,61710,2603000000
179,DVP,HOSE,24/09/2019,,29305,29305,28483,28860,38860,1641000000
180,DVP,HOSE,25/09/2019,,28757,29236,28620,28962,67500,2847000000
181,DVP,HOSE,26/09/2019,,28894,28962,27798,27798,82040,3386000000
182,DVP,HOSE,27/09/2019,,27798,28346,27251,27319,124050,4993000000
183,DVP,HOSE,30/09/2019,,27935,28757,27593,28757,64970,2693000000
184,DVP,HOSE,01/10/2019,,28757,28757,28209,28757,34370,1431000000
185,DVP,HOSE,02/10/2019,,28278,28620,28004,28346,34710,1434000000
186,DVP,HOSE,03/10/2019,,28072,28551,27935,28415,2760,114000000
187,DVP,HOSE,04/10/2019,,28415,28517,28072,28278,7710,318000000
188,DVP,HOSE,07/10/2019,,28278,28449,28004,28346,18150,748000000
189,DVP,HOSE,08/10/2019,,28346,28415,27524,27798,26730,1085000000
190,DVP,HOSE,09/10/2019,,27798,28346,27422,28072,15780,638000000
191,DVP,HOSE,10/10/2019,,27593,28312,27251,28072,53920,2167000000
192,DVP,HOSE,11/10/2019,,28072,28278,27730,28004,12370,506000000
193,DVP,HOSE,14/10/2019,,27730,28894,27730,28894,78920,3241000000
194,DVP,HOSE,15/10/2019,,28757,28894,28415,28894,20690,869000000
195,DVP,HOSE,16/10/2019,,28209,28757,27593,28346,56080,2279000000
196,DVP,HOSE,17/10/2019,,27798,28551,27730,28072,19960,811000000
197,DVP,HOSE,18/10/2019,,28209,28278,27730,28004,23400,951000000
198,DVP,HOSE,21/10/2019,,27798,28072,27456,28072,15730,641000000
199,DVP,HOSE,22/10/2019,,27730,28038,27114,27251,75090,3005000000
200,DVP,HOSE,23/10/2019,,27251,27627,27251,27490,5360,214000000
201,DVP,HOSE,24/10/2019,,27490,27490,26395,27045,43130,1700000000
202,DVP,HOSE,25/10/2019,,27319,27319,26737,26737,8160,320000000
203,DVP,HOSE,28/10/2019,,26737,26737,26360,26463,53620,2077000000
204,DVP,HOSE,29/10/2019,,26292,26497,26224,26429,21670,834000000
205,DVP,HOSE,30/10/2019,,26121,26395,26121,26292,31770,1219000000
206,DVP,HOSE,31/10/2019,,26326,28072,26155,28072,13790,534000000
207,DVP,HOSE,01/11/2019,,26532,27798,26532,27045,6050,238000000
208,DVP,HOSE,04/11/2019,,26874,27045,26703,26977,11980,471000000
209,DVP,HOSE,05/11/2019,,26977,26977,26566,26634,23710,923000000
210,DVP,HOSE,06/11/2019,,26669,26669,26360,26600,50070,1935000000
211,DVP,HOSE,07/11/2019,,26600,26600,26018,26052,41940,1606000000
212,DVP,HOSE,08/11/2019,,26018,26532,26018,26258,11420,437000000
213,DVP,HOSE,11/11/2019,,26360,26360,25813,26018,23710,902000000
214,DVP,HOSE,12/11/2019,,26224,26224,26018,26121,14450,551000000
215,DVP,HOSE,13/11/2019,,26052,26224,26018,26155,23630,901000000
216,DVP,HOSE,14/11/2019,,26121,26155,26052,26052,9760,372000000
217,DVP,HOSE,15/11/2019,,26121,26121,25539,26087,12740,484000000
218,DVP,HOSE,18/11/2019,,26052,26087,25881,26087,9650,367000000
219,DVP,HOSE,19/11/2019,,25915,26018,25881,26018,5210,197000000
220,DVP,HOSE,20/11/2019,,26463,26463,25881,26018,5000,189000000
221,DVP,HOSE,21/11/2019,,25813,26258,25813,26018,3180,121000000
222,DVP,HOSE,22/11/2019,,26018,26087,25881,26018,8310,315000000
223,DVP,HOSE,25/11/2019,,25881,26121,25847,26018,6940,263000000
224,DVP,HOSE,26/11/2019,,26018,26018,25950,26018,15440,587000000
225,DVP,HOSE,27/11/2019,,26018,26018,25881,25881,8330,316000000
226,DVP,HOSE,28/11/2019,,26018,26018,25881,25915,7250,275000000
227,DVP,HOSE,29/11/2019,,25915,25915,25847,25881,3560,135000000
228,DVP,HOSE,02/12/2019,,25470,26018,25470,25950,15360,576000000
229,DVP,HOSE,03/12/2019,,25950,25950,25470,25505,16890,632000000
230,DVP,HOSE,04/12/2019,,25505,25607,25402,25539,5630,209000000
231,DVP,HOSE,05/12/2019,,25539,25676,25333,25676,4820,179000000
232,DVP,HOSE,06/12/2019,,25539,25847,25539,25813,8560,321000000
233,DVP,HOSE,09/12/2019,,25813,26360,25813,26121,10290,391000000
234,DVP,HOSE,10/12/2019,,26121,26360,26121,26121,5920,226000000
235,DVP,HOSE,11/12/2019,,26121,26155,26018,26052,20330,775000000
236,DVP,HOSE,12/12/2019,,26155,26224,26121,26155,12650,483000000
237,DVP,HOSE,13/12/2019,,26155,26292,26155,26224,29970,1147000000
238,DVP,HOSE,16/12/2019,,27222,27222,26510,26723,29530,1119000000
239,DVP,HOSE,17/12/2019,,26723,26795,26510,26510,9170,343000000
240,DVP,HOSE,18/12/2019,,26510,26652,26438,26438,7850,292000000
241,DVP,HOSE,19/12/2019,,26438,26438,26153,26438,12280,454000000
242,DVP,HOSE,20/12/2019,,26438,26581,26367,26367,2060,76000000
243,DVP,HOSE,23/12/2019,,26581,26581,26082,26331,11880,437000000
244,DVP,HOSE,24/12/2019,,26153,26367,25939,25939,14590,535000000
245,DVP,HOSE,25/12/2019,,26296,26296,26011,26189,3790,139000000
246,DVP,HOSE,26/12/2019,,26224,26260,26082,26189,1090,40000000
247,DVP,HOSE,27/12/2019,,26118,26331,26046,26153,5520,203000000
248,DVP,HOSE,30/12/2019,,26153,26153,25904,25939,17940,656000000
249,DVP,HOSE,31/12/2019,,25975,26082,25939,25939,10350,377000000
250,DVP,HOSE,02/01/2020,,25939,26082,25939,25939,6820,248000000
251,DVP,HOSE,03/01/2020,,26082,26082,25690,26011,16580,600000000
252,DVP,HOSE,06/01/2020,,26011,26011,25797,26011,6220,226000000
253,DVP,HOSE,07/01/2020,,26011,26011,25583,25904,19780,714000000
254,DVP,HOSE,08/01/2020,,25833,25833,25654,25654,18450,665000000
255,DVP,HOSE,09/01/2020,,25939,25939,25583,25726,11020,397000000
