,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DXS,HNX,15/07/2021,,24959,24959,16224,18096,5223200,156108860000
1,DXS,HNX,16/07/2021,,18096,18969,17409,18720,2685300,77837890000
2,DXS,HNX,19/07/2021,,18595,18844,17472,17472,1078800,31617980000
3,DXS,HNX,20/07/2021,,17472,18033,16660,17472,1366200,37367450000
4,DXS,HNX,21/07/2021,,17472,18345,17472,18283,1013700,29145090000
5,DXS,HNX,22/07/2021,,18283,19094,17846,18782,1110400,33169350000
6,DXS,HNX,23/07/2021,,18720,18907,17784,17784,680700,19908770000
7,DXS,HNX,26/07/2021,,17596,17846,17160,17160,478600,13332110000
8,DXS,HNX,27/07/2021,,17160,18096,16785,16785,619600,16934510000
9,DXS,HNX,28/07/2021,,16848,17160,15163,16224,926100,24431690000
10,DXS,HNX,29/07/2021,,16224,16785,15974,16099,819100,21245640000
11,DXS,HNX,30/07/2021,,16099,16785,16099,16660,846300,22344700000
12,DXS,HNX,02/08/2021,,16785,16785,16036,16161,1013900,26398010000
13,DXS,HNX,03/08/2021,,16099,16224,15288,15974,1242600,31462770000
14,DXS,HNX,04/08/2021,,16036,16598,15912,16598,968900,25246250000
15,DXS,HNX,05/08/2021,,16598,17035,16224,16972,669700,17935130000
16,DXS,HNX,06/08/2021,,16972,17721,16598,17409,1231300,34099150000
17,DXS,HNX,09/08/2021,,17472,18345,17160,18220,1111500,31640440000
18,DXS,HNX,10/08/2021,,18470,18470,17721,18220,515200,14912570000
19,DXS,HNX,11/08/2021,,18220,18220,17721,17721,746800,21395480000
20,DXS,HNX,12/08/2021,,17721,17971,17472,17721,321900,9164320000
21,DXS,HNX,13/08/2021,,17721,17784,17409,17596,489600,13763380000
22,DXS,HNX,16/08/2021,,17846,18470,17659,18158,631400,18343910000
23,DXS,HNX,17/08/2021,,18220,18345,17721,17721,472800,13585570000
24,DXS,HNX,18/08/2021,,17721,18220,17472,17472,245000,6935180000
25,DXS,HNX,19/08/2021,,17472,17596,17284,17472,416400,11641850000
26,DXS,HNX,20/08/2021,,17596,17721,16598,16848,955300,26333160000
27,DXS,HNX,23/08/2021,,16660,16910,15662,16036,665700,17518770000
28,DXS,HNX,24/08/2021,,16099,17160,16099,16723,421700,11252110000
29,DXS,HNX,25/08/2021,,16848,17035,16598,16972,356600,9631160000
30,DXS,HNX,26/08/2021,,17347,17908,17160,17784,1064500,29831400000
31,DXS,HNX,27/08/2021,,17784,17846,17160,17784,769600,21739860000
32,DXS,HNX,30/08/2021,,17784,17846,17160,17784,0,0
33,DXS,HNX,31/08/2021,,17784,17846,17160,17784,0,0
34,DXS,HNX,01/09/2021,,17784,17846,17160,17784,0,0
35,DXS,HOSE,06/09/2021,,17784,18096,17191,17784,499400,14183705000
36,DXS,HOSE,07/09/2021,,17846,17846,17347,17472,231300,6519005000
37,DXS,HOSE,08/09/2021,,17472,17752,17347,17690,336000,9478335000
38,DXS,HOSE,09/09/2021,,17659,17690,17472,17503,160000,4508450000
39,DXS,HOSE,10/09/2021,,17472,17659,17472,17534,293000,8235095000
40,DXS,HOSE,13/09/2021,,17534,18033,17440,18002,527700,15007060000
41,DXS,HOSE,14/09/2021,,17971,17971,17721,17815,218100,6243235000
42,DXS,HOSE,15/09/2021,,17721,17846,17596,17815,224600,6382440000
43,DXS,HOSE,16/09/2021,,17815,17815,17472,17596,298200,8407369999.999990
44,DXS,HOSE,17/09/2021,,17596,18096,17472,18096,925800,26542015000
45,DXS,HOSE,20/09/2021,,18096,18283,17846,17908,269700,7800770000.000010
