,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,FCM,HOSE,02/01/2019,,5105,5178,4886,4886,113200,761080000
1,FCM,HOSE,03/01/2019,,5003,5003,4886,5003,50020,335140000
2,FCM,HOSE,04/01/2019,,4820,4886,4740,4879,273210,1793900000
3,FCM,HOSE,07/01/2019,,4849,4886,4849,4864,16850,112640000
4,FCM,HOSE,08/01/2019,,4740,4915,4587,4915,252970,1608310000
5,FCM,HOSE,09/01/2019,,4959,4959,4937,4944,2950,20010000
6,FCM,HOSE,10/01/2019,,4886,4944,4886,4944,6010,40270000
7,FCM,HOSE,11/01/2019,,5003,5003,5003,5003,3010,20650000
8,FCM,HOSE,14/01/2019,,5032,5032,5003,5032,6520,45000000
9,FCM,HOSE,15/01/2019,,4959,5010,4777,4777,4000,26770000
10,FCM,HOSE,16/01/2019,,4922,5032,4784,4784,7540,51000000
11,FCM,HOSE,17/01/2019,,4784,4871,4740,4871,10120,66000000
12,FCM,HOSE,18/01/2019,,4755,4952,4747,4886,46300,309320000
13,FCM,HOSE,21/01/2019,,5105,5105,5068,5068,14900,104120000
14,FCM,HOSE,22/01/2019,,5105,5105,4959,5105,13060,89420000
15,FCM,HOSE,23/01/2019,,5032,5105,4966,5054,13350,91280000
16,FCM,HOSE,24/01/2019,,5309,5309,5105,5105,140,980000
17,FCM,HOSE,25/01/2019,,5097,5097,4908,5090,36140,248080000
18,FCM,HOSE,28/01/2019,,5178,5323,4901,4901,14380,97840000
19,FCM,HOSE,29/01/2019,,5003,5003,4747,4959,31610,206920000
20,FCM,HOSE,30/01/2019,,4747,5010,4740,4777,5030,33310000
21,FCM,HOSE,31/01/2019,,4959,4959,4740,4769,21440,140390000
22,FCM,HOSE,01/02/2019,,4842,4842,4813,4842,1070,7060000
23,FCM,HOSE,11/02/2019,,4747,4944,4747,4930,21660,144930000
24,FCM,HOSE,12/02/2019,,4959,5105,4959,5032,31830,217870000
25,FCM,HOSE,13/02/2019,,5032,5032,4886,5032,7520,50780000
26,FCM,HOSE,14/02/2019,,4959,5039,4901,4901,42540,286650000
27,FCM,HOSE,15/02/2019,,4901,4959,4886,4944,10210,68430000
28,FCM,HOSE,18/02/2019,,5024,5024,4893,5010,40720,276510000
29,FCM,HOSE,19/02/2019,,4988,5032,4959,5003,21160,144020000
30,FCM,HOSE,20/02/2019,,4995,5003,4893,5003,59010,398460000
31,FCM,HOSE,21/02/2019,,5032,5105,4995,5032,21790,149550000
32,FCM,HOSE,22/02/2019,,4959,5097,4959,5097,41110,282170000
33,FCM,HOSE,25/02/2019,,5105,5396,4995,5396,156150,1122570000
34,FCM,HOSE,26/02/2019,,5396,5396,5178,5382,81350,591020000
35,FCM,HOSE,27/02/2019,,5396,5396,5214,5375,39960,289380000
36,FCM,HOSE,28/02/2019,,5251,5688,5251,5681,330450,2451720000
37,FCM,HOSE,01/03/2019,,5469,5681,5469,5652,29670,225120000
38,FCM,HOSE,04/03/2019,,5674,5674,5469,5608,10100,76320000
39,FCM,HOSE,05/03/2019,,5615,5615,5258,5550,54700,405760000
40,FCM,HOSE,06/03/2019,,5331,5535,5280,5462,54540,404040000
41,FCM,HOSE,07/03/2019,,5455,5535,5433,5433,35530,266030000
42,FCM,HOSE,08/03/2019,,5367,5469,5367,5469,29270,217330000
43,FCM,HOSE,11/03/2019,,5469,5571,5367,5564,223300,1656660000
44,FCM,HOSE,12/03/2019,,5469,5564,5396,5528,40650,301700000
45,FCM,HOSE,13/03/2019,,5440,5615,5433,5433,23150,173020000
46,FCM,HOSE,14/03/2019,,5433,5550,5418,5447,15590,355360000
47,FCM,HOSE,15/03/2019,,5535,5535,5367,5367,3440,25680000
48,FCM,HOSE,18/03/2019,,5469,5615,5367,5462,67580,501420000
49,FCM,HOSE,19/03/2019,,5469,5469,5396,5462,158130,1170340000
50,FCM,HOSE,20/03/2019,,5404,5462,5404,5411,11690,87210000
51,FCM,HOSE,21/03/2019,,5411,5455,5360,5367,203950,1506550000
52,FCM,HOSE,22/03/2019,,5396,5433,5360,5433,170440,1264990000
53,FCM,HOSE,25/03/2019,,5396,5433,5367,5433,156640,1159960000
54,FCM,HOSE,26/03/2019,,5681,5681,5440,5469,45460,341000000
55,FCM,HOSE,27/03/2019,,5615,5615,5469,5550,47380,360000000
56,FCM,HOSE,28/03/2019,,5542,5601,5469,5579,6550,50000000
57,FCM,HOSE,29/03/2019,,5579,5586,5542,5564,13350,102000000
58,FCM,HOSE,01/04/2019,,5418,5542,5360,5506,239610,1772230000
59,FCM,HOSE,02/04/2019,,5469,5506,5426,5469,13110,98830000
60,FCM,HOSE,03/04/2019,,5469,5469,5367,5469,64670,477920000
61,FCM,HOSE,04/04/2019,,5579,5579,5404,5469,3410,25540000
62,FCM,HOSE,05/04/2019,,5418,5528,5418,5528,49030,367390000
63,FCM,HOSE,08/04/2019,,5506,5506,5411,5411,54590,408530000
64,FCM,HOSE,09/04/2019,,5469,5542,5396,5396,59790,444800000
65,FCM,HOSE,10/04/2019,,5520,5535,5404,5506,83410,625070000
66,FCM,HOSE,11/04/2019,,5535,5535,5433,5506,11620,87180000
67,FCM,HOSE,12/04/2019,,5506,5535,5396,5535,24620,183980000
68,FCM,HOSE,16/04/2019,,5440,5520,5411,5520,6610,49250000
69,FCM,HOSE,17/04/2019,,5141,5513,5141,5484,13930,102570000
70,FCM,HOSE,18/04/2019,,5827,5834,5375,5396,93420,689780000
71,FCM,HOSE,19/04/2019,,5338,5469,5323,5345,22730,166450000
72,FCM,HOSE,22/04/2019,,5323,5396,5316,5389,35690,261080000
73,FCM,HOSE,23/04/2019,,5323,5411,5323,5389,2580,18990000
74,FCM,HOSE,24/04/2019,,5323,5396,5323,5323,62490,456860000
75,FCM,HOSE,25/04/2019,,5221,5389,5221,5316,34530,249.38
76,FCM,HOSE,26/04/2019,,5367,5367,5251,5316,12030,86620000
77,FCM,HOSE,02/05/2019,,5258,5375,5258,5375,27510,201100000
78,FCM,HOSE,03/05/2019,,5389,5389,5265,5367,1890,13780000
79,FCM,HOSE,06/05/2019,,5214,5338,5214,5323,12700,92370000
80,FCM,HOSE,07/05/2019,,5389,5389,5243,5316,14030,102420000
81,FCM,HOSE,08/05/2019,,5258,5396,5251,5323,30590,220410000
82,FCM,HOSE,09/05/2019,,5200,5323,5200,5214,18650,134340000
83,FCM,HOSE,10/05/2019,,5287,5287,5192,5280,16050,114750000
84,FCM,HOSE,13/05/2019,,5200,5644,5200,5323,23120,169330000
85,FCM,HOSE,14/05/2019,,5251,5396,5214,5323,21540,154420000
86,FCM,HOSE,15/05/2019,,5462,5462,5236,5323,7980,57590000
87,FCM,HOSE,16/05/2019,,5389,5433,5265,5323,26550,191840000
88,FCM,HOSE,17/05/2019,,5323,5323,5251,5323,60240,435000000
89,FCM,HOSE,20/05/2019,,5367,5396,5323,5389,20750,152200000
90,FCM,HOSE,21/05/2019,,5360,5396,5272,5272,24090,175020000
91,FCM,HOSE,22/05/2019,,5396,5396,5251,5323,43840,316180000
92,FCM,HOSE,23/05/2019,,5389,5389,5243,5316,26160,189000000
93,FCM,HOSE,24/05/2019,,5396,5396,5251,5316,460,3330000
94,FCM,HOSE,27/05/2019,,5251,5353,5221,5229,15800,113310000
95,FCM,HOSE,28/05/2019,,5229,5272,5214,5272,253230,1827410000
96,FCM,HOSE,29/05/2019,,5221,5272,5214,5251,73320,525490000
