,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,FLC,HOSE,02/01/2019,,5140,5190,5100,5110,2788640,14337920000
1,FLC,HOSE,03/01/2019,,5110,5140,4900,5050,6074050,30556130000
2,FLC,HOSE,04/01/2019,,4950,5080,4930,5050,3400350,17019330000
3,FLC,HOSE,07/01/2019,,5130,5190,5130,5130,2496730,12858320000
4,FLC,HOSE,08/01/2019,,5130,5350,5090,5340,6679160,34954070000
5,FLC,HOSE,09/01/2019,,5480,5480,5230,5260,7396470,39654750000
6,FLC,HOSE,10/01/2019,,5270,5340,5180,5200,4229980,22181590000
7,FLC,HOSE,11/01/2019,,5260,5350,5250,5320,6945220,36842750000
8,FLC,HOSE,14/01/2019,,5550,5550,5390,5390,10074750,55087000000
9,FLC,HOSE,15/01/2019,,5430,5460,5390,5390,4978760,26967500000
10,FLC,HOSE,16/01/2019,,5400,5480,5290,5420,10769290,58100000000
11,FLC,HOSE,17/01/2019,,5460,5660,5440,5500,24044070,133510000000
12,FLC,HOSE,18/01/2019,,5530,5590,5450,5450,7596270,41812320000
13,FLC,HOSE,21/01/2019,,5470,5480,5350,5350,6819310,36807710000
14,FLC,HOSE,22/01/2019,,5350,5400,5250,5260,10963620,58109420000
15,FLC,HOSE,23/01/2019,,5230,5290,5220,5240,4273580,22457270000
16,FLC,HOSE,24/01/2019,,5230,5330,5230,5230,4014140,21094980000
17,FLC,HOSE,25/01/2019,,5250,5260,5180,5180,3869380,20175700000
18,FLC,HOSE,28/01/2019,,5180,5220,5130,5140,3615050,18667360000
19,FLC,HOSE,29/01/2019,,5140,5150,5090,5100,3847280,19663860000
20,FLC,HOSE,30/01/2019,,5110,5200,5090,5150,3647820,18788080000
21,FLC,HOSE,31/01/2019,,5180,5220,5150,5150,2219800,11483740000
22,FLC,HOSE,01/02/2019,,5200,5220,5150,5180,4116310,21327860000
23,FLC,HOSE,11/02/2019,,5230,5320,5200,5250,3846270,20217470000
24,FLC,HOSE,12/02/2019,,5300,5450,5280,5390,9794880,52520010000
25,FLC,HOSE,13/02/2019,,5420,5450,5360,5370,5593940,30160590000
26,FLC,HOSE,14/02/2019,,5380,5420,5360,5370,7111230,38365560000
27,FLC,HOSE,15/02/2019,,5370,5390,5310,5320,4635000,24790940000
28,FLC,HOSE,18/02/2019,,5360,5380,5330,5370,4375670,23432730000
29,FLC,HOSE,19/02/2019,,5400,5480,5360,5370,9831920,53357100000
30,FLC,HOSE,20/02/2019,,5380,5420,5350,5350,4528540,24339240000
31,FLC,HOSE,21/02/2019,,5380,5380,5290,5310,7653970,40681880000
32,FLC,HOSE,22/02/2019,,5310,5390,5270,5320,7314600,39089610000
33,FLC,HOSE,25/02/2019,,5380,5390,5340,5340,5618860,30119810000
34,FLC,HOSE,26/02/2019,,5370,5480,5350,5410,15963280,86467230000
35,FLC,HOSE,27/02/2019,,5460,5710,5410,5600,26159620,145358930000
36,FLC,HOSE,28/02/2019,,5630,5700,5380,5380,15590670,86391990000
37,FLC,HOSE,01/03/2019,,5410,5490,5400,5450,6104160,33188870000
38,FLC,HOSE,04/03/2019,,5470,5520,5420,5460,10345340,56457590000
39,FLC,HOSE,05/03/2019,,5460,5660,5430,5540,19170800,106957500000
40,FLC,HOSE,06/03/2019,,5570,5700,5560,5650,16686810,93898140000
41,FLC,HOSE,07/03/2019,,5690,5740,5550,5550,14043350,79212900000
42,FLC,HOSE,08/03/2019,,5520,5540,5450,5450,10508880,57645860000
43,FLC,HOSE,11/03/2019,,5480,5510,5440,5460,7568740,41351130000
44,FLC,HOSE,12/03/2019,,5500,5530,5440,5460,7410250,40570940000
45,FLC,HOSE,13/03/2019,,5490,5490,5400,5400,11047490,60001110000
46,FLC,HOSE,14/03/2019,,5410,5470,5370,5410,5454430,33516790000
47,FLC,HOSE,15/03/2019,,5400,5450,5360,5370,6744660,36347450000
48,FLC,HOSE,18/03/2019,,5400,5420,5370,5420,6209980,33487260000
49,FLC,HOSE,19/03/2019,,5430,5440,5310,5310,10620190,56915690000
50,FLC,HOSE,20/03/2019,,5310,5340,5280,5310,6871690,36440200000
51,FLC,HOSE,21/03/2019,,5320,5330,5200,5200,6283180,33078430000
52,FLC,HOSE,22/03/2019,,5220,5250,5160,5200,8059480,41881630000
53,FLC,HOSE,25/03/2019,,5100,5190,5080,5100,11514860,58931380000
54,FLC,HOSE,26/03/2019,,5140,5160,5100,5110,4804890,24587000000
55,FLC,HOSE,27/03/2019,,5140,5180,5100,5130,4033950,20718000000
56,FLC,HOSE,28/03/2019,,5100,5160,5100,5120,2940430,15093000000
57,FLC,HOSE,29/03/2019,,5150,5170,5120,5130,3407760,17532000000
58,FLC,HOSE,01/04/2019,,5170,5200,5150,5160,4496950,23294930000
59,FLC,HOSE,02/04/2019,,5200,5260,5160,5180,4643270,24140980000
60,FLC,HOSE,03/04/2019,,5180,5180,5140,5150,3906690,20155770000
61,FLC,HOSE,04/04/2019,,5160,5180,5120,5130,4538330,23358080000
62,FLC,HOSE,05/04/2019,,5130,5150,5100,5120,7135220,36534530000
63,FLC,HOSE,08/04/2019,,5120,5160,5120,5120,3042150,15621560000
64,FLC,HOSE,09/04/2019,,5140,5150,5080,5080,5065250,25867070000
65,FLC,HOSE,10/04/2019,,5090,5100,5050,5060,3799090,19264760000
66,FLC,HOSE,11/04/2019,,5080,5090,5050,5050,4150870,21018830000
67,FLC,HOSE,12/04/2019,,5060,5150,5060,5060,4660280,23751640000
68,FLC,HOSE,16/04/2019,,5070,5080,5000,5010,8034980,40306790000
69,FLC,HOSE,17/04/2019,,5000,5060,5000,5000,4531250,22707300000
70,FLC,HOSE,18/04/2019,,5000,5020,4860,4890,6621690,32649640000
71,FLC,HOSE,19/04/2019,,4900,4950,4860,4890,4844030,23718720000
72,FLC,HOSE,22/04/2019,,4890,4900,4790,4800,6019980,29049750000
73,FLC,HOSE,23/04/2019,,4780,4840,4780,4810,2295210,11042800000
74,FLC,HOSE,24/04/2019,,4820,4900,4800,4900,5999410,29138760000
75,FLC,HOSE,25/04/2019,,4900,4920,4850,4860,3494620,17053.34
76,FLC,HOSE,26/04/2019,,4860,4900,4850,4880,2490540,12142630000
77,FLC,HOSE,02/05/2019,,4880,4890,4800,4810,5726050,27672360000
78,FLC,HOSE,03/05/2019,,4810,4860,4770,4790,6216380,29892120000
79,FLC,HOSE,06/05/2019,,4760,4790,4640,4650,8669660,40704810000
80,FLC,HOSE,07/05/2019,,4690,4710,4590,4650,7055010,32720740000
81,FLC,HOSE,08/05/2019,,4600,4610,4540,4550,5169050,23636520000
82,FLC,HOSE,09/05/2019,,4560,4610,4500,4500,3569620,16196880000
83,FLC,HOSE,10/05/2019,,4550,4550,4500,4520,4024550,18179400000
84,FLC,HOSE,13/05/2019,,4600,4600,4520,4540,4896750,22252020000
85,FLC,HOSE,14/05/2019,,4530,4540,4480,4500,4617920,20805370000
86,FLC,HOSE,15/05/2019,,4540,4660,4520,4660,4317090,19808470000
87,FLC,HOSE,16/05/2019,,4690,4830,4680,4700,8741680,41636740000
88,FLC,HOSE,17/05/2019,,4750,4750,4660,4660,3241760,15222000000
89,FLC,HOSE,20/05/2019,,4660,4700,4630,4670,3987120,18645390000
90,FLC,HOSE,21/05/2019,,4700,4710,4620,4620,3473190,16167830000
91,FLC,HOSE,22/05/2019,,4630,4650,4590,4600,2748600,12676460000
92,FLC,HOSE,23/05/2019,,4600,4600,4560,4580,2323710,10642000000
93,FLC,HOSE,24/05/2019,,4560,4580,4540,4550,3139040,14301950000
94,FLC,HOSE,27/05/2019,,4550,4590,4540,4560,2833270,12920770000
95,FLC,HOSE,28/05/2019,,4600,4600,4520,4540,2043750,9301470000
96,FLC,HOSE,29/05/2019,,4530,4560,4510,4530,1853780,8400640000
97,FLC,HOSE,30/05/2019,,4510,4530,4510,4530,2696990,12176900000
98,FLC,HOSE,31/05/2019,,4520,4590,4510,4520,2971770,13493840000
99,FLC,HOSE,03/06/2019,,4520,4530,4450,4450,4078150,18300020000
100,FLC,HOSE,04/06/2019,,4450,4470,4350,4350,7087480,31228860000
101,FLC,HOSE,05/06/2019,,4360,4430,4350,4380,4663390,20450630000
102,FLC,HOSE,06/06/2019,,4400,4410,4320,4360,2337030,10190460000
103,FLC,HOSE,07/06/2019,,4360,4400,4350,4370,3012430,13154640000
104,FLC,HOSE,10/06/2019,,4400,4400,4350,4350,4315650,18836960000
105,FLC,HOSE,11/06/2019,,4360,4380,4320,4320,2534620,11001100000
106,FLC,HOSE,12/06/2019,,4320,4410,4300,4350,5281290,23019440000
107,FLC,HOSE,13/06/2019,,4350,4400,4330,4360,2793150,12213640000
108,FLC,HOSE,14/06/2019,,4370,4450,4370,4410,3794900,16754160000
109,FLC,HOSE,17/06/2019,,4440,4440,4350,4350,2770290,12134600000
110,FLC,HOSE,18/06/2019,,4360,4380,4320,4330,2254580,9772350000
111,FLC,HOSE,19/06/2019,,4350,4370,4330,4330,3435650,14915310000
112,FLC,HOSE,20/06/2019,,4350,4370,4330,4330,3435650,14915310000
113,FLC,HOSE,21/06/2019,,4360,4380,4330,4340,2320180,10101670000
114,FLC,HOSE,24/06/2019,,4350,4370,4310,4310,2266930,9834680000
115,FLC,HOSE,25/06/2019,,4310,4350,4310,4320,3432030,14836660000
116,FLC,HOSE,26/06/2019,,4320,4340,4290,4290,3370220,14531150000
117,FLC,HOSE,27/06/2019,,4300,4310,4210,4210,6200500,26372710000
118,FLC,HOSE,28/06/2019,,4200,4240,4180,4200,4712140,19804300000
119,FLC,HOSE,01/07/2019,,4230,4270,4220,4250,2241660,9533430000
120,FLC,HOSE,02/07/2019,,4270,4270,4200,4200,2779140,11737290000
121,FLC,HOSE,03/07/2019,,4210,4220,4170,4190,2579690,10826770000
122,FLC,HOSE,04/07/2019,,4200,4250,4200,4220,2743590,11601850000
123,FLC,HOSE,05/07/2019,,4230,4250,4210,4220,1956390,8268060000
124,FLC,HOSE,08/07/2019,,4220,4240,4200,4240,3363340,14208430000
125,FLC,HOSE,09/07/2019,,4240,4240,4210,4210,2195600,9275220000
126,FLC,HOSE,10/07/2019,,4220,4250,4220,4220,2005490,8476000000
127,FLC,HOSE,11/07/2019,,4250,4450,4220,4400,10547840,45998000000
