,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GAB,HOSE,11/07/2019,,13333,13333,13333,13333,1305500,18799000000
1,GAB,HOSE,12/07/2019,,14259,14259,14213,14259,1326000,20420000000
2,GAB,HOSE,15/07/2019,,15231,15231,15185,15231,1031350,16964000000
3,GAB,HOSE,16/07/2019,,14213,14629,14166,14166,504010,7720000000
4,GAB,HOSE,17/07/2019,,13194,13194,13194,13194,29340,418000000
5,GAB,HOSE,18/07/2019,,12314,12314,12314,12314,8980,119000000
6,GAB,HOSE,19/07/2019,,11481,11481,11481,11481,42520,527000000
7,GAB,HOSE,22/07/2019,,10694,10694,10694,10694,180280,2082000000
8,GAB,HOSE,23/07/2019,,9953,10648,9953,10185,1431110,15418000000
9,GAB,HOSE,24/07/2019,,10185,10833,9490,9490,396700,4205000000
10,GAB,HOSE,25/07/2019,,8898,9537,8870,9537,338650,3338000000
11,GAB,HOSE,26/07/2019,,9074,9157,8870,8870,394470,3795000000
12,GAB,HOSE,29/07/2019,,8259,8278,8250,8250,183100,1632000000
13,GAB,HOSE,30/07/2019,,7676,8203,7676,7676,671050,5573000000
14,GAB,HOSE,31/07/2019,,7676,8213,7676,8213,222070,1921000000
15,GAB,HOSE,01/08/2019,,8592,8787,8592,8787,253790,2398000000
16,GAB,HOSE,02/08/2019,,9352,9398,8703,8842,384230,3839000000
17,GAB,HOSE,05/08/2019,,9444,9444,9074,9444,255240,2601000000
18,GAB,HOSE,06/08/2019,,10000,10092,9537,10092,118850,1282000000
19,GAB,HOSE,07/08/2019,,10787,10787,10648,10787,110250,1284000000
20,GAB,HOSE,08/08/2019,,11481,11527,10833,11527,339980,4222000000
21,GAB,HOSE,09/08/2019,,12314,12314,12314,12314,231980,3085000000
22,GAB,HOSE,12/08/2019,,13148,13148,12870,13148,141360,2002000000
23,GAB,HOSE,13/08/2019,,14027,14027,14027,14027,318490,4825000000
24,GAB,HOSE,14/08/2019,,15000,15000,13055,13055,746820,11380000000
25,GAB,HOSE,15/08/2019,,12176,13935,12176,13935,489240,6897000000
26,GAB,HOSE,16/08/2019,,14907,14907,13009,14907,475980,7589000000
27,GAB,HOSE,19/08/2019,,15000,15833,14907,15000,144100,2414000000
28,GAB,HOSE,20/08/2019,,14120,15601,14074,14907,145560,2288000000
29,GAB,HOSE,21/08/2019,,15000,15000,13889,13889,334230,5041000000
30,GAB,HOSE,22/08/2019,,14444,14444,12916,12916,246960,3465000000
31,GAB,HOSE,23/08/2019,,12083,13703,12037,13055,418240,5627000000
32,GAB,HOSE,26/08/2019,,13055,13611,12268,12314,114060,1584000000
33,GAB,HOSE,27/08/2019,,12777,13101,11852,11944,166090,2253000000
34,GAB,HOSE,28/08/2019,,11574,12453,11435,11805,160640,2066000000
35,GAB,HOSE,29/08/2019,,11111,12222,11018,11111,150310,1901000000
36,GAB,HOSE,30/08/2019,,11111,11389,10370,10602,219630,2564000000
37,GAB,HOSE,03/09/2019,,10602,11111,9907,11018,207070,2397000000
38,GAB,HOSE,04/09/2019,,11018,11296,10370,11111,98940,1193000000
39,GAB,HOSE,05/09/2019,,11250,11389,10740,11296,103830,1261000000
40,GAB,HOSE,06/09/2019,,10648,11527,10648,11389,152650,1877000000
41,GAB,HOSE,09/09/2019,,11389,11805,11203,11389,74680,939000000
42,GAB,HOSE,10/09/2019,,11389,11574,10926,11389,92060,1131000000
43,GAB,HOSE,11/09/2019,,11389,11435,10926,11342,99940,1221000000
44,GAB,HOSE,12/09/2019,,11111,11389,10833,10833,109220,1311000000
45,GAB,HOSE,13/09/2019,,11111,11111,10694,11065,106360,1264000000
46,GAB,HOSE,16/09/2019,,11065,11203,10602,10833,137260,1631000000
47,GAB,HOSE,17/09/2019,,10972,10972,10092,10277,219220,2468000000
48,GAB,HOSE,18/09/2019,,10370,10370,9815,10277,75440,834000000
49,GAB,HOSE,19/09/2019,,10648,10648,10277,10370,71360,816000000
50,GAB,HOSE,20/09/2019,,10509,10509,9815,10416,151380,1656000000
51,GAB,HOSE,23/09/2019,,9861,10324,9861,10277,65930,728000000
52,GAB,HOSE,24/09/2019,,10277,10277,9907,10185,122500,1352000000
53,GAB,HOSE,25/09/2019,,10185,10231,9953,10185,128740,1412000000
54,GAB,HOSE,26/09/2019,,10185,10185,9815,10139,46110,501000000
55,GAB,HOSE,27/09/2019,,10139,10648,9907,10139,47000,518000000
56,GAB,HOSE,30/09/2019,,10185,10324,9953,10277,75110,829000000
57,GAB,HOSE,01/10/2019,,10370,10370,10092,10324,58820,657000000
58,GAB,HOSE,02/10/2019,,10324,10324,10000,10277,68640,754000000
59,GAB,HOSE,03/10/2019,,10277,10277,10000,10277,61580,674000000
60,GAB,HOSE,04/10/2019,,10277,10277,10000,10277,37270,410000000
61,GAB,HOSE,07/10/2019,,10277,10277,9815,9722,43930,470000000
62,GAB,HOSE,08/10/2019,,10000,10092,9907,10046,28560,308000000
63,GAB,HOSE,09/10/2019,,10092,10185,9907,9907,20120,219000000
64,GAB,HOSE,10/10/2019,,10046,10185,9953,10092,51950,567000000
65,GAB,HOSE,11/10/2019,,10092,10185,9722,9815,77570,828000000
66,GAB,HOSE,14/10/2019,,10046,10463,9352,10463,296690,3227000000
67,GAB,HOSE,15/10/2019,,11157,11157,11065,11157,127790,1537000000
68,GAB,HOSE,16/10/2019,,11666,11666,11111,11203,78170,948000000
69,GAB,HOSE,17/10/2019,,11157,11203,10555,10833,79670,929000000
70,GAB,HOSE,18/10/2019,,10926,10972,10648,10648,66010,775000000
71,GAB,HOSE,21/10/2019,,11018,11018,10092,10833,128420,1506000000
72,GAB,HOSE,22/10/2019,,10277,10926,10277,10833,117790,1372000000
73,GAB,HOSE,23/10/2019,,10833,10833,10463,10833,64280,749000000
74,GAB,HOSE,24/10/2019,,10833,10833,10416,10740,50330,582000000
75,GAB,HOSE,25/10/2019,,10740,10740,10185,10648,62310,695000000
76,GAB,HOSE,28/10/2019,,10648,10740,10185,10648,54820,614000000
77,GAB,HOSE,29/10/2019,,10740,10740,10185,10185,66530,735000000
78,GAB,HOSE,30/10/2019,,9537,10370,9537,10370,76510,821000000
79,GAB,HOSE,31/10/2019,,10185,10509,10185,10277,62870,704000000
80,GAB,HOSE,01/11/2019,,10555,10555,9907,10370,79930,876000000
81,GAB,HOSE,04/11/2019,,10370,10370,9861,10370,82570,897000000
82,GAB,HOSE,05/11/2019,,9953,10370,9861,10370,170270,1845000000
83,GAB,HOSE,06/11/2019,,10370,10370,9861,10370,142820,1560000000
84,GAB,HOSE,07/11/2019,,10370,10370,9861,10277,180310,1943000000
85,GAB,HOSE,08/11/2019,,10277,10277,9815,10185,177960,1917000000
86,GAB,HOSE,11/11/2019,,10185,10185,9722,9907,136390,1440000000
87,GAB,HOSE,12/11/2019,,9629,9907,9444,9722,165300,1717000000
88,GAB,HOSE,13/11/2019,,9722,9722,9259,9352,198600,2004000000
89,GAB,HOSE,14/11/2019,,9398,9444,9213,9352,31540,317000000
90,GAB,HOSE,15/11/2019,,9259,9352,9148,9352,71700,719000000
91,GAB,HOSE,18/11/2019,,9352,9444,9028,9444,209000,2109000000
92,GAB,HOSE,19/11/2019,,9444,9722,9037,9490,254240,2541000000
