,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GDT,HOSE,02/01/2019,,22069,22069,21537,22069,930,38490000
1,GDT,HOSE,03/01/2019,,21537,22069,21324,21963,1370,55510000
2,GDT,HOSE,04/01/2019,,21963,21963,21643,21803,4580,187850000
3,GDT,HOSE,07/01/2019,,21378,21803,21271,21803,10420,418550000
4,GDT,HOSE,08/01/2019,,21457,21803,21457,21697,380,15420000
5,GDT,HOSE,09/01/2019,,21537,21803,21404,21404,4670,189470000
6,GDT,HOSE,10/01/2019,,21404,21776,21404,21590,2460,99580000
7,GDT,HOSE,11/01/2019,,21590,21590,21271,21271,21840,874030000
8,GDT,HOSE,14/01/2019,,21271,21697,21112,21218,20860,832000000
9,GDT,HOSE,15/01/2019,,21271,21484,21218,21431,3150,126360000
10,GDT,HOSE,16/01/2019,,21617,21617,21271,21457,4050,163000000
11,GDT,HOSE,17/01/2019,,21218,21431,21218,21431,2510,100000000
12,GDT,HOSE,18/01/2019,,21271,21271,21271,21271,7540,301600000
13,GDT,HOSE,21/01/2019,,21271,21457,20739,21271,2890,113850000
14,GDT,HOSE,22/01/2019,,20899,21271,20899,21271,1140,44900000
15,GDT,HOSE,23/01/2019,,21271,21271,20846,20846,3650,144280000
16,GDT,HOSE,24/01/2019,,21324,21324,20846,20899,3400,133400000
17,GDT,HOSE,25/01/2019,,21245,21245,20846,21005,260,10220000
18,GDT,HOSE,28/01/2019,,21324,21324,21165,21165,150,5970000
19,GDT,HOSE,29/01/2019,,21005,21165,20793,20846,4150,164210000
20,GDT,HOSE,30/01/2019,,21271,21271,20952,21218,760,30010000
21,GDT,HOSE,31/01/2019,,21271,21271,21112,21112,830,33170000
22,GDT,HOSE,01/02/2019,,21271,21803,21271,21271,4180,167210000
23,GDT,HOSE,11/02/2019,,21271,21643,21112,21431,3600,143920000
24,GDT,HOSE,12/02/2019,,21431,21643,21138,21431,8050,322040000
25,GDT,HOSE,13/02/2019,,21431,21431,21165,21165,5060,202370000
26,GDT,HOSE,14/02/2019,,21537,21537,21191,21271,1380,55220000
27,GDT,HOSE,15/02/2019,,21324,21643,21245,21537,2600,104150000
28,GDT,HOSE,18/02/2019,,21537,21643,21271,21617,800,32150000
29,GDT,HOSE,19/02/2019,,21617,21617,20793,21484,25130,1007910000
30,GDT,HOSE,20/02/2019,,21484,21484,21112,21112,7170,285220000
31,GDT,HOSE,21/02/2019,,21457,21457,21032,21032,4180,167380000
32,GDT,HOSE,22/02/2019,,20739,21271,20739,21245,1610,64230000
33,GDT,HOSE,25/02/2019,,21245,21245,20952,21005,7330,290520000
34,GDT,HOSE,26/02/2019,,21005,21245,21005,21005,4540,179890000
35,GDT,HOSE,27/02/2019,,21005,21112,20793,21005,5140,202940000
36,GDT,HOSE,28/02/2019,,20846,21005,20846,21005,4090,161340000
37,GDT,HOSE,01/03/2019,,21005,21165,20846,21005,2830,111720000
38,GDT,HOSE,04/03/2019,,21005,21005,20793,20952,10480,411240000
39,GDT,HOSE,05/03/2019,,20952,21005,20819,20952,5180,204020000
40,GDT,HOSE,06/03/2019,,20979,21058,20952,21005,12460,491310000
41,GDT,HOSE,07/03/2019,,21005,21218,21005,21165,6750,268860000
42,GDT,HOSE,08/03/2019,,21165,21271,21138,21271,7380,294470000
43,GDT,HOSE,11/03/2019,,21271,21324,21165,21271,5340,213540000
44,GDT,HOSE,12/03/2019,,21298,21537,21298,21537,910,36700000
45,GDT,HOSE,13/03/2019,,21697,21803,21537,21697,2440,99600000
46,GDT,HOSE,14/03/2019,,21697,22069,21697,22016,5920,245230000
47,GDT,HOSE,15/03/2019,,22016,22016,21537,21989,1500,61270000
48,GDT,HOSE,18/03/2019,,21697,21989,21697,21750,3100,127300000
49,GDT,HOSE,19/03/2019,,22255,22255,21643,21803,3210,131680000
50,GDT,HOSE,20/03/2019,,21936,21936,21803,21883,1630,66870000
51,GDT,HOSE,21/03/2019,,21909,21936,21803,21803,1670,68750000
52,GDT,HOSE,22/03/2019,,21803,21909,21803,21856,3310,135720000
53,GDT,HOSE,25/03/2019,,21271,21856,21271,21856,1510,61980000
54,GDT,HOSE,26/03/2019,,21271,21803,21271,21537,740,30000000
55,GDT,HOSE,27/03/2019,,21803,22867,21324,22175,970,39000000
56,GDT,HOSE,28/03/2019,,21909,21963,21909,21963,100,4000000
57,GDT,HOSE,29/03/2019,,21963,21963,21643,21963,2570,106000000
58,GDT,HOSE,01/04/2019,,21643,21909,21271,21803,2740,110980000
59,GDT,HOSE,02/04/2019,,21803,21803,21590,21803,1930,78990000
60,GDT,HOSE,03/04/2019,,21590,21803,21378,21750,1570,63300000
61,GDT,HOSE,04/04/2019,,21750,21750,21697,21697,760,31070000
62,GDT,HOSE,05/04/2019,,21856,21856,21590,21803,40,1640000
63,GDT,HOSE,08/04/2019,,21643,21750,21537,21750,1210,49210000
64,GDT,HOSE,09/04/2019,,21564,21564,21271,21324,2070,83310000
65,GDT,HOSE,10/04/2019,,21697,21697,21271,21537,7650,306010000
66,GDT,HOSE,11/04/2019,,21750,21803,21484,21484,510,20660000
67,GDT,HOSE,12/04/2019,,21484,21803,21271,21537,1020,40960000
68,GDT,HOSE,16/04/2019,,21803,22335,21537,21776,270,11020000
69,GDT,HOSE,17/04/2019,,21590,21803,21537,21750,4760,193030000
70,GDT,HOSE,18/04/2019,,21643,21643,21324,21537,2050,82300000
71,GDT,HOSE,19/04/2019,,21803,21803,21643,21750,230,9400000
72,GDT,HOSE,22/04/2019,,21537,21803,20314,20580,34130,1332400000
73,GDT,HOSE,23/04/2019,,20580,21537,20314,21245,8630,337980000
74,GDT,HOSE,24/04/2019,,21218,21537,20474,21245,6240,243150000
75,GDT,HOSE,25/04/2019,,21138,21484,20766,21245,3290,130.15
76,GDT,HOSE,26/04/2019,,21032,21271,20952,21218,6670,265140000
77,GDT,HOSE,02/05/2019,,21191,21218,20997,21218,3100,118350000
78,GDT,HOSE,03/05/2019,,20997,21218,20997,21191,1220,46410000
