,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GEX,HOSE,02/01/2019,,13766,13860,13300,13580,988870,21523630000
1,GEX,HOSE,03/01/2019,,13580,13580,12648,12648,1757600,36492990000
2,GEX,HOSE,04/01/2019,,12648,12959,12617,12896,972370,20017230000
3,GEX,HOSE,07/01/2019,,13238,13238,12959,13114,1032880,21710820000
4,GEX,HOSE,08/01/2019,,13114,13176,13021,13052,925970,19453260000
5,GEX,HOSE,09/01/2019,,13052,13331,13021,13207,1190830,25226240000
6,GEX,HOSE,10/01/2019,,13238,13549,13207,13425,1623560,34891240000
7,GEX,HOSE,11/01/2019,,13487,13673,13425,13580,1441350,31381310000
8,GEX,HOSE,14/01/2019,,13611,13611,13362,13456,934390,20239000000
9,GEX,HOSE,15/01/2019,,13425,13549,13300,13487,1252850,27104140000
10,GEX,HOSE,16/01/2019,,13487,13611,13425,13456,1130850,24572000000
11,GEX,HOSE,17/01/2019,,13518,13518,13394,13425,953600,20648000000
12,GEX,HOSE,18/01/2019,,13518,13518,13362,13425,592390,12804480000
13,GEX,HOSE,21/01/2019,,13362,13580,13331,13487,741380,16063420000
14,GEX,HOSE,22/01/2019,,13487,13487,13269,13362,696970,14976310000
15,GEX,HOSE,23/01/2019,,13362,13425,13300,13362,414700,8916710000
16,GEX,HOSE,24/01/2019,,13518,13673,13362,13611,1309650,28594290000
17,GEX,HOSE,25/01/2019,,13642,13642,13456,13580,714110,15586150000
18,GEX,HOSE,28/01/2019,,13642,13642,13487,13518,411410,8966730000
19,GEX,HOSE,29/01/2019,,13580,13580,13331,13518,602220,12998130000
20,GEX,HOSE,30/01/2019,,13487,13487,13362,13362,663300,14305630000
21,GEX,HOSE,31/01/2019,,13487,13518,13362,13425,510730,11034930000
22,GEX,HOSE,01/02/2019,,13549,13611,13269,13611,869620,18896330000
23,GEX,HOSE,11/02/2019,,13735,13860,13611,13766,983160,21698370000
