,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GMD,HOSE,02/01/2019,,21828,22203,21786,21994,373200,9856520000
1,GMD,HOSE,03/01/2019,,22078,22203,21245,21245,744230,19317570000
2,GMD,HOSE,04/01/2019,,21245,21494,20703,21286,612880,15518430000
3,GMD,HOSE,07/01/2019,,21661,21661,21370,21411,295310,7636270000
4,GMD,HOSE,08/01/2019,,21494,21578,21286,21370,261540,6717420000
5,GMD,HOSE,09/01/2019,,21411,21744,21411,21578,235660,6111190000
6,GMD,HOSE,10/01/2019,,21661,21661,21494,21578,157950,4093220000
7,GMD,HOSE,11/01/2019,,21578,21661,21370,21411,422200,10891690000
8,GMD,HOSE,14/01/2019,,21453,21786,21411,21661,292460,7579000000
9,GMD,HOSE,15/01/2019,,21661,22119,21661,22078,340690,8978220000
10,GMD,HOSE,16/01/2019,,22078,22286,21828,22078,350940,9309000000
11,GMD,HOSE,17/01/2019,,21994,22078,20911,20911,293360,7633000000
12,GMD,HOSE,18/01/2019,,21328,21536,21161,21411,367840,9424290000
13,GMD,HOSE,21/01/2019,,21203,21744,21203,21661,358460,9248130000
14,GMD,HOSE,22/01/2019,,21661,21744,21536,21661,176040,4569780000
15,GMD,HOSE,23/01/2019,,21661,22328,21494,22036,679230,18030120000
16,GMD,HOSE,24/01/2019,,22036,22119,21911,21911,186520,4933720000
17,GMD,HOSE,25/01/2019,,21744,22078,21744,21994,122290,3221120000
18,GMD,HOSE,28/01/2019,,22078,22119,21786,21786,120560,3174570000
19,GMD,HOSE,29/01/2019,,21661,21744,21536,21744,197250,5117190000
20,GMD,HOSE,30/01/2019,,21744,21828,21578,21661,156960,4084010000
21,GMD,HOSE,31/01/2019,,21494,21703,21494,21494,295680,7659900000
22,GMD,HOSE,01/02/2019,,21494,21536,21245,21370,298230,7656600000
23,GMD,HOSE,11/02/2019,,21703,21911,21494,21869,239060,6239940000
24,GMD,HOSE,12/02/2019,,22036,22078,21911,21953,450870,11910870000
25,GMD,HOSE,13/02/2019,,22036,22911,22036,22911,2008050,54353990000
26,GMD,HOSE,14/02/2019,,22994,23077,22619,22619,589990,16165770000
27,GMD,HOSE,15/02/2019,,22619,22744,22369,22494,378050,10237160000
28,GMD,HOSE,18/02/2019,,22453,22786,22453,22744,447850,12157900000
29,GMD,HOSE,19/02/2019,,22786,23244,22744,22786,1249700,34389820000
30,GMD,HOSE,20/02/2019,,22661,22911,22661,22869,264330,7238900000
31,GMD,HOSE,21/02/2019,,22911,22994,22786,22994,440780,12122880000
32,GMD,HOSE,22/02/2019,,22994,23036,22869,22869,369840,10191320000
33,GMD,HOSE,25/02/2019,,22994,23161,22869,22911,497690,13733130000
34,GMD,HOSE,26/02/2019,,23161,23494,22952,23202,588070,16399830000
35,GMD,HOSE,27/02/2019,,23202,23536,23202,23536,781300,21973790000
36,GMD,HOSE,28/02/2019,,23577,23577,22911,22911,704100,19564120000
37,GMD,HOSE,01/03/2019,,22911,23161,22744,23077,258550,7119880000
38,GMD,HOSE,04/03/2019,,23244,23452,23077,23411,444630,12423910000
39,GMD,HOSE,05/03/2019,,23244,23411,23077,23077,464470,12957870000
