,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GMH,HOSE,12/01/2022,,21762,21762,21762,21762,462700,12215280000
1,GMH,HOSE,13/01/2022,,23246,23246,23246,23246,61000,1720200000
2,GMH,HOSE,14/01/2022,,24853,24853,21638,21638,320600,9258595000
3,GMH,HOSE,17/01/2022,,20154,20154,20154,20154,3700,90465000
4,GMH,HOSE,18/01/2022,,18753,18753,18753,18753,300,6825000
5,GMH,HOSE,19/01/2022,,17475,17475,17475,17475,800,16960000
6,GMH,HOSE,20/01/2022,,16280,16280,16280,16280,2300,45425000
7,GMH,HOSE,21/01/2022,,15167,15167,15167,15167,5300,97520000
8,GMH,HOSE,24/01/2022,,14137,16074,14137,15250,228100,4045220000
9,GMH,HOSE,25/01/2022,,15250,16280,14673,15992,144700,2723100000
10,GMH,HOSE,26/01/2022,,15415,16486,15002,15332,105600,2018670000
11,GMH,HOSE,27/01/2022,,14838,15415,14343,15332,163200,2954810000
12,GMH,HOSE,28/01/2022,,15167,15662,14838,15662,141000,2599270000
13,GMH,HOSE,07/02/2022,,15744,16157,15415,15827,85900,1649180000
14,GMH,HOSE,08/02/2022,,15909,15909,15332,15827,124800,2368630000
15,GMH,HOSE,09/02/2022,,15662,15909,15332,15332,110400,2093265000
16,GMH,HOSE,10/02/2022,,15415,15744,15291,15497,107700,2026125000
17,GMH,HOSE,11/02/2022,,15497,15744,15167,15497,71400,1340725000
18,GMH,HOSE,14/02/2022,,15497,15497,15250,15497,44200,825000000
19,GMH,HOSE,15/02/2022,,15497,15497,15167,15250,69000,1284690000
20,GMH,HOSE,16/02/2022,,15332,15332,14425,15085,71400,1299060000
21,GMH,HOSE,17/02/2022,,15002,15415,15002,15415,78100,1446775000
22,GMH,HOSE,18/02/2022,,15415,15497,15167,15373,75900,1415245000
23,GMH,HOSE,21/02/2022,,15250,15744,15250,15497,81200,1529190000
24,GMH,HOSE,22/02/2022,,15580,15744,15332,15538,97200,1829080000
25,GMH,HOSE,23/02/2022,,15538,15662,15415,15621,76800,1445635000
26,GMH,HOSE,24/02/2022,,15580,15580,15250,15497,78100,1463575000
27,GMH,HOSE,25/02/2022,,15580,15744,15497,15744,92700,1754700000
28,GMH,HOSE,28/02/2022,,15909,16816,15909,16816,173800,3486825000
29,GMH,HOSE,01/03/2022,,17311,17970,17063,17970,270400,5795975000
30,GMH,HOSE,02/03/2022,,18382,18794,17929,18094,338700,7498919999.999990
31,GMH,HOSE,03/03/2022,,17929,18094,17228,17558,322600,6925504999.999990
32,GMH,HOSE,04/03/2022,,17475,18300,17228,17929,176200,3831425000
33,GMH,HOSE,07/03/2022,,17929,18217,17475,17805,280600,6099175000
34,GMH,HOSE,08/03/2022,,17723,17970,17475,17764,241800,5188630000
35,GMH,HOSE,09/03/2022,,17805,19000,17640,19000,541600,12041685000
36,GMH,HOSE,10/03/2022,,19289,19948,19042,19619,413600,9837890000
37,GMH,HOSE,11/03/2022,,19248,19701,18959,19206,321700,7527635000
38,GMH,HOSE,14/03/2022,,19206,19536,18176,18629,383300,8734280000.000010
39,GMH,HOSE,15/03/2022,,18629,18959,18176,18959,262700,5928385000
40,GMH,HOSE,16/03/2022,,18959,19536,18217,19454,309100,7126140000
41,GMH,HOSE,17/03/2022,,19371,19783,18959,19783,343300,8108800000
42,GMH,HOSE,18/03/2022,,19619,20113,19206,19454,315900,7514095000
43,GMH,HOSE,21/03/2022,,19454,19783,19000,19454,325300,7666085000
44,GMH,HOSE,22/03/2022,,19371,20361,19124,19701,388100,9268455000
45,GMH,HOSE,23/03/2022,,19619,20113,19371,19948,389400,9302845000
46,GMH,HOSE,24/03/2022,,19948,20292,18572,19647,379900,8635450000
47,GMH,HOSE,25/03/2022,,19604,20722,19260,20550,606300,14087280000
48,GMH,HOSE,28/03/2022,,20464,20636,19604,20593,426400,9914334999.999990
49,GMH,HOSE,29/03/2022,,20550,20722,19776,20464,445100,10436880000
50,GMH,HOSE,30/03/2022,,20034,20421,19647,20077,464400,10751880000
51,GMH,HOSE,31/03/2022,,20034,20550,19346,19389,328500,7551460000
52,GMH,HOSE,01/04/2022,,19389,19518,18916,19346,434600,9690365000
53,GMH,HOSE,04/04/2022,,19389,20120,19131,20120,416100,9411755000
54,GMH,HOSE,05/04/2022,,19905,19948,19260,19690,399900,9079400000
55,GMH,HOSE,06/04/2022,,19174,19733,19131,19260,403100,9096900000
56,GMH,HOSE,07/04/2022,,19088,19303,18658,19002,445900,9803960000
57,GMH,HOSE,08/04/2022,,18916,19346,18744,19002,335300,7397475000
58,GMH,HOSE,12/04/2022,,18744,19088,18443,18658,338800,7359940000
59,GMH,HOSE,13/04/2022,,18572,18830,18056,18099,425700,9073885000
60,GMH,HOSE,14/04/2022,,18013,18486,17884,18400,380900,8026140000
61,GMH,HOSE,15/04/2022,,18314,18400,17884,18400,288600,6112924999.999990
62,GMH,HOSE,18/04/2022,,18142,18142,17497,17626,269500,5586955000
63,GMH,HOSE,19/04/2022,,17454,18400,17454,18271,295800,6161075000
64,GMH,HOSE,20/04/2022,,17970,18486,17798,18228,244900,5156165000
65,GMH,HOSE,21/04/2022,,17884,18013,17497,17755,192000,3950525000
66,GMH,HOSE,22/04/2022,,17755,18228,17540,17970,242600,5041765000
67,GMH,HOSE,25/04/2022,,17755,18486,16724,17583,277400,5747440000
68,GMH,HOSE,26/04/2022,,17583,17884,16380,17755,402300,7933670000
69,GMH,HOSE,27/04/2022,,17454,18056,16552,18056,408500,8214475000
70,GMH,HOSE,28/04/2022,,17798,18314,17540,18142,317400,6613640000
71,GMH,HOSE,29/04/2022,,17712,18400,17626,18314,291100,6112250000
72,GMH,HOSE,04/05/2022,,18056,18658,17970,18314,242300,5135010000
73,GMH,HOSE,05/05/2022,,18056,18486,17884,18314,254500,5363050000
74,GMH,HOSE,06/05/2022,,17884,18314,17755,18271,189100,3946620000
75,GMH,HOSE,09/05/2022,,17970,18056,17282,17626,199000,4087755000
76,GMH,HOSE,10/05/2022,,17273,18424,17051,18203,228500,4539605000
77,GMH,HOSE,11/05/2022,,17804,18424,17716,18247,178800,3628735000
78,GMH,HOSE,12/05/2022,,17981,18158,17627,17937,157200,3192860000
79,GMH,HOSE,13/05/2022,,17716,17937,16697,16697,249600,4858640000.000010
80,GMH,HOSE,16/05/2022,,16564,16564,15545,15545,125200,2207180000
81,GMH,HOSE,17/05/2022,,15235,16210,14482,16210,380500,6507179999.999990
82,GMH,HOSE,18/05/2022,,15944,16121,15678,15855,123500,2212255000
83,GMH,HOSE,19/05/2022,,15235,15855,15058,15767,174100,3061250000
84,GMH,HOSE,20/05/2022,,15678,15855,15147,15678,144100,2519380000
85,GMH,HOSE,23/05/2022,,15324,15413,14704,15413,19500,329070000
86,GMH,HOSE,24/05/2022,,15324,15324,14704,14704,2200,37415000
87,GMH,HOSE,25/05/2022,,14704,15413,13818,13818,10300,167320000
88,GMH,HOSE,26/05/2022,,13907,14660,13818,14615,39100,625875000
89,GMH,HOSE,27/05/2022,,14394,15014,14394,14704,40800,678685000
90,GMH,HOSE,30/05/2022,,14615,14704,14261,14615,48000,785500000
91,GMH,HOSE,31/05/2022,,14438,14837,14350,14704,64000,1052385000
92,GMH,HOSE,01/06/2022,,14350,14792,14350,14527,40500,665930000
93,GMH,HOSE,02/06/2022,,14394,14704,14261,14527,53800,876230000
94,GMH,HOSE,03/06/2022,,14261,14615,14172,14394,45100,731780000
95,GMH,HOSE,06/06/2022,,14305,14527,14128,14350,91700,1483325000
96,GMH,HOSE,07/06/2022,,14350,14527,13995,14350,68100,1097670000
97,GMH,HOSE,08/06/2022,,14261,15324,14172,15324,180800,2996705000
98,GMH,HOSE,09/06/2022,,15147,15590,14792,15324,69200,1179270000
99,GMH,HOSE,10/06/2022,,15235,15235,14704,15147,90800,1534890000
100,GMH,HOSE,13/06/2022,,15058,15058,14350,14704,48500,802430000
101,GMH,HOSE,14/06/2022,,14438,15058,14172,14704,173700,2845160000
102,GMH,HOSE,15/06/2022,,14438,14970,13995,14394,118000,1931980000
103,GMH,HOSE,16/06/2022,,14394,14925,14172,14615,159400,2619010000
104,GMH,HOSE,17/06/2022,,14571,14571,14172,14527,78600,1270475000
105,GMH,HOSE,20/06/2022,,14350,14615,13907,14261,49300,796115000
106,GMH,HOSE,21/06/2022,,13995,14527,13907,14350,71900,1158580000
107,GMH,HOSE,22/06/2022,,14172,15147,14172,15058,154400,2543425000
108,GMH,HOSE,23/06/2022,,14792,14970,14482,14881,121500,2013430000
109,GMH,HOSE,24/06/2022,,14792,15235,14438,15191,144400,2403410000
110,GMH,HOSE,27/06/2022,,14881,15413,14615,15324,110600,1889325000
111,GMH,HOSE,28/06/2022,,15280,15413,14704,15324,78800,1346770000
112,GMH,HOSE,29/06/2022,,14881,15280,14792,15235,62300,1055460000
113,GMH,HOSE,30/06/2022,,15147,15324,14792,15191,62000,1048355000
114,GMH,HOSE,01/07/2022,,15058,15413,14704,15324,66800,1134030000
115,GMH,HOSE,04/07/2022,,15058,15191,14792,15147,58900,995330000.000001
116,GMH,HOSE,05/07/2022,,14881,15102,14438,15058,45800,767870000
117,GMH,HOSE,06/07/2022,,14792,14970,14704,14837,54700,917585000
118,GMH,HOSE,07/07/2022,,14748,15058,14660,14970,59000,989874999.999999
119,GMH,HOSE,08/07/2022,,14970,15147,14881,15102,72800,1232300000
120,GMH,HOSE,11/07/2022,,15102,15235,14881,15058,48300,819215000
121,GMH,HOSE,12/07/2022,,14881,15235,14792,15235,122300,2070505000
122,GMH,HOSE,13/07/2022,,14881,15678,14792,15678,244900,4194585000
123,GMH,HOSE,14/07/2022,,15413,16254,15324,16254,168900,3013710000
124,GMH,HOSE,15/07/2022,,15944,16387,15678,15900,178200,3212440000
125,GMH,HOSE,18/07/2022,,15855,16210,15457,15900,134100,2384415000
126,GMH,HOSE,19/07/2022,,15900,15944,15590,15767,115300,2053610000
127,GMH,HOSE,20/07/2022,,15678,16387,15590,16387,281100,5054045000
128,GMH,HOSE,21/07/2022,,16298,16653,16077,16475,129600,2393150000
129,GMH,HOSE,22/07/2022,,16475,16697,16077,16121,196600,3622680000
130,GMH,HOSE,25/07/2022,,15944,16121,15545,16033,179400,3194180000
131,GMH,HOSE,26/07/2022,,15944,16121,15634,15944,122600,2189030000
132,GMH,HOSE,27/07/2022,,15767,15988,15324,15590,148600,2619755000
133,GMH,HOSE,28/07/2022,,15501,16033,15413,16033,172800,3088080000
134,GMH,HOSE,29/07/2022,,16033,16210,15678,16033,122200,2200550000
135,GMH,HOSE,01/08/2022,,15944,16121,15855,16077,106400,1918505000
136,GMH,HOSE,02/08/2022,,16033,16475,15457,16475,282400,5082970000
137,GMH,HOSE,03/08/2022,,16210,16918,16033,16741,231200,4296535000
138,GMH,HOSE,04/08/2022,,16387,16830,16298,16697,128700,2396240000
139,GMH,HOSE,05/08/2022,,16653,16741,16210,16564,137600,2559545000
140,GMH,HOSE,08/08/2022,,16475,16741,16121,16564,118200,2194860000
141,GMH,HOSE,09/08/2022,,16564,16608,16033,16475,167800,3105505000
142,GMH,HOSE,10/08/2022,,16387,16741,15944,16475,124500,2292620000
143,GMH,HOSE,11/08/2022,,16475,16741,16121,16431,126800,2348550000
144,GMH,HOSE,12/08/2022,,16387,16387,15767,15767,232200,4203855000
145,GMH,HOSE,15/08/2022,,15723,15855,15413,15457,250700,4394105000
146,GMH,HOSE,16/08/2022,,15457,16033,15324,15678,293700,5156790000.000010
147,GMH,HOSE,17/08/2022,,15678,15900,15590,15900,206600,3665005000
148,GMH,HOSE,18/08/2022,,15900,16033,15545,15855,191600,3411900000
149,GMH,HOSE,19/08/2022,,15767,15855,15590,15678,202700,3595365000
150,GMH,HOSE,22/08/2022,,15678,15944,15501,15900,215300,3822000000
151,GMH,HOSE,23/08/2022,,15590,16033,15545,15767,122700,2193980000
152,GMH,HOSE,24/08/2022,,15678,16121,15501,15900,182000,3243710000
153,GMH,HOSE,25/08/2022,,15767,16033,15590,15855,195000,3477000000
154,GMH,HOSE,26/08/2022,,15855,15988,15501,15855,166100,2959500000
155,GMH,HOSE,29/08/2022,,15678,15767,15413,15634,120400,2112905000
156,GMH,HOSE,30/08/2022,,15501,15767,15413,15634,122200,2153445000
157,GMH,HOSE,31/08/2022,,15501,15811,15368,15678,193600,3394520000
158,GMH,HOSE,05/09/2022,,15811,15811,15634,15678,1100,19485000
159,GMH,HOSE,06/09/2022,,15457,15767,14615,15678,60400,1031675000
160,GMH,HOSE,07/09/2022,,15634,16033,15058,15590,142500,2475515000
