,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GSP,HOSE,02/01/2019,,8199,8199,8199,8199,0,0
1,GSP,HOSE,03/01/2019,,8199,8230,8199,8230,6010,81140000
2,GSP,HOSE,04/01/2019,,8230,8230,8230,8230,0,0
3,GSP,HOSE,07/01/2019,,8230,8230,8230,8230,0,0
4,GSP,HOSE,08/01/2019,,8230,8230,8230,8230,320,4340000
5,GSP,HOSE,09/01/2019,,8138,8169,8017,8169,9330,124140000
6,GSP,HOSE,10/01/2019,,8169,8199,8169,8199,120,1620000
7,GSP,HOSE,11/01/2019,,8230,8230,8230,8230,110,1490000
8,GSP,HOSE,14/01/2019,,8230,8230,8230,8230,220,3000000
9,GSP,HOSE,15/01/2019,,8230,8230,8230,8230,200,2710000
10,GSP,HOSE,16/01/2019,,8230,8230,8230,8230,100,1000000
11,GSP,HOSE,17/01/2019,,7895,8169,7895,8169,5950,79000000
12,GSP,HOSE,18/01/2019,,8017,8169,8017,8169,5150,68020000
13,GSP,HOSE,21/01/2019,,8169,8169,8169,8169,100,1350000
14,GSP,HOSE,22/01/2019,,8169,8169,8169,8169,320,4300000
15,GSP,HOSE,23/01/2019,,8169,8169,8169,8169,250,3360000
16,GSP,HOSE,24/01/2019,,8169,8169,8169,8169,250,3360000
17,GSP,HOSE,25/01/2019,,8169,8230,8169,8230,9770,131440000
18,GSP,HOSE,28/01/2019,,8442,8776,8442,8685,230,3250000
19,GSP,HOSE,29/01/2019,,8806,9049,8806,9049,140,2070000
20,GSP,HOSE,30/01/2019,,8442,8442,8442,8442,2110,29330000
21,GSP,HOSE,31/01/2019,,8442,8442,8442,8442,100,1390000
22,GSP,HOSE,01/02/2019,,8138,8351,8138,8351,2120,28450000
23,GSP,HOSE,11/02/2019,,7895,8351,7895,8351,6120,79650000
24,GSP,HOSE,12/02/2019,,8169,8351,8169,8351,2530,34230000
25,GSP,HOSE,13/02/2019,,8351,8351,8351,8351,100,1380000
26,GSP,HOSE,14/02/2019,,7926,8351,7895,8351,10630,139300000
27,GSP,HOSE,15/02/2019,,8351,8351,7926,8351,1170,15430000
28,GSP,HOSE,18/02/2019,,8351,8351,8351,8351,150,2060000
29,GSP,HOSE,19/02/2019,,8138,8321,8138,8321,3950,52960000
30,GSP,HOSE,20/02/2019,,8047,8321,8017,8321,570,7600000
31,GSP,HOSE,21/02/2019,,8321,8381,8199,8381,17660,242240000
32,GSP,HOSE,22/02/2019,,8381,8442,8381,8442,350,4850000
33,GSP,HOSE,25/02/2019,,8442,8442,8442,8442,100,1390000
34,GSP,HOSE,26/02/2019,,8199,8199,8199,8199,900,12150000
35,GSP,HOSE,27/02/2019,,8381,8381,8078,8381,7300,98190000
36,GSP,HOSE,28/02/2019,,8381,8381,8381,8381,520,7180000
37,GSP,HOSE,01/03/2019,,8381,8381,8381,8381,520,7180000
38,GSP,HOSE,04/03/2019,,8199,8321,8199,8321,2230,30150000
39,GSP,HOSE,05/03/2019,,8260,8260,8199,8199,24260,327690000
40,GSP,HOSE,06/03/2019,,8260,8260,8199,8199,1130,15260000
41,GSP,HOSE,07/03/2019,,8138,8412,8078,8412,59000,798770000
42,GSP,HOSE,08/03/2019,,8138,8412,8078,8078,311460,4147660000
43,GSP,HOSE,11/03/2019,,8078,8290,7956,8290,48240,632370000
44,GSP,HOSE,12/03/2019,,8321,8685,8290,8351,7250,100000000
45,GSP,HOSE,13/03/2019,,8442,8503,8412,8503,20460,284510000
46,GSP,HOSE,14/03/2019,,8503,8503,8503,8503,210,13440000
47,GSP,HOSE,15/03/2019,,8503,8503,8503,8503,300,4200000
48,GSP,HOSE,18/03/2019,,8260,8594,8199,8594,860,12040000
49,GSP,HOSE,19/03/2019,,8260,8503,8199,8321,8560,118480000
