,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GTN,HOSE,02/01/2019,,10400,10500,10000,10000,443250,4547970000
1,GTN,HOSE,03/01/2019,,9900,10200,9850,10200,473930,4726270000
2,GTN,HOSE,04/01/2019,,10000,10200,9900,10000,398480,4005560000
3,GTN,HOSE,07/01/2019,,10300,10400,10000,10200,422130,4324470000
4,GTN,HOSE,08/01/2019,,10300,10350,10150,10300,396290,4080420000
5,GTN,HOSE,09/01/2019,,10300,10350,10200,10250,146170,1498680000
6,GTN,HOSE,10/01/2019,,10450,10450,10150,10150,114870,1177900000
7,GTN,HOSE,11/01/2019,,10150,10250,10100,10150,179860,1822720000
8,GTN,HOSE,14/01/2019,,10200,10200,9950,10100,225070,2262000000
9,GTN,HOSE,15/01/2019,,9950,10100,9950,10100,151910,1524730000
10,GTN,HOSE,16/01/2019,,10200,10450,10100,10350,659480,6797000000
11,GTN,HOSE,17/01/2019,,10400,10450,10350,10400,577060,5999000000
12,GTN,HOSE,18/01/2019,,10450,10450,10350,10350,304690,3159020000
13,GTN,HOSE,21/01/2019,,10450,10450,10300,10400,374810,3889730000
14,GTN,HOSE,22/01/2019,,10500,10900,10450,10750,834140,8976010000
15,GTN,HOSE,23/01/2019,,10700,10900,10650,10700,381850,4112270000
16,GTN,HOSE,24/01/2019,,10700,11050,10700,11000,1249120,13620370000
17,GTN,HOSE,25/01/2019,,11100,11100,10800,10850,633140,6889720000
18,GTN,HOSE,28/01/2019,,10700,10800,10650,10700,385340,4142670000
19,GTN,HOSE,29/01/2019,,10700,10750,10600,10750,492660,5266120000
20,GTN,HOSE,30/01/2019,,10900,11000,10850,10950,1125160,12327350000
21,GTN,HOSE,31/01/2019,,10750,10900,10700,10850,642560,6952780000
22,GTN,HOSE,01/02/2019,,10900,10900,10750,10900,113960,1235280000
23,GTN,HOSE,11/02/2019,,10800,11000,10700,10900,279910,3050120000
24,GTN,HOSE,12/02/2019,,10900,11150,10900,11150,628250,6958040000
25,GTN,HOSE,13/02/2019,,11100,11900,11100,11900,1919900,22172250000
26,GTN,HOSE,14/02/2019,,12100,12100,11700,11750,355510,4201480000
27,GTN,HOSE,15/02/2019,,11750,11750,11400,11500,477920,5504970000
28,GTN,HOSE,18/02/2019,,11500,11800,11500,11800,859020,10043470000
29,GTN,HOSE,19/02/2019,,11900,12000,11600,11600,1432490,16942090000
30,GTN,HOSE,20/02/2019,,11700,11800,11450,11450,422400,4915900000
31,GTN,HOSE,21/02/2019,,11450,11500,11200,11350,463820,5274030000
32,GTN,HOSE,22/02/2019,,11350,11400,11300,11350,218720,2479450000
33,GTN,HOSE,25/02/2019,,11350,11700,11350,11700,751490,8726820000
34,GTN,HOSE,26/02/2019,,11800,12350,11800,12300,3277030,39731450000
35,GTN,HOSE,27/02/2019,,12800,13150,12800,13150,7777310,101616890000
36,GTN,HOSE,28/02/2019,,14050,14050,14050,14050,1274860,17911780000
37,GTN,HOSE,01/03/2019,,14850,15000,14050,15000,5373660,80129260000
38,GTN,HOSE,04/03/2019,,15000,15500,14450,15000,3153570,47447020000
39,GTN,HOSE,05/03/2019,,14900,15250,14850,15100,1793150,27017720000
40,GTN,HOSE,06/03/2019,,15000,15400,15000,15200,1149980,17473440000
41,GTN,HOSE,07/03/2019,,15200,15950,14950,15600,775680,12013100000
42,GTN,HOSE,08/03/2019,,15700,16650,15500,16200,2201620,36195680000
43,GTN,HOSE,11/03/2019,,16500,16550,16200,16200,353480,5779040000
44,GTN,HOSE,12/03/2019,,16500,16500,15700,16400,522170,8401850000
45,GTN,HOSE,13/03/2019,,16000,16700,15600,16000,1619330,26162710000
46,GTN,HOSE,14/03/2019,,16000,17100,15800,17100,1126760,18825300000
47,GTN,HOSE,15/03/2019,,18250,18250,18000,18250,4076330,74378820000
48,GTN,HOSE,18/03/2019,,18700,19500,18250,19500,1325800,25346420000
49,GTN,HOSE,19/03/2019,,20000,20850,19800,20050,1611390,32986680000
50,GTN,HOSE,20/03/2019,,20000,20050,18800,19100,1147530,22136560000
51,GTN,HOSE,21/03/2019,,19100,20100,19000,19200,1081940,21187210000
52,GTN,HOSE,22/03/2019,,19200,19250,17900,17900,1009970,18258280000
53,GTN,HOSE,25/03/2019,,17000,17000,16650,16650,667590,11140830000
54,GTN,HOSE,26/03/2019,,16650,16650,15800,16600,1181770,19204000000
55,GTN,HOSE,27/03/2019,,17000,17750,17000,17750,522710,9246000000
