,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HAG,HOSE,02/01/2019,,4890,4910,4780,4780,1741470,8424770000
1,HAG,HOSE,03/01/2019,,4780,4800,4600,4680,2617730,12264840000
2,HAG,HOSE,04/01/2019,,4610,4690,4570,4660,1512050,7010880000
3,HAG,HOSE,07/01/2019,,4700,4800,4660,4660,1098030,5156320000
4,HAG,HOSE,08/01/2019,,4660,4750,4650,4750,1421580,6672490000
5,HAG,HOSE,09/01/2019,,4720,4810,4710,4710,1488490,7091460000
6,HAG,HOSE,10/01/2019,,4710,4880,4680,4860,3041210,14531530000
7,HAG,HOSE,11/01/2019,,5000,5160,5000,5080,4895270,24867320000
8,HAG,HOSE,14/01/2019,,5140,5250,5070,5070,2763840,14229000000
9,HAG,HOSE,15/01/2019,,5070,5140,5050,5070,2004640,10179300000
10,HAG,HOSE,16/01/2019,,5130,5130,5020,5110,2730810,13841000000
11,HAG,HOSE,17/01/2019,,5100,5110,5020,5030,1620310,8196000000
12,HAG,HOSE,18/01/2019,,5030,5080,4990,4990,1414810,7090660000
13,HAG,HOSE,21/01/2019,,5030,5030,4920,4950,1519210,7518970000
14,HAG,HOSE,22/01/2019,,4970,5040,4970,4980,2419110,12100230000
15,HAG,HOSE,23/01/2019,,4960,5080,4960,5000,1648200,8278440000
16,HAG,HOSE,24/01/2019,,5010,5030,4980,4990,1793650,8964740000
17,HAG,HOSE,25/01/2019,,5000,5040,4980,5000,1871660,9384340000
18,HAG,HOSE,28/01/2019,,5000,5020,4980,5000,1002970,5008280000
19,HAG,HOSE,29/01/2019,,5000,5020,4920,4930,1758180,8727090000
20,HAG,HOSE,30/01/2019,,4970,5010,4930,5000,1410060,7018370000
21,HAG,HOSE,31/01/2019,,4950,5100,4950,5000,2181820,10980600000
22,HAG,HOSE,01/02/2019,,5000,5020,4890,5000,1740010,8635540000
23,HAG,HOSE,11/02/2019,,5000,5040,4960,4960,974380,4863760000
24,HAG,HOSE,12/02/2019,,5000,5300,4970,5300,11270510,58711940000
25,HAG,HOSE,13/02/2019,,5400,5430,5300,5320,5219350,28045070000
26,HAG,HOSE,14/02/2019,,5320,5340,5180,5200,4073580,21346400000
27,HAG,HOSE,15/02/2019,,5200,5290,5160,5170,3977720,20777070000
28,HAG,HOSE,18/02/2019,,5200,5520,5180,5440,9236270,49303400000
29,HAG,HOSE,19/02/2019,,5490,5660,5400,5440,10551790,58402910000
30,HAG,HOSE,20/02/2019,,5410,5480,5320,5330,5260250,28408460000
31,HAG,HOSE,21/02/2019,,5400,5520,5350,5410,5103410,27867690000
32,HAG,HOSE,22/02/2019,,5400,5620,5380,5490,5540080,30418780000
33,HAG,HOSE,25/02/2019,,5590,5590,5490,5500,4723320,26162650000
34,HAG,HOSE,26/02/2019,,5500,5840,5500,5660,12856190,72913950000
35,HAG,HOSE,27/02/2019,,5760,5790,5670,5690,3651830,20864010000
36,HAG,HOSE,28/02/2019,,5700,5740,5500,5520,6876750,38587670000
37,HAG,HOSE,01/03/2019,,5520,5650,5520,5650,5420770,30305450000
38,HAG,HOSE,04/03/2019,,5700,6040,5680,6040,13532770,79662870000
39,HAG,HOSE,05/03/2019,,6110,6290,6030,6080,11449820,70889300000
40,HAG,HOSE,06/03/2019,,6080,6200,6000,6150,6984040,42527610000
41,HAG,HOSE,07/03/2019,,6150,6160,6060,6070,5139970,31379020000
42,HAG,HOSE,08/03/2019,,5960,6030,5840,5870,6644810,39310500000
43,HAG,HOSE,11/03/2019,,5890,5920,5720,5760,4311870,24993010000
44,HAG,HOSE,12/03/2019,,5850,5900,5730,5800,4853620,28117110000
45,HAG,HOSE,13/03/2019,,5840,5920,5800,5800,4060990,23729720000
46,HAG,HOSE,14/03/2019,,5810,6000,5760,5830,4219200,25835180000
47,HAG,HOSE,15/03/2019,,5850,5850,5770,5770,3600930,20913340000
48,HAG,HOSE,18/03/2019,,5760,5800,5510,5540,7585550,42741320000
49,HAG,HOSE,19/03/2019,,5550,5640,5540,5550,5454450,30478410000
50,HAG,HOSE,20/03/2019,,5580,5600,5480,5520,2511430,13858350000
51,HAG,HOSE,21/03/2019,,5550,5570,5200,5200,5431970,29214780000
52,HAG,HOSE,22/03/2019,,5250,5310,5210,5250,2769800,14547930000
53,HAG,HOSE,25/03/2019,,5440,5610,5370,5610,3849470,21189420000
54,HAG,HOSE,26/03/2019,,6000,6000,5800,5870,14566060,86738000000
55,HAG,HOSE,27/03/2019,,5870,5880,5610,5610,4924160,28218000000
56,HAG,HOSE,28/03/2019,,5530,5730,5400,5560,4139770,23147000000
57,HAG,HOSE,29/03/2019,,5530,5600,5480,5560,3445680,19045000000
58,HAG,HOSE,01/04/2019,,5590,5600,5440,5460,3446400,18898380000
59,HAG,HOSE,02/04/2019,,5500,5530,5440,5440,2646510,14514000000
60,HAG,HOSE,03/04/2019,,5400,5450,5340,5390,1950240,10507150000
61,HAG,HOSE,04/04/2019,,5400,5490,5390,5420,1830370,9925630000
62,HAG,HOSE,05/04/2019,,5420,5500,5410,5420,1228010,6674600000
63,HAG,HOSE,08/04/2019,,5420,5570,5400,5520,4276600,23580110000
64,HAG,HOSE,09/04/2019,,5520,5540,5390,5410,2223730,12096610000
65,HAG,HOSE,10/04/2019,,5360,5400,5240,5240,4372280,23157550000
66,HAG,HOSE,11/04/2019,,5230,5300,5220,5220,2205910,11574030000
67,HAG,HOSE,12/04/2019,,5230,5290,5220,5270,2194880,11549320000
68,HAG,HOSE,16/04/2019,,5220,5430,5120,5290,4126080,21612780000
69,HAG,HOSE,17/04/2019,,5450,5600,5360,5380,4881710,26702220000
70,HAG,HOSE,18/04/2019,,5380,5380,5240,5300,2384850,12659760000
71,HAG,HOSE,19/04/2019,,5320,5320,5250,5300,1635680,8654970000
72,HAG,HOSE,22/04/2019,,5250,5360,5230,5310,2766280,14669940000
73,HAG,HOSE,23/04/2019,,5310,5380,5300,5300,1803230,9610760000
74,HAG,HOSE,24/04/2019,,5300,5420,5300,5390,4282330,22983450000
75,HAG,HOSE,25/04/2019,,5440,5640,5440,5550,10205530,56603.38
76,HAG,HOSE,26/04/2019,,5470,5560,5420,5470,3487550,19175830000
77,HAG,HOSE,02/05/2019,,5480,5490,5340,5370,2174890,11688250000
78,HAG,HOSE,03/05/2019,,5330,5360,5270,5280,2780070,14741120000
79,HAG,HOSE,06/05/2019,,5250,5250,5140,5170,3879280,20139960000
80,HAG,HOSE,07/05/2019,,5200,5230,5160,5180,1319730,6841860000
81,HAG,HOSE,08/05/2019,,5160,5180,5110,5110,1639660,8433170000
82,HAG,HOSE,09/05/2019,,5120,5160,5060,5060,1400020,7143340000
83,HAG,HOSE,10/05/2019,,5090,5180,5040,5090,1414400,7197760000
84,HAG,HOSE,13/05/2019,,5060,5190,5060,5100,1622690,8273970000
85,HAG,HOSE,14/05/2019,,5090,5150,5090,5090,1344530,6872960000
86,HAG,HOSE,15/05/2019,,5100,5160,5090,5140,1411310,7223500000
