,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HAH,HOSE,02/01/2019,,5029,5029,4973,4973,15790,212790000
1,HAH,HOSE,03/01/2019,,4973,4992,4899,4899,30550,406090000
2,HAH,HOSE,04/01/2019,,4862,4862,4639,4825,137880,1758650000
3,HAH,HOSE,07/01/2019,,4825,4899,4825,4825,40640,528590000
4,HAH,HOSE,08/01/2019,,4825,4918,4825,4918,16470,214570000
5,HAH,HOSE,09/01/2019,,4825,4844,4806,4844,74820,972350000
6,HAH,HOSE,10/01/2019,,4825,4844,4788,4844,22210,287690000
7,HAH,HOSE,11/01/2019,,4825,4862,4788,4806,52380,679550000
8,HAH,HOSE,14/01/2019,,4788,4788,4751,4751,45100,580000000
9,HAH,HOSE,15/01/2019,,4751,4844,4751,4825,36940,478180000
10,HAH,HOSE,16/01/2019,,4825,4825,4788,4825,50760,657000000
11,HAH,HOSE,17/01/2019,,4806,4825,4769,4788,55950,722000000
12,HAH,HOSE,18/01/2019,,4788,4806,4751,4806,38110,490110000
13,HAH,HOSE,21/01/2019,,4899,4899,4732,4732,57260,733830000
14,HAH,HOSE,22/01/2019,,4844,4844,4751,4751,34230,438280000
15,HAH,HOSE,23/01/2019,,4788,4788,4751,4788,21210,272240000
16,HAH,HOSE,24/01/2019,,4788,4788,4751,4751,17030,218260000
17,HAH,HOSE,25/01/2019,,4751,4751,4714,4714,21840,278920000
18,HAH,HOSE,28/01/2019,,4825,4825,4732,4732,10900,139100000
19,HAH,HOSE,29/01/2019,,4732,4751,4714,4732,11340,144330000
20,HAH,HOSE,30/01/2019,,4751,5048,4732,4936,40750,527910000
21,HAH,HOSE,31/01/2019,,4825,4862,4788,4806,27300,352830000
22,HAH,HOSE,01/02/2019,,4825,4825,4788,4788,40540,523180000
23,HAH,HOSE,11/02/2019,,4825,4844,4788,4825,70450,912740000
24,HAH,HOSE,12/02/2019,,4788,5011,4788,4899,429380,5613760000
25,HAH,HOSE,13/02/2019,,4899,5029,4899,4992,134930,1800840000
26,HAH,HOSE,14/02/2019,,4992,5178,4992,5178,289350,3973040000
27,HAH,HOSE,15/02/2019,,5159,5159,5048,5085,120130,1651220000
28,HAH,HOSE,18/02/2019,,5085,5085,5011,5011,228860,3096690000
29,HAH,HOSE,19/02/2019,,5048,5048,4936,4936,132800,1783280000
30,HAH,HOSE,20/02/2019,,5011,5085,4936,4973,280950,3774790000
31,HAH,HOSE,21/02/2019,,4973,5066,4973,5029,325010,4398300000
32,HAH,HOSE,22/02/2019,,5066,5066,4973,4973,301890,4083310000
33,HAH,HOSE,25/02/2019,,5011,5011,4918,4936,154130,2058290000
34,HAH,HOSE,26/02/2019,,4936,4936,4844,4881,119890,1574350000
35,HAH,HOSE,27/02/2019,,4881,4936,4844,4881,48870,641840000
36,HAH,HOSE,28/02/2019,,4881,4936,4751,4788,212380,2754700000
37,HAH,HOSE,01/03/2019,,4788,4881,4769,4825,151480,1956630000
38,HAH,HOSE,04/03/2019,,4862,4936,4825,4899,270850,3550890000
39,HAH,HOSE,05/03/2019,,4899,5011,4862,4918,445260,5896180000
40,HAH,HOSE,06/03/2019,,4973,5048,4936,4992,433950,5822410000
41,HAH,HOSE,07/03/2019,,4992,5011,4881,4881,221500,2952090000
42,HAH,HOSE,08/03/2019,,4881,5159,4881,5011,342780,4635530000
43,HAH,HOSE,11/03/2019,,5029,5270,5011,5178,886450,12265970000
44,HAH,HOSE,12/03/2019,,5178,5326,5159,5196,499190,7074280000
45,HAH,HOSE,13/03/2019,,5159,5382,5159,5307,513050,7325730000
46,HAH,HOSE,14/03/2019,,5270,5382,5252,5307,323650,4786140000
47,HAH,HOSE,15/03/2019,,5270,5270,5122,5196,376460,5260950000
48,HAH,HOSE,18/03/2019,,5196,5270,5122,5252,268590,3765450000
49,HAH,HOSE,19/03/2019,,5289,5400,5270,5307,536750,7714440000
50,HAH,HOSE,20/03/2019,,5307,5345,5233,5270,128110,1823240000
51,HAH,HOSE,21/03/2019,,5270,5345,5196,5196,341900,4848620000
52,HAH,HOSE,22/03/2019,,5196,5270,5103,5103,315790,4380890000
53,HAH,HOSE,25/03/2019,,5085,5085,4973,5066,159010,2158230000
54,HAH,HOSE,26/03/2019,,5029,5103,4936,5048,148840,2019000000
55,HAH,HOSE,27/03/2019,,5085,5085,4973,4992,303820,4102000000
56,HAH,HOSE,28/03/2019,,4973,5029,4918,4992,250680,3352000000
57,HAH,HOSE,29/03/2019,,5029,5085,5011,5011,226720,3076000000
58,HAH,HOSE,01/04/2019,,5029,5122,5011,5029,221800,3002260000
59,HAH,HOSE,02/04/2019,,5066,5085,5011,5011,180110,2445060000
60,HAH,HOSE,03/04/2019,,5011,5029,4992,5011,80830,1090220000
61,HAH,HOSE,04/04/2019,,4992,5103,4992,5048,395370,5364990000
62,HAH,HOSE,05/04/2019,,5103,5196,5048,5048,578770,7936090000
63,HAH,HOSE,08/04/2019,,5159,5270,5140,5178,419830,5856430000
64,HAH,HOSE,09/04/2019,,5140,5326,5140,5252,1717590,24190670000
65,HAH,HOSE,10/04/2019,,5252,5289,5140,5159,283140,3966790000
66,HAH,HOSE,11/04/2019,,5122,5196,5066,5140,259780,3584850000
67,HAH,HOSE,12/04/2019,,5103,5122,5048,5066,475110,6492440000
68,HAH,HOSE,16/04/2019,,5066,5066,4918,5011,319010,4281010000
69,HAH,HOSE,17/04/2019,,5011,5011,4899,4918,322950,4311870000
70,HAH,HOSE,18/04/2019,,4918,5085,4881,5011,629450,8399090000
71,HAH,HOSE,19/04/2019,,5011,5048,4955,5029,78850,1062810000
72,HAH,HOSE,22/04/2019,,5029,5029,4899,4918,168770,2242700000
73,HAH,HOSE,23/04/2019,,4918,5011,4899,4992,346770,4628560000
74,HAH,HOSE,24/04/2019,,4936,5011,4936,5011,135310,1818800000
75,HAH,HOSE,25/04/2019,,5011,5011,4955,4973,147280,1979.97
76,HAH,HOSE,26/04/2019,,4955,5029,4936,5029,255550,3432210000
77,HAH,HOSE,02/05/2019,,4899,5029,4899,4992,67180,902510000
78,HAH,HOSE,03/05/2019,,4992,4992,4936,4955,93160,1247420000
79,HAH,HOSE,06/05/2019,,4936,4955,4788,4788,225270,2945020000
80,HAH,HOSE,07/05/2019,,4862,4881,4825,4844,130300,1699790000
81,HAH,HOSE,08/05/2019,,4825,4881,4806,4862,109450,1425530000
82,HAH,HOSE,09/05/2019,,4973,4973,4788,4825,155680,2019370000
83,HAH,HOSE,10/05/2019,,4918,4918,4806,4825,100210,1300820000
84,HAH,HOSE,13/05/2019,,4899,4899,4825,4862,64700,842210000
85,HAH,HOSE,14/05/2019,,4825,4862,4806,4825,165640,2151570000
86,HAH,HOSE,15/05/2019,,4918,4936,4844,4881,46390,608630000
87,HAH,HOSE,16/05/2019,,4936,5048,4899,5011,297570,3983070000
88,HAH,HOSE,17/05/2019,,5029,5029,4955,4973,74220,994000000
89,HAH,HOSE,20/05/2019,,4955,4973,4936,4973,76460,1022030000
90,HAH,HOSE,21/05/2019,,4973,5029,4936,5029,240850,3237340000
91,HAH,HOSE,22/05/2019,,5048,5159,5048,5122,586350,8087040000
92,HAH,HOSE,23/05/2019,,5140,5140,5085,5103,363410,5013000000
93,HAH,HOSE,24/05/2019,,5122,5159,5048,5103,330340,4544420000
94,HAH,HOSE,27/05/2019,,5122,5122,5048,5048,87120,1192110000
95,HAH,HOSE,28/05/2019,,5103,5122,5048,5122,135660,1858720000
96,HAH,HOSE,29/05/2019,,5122,5178,5103,5140,295490,4097980000
97,HAH,HOSE,30/05/2019,,5178,5178,5122,5122,565880,7860840000
98,HAH,HOSE,31/05/2019,,5178,5178,5122,5122,191350,2647560000
99,HAH,HOSE,03/06/2019,,5122,5140,5085,5122,196810,2713300000
100,HAH,HOSE,04/06/2019,,5039,5164,5039,5059,125830,1536210000
101,HAH,HOSE,05/06/2019,,5101,5101,5059,5059,30130,367610000
102,HAH,HOSE,06/06/2019,,5080,5184,5059,5164,191160,2362500000
103,HAH,HOSE,07/06/2019,,5184,5184,5164,5184,56220,698660000
104,HAH,HOSE,10/06/2019,,5184,5184,5101,5164,82050,1015380000
105,HAH,HOSE,11/06/2019,,5164,5164,5101,5164,54460,671060000
106,HAH,HOSE,12/06/2019,,5164,5164,5039,5039,235970,2878690000
107,HAH,HOSE,13/06/2019,,5039,5080,4976,4997,130290,1562570000
108,HAH,HOSE,14/06/2019,,4997,5080,4955,4955,184660,2204940000
109,HAH,HOSE,17/06/2019,,4997,4997,4914,4955,127060,1509470000
110,HAH,HOSE,18/06/2019,,4955,5039,4955,4955,149460,1788350000
111,HAH,HOSE,19/06/2019,,4997,5080,4976,5039,333410,4006350000
112,HAH,HOSE,20/06/2019,,4997,5080,4976,5039,333410,4006350000
113,HAH,HOSE,21/06/2019,,4997,5018,4955,5018,89590,1071860000
114,HAH,HOSE,24/06/2019,,5039,5164,4955,5080,530780,6464040000
115,HAH,HOSE,25/06/2019,,5080,5080,4976,4976,108460,1305240000
116,HAH,HOSE,26/06/2019,,4976,4997,4976,4997,145820,1743390000
117,HAH,HOSE,27/06/2019,,4997,4997,4914,4935,149690,1777650000
118,HAH,HOSE,28/06/2019,,4935,4997,4914,4935,68640,814960000
119,HAH,HOSE,01/07/2019,,4955,5059,4955,4997,79470,953260000
120,HAH,HOSE,02/07/2019,,4997,4997,4976,4976,49720,594710000
121,HAH,HOSE,03/07/2019,,4976,4997,4914,4935,173280,2051570000
122,HAH,HOSE,04/07/2019,,4976,4976,4893,4955,436910,5163670000
123,HAH,HOSE,05/07/2019,,4976,4976,4935,4955,108910,1292140000
124,HAH,HOSE,08/07/2019,,4935,4997,4872,4955,63690,750730000
125,HAH,HOSE,09/07/2019,,4955,4997,4893,4997,127700,1530090000
126,HAH,HOSE,10/07/2019,,4997,5330,4914,5330,1064300,13285000000
127,HAH,HOSE,11/07/2019,,5393,5559,5330,5330,347110,4560000000
128,HAH,HOSE,12/07/2019,,5330,5497,5330,5413,200120,2602000000
129,HAH,HOSE,15/07/2019,,5372,5601,5372,5497,468230,6209000000
130,HAH,HOSE,16/07/2019,,5580,5601,5330,5518,330690,4341000000
131,HAH,HOSE,17/07/2019,,5497,5518,5434,5434,164310,2161000000
132,HAH,HOSE,18/07/2019,,5434,5476,5309,5413,243960,3133000000
133,HAH,HOSE,19/07/2019,,5413,5476,5330,5413,154350,2005000000
134,HAH,HOSE,22/07/2019,,5413,5413,5330,5413,109650,1411000000
135,HAH,HOSE,23/07/2019,,5393,5580,5288,5559,514410,6752000000
136,HAH,HOSE,24/07/2019,,5538,5726,5497,5705,753410,10121000000
137,HAH,HOSE,25/07/2019,,5705,5726,5663,5705,117610,1607000000
138,HAH,HOSE,26/07/2019,,5726,5747,5642,5663,387140,5297000000
139,HAH,HOSE,29/07/2019,,5622,5663,5580,5663,152790,2069000000
140,HAH,HOSE,30/07/2019,,5642,5684,5538,5538,478060,6426000000
141,HAH,HOSE,31/07/2019,,5434,5580,5434,5434,162930,2148000000
142,HAH,HOSE,01/08/2019,,5434,5497,5413,5455,151150,1973000000
143,HAH,HOSE,02/08/2019,,5413,5726,5413,5559,502960,6754000000
144,HAH,HOSE,05/08/2019,,5622,5747,5580,5663,283650,3865000000
145,HAH,HOSE,06/08/2019,,5622,5705,5518,5642,213020,2870000000
146,HAH,HOSE,07/08/2019,,5684,5996,5642,5871,603400,8507000000
147,HAH,HOSE,08/08/2019,,5996,6267,5913,6267,1975180,29396000000
