,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HAP,HOSE,02/01/2019,,1994,2024,1994,2006,8870,30250000
1,HAP,HOSE,03/01/2019,,1994,1994,1947,1989,22990,76970000
2,HAP,HOSE,04/01/2019,,1912,2006,1912,2006,13280,44270000
3,HAP,HOSE,07/01/2019,,2006,2006,1959,2000,6540,22180000
4,HAP,HOSE,08/01/2019,,1983,1983,1953,1953,27690,91910000
5,HAP,HOSE,09/01/2019,,1953,2006,1953,2006,520,1770000
6,HAP,HOSE,10/01/2019,,1977,1977,1947,1977,57020,188470000
7,HAP,HOSE,11/01/2019,,1935,1965,1924,1965,35870,117740000
8,HAP,HOSE,14/01/2019,,1965,1977,1965,1977,300,1000000
9,HAP,HOSE,15/01/2019,,1977,1977,1894,1965,11620,38610000
10,HAP,HOSE,16/01/2019,,1935,1971,1900,1971,1870,6000000
11,HAP,HOSE,17/01/2019,,1971,1971,1888,1947,6140,20000000
12,HAP,HOSE,18/01/2019,,1947,1947,1865,1924,37200,118670000
13,HAP,HOSE,21/01/2019,,1894,1977,1894,1924,29600,97210000
14,HAP,HOSE,22/01/2019,,1971,1971,1882,1918,67550,216970000
15,HAP,HOSE,23/01/2019,,1918,1924,1918,1924,170,550000
16,HAP,HOSE,24/01/2019,,1894,1912,1859,1912,49080,156180000
17,HAP,HOSE,25/01/2019,,1924,1924,1865,1894,28540,91000000
18,HAP,HOSE,28/01/2019,,1871,1918,1853,1918,12090,38530000
19,HAP,HOSE,29/01/2019,,1865,1918,1865,1918,11340,36150000
20,HAP,HOSE,30/01/2019,,1859,1930,1859,1930,59780,192230000
21,HAP,HOSE,31/01/2019,,1930,1930,1924,1930,5100,16680000
22,HAP,HOSE,01/02/2019,,1924,1930,1888,1930,25570,82800000
23,HAP,HOSE,11/02/2019,,1930,1930,1906,1906,12090,39450000
24,HAP,HOSE,12/02/2019,,1941,1947,1912,1947,30950,101660000
25,HAP,HOSE,13/02/2019,,1947,1994,1935,1994,184830,616140000
26,HAP,HOSE,14/02/2019,,1994,2018,1994,2018,24400,82850000
27,HAP,HOSE,15/02/2019,,2018,2042,2018,2036,73680,253550000
28,HAP,HOSE,18/02/2019,,2030,2048,2030,2048,61590,212320000
29,HAP,HOSE,19/02/2019,,2048,2048,2006,2006,10000,34160000
30,HAP,HOSE,20/02/2019,,2030,2030,1888,1994,31450,103370000
31,HAP,HOSE,21/02/2019,,1935,1971,1924,1965,12090,40020000
32,HAP,HOSE,22/02/2019,,1930,2000,1930,2000,652650,2177340000
33,HAP,HOSE,25/02/2019,,1953,2006,1953,2006,7420,25110000
34,HAP,HOSE,26/02/2019,,1977,1983,1977,1983,3520,11820000
35,HAP,HOSE,27/02/2019,,1965,2000,1947,2000,20040,66960000
36,HAP,HOSE,28/02/2019,,1994,2006,1965,2006,75890,256900000
37,HAP,HOSE,01/03/2019,,1965,2018,1965,2006,41090,139300000
38,HAP,HOSE,04/03/2019,,2006,2053,2006,2024,44390,152080000
39,HAP,HOSE,05/03/2019,,2024,2089,2024,2083,54890,192160000
40,HAP,HOSE,06/03/2019,,2083,2101,2065,2101,33570,118700000
41,HAP,HOSE,07/03/2019,,2077,2095,2053,2053,28550,100510000
42,HAP,HOSE,08/03/2019,,2065,2065,2036,2053,19150,66640000
43,HAP,HOSE,11/03/2019,,2053,2059,2036,2059,39820,137770000
44,HAP,HOSE,12/03/2019,,2059,2059,2030,2059,210170,724250000
45,HAP,HOSE,13/03/2019,,2030,2065,2024,2030,221120,760590000
46,HAP,HOSE,14/03/2019,,2030,2071,2030,2059,277150,960350000
47,HAP,HOSE,15/03/2019,,2024,2077,2024,2077,29970,104630000
48,HAP,HOSE,18/03/2019,,2089,2207,2089,2183,163110,598280000
49,HAP,HOSE,19/03/2019,,2213,2213,2166,2183,157120,584760000
50,HAP,HOSE,20/03/2019,,2171,2213,2171,2183,116440,433570000
51,HAP,HOSE,21/03/2019,,2213,2213,2124,2201,56680,205900000
52,HAP,HOSE,22/03/2019,,2136,2183,2101,2166,41220,148220000
53,HAP,HOSE,25/03/2019,,2077,2183,2077,2166,24420,88170000
54,HAP,HOSE,26/03/2019,,2166,2177,2118,2154,12560,46000000
55,HAP,HOSE,27/03/2019,,2118,2166,2118,2154,19760,72000000
56,HAP,HOSE,28/03/2019,,2154,2166,2124,2154,10200,37000000
57,HAP,HOSE,29/03/2019,,2130,2160,2124,2154,171530,626000000
58,HAP,HOSE,01/04/2019,,2154,2183,2154,2177,218940,799270000
59,HAP,HOSE,02/04/2019,,2207,2207,2154,2195,1220,4530000
60,HAP,HOSE,03/04/2019,,2136,2189,2136,2189,11340,41750000
61,HAP,HOSE,04/04/2019,,2142,2183,2071,2154,30860,111410000
62,HAP,HOSE,05/04/2019,,2130,2189,2130,2177,40050,146270000
63,HAP,HOSE,08/04/2019,,2177,2189,2154,2171,125170,457200000
64,HAP,HOSE,09/04/2019,,2154,2189,2154,2183,44860,164210000
65,HAP,HOSE,10/04/2019,,2154,2189,2148,2171,24150,88130000
66,HAP,HOSE,11/04/2019,,2154,2183,2154,2177,24200,88620000
67,HAP,HOSE,12/04/2019,,2166,2189,2142,2171,59710,218760000
68,HAP,HOSE,16/04/2019,,2189,2319,2189,2319,502180,1944470000
69,HAP,HOSE,17/04/2019,,2390,2443,2390,2408,201810,825740000
70,HAP,HOSE,18/04/2019,,2425,2431,2360,2425,210960,863740000
71,HAP,HOSE,19/04/2019,,2449,2449,2289,2408,256130,1023230000
72,HAP,HOSE,22/04/2019,,2413,2443,2372,2408,108910,444020000
73,HAP,HOSE,23/04/2019,,2413,2443,2348,2396,17730,71480000
74,HAP,HOSE,24/04/2019,,2360,2360,2331,2331,87000,345660000
75,HAP,HOSE,25/04/2019,,2325,2354,2272,2272,99300,389.06
76,HAP,HOSE,26/04/2019,,2266,2360,2266,2278,36450,142800000
77,HAP,HOSE,02/05/2019,,2301,2360,2301,2348,60120,238820000
78,HAP,HOSE,03/05/2019,,2348,2419,2348,2390,127640,516170000
79,HAP,HOSE,06/05/2019,,2419,2419,2331,2402,26870,109750000
80,HAP,HOSE,07/05/2019,,2360,2390,2301,2337,39140,155770000
81,HAP,HOSE,08/05/2019,,2301,2360,2301,2337,28880,114190000
82,HAP,HOSE,09/05/2019,,2337,2337,2307,2331,98730,386250000
83,HAP,HOSE,10/05/2019,,2284,2331,2284,2289,76750,299090000
84,HAP,HOSE,13/05/2019,,2284,2284,2207,2242,66820,252760000
85,HAP,HOSE,14/05/2019,,2242,2354,2230,2354,138530,534530000
86,HAP,HOSE,15/05/2019,,2307,2419,2295,2360,108380,438000000
87,HAP,HOSE,16/05/2019,,2390,2408,2360,2366,177210,711900000
88,HAP,HOSE,17/05/2019,,2366,2390,2360,2378,94370,380000000
89,HAP,HOSE,20/05/2019,,2360,2408,2337,2390,74230,298550000
90,HAP,HOSE,21/05/2019,,2402,2402,2372,2396,163990,664290000
91,HAP,HOSE,22/05/2019,,2408,2561,2408,2561,308420,1311620000
92,HAP,HOSE,23/05/2019,,2738,2738,2596,2649,447450,2050000000
93,HAP,HOSE,24/05/2019,,2655,2655,2478,2608,173710,759910000
94,HAP,HOSE,27/05/2019,,2596,2596,2502,2567,90670,390340000
95,HAP,HOSE,28/05/2019,,2478,2573,2478,2561,72720,311020000
96,HAP,HOSE,29/05/2019,,2396,2636,2396,2561,35220,127840000
97,HAP,HOSE,30/05/2019,,2561,2561,2451,2465,50340,181470000
98,HAP,HOSE,31/05/2019,,2465,2465,2335,2396,102890,357610000
99,HAP,HOSE,03/06/2019,,2396,2396,2335,2396,9770,34070000
100,HAP,HOSE,04/06/2019,,2342,2424,2301,2376,14460,49410000
101,HAP,HOSE,05/06/2019,,2376,2390,2287,2376,33670,116150000
102,HAP,HOSE,06/06/2019,,2335,2431,2335,2417,46210,160030000
103,HAP,HOSE,07/06/2019,,2417,2438,2369,2424,25730,90800000
104,HAP,HOSE,10/06/2019,,2424,2444,2396,2417,24080,84840000
105,HAP,HOSE,11/06/2019,,2410,2444,2383,2431,41310,144900000
106,HAP,HOSE,12/06/2019,,2396,2465,2390,2465,85310,300630000
107,HAP,HOSE,13/06/2019,,2499,2533,2410,2479,22190,80760000
108,HAP,HOSE,14/06/2019,,2520,2547,2431,2485,45010,163910000
109,HAP,HOSE,17/06/2019,,2485,2533,2314,2369,214020,744920000
110,HAP,HOSE,18/06/2019,,2369,2444,2369,2438,6470,22860000
111,HAP,HOSE,19/06/2019,,2369,2458,2369,2438,10630,37950000
112,HAP,HOSE,20/06/2019,,2369,2458,2369,2438,10630,37950000
113,HAP,HOSE,21/06/2019,,2438,2465,2383,2431,16420,58310000
114,HAP,HOSE,24/06/2019,,2417,2492,2383,2492,19660,69040000
115,HAP,HOSE,25/06/2019,,2492,2492,2396,2479,3050,10800000
116,HAP,HOSE,26/06/2019,,2396,2479,2396,2417,2920,10360000
117,HAP,HOSE,27/06/2019,,2396,2472,2369,2369,93950,329310000
118,HAP,HOSE,28/06/2019,,2342,2417,2342,2376,31760,109400000
119,HAP,HOSE,01/07/2019,,2376,2458,2376,2444,15040,53610000
