,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HAX,HOSE,02/01/2019,,6450,6450,6389,6450,40430,640550000
1,HAX,HOSE,03/01/2019,,6450,6490,6368,6450,136450,2169850000
2,HAX,HOSE,04/01/2019,,6510,6510,6308,6429,33330,527750000
3,HAX,HOSE,07/01/2019,,6531,6652,6409,6592,57570,926970000
4,HAX,HOSE,08/01/2019,,6592,6652,6490,6652,59060,960400000
5,HAX,HOSE,09/01/2019,,6693,7038,6693,6916,123400,2108820000
6,HAX,HOSE,10/01/2019,,7078,7078,6835,6916,44240,751460000
7,HAX,HOSE,11/01/2019,,6896,7038,6896,6896,49510,851000000
8,HAX,HOSE,14/01/2019,,6896,6977,6815,6896,13610,231000000
9,HAX,HOSE,15/01/2019,,6835,7099,6835,7038,148700,2571720000
10,HAX,HOSE,16/01/2019,,6936,7038,6754,6754,81610,1383000000
11,HAX,HOSE,17/01/2019,,6815,6855,6713,6713,17520,294000000
12,HAX,HOSE,18/01/2019,,6815,6815,6571,6794,50870,834460000
13,HAX,HOSE,21/01/2019,,6794,6794,6510,6693,73010,1199040000
14,HAX,HOSE,22/01/2019,,6571,6734,6571,6693,24630,403540000
15,HAX,HOSE,23/01/2019,,6693,6774,6592,6693,72730,1201180000
16,HAX,HOSE,24/01/2019,,6734,6734,6531,6551,120540,1954930000
17,HAX,HOSE,25/01/2019,,6571,6815,6490,6490,20790,335200000
18,HAX,HOSE,28/01/2019,,6409,6612,6409,6490,10660,170470000
19,HAX,HOSE,29/01/2019,,6490,6652,6450,6490,31330,503060000
20,HAX,HOSE,30/01/2019,,6652,6652,6450,6510,58860,943600000
21,HAX,HOSE,31/01/2019,,6652,6713,6592,6592,45960,752340000
22,HAX,HOSE,01/02/2019,,6652,6713,6612,6652,13280,218480000
23,HAX,HOSE,11/02/2019,,6571,6815,6571,6632,14960,246740000
24,HAX,HOSE,12/02/2019,,6693,6815,6693,6774,60940,1015590000
25,HAX,HOSE,13/02/2019,,6896,7038,6875,6916,157060,2693710000
26,HAX,HOSE,14/02/2019,,6916,7017,6896,6977,67240,1148450000
27,HAX,HOSE,15/02/2019,,6794,6997,6794,6916,28220,482820000
28,HAX,HOSE,18/02/2019,,6936,6977,6815,6835,45220,766180000
29,HAX,HOSE,19/02/2019,,6794,6896,6713,6855,121320,2035880000
30,HAX,HOSE,20/02/2019,,6936,7099,6936,7017,324790,5611460000
31,HAX,HOSE,21/02/2019,,7017,7017,6875,6896,84050,1439440000
32,HAX,HOSE,22/02/2019,,6815,6855,6815,6855,18740,315620000
33,HAX,HOSE,25/02/2019,,6835,6835,6734,6815,239230,3989450000
34,HAX,HOSE,26/02/2019,,6815,6855,6734,6734,115270,1926880000
35,HAX,HOSE,27/02/2019,,6734,6815,6734,6794,31050,519930000
36,HAX,HOSE,28/02/2019,,6855,6855,6734,6734,125640,2096010000
37,HAX,HOSE,01/03/2019,,6734,6835,6734,6815,44300,740800000
38,HAX,HOSE,04/03/2019,,6754,6977,6754,6936,76480,1290650000
39,HAX,HOSE,05/03/2019,,6977,7038,6916,6997,183740,3166540000
40,HAX,HOSE,06/03/2019,,6997,7058,6936,6997,99920,1726020000
41,HAX,HOSE,07/03/2019,,6997,7038,6916,6957,47430,814290000
42,HAX,HOSE,08/03/2019,,6916,6957,6815,6815,68540,1163410000
43,HAX,HOSE,11/03/2019,,6815,6855,6734,6835,36690,615990000
44,HAX,HOSE,12/03/2019,,6875,6957,6875,6916,79980,1364250000
45,HAX,HOSE,13/03/2019,,6936,7383,6855,7383,688030,12279820000
46,HAX,HOSE,14/03/2019,,7484,7484,7180,7220,191830,3504700000
47,HAX,HOSE,15/03/2019,,7261,7301,7180,7180,86680,1544850000
48,HAX,HOSE,18/03/2019,,7180,7403,7159,7342,455560,8137640000
49,HAX,HOSE,19/03/2019,,7383,7383,7220,7261,328100,5891440000
50,HAX,HOSE,20/03/2019,,7261,7261,7017,7119,188170,3298310000
51,HAX,HOSE,21/03/2019,,7058,7139,6855,6855,149770,2603650000
52,HAX,HOSE,22/03/2019,,6855,7017,6754,6997,180400,3057510000
53,HAX,HOSE,25/03/2019,,6936,6936,6754,6774,105300,1773230000
54,HAX,HOSE,26/03/2019,,6815,6896,6693,6693,167860,2802000000
55,HAX,HOSE,27/03/2019,,6693,6815,6693,6734,107240,1786000000
56,HAX,HOSE,28/03/2019,,6835,6835,6734,6774,72350,1207000000
57,HAX,HOSE,29/03/2019,,6835,6835,6734,6734,117390,1955000000
58,HAX,HOSE,01/04/2019,,6835,6835,6713,6774,89120,1480490000
59,HAX,HOSE,02/04/2019,,6794,6815,6754,6774,233800,3904540000
60,HAX,HOSE,03/04/2019,,6774,6875,6693,6855,106150,1771470000
61,HAX,HOSE,04/04/2019,,6896,7078,6896,7017,128710,2218190000
62,HAX,HOSE,05/04/2019,,7058,7078,6896,6997,190360,3286500000
