,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HCD,HOSE,02/01/2019,,4214,4274,4205,4231,185060,915700000
1,HCD,HOSE,03/01/2019,,4188,4239,4171,4179,251080,1232310000
2,HCD,HOSE,04/01/2019,,4145,4179,3889,4179,498540,2390850000
3,HCD,HOSE,07/01/2019,,4179,4265,4162,4248,106120,526030000
4,HCD,HOSE,08/01/2019,,4248,4248,4188,4239,318170,1567290000
5,HCD,HOSE,09/01/2019,,4239,4359,4205,4359,206420,1038220000
6,HCD,HOSE,10/01/2019,,4402,4556,4282,4282,127930,659850000
7,HCD,HOSE,11/01/2019,,4274,4376,4274,4282,108730,549000000
8,HCD,HOSE,14/01/2019,,4282,4350,4282,4291,60000,302000000
9,HCD,HOSE,15/01/2019,,4342,4342,4274,4274,207690,1042530000
10,HCD,HOSE,16/01/2019,,4333,4333,4274,4274,85220,430000000
11,HCD,HOSE,17/01/2019,,4325,4325,4274,4274,103000,518000000
12,HCD,HOSE,18/01/2019,,4316,4316,4274,4274,112650,565400000
13,HCD,HOSE,21/01/2019,,4282,4316,4274,4274,68570,343890000
14,HCD,HOSE,22/01/2019,,4299,4299,4274,4274,145580,727910000
15,HCD,HOSE,23/01/2019,,4274,4325,4274,4325,47630,240450000
16,HCD,HOSE,24/01/2019,,4333,4333,4291,4308,70300,354780000
17,HCD,HOSE,25/01/2019,,4282,4402,4282,4359,87800,442820000
18,HCD,HOSE,28/01/2019,,4402,4487,4402,4462,136610,711710000
19,HCD,HOSE,29/01/2019,,4479,4479,4402,4462,122410,635730000
20,HCD,HOSE,30/01/2019,,4444,4453,4376,4444,74600,386460000
21,HCD,HOSE,31/01/2019,,4453,4726,4410,4675,397180,2137210000
22,HCD,HOSE,01/02/2019,,4675,4701,4615,4675,177900,964270000
23,HCD,HOSE,11/02/2019,,4744,4786,4675,4735,135890,751240000
24,HCD,HOSE,12/02/2019,,4769,4949,4701,4915,295280,1669660000
25,HCD,HOSE,13/02/2019,,4957,5017,4915,4957,227320,1316780000
26,HCD,HOSE,14/02/2019,,4957,5026,4923,4974,136100,789560000
27,HCD,HOSE,15/02/2019,,4991,4991,4846,4872,243560,1398090000
28,HCD,HOSE,18/02/2019,,4838,4949,4838,4872,84840,483470000
