,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HDB,HOSE,02/01/2019,,9696,9696,9024,9024,723350,21397100000
1,HDB,HOSE,03/01/2019,,9264,9280,8992,9008,1222860,34673750000
2,HDB,HOSE,04/01/2019,,9056,9280,8960,9280,1129350,32137400000
3,HDB,HOSE,07/01/2019,,9280,9440,9120,9248,727640,21093270000
4,HDB,HOSE,08/01/2019,,9248,9264,8960,9120,1063470,30192540000
5,HDB,HOSE,09/01/2019,,9152,9312,9152,9248,1246940,36094420000
6,HDB,HOSE,10/01/2019,,9264,9312,9264,9280,1859370,53951830000
7,HDB,HOSE,11/01/2019,,9280,9440,9264,9344,2231760,65009930000
8,HDB,HOSE,14/01/2019,,9344,9408,9248,9312,715340,20890000000
9,HDB,HOSE,15/01/2019,,9344,9360,9264,9344,717930,20868490000
10,HDB,HOSE,16/01/2019,,9344,9344,9248,9344,895390,25974000000
11,HDB,HOSE,17/01/2019,,9344,9344,9248,9248,998480,29024000000
12,HDB,HOSE,18/01/2019,,9280,9408,9248,9312,1417600,41220810000
13,HDB,HOSE,21/01/2019,,9328,9504,9312,9488,1233280,36210340000
14,HDB,HOSE,22/01/2019,,9504,9712,9504,9632,1369310,41219210000
15,HDB,HOSE,23/01/2019,,9600,9696,9584,9600,850650,25591070000
16,HDB,HOSE,24/01/2019,,9600,9648,9504,9584,725150,21715470000
17,HDB,HOSE,25/01/2019,,9600,9632,9536,9584,891440,26697480000
18,HDB,HOSE,28/01/2019,,9584,9632,9536,9600,876970,26288680000
19,HDB,HOSE,29/01/2019,,9600,9616,9552,9600,934570,27970830000
20,HDB,HOSE,30/01/2019,,9600,9616,9552,9600,768110,23009740000
21,HDB,HOSE,31/01/2019,,9632,9760,9632,9760,762510,23168780000
22,HDB,HOSE,01/02/2019,,9760,9792,9696,9760,1336610,40761490000
23,HDB,HOSE,11/02/2019,,9792,9824,9728,9808,1150140,35104740000
24,HDB,HOSE,12/02/2019,,9808,10016,9792,9952,1889530,58306740000
25,HDB,HOSE,13/02/2019,,9968,10080,9952,9984,1299260,40570930000
26,HDB,HOSE,14/02/2019,,9952,10000,9792,9856,944710,29221520000
27,HDB,HOSE,15/02/2019,,9856,9856,9664,9728,1126100,34279060000
28,HDB,HOSE,18/02/2019,,9728,9808,9648,9792,1482140,45094950000
29,HDB,HOSE,19/02/2019,,9792,9792,9520,9600,1535000,46336480000
30,HDB,HOSE,20/02/2019,,9600,9600,9504,9504,840490,25090290000
31,HDB,HOSE,21/02/2019,,9504,9584,9408,9536,1427590,42374490000
32,HDB,HOSE,22/02/2019,,9536,9760,9488,9632,1237000,37205250000
33,HDB,HOSE,25/02/2019,,9664,9952,9664,9920,1776680,54503750000
34,HDB,HOSE,26/02/2019,,9920,9936,9744,9808,1122230,34503770000
35,HDB,HOSE,27/02/2019,,9808,9840,9760,9792,951480,29174140000
