,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HDC,HOSE,02/01/2019,,5440,5498,5420,5498,13950,195790000
1,HDC,HOSE,03/01/2019,,5420,5498,5382,5479,51570,725070000
2,HDC,HOSE,04/01/2019,,5420,5479,5420,5459,46990,659770000
3,HDC,HOSE,07/01/2019,,5420,5498,5382,5420,39600,553240000
4,HDC,HOSE,08/01/2019,,5459,5537,5420,5498,35990,509430000
5,HDC,HOSE,09/01/2019,,5537,5653,5537,5614,154260,2231380000
6,HDC,HOSE,10/01/2019,,5614,5614,5479,5479,114170,1638010000
7,HDC,HOSE,11/01/2019,,5479,5614,5459,5595,117220,1675510000
8,HDC,HOSE,14/01/2019,,5595,5788,5575,5672,208960,3063000000
9,HDC,HOSE,15/01/2019,,5653,5808,5653,5750,300560,4465500000
10,HDC,HOSE,16/01/2019,,5730,5788,5691,5750,63150,932000000
11,HDC,HOSE,17/01/2019,,5750,5769,5575,5575,324210,4782000000
12,HDC,HOSE,18/01/2019,,5575,5653,5498,5575,147810,2114660000
13,HDC,HOSE,21/01/2019,,5517,5575,5459,5537,91750,1307640000
14,HDC,HOSE,22/01/2019,,5537,5575,5459,5498,79210,1126630000
15,HDC,HOSE,23/01/2019,,5517,5633,5517,5537,34200,489750000
16,HDC,HOSE,24/01/2019,,5537,5614,5498,5498,32950,471100000
17,HDC,HOSE,25/01/2019,,5498,5537,5459,5517,83410,1182610000
18,HDC,HOSE,28/01/2019,,5517,5537,5343,5420,113690,1593530000
19,HDC,HOSE,29/01/2019,,5362,5498,5362,5479,56840,795750000
20,HDC,HOSE,30/01/2019,,5498,5498,5362,5420,28390,396690000
21,HDC,HOSE,31/01/2019,,5420,5459,5343,5440,30290,421580000
22,HDC,HOSE,01/02/2019,,5498,5498,5362,5498,7080,99720000
23,HDC,HOSE,11/02/2019,,5498,5614,5459,5595,60840,869910000
24,HDC,HOSE,12/02/2019,,5595,5614,5517,5575,66550,954460000
25,HDC,HOSE,13/02/2019,,5556,5595,5459,5575,135100,1930980000
26,HDC,HOSE,14/02/2019,,5537,5595,5537,5575,28460,409320000
27,HDC,HOSE,15/02/2019,,5537,5633,5537,5595,107940,1559310000
28,HDC,HOSE,18/02/2019,,5595,5653,5595,5614,74710,1082320000
29,HDC,HOSE,19/02/2019,,5556,5633,5517,5537,72360,1036840000
30,HDC,HOSE,20/02/2019,,5498,5595,5498,5498,100580,1433070000
31,HDC,HOSE,21/02/2019,,5459,5537,5420,5479,111310,1562790000
32,HDC,HOSE,22/02/2019,,5479,5498,5382,5459,107080,1507640000
33,HDC,HOSE,25/02/2019,,5420,5479,5420,5479,119660,1679810000
34,HDC,HOSE,26/02/2019,,5479,5479,5420,5459,39690,558530000
35,HDC,HOSE,27/02/2019,,5420,5537,5420,5498,206950,2923050000
36,HDC,HOSE,28/02/2019,,5498,5498,5420,5459,89530,1257560000
37,HDC,HOSE,01/03/2019,,5459,5498,5420,5498,112910,1593950000
38,HDC,HOSE,04/03/2019,,5498,5653,5498,5556,161600,2324090000
39,HDC,HOSE,05/03/2019,,5498,5614,5498,5556,56110,803510000
40,HDC,HOSE,06/03/2019,,5498,5575,5479,5537,117310,1669280000
41,HDC,HOSE,07/03/2019,,5537,5575,5498,5517,97740,1397640000
42,HDC,HOSE,08/03/2019,,5498,5556,5498,5537,98040,1397790000
43,HDC,HOSE,11/03/2019,,5537,5924,5517,5924,757620,11433360000
44,HDC,HOSE,12/03/2019,,6156,6330,6079,6175,850780,13717810000
45,HDC,HOSE,13/03/2019,,6156,6195,6021,6079,186090,2932660000
46,HDC,HOSE,14/03/2019,,6079,6272,6040,6195,804240,12817710000
47,HDC,HOSE,15/03/2019,,6234,6234,6098,6195,326740,5204310000
48,HDC,HOSE,18/03/2019,,6156,6311,6156,6311,424700,6825410000
49,HDC,HOSE,19/03/2019,,6311,6330,6214,6234,505760,8192190000
50,HDC,HOSE,20/03/2019,,6195,6195,6117,6156,154330,2452950000
51,HDC,HOSE,21/03/2019,,6156,6582,6117,6350,1085130,17870290000
52,HDC,HOSE,22/03/2019,,6350,6388,6272,6311,440440,7204070000
53,HDC,HOSE,25/03/2019,,6195,6234,6001,6175,222400,3526930000
54,HDC,HOSE,26/03/2019,,6175,6272,6098,6117,276760,4406000000
55,HDC,HOSE,27/03/2019,,6117,6195,6117,6137,187620,2980000000
56,HDC,HOSE,28/03/2019,,6137,6137,6021,6059,227390,3572000000
57,HDC,HOSE,29/03/2019,,6040,6175,6040,6117,159370,2509000000
58,HDC,HOSE,01/04/2019,,6117,6350,6079,6311,337070,5466820000
59,HDC,HOSE,02/04/2019,,6311,6659,6311,6582,1653340,27855290000
60,HDC,HOSE,03/04/2019,,6543,6640,6485,6485,337230,5725880000
61,HDC,HOSE,04/04/2019,,6485,6853,6485,6776,1236920,21513610000
62,HDC,HOSE,05/04/2019,,6776,6853,6659,6756,519260,9061760000
63,HDC,HOSE,08/04/2019,,6756,6756,6621,6737,710620,12297500000
64,HDC,HOSE,09/04/2019,,6853,6969,6311,6311,1144790,19856560000
65,HDC,HOSE,10/04/2019,,6388,6524,6350,6466,620340,10324630000
66,HDC,HOSE,11/04/2019,,6427,6505,6369,6388,261420,4320730000
67,HDC,HOSE,12/04/2019,,6388,6582,6369,6563,556410,9355090000
68,HDC,HOSE,16/04/2019,,6505,6582,6466,6563,214270,3621690000
69,HDC,HOSE,17/04/2019,,6563,6582,6117,6117,1409840,22752860000
70,HDC,HOSE,18/04/2019,,6079,6117,5808,5924,617570,9509210000
71,HDC,HOSE,19/04/2019,,5846,6040,5846,6021,120300,1859220000
72,HDC,HOSE,22/04/2019,,6001,6001,5808,5885,276080,4206220000
73,HDC,HOSE,23/04/2019,,5963,6040,5943,5963,371860,5753800000
74,HDC,HOSE,24/04/2019,,5924,6021,5904,5963,391000,6011960000
75,HDC,HOSE,25/04/2019,,5924,6021,5904,5924,283920,4353.87
76,HDC,HOSE,26/04/2019,,5885,5963,5808,5808,278570,4222400000
77,HDC,HOSE,02/05/2019,,5808,5924,5808,5904,238270,3611210000
78,HDC,HOSE,03/05/2019,,5904,5943,5866,5866,168660,2567300000
79,HDC,HOSE,06/05/2019,,5769,5885,5730,5750,266960,3983220000
80,HDC,HOSE,07/05/2019,,5750,5808,5672,5672,295000,4358900000
81,HDC,HOSE,08/05/2019,,5653,5730,5614,5672,102040,1495020000
82,HDC,HOSE,09/05/2019,,5672,5769,5420,5575,408120,5885110000
83,HDC,HOSE,10/05/2019,,5595,5691,5575,5691,137080,1991290000
84,HDC,HOSE,13/05/2019,,5691,6079,5691,6079,452930,7019920000
85,HDC,HOSE,14/05/2019,,6001,6234,5963,6195,197000,3087020000
86,HDC,HOSE,15/05/2019,,6195,6311,6137,6175,296100,4748170000
87,HDC,HOSE,16/05/2019,,6098,6195,6079,6079,133180,2114220000
88,HDC,HOSE,17/05/2019,,6079,6388,6040,6330,655670,10620000000
89,HDC,HOSE,20/05/2019,,6388,6408,6214,6350,193000,3178490000
90,HDC,HOSE,21/05/2019,,6311,6543,6311,6505,261560,4340720000
91,HDC,HOSE,22/05/2019,,6505,6543,6330,6330,335110,5599890000
92,HDC,HOSE,23/05/2019,,6311,6543,6311,6505,223820,3746000000
