,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HID,HOSE,02/01/2019,,2236,2282,2236,2255,14560,35680000
1,HID,HOSE,03/01/2019,,2255,2255,2191,2236,6140,14810000
2,HID,HOSE,04/01/2019,,2191,2236,2182,2236,31200,75370000
3,HID,HOSE,07/01/2019,,2236,2255,2236,2255,19950,48960000
4,HID,HOSE,08/01/2019,,2255,2255,2200,2255,25750,63020000
5,HID,HOSE,09/01/2019,,2246,2264,2236,2255,74080,182860000
6,HID,HOSE,10/01/2019,,2255,2255,2209,2236,31910,77980000
7,HID,HOSE,11/01/2019,,2200,2236,2200,2227,29430,71620000
8,HID,HOSE,14/01/2019,,2218,2218,2118,2218,133640,315000000
9,HID,HOSE,15/01/2019,,2145,2182,2100,2182,176660,412610000
10,HID,HOSE,16/01/2019,,2127,2182,2118,2182,44090,103000000
11,HID,HOSE,17/01/2019,,2118,2182,2100,2163,56940,132000000
12,HID,HOSE,18/01/2019,,2118,2309,2063,2309,213800,513780000
13,HID,HOSE,21/01/2019,,2446,2456,2191,2428,77450,201340000
14,HID,HOSE,22/01/2019,,2291,2410,2264,2337,86960,217930000
15,HID,HOSE,23/01/2019,,2209,2319,2191,2319,23530,57100000
16,HID,HOSE,24/01/2019,,2191,2282,2163,2163,124720,297870000
17,HID,HOSE,25/01/2019,,2163,2264,2163,2227,21520,51230000
18,HID,HOSE,28/01/2019,,2246,2246,2163,2209,71020,169470000
19,HID,HOSE,29/01/2019,,2218,2218,2154,2209,18390,44080000
20,HID,HOSE,30/01/2019,,2264,2264,2163,2264,41250,99630000
21,HID,HOSE,31/01/2019,,2264,2282,2145,2273,211580,508100000
22,HID,HOSE,01/02/2019,,2191,2273,2163,2273,151880,364630000
23,HID,HOSE,11/02/2019,,2273,2309,2218,2282,61950,154840000
24,HID,HOSE,12/02/2019,,2282,2282,2218,2282,21730,53090000
25,HID,HOSE,13/02/2019,,2282,2282,2191,2246,142720,343170000
26,HID,HOSE,14/02/2019,,2246,2246,2163,2227,191740,458160000
27,HID,HOSE,15/02/2019,,2227,2227,2173,2227,217050,518780000
28,HID,HOSE,18/02/2019,,2191,2309,2173,2273,305350,736020000
29,HID,HOSE,19/02/2019,,2410,2428,2410,2428,163180,432850000
30,HID,HOSE,20/02/2019,,2592,2592,2328,2346,397880,1083380000
31,HID,HOSE,21/02/2019,,2373,2373,2200,2200,299070,751140000
32,HID,HOSE,22/02/2019,,2200,2246,2182,2182,517450,1244690000
33,HID,HOSE,25/02/2019,,2173,2191,2090,2154,379870,886590000
34,HID,HOSE,26/02/2019,,2154,2236,2154,2200,64990,156670000
35,HID,HOSE,27/02/2019,,2209,2236,2200,2200,45640,110720000
36,HID,HOSE,28/02/2019,,2191,2209,2173,2191,116120,279350000
37,HID,HOSE,01/03/2019,,2191,2209,2191,2209,35050,84630000
38,HID,HOSE,04/03/2019,,2218,2218,2173,2191,115790,277890000
39,HID,HOSE,05/03/2019,,2191,2209,2173,2182,145050,347930000
40,HID,HOSE,06/03/2019,,2218,2328,2182,2319,177850,439750000
41,HID,HOSE,07/03/2019,,2319,2319,2236,2282,64850,160450000
42,HID,HOSE,08/03/2019,,2200,2264,2173,2264,202350,487470000
43,HID,HOSE,11/03/2019,,2264,2264,2200,2209,48780,118300000
44,HID,HOSE,12/03/2019,,2209,2273,2209,2236,115750,282230000
45,HID,HOSE,13/03/2019,,2282,2291,2218,2291,204070,501920000
46,HID,HOSE,14/03/2019,,2246,2446,2246,2410,390860,1397460000
47,HID,HOSE,15/03/2019,,2510,2510,2383,2492,176440,478830000
48,HID,HOSE,18/03/2019,,2492,2510,2419,2419,317740,857640000
49,HID,HOSE,19/03/2019,,2373,2410,2364,2383,145820,379750000
50,HID,HOSE,20/03/2019,,2373,2392,2355,2383,141830,368910000
51,HID,HOSE,21/03/2019,,2401,2446,2383,2437,116330,307250000
52,HID,HOSE,22/03/2019,,2373,2419,2273,2383,83480,218000000
53,HID,HOSE,25/03/2019,,2383,2383,2264,2309,21480,54930000
54,HID,HOSE,26/03/2019,,2410,2410,2309,2392,50090,129000000
55,HID,HOSE,27/03/2019,,2410,2428,2392,2401,22710,60000000
56,HID,HOSE,28/03/2019,,2401,2419,2383,2410,172830,454000000
57,HID,HOSE,29/03/2019,,2428,2465,2410,2437,71900,192000000
58,HID,HOSE,01/04/2019,,2419,2437,2410,2428,13900,36930000
59,HID,HOSE,02/04/2019,,2428,2446,2355,2437,399170,1055420000
