,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HMC,HOSE,02/01/2019,,6846,6917,6822,6917,7000,100780000
1,HMC,HOSE,03/01/2019,,6822,6869,6822,6869,1500,21570000
2,HMC,HOSE,04/01/2019,,6893,6893,6822,6893,11050,158180000
3,HMC,HOSE,07/01/2019,,6846,6917,6846,6917,7530,108360000
4,HMC,HOSE,08/01/2019,,6917,6965,6846,6893,19200,277080000
5,HMC,HOSE,09/01/2019,,6917,7060,6917,7036,8150,118180000
6,HMC,HOSE,10/01/2019,,6989,7156,6917,6965,118360,1736760000
7,HMC,HOSE,11/01/2019,,6965,7060,6917,7036,147880,2180250000
8,HMC,HOSE,14/01/2019,,7060,7514,7060,7514,143930,2230000000
9,HMC,HOSE,15/01/2019,,7609,7967,7609,7919,123170,2028690000
10,HMC,HOSE,16/01/2019,,7943,7943,7728,7943,16730,274000000
11,HMC,HOSE,17/01/2019,,7800,7824,7633,7633,42360,685000000
12,HMC,HOSE,18/01/2019,,7585,7680,7537,7633,19130,306000000
13,HMC,HOSE,21/01/2019,,8110,8158,7871,8158,100360,1709520000
14,HMC,HOSE,22/01/2019,,8515,8563,8253,8348,62120,1100870000
15,HMC,HOSE,23/01/2019,,8348,8515,8277,8515,43530,768410000
16,HMC,HOSE,24/01/2019,,8515,8539,8396,8396,15030,267020000
17,HMC,HOSE,25/01/2019,,8396,8491,8134,8444,35890,625950000
18,HMC,HOSE,28/01/2019,,8444,8444,8110,8348,18880,325160000
19,HMC,HOSE,29/01/2019,,8348,8396,8110,8396,29630,517570000
20,HMC,HOSE,30/01/2019,,8396,8468,8301,8444,35300,624370000
21,HMC,HOSE,31/01/2019,,8848,8848,8292,8545,69310,1163820000
22,HMC,HOSE,01/02/2019,,8545,8595,8494,8595,23220,392630000
23,HMC,HOSE,11/02/2019,,8595,8646,8595,8646,19950,339410000
24,HMC,HOSE,12/02/2019,,8646,8747,8595,8595,33010,565320000
25,HMC,HOSE,13/02/2019,,8646,9177,8646,9177,112550,1997240000
26,HMC,HOSE,14/02/2019,,9076,9177,9051,9051,7900,142680000
27,HMC,HOSE,15/02/2019,,9051,9253,8949,9253,52020,947000000
28,HMC,HOSE,18/02/2019,,9253,9506,9253,9506,16600,306550000
29,HMC,HOSE,19/02/2019,,9506,9506,9051,9051,8390,154130000
30,HMC,HOSE,20/02/2019,,9101,9329,8747,9051,19510,343950000
31,HMC,HOSE,21/02/2019,,9202,9202,8899,8899,4220,75030000
32,HMC,HOSE,22/02/2019,,8924,9000,8697,8975,26430,464560000
33,HMC,HOSE,25/02/2019,,8899,9051,8595,8697,33420,579000000
34,HMC,HOSE,26/02/2019,,8823,8848,8646,8848,20710,359430000
35,HMC,HOSE,27/02/2019,,8848,8874,8798,8823,24550,429300000
36,HMC,HOSE,28/02/2019,,8798,8823,8747,8798,10630,184810000
37,HMC,HOSE,01/03/2019,,8798,8899,8798,8899,16250,283930000
38,HMC,HOSE,04/03/2019,,8899,9025,8747,8747,48800,855090000
39,HMC,HOSE,05/03/2019,,8747,9025,8595,9025,65570,1154060000
40,HMC,HOSE,06/03/2019,,9025,9101,8823,9076,28980,512560000
41,HMC,HOSE,07/03/2019,,9051,9101,9025,9076,12230,219570000
42,HMC,HOSE,08/03/2019,,9076,9076,9025,9076,5000,89640000
43,HMC,HOSE,11/03/2019,,8848,9051,8848,9000,41480,731340000
44,HMC,HOSE,12/03/2019,,9000,9152,9000,9152,32790,585800000
45,HMC,HOSE,13/03/2019,,8949,9303,8949,9253,30050,546720000
46,HMC,HOSE,14/03/2019,,9253,9354,9051,9354,33630,947880000
